s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,1.2,1.2,1.2,1.2,300
ok,2024-01-02 07:00:00,1.11,1.17,1.11,1.17,1849
ok,2024-01-02 08:00:00,1.17,1.18,1.07,1.18,4678
ok,2024-01-02 08:30:00,1.2,1.2,1.2,1.2,100
ok,2024-01-02 09:00:00,1.18,1.2,1.18,1.2,1001
ok,2024-01-02 09:30:00,1.22,1.22,1.11,1.19,32583
ok,2024-01-02 10:00:00,1.17,1.17,1.1,1.14,56098
ok,2024-01-02 10:30:00,1.15,1.16,1.14,1.14,12564
ok,2024-01-02 11:00:00,1.13,1.15,1.12,1.12,23485
ok,2024-01-02 11:30:00,1.13,1.16,1.09,1.09,18685
ok,2024-01-02 12:00:00,1.09,1.09,1.0,1.0,99437
ok,2024-01-02 12:30:00,1.01,1.06,1.0,1.01,43761
ok,2024-01-02 13:00:00,1.02,1.04,1.01,1.04,80750
ok,2024-01-02 13:30:00,1.03,1.08,1.02,1.08,21404
ok,2024-01-02 14:00:00,1.09,1.11,1.07,1.1,42041
ok,2024-01-02 14:30:00,1.1,1.1,1.02,1.04,65899
ok,2024-01-02 15:00:00,1.04,1.04,1.03,1.03,17940
ok,2024-01-02 15:30:00,1.03,1.11,1.02,1.09,31581
ok,2024-01-02 16:00:00,1.04,1.04,1.04,1.04,962
ok,2024-01-02 17:00:00,1.04,1.05,1.04,1.04,4630
ok,2024-01-02 19:00:00,1.06,1.08,1.03,1.03,692
ok,2024-01-03 04:00:00,1.01,1.08,1.01,1.08,400
ok,2024-01-03 07:00:00,1.04,1.04,1.04,1.04,498
ok,2024-01-03 07:30:00,1.07,1.07,1.07,1.07,500
ok,2024-01-03 09:00:00,1.08,1.08,1.08,1.08,240
ok,2024-01-03 09:30:00,1.05,1.2,1.05,1.1,88679
ok,2024-01-03 10:00:00,1.11,1.17,1.1,1.13,35172
ok,2024-01-03 10:30:00,1.14,1.15,1.02,1.13,49735
ok,2024-01-03 11:00:00,1.12,1.15,1.11,1.15,19850
ok,2024-01-03 11:30:00,1.15,1.2,1.14,1.2,80383
ok,2024-01-03 12:00:00,1.2,1.2,1.09,1.18,58178
ok,2024-01-03 12:30:00,1.15,1.18,1.14,1.14,11806
ok,2024-01-03 13:00:00,1.13,1.18,1.12,1.15,21539
ok,2024-01-03 13:30:00,1.15,1.17,1.1,1.13,17688
ok,2024-01-03 14:00:00,1.12,1.13,1.1,1.1,24542
ok,2024-01-03 14:30:00,1.13,1.13,1.09,1.1,15523
ok,2024-01-03 15:00:00,1.12,1.17,1.1,1.14,31863
ok,2024-01-03 15:30:00,1.14,1.18,1.06,1.16,44308
ok,2024-01-03 16:00:00,1.1,1.16,1.1,1.16,1116
ok,2024-01-03 16:30:00,1.08,1.08,1.08,1.08,1000
