s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.19,0.19,0.19,0.19,2219
ok,2024-01-02 04:30:00,0.2,0.2,0.19,0.19,2700
ok,2024-01-02 07:00:00,0.2,0.2,0.2,0.2,775
ok,2024-01-02 07:30:00,0.2,0.2,0.2,0.2,549
ok,2024-01-02 08:00:00,0.19,0.2,0.19,0.19,13621
ok,2024-01-02 08:30:00,0.19,0.19,0.19,0.19,333
ok,2024-01-02 09:00:00,0.2,0.21,0.2,0.21,331
ok,2024-01-02 09:30:00,0.2,0.21,0.2,0.2,41235
ok,2024-01-02 10:00:00,0.2,0.21,0.2,0.21,88410
ok,2024-01-02 10:30:00,0.21,0.21,0.2,0.2,11287
ok,2024-01-02 11:00:00,0.2,0.21,0.2,0.2,2669
ok,2024-01-02 11:30:00,0.2,0.2,0.2,0.2,3556
ok,2024-01-02 12:00:00,0.2,0.23,0.2,0.21,312677
ok,2024-01-02 12:30:00,0.21,0.22,0.21,0.21,91962
ok,2024-01-02 13:00:00,0.21,0.22,0.21,0.22,23732
ok,2024-01-02 13:30:00,0.22,0.22,0.21,0.21,54009
ok,2024-01-02 14:00:00,0.21,0.21,0.2,0.21,90752
ok,2024-01-02 14:30:00,0.2,0.21,0.2,0.21,42145
ok,2024-01-02 15:00:00,0.21,0.21,0.2,0.21,37708
ok,2024-01-02 15:30:00,0.21,0.21,0.2,0.21,33335
ok,2024-01-02 16:00:00,0.21,0.21,0.2,0.2,2437
ok,2024-01-02 16:30:00,0.21,0.21,0.21,0.21,156
ok,2024-01-02 17:00:00,0.21,0.21,0.2,0.2,5213
ok,2024-01-02 17:30:00,0.21,0.21,0.21,0.21,5000
ok,2024-01-02 18:00:00,0.2,0.2,0.2,0.2,303
ok,2024-01-02 18:30:00,0.2,0.2,0.2,0.2,3249
ok,2024-01-02 19:00:00,0.2,0.2,0.2,0.2,5336
ok,2024-01-02 19:30:00,0.2,0.2,0.2,0.2,1260
ok,2024-01-03 04:00:00,0.2,0.2,0.2,0.2,221
ok,2024-01-03 04:30:00,0.21,0.21,0.2,0.2,772
ok,2024-01-03 05:00:00,0.21,0.21,0.21,0.21,200
ok,2024-01-03 05:30:00,0.2,0.2,0.19,0.19,1588
ok,2024-01-03 06:00:00,0.19,0.2,0.19,0.2,8476
ok,2024-01-03 06:30:00,0.2,0.2,0.19,0.19,5598
ok,2024-01-03 07:00:00,0.2,0.2,0.18,0.19,32110
ok,2024-01-03 07:30:00,0.19,0.2,0.19,0.19,10356
ok,2024-01-03 08:00:00,0.21,0.21,0.18,0.2,60117
ok,2024-01-03 08:30:00,0.2,0.2,0.2,0.2,1500
ok,2024-01-03 09:00:00,0.2,0.22,0.19,0.21,53398
ok,2024-01-03 09:30:00,0.2,0.21,0.2,0.2,172216
ok,2024-01-03 10:00:00,0.2,0.2,0.19,0.2,147764
ok,2024-01-03 10:30:00,0.2,0.2,0.19,0.19,180277
ok,2024-01-03 11:00:00,0.19,0.2,0.19,0.2,97951
ok,2024-01-03 11:30:00,0.19,0.2,0.19,0.19,51848
ok,2024-01-03 12:00:00,0.2,0.2,0.19,0.2,86181
ok,2024-01-03 12:30:00,0.2,0.2,0.2,0.2,33720
ok,2024-01-03 13:00:00,0.2,0.2,0.19,0.2,208139
ok,2024-01-03 13:30:00,0.2,0.23,0.19,0.22,393045
ok,2024-01-03 14:00:00,0.22,0.22,0.2,0.21,120913
ok,2024-01-03 14:30:00,0.21,0.22,0.2,0.22,123216
ok,2024-01-03 15:00:00,0.21,0.22,0.2,0.2,132399
ok,2024-01-03 15:30:00,0.21,0.22,0.2,0.22,404059
ok,2024-01-03 16:00:00,0.22,0.34,0.22,0.3,3894750
ok,2024-01-03 16:30:00,0.3,0.3,0.26,0.27,671804
ok,2024-01-03 17:00:00,0.27,0.27,0.22,0.23,649148
ok,2024-01-03 17:30:00,0.23,0.25,0.23,0.25,155326
ok,2024-01-03 18:00:00,0.25,0.27,0.24,0.27,257313
ok,2024-01-03 18:30:00,0.26,0.3,0.26,0.26,351716
ok,2024-01-03 19:00:00,0.27,0.28,0.26,0.28,60155
ok,2024-01-03 19:30:00,0.28,0.28,0.27,0.27,69968
ok,2024-01-04 09:00:00,3.45,5.4,3.41,4.5,279516
ok,2024-01-04 09:30:00,4.47,4.89,3.13,3.53,673623
ok,2024-01-04 10:00:00,3.52,3.53,2.76,2.76,194197
ok,2024-01-04 10:30:00,2.76,3.36,2.76,3.23,106296
ok,2024-01-04 11:00:00,3.23,3.3,2.76,2.87,43594
ok,2024-01-04 11:30:00,2.86,3.2,2.86,3.01,39320
ok,2024-01-04 12:00:00,2.98,3.1,2.85,2.95,46029
ok,2024-01-04 12:30:00,3.02,3.07,2.85,2.85,24650
ok,2024-01-04 13:00:00,2.9,2.95,2.81,2.85,14655
ok,2024-01-04 13:30:00,2.85,3.08,2.85,2.98,33079
ok,2024-01-04 14:00:00,2.98,3.04,2.91,3.0,17427
ok,2024-01-04 14:30:00,3.0,3.0,2.95,3.0,5845
ok,2024-01-04 15:00:00,3.0,3.08,2.99,3.08,16446
ok,2024-01-04 15:30:00,3.1,3.1,2.97,3.03,32300
ok,2024-01-04 16:00:00,2.98,2.98,2.9,2.92,4266
ok,2024-01-04 16:30:00,2.92,2.97,2.92,2.97,516
ok,2024-01-04 17:00:00,2.95,3.1,2.9,3.1,7724
ok,2024-01-04 17:30:00,3.0,3.0,2.92,3.0,1908
ok,2024-01-04 18:00:00,2.96,2.96,2.95,2.95,200
ok,2024-01-04 18:30:00,2.95,2.95,2.8,2.8,5847
ok,2024-01-04 19:00:00,2.86,2.86,2.85,2.85,822
ok,2024-01-04 19:30:00,2.94,2.98,2.92,2.92,1391
ok,2024-01-05 04:00:00,2.8,2.8,2.8,2.8,167
ok,2024-01-05 04:30:00,3.07,3.07,2.81,2.81,394
ok,2024-01-05 05:00:00,3.0,3.0,2.82,2.82,543
ok,2024-01-05 05:30:00,2.84,2.85,2.8,2.8,2343
ok,2024-01-05 06:00:00,2.81,2.81,2.75,2.8,3230
