s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.96,1.96,1.96,1.96,524
ok,2024-01-02 10:30:00,1.89,1.89,1.85,1.85,1730
ok,2024-01-02 11:00:00,1.92,1.96,1.92,1.94,6248
ok,2024-01-02 11:30:00,1.94,1.96,1.93,1.96,7938
ok,2024-01-02 12:30:00,1.94,1.94,1.93,1.94,2737
ok,2024-01-02 13:00:00,1.94,1.97,1.94,1.97,17499
ok,2024-01-02 13:30:00,1.94,2.0,1.94,1.99,10260
ok,2024-01-02 14:00:00,1.97,2.03,1.97,2.0,1827
ok,2024-01-02 14:30:00,1.97,2.0,1.97,2.0,1100
ok,2024-01-02 15:30:00,1.97,1.97,1.96,1.96,845
ok,2024-01-03 09:30:00,1.96,2.08,1.96,2.0,14705
ok,2024-01-03 10:00:00,2.0,2.15,2.0,2.02,10004
ok,2024-01-03 10:30:00,2.11,2.11,2.01,2.07,3400
ok,2024-01-03 11:00:00,2.05,2.1,2.03,2.05,4590
ok,2024-01-03 11:30:00,2.04,2.11,2.04,2.08,3060
ok,2024-01-03 12:00:00,2.06,2.07,2.05,2.07,499
ok,2024-01-03 12:30:00,2.05,2.09,2.04,2.09,6264
ok,2024-01-03 13:00:00,2.11,2.13,2.08,2.13,3750
ok,2024-01-03 13:30:00,2.1,2.13,2.1,2.11,14296
ok,2024-01-03 14:00:00,2.12,2.14,2.11,2.14,3888
ok,2024-01-03 14:30:00,2.13,2.23,2.11,2.11,7926
ok,2024-01-03 15:00:00,2.1,2.15,2.1,2.15,5101
ok,2024-01-03 15:30:00,2.15,2.19,2.1,2.12,3249
ok,2024-01-03 18:00:00,2.11,2.11,2.11,2.11,109
ok,2024-01-03 19:30:00,2.12,2.12,2.12,2.12,1000
ok,2024-01-04 09:30:00,2.18,2.29,2.13,2.24,5823
ok,2024-01-04 10:00:00,2.14,2.18,2.02,2.07,4999
ok,2024-01-04 10:30:00,2.07,2.11,2.07,2.11,653
ok,2024-01-04 11:00:00,2.1,2.1,2.1,2.1,396
ok,2024-01-04 11:30:00,2.1,2.1,2.07,2.07,750
ok,2024-01-04 12:00:00,2.07,2.1,2.07,2.08,1236
ok,2024-01-04 12:30:00,2.09,2.19,2.07,2.07,5400
ok,2024-01-04 14:00:00,2.08,2.08,2.08,2.08,100
ok,2024-01-04 14:30:00,2.12,2.18,2.07,2.07,5600
ok,2024-01-04 15:00:00,2.08,2.12,2.08,2.12,1136
ok,2024-01-04 15:30:00,2.1,2.14,2.07,2.1,3322
ok,2024-01-05 09:30:00,2.2,2.2,2.02,2.03,1036
ok,2024-01-05 10:00:00,2.12,2.15,2.08,2.1,201965
ok,2024-01-05 10:30:00,2.09,2.1,2.05,2.1,1889
ok,2024-01-05 11:00:00,2.15,2.19,2.05,2.05,848
ok,2024-01-05 11:30:00,2.12,2.18,2.06,2.06,610
ok,2024-01-05 13:00:00,2.19,2.19,2.07,2.07,250
ok,2024-01-05 15:00:00,2.17,2.17,2.17,2.17,200
ok,2024-01-05 15:30:00,2.18,2.2,2.07,2.12,9165
ok,2024-01-08 09:30:00,2.29,2.38,2.24,2.29,24394
ok,2024-01-08 10:00:00,2.3,2.32,2.22,2.22,3152
ok,2024-01-08 10:30:00,2.34,2.43,2.21,2.4,9540
ok,2024-01-08 11:00:00,2.39,2.49,2.37,2.46,8096
ok,2024-01-08 11:30:00,2.43,2.43,2.36,2.4,1088
ok,2024-01-08 12:00:00,2.38,2.4,2.37,2.4,3629
ok,2024-01-08 12:30:00,2.4,2.48,2.4,2.48,3371
ok,2024-01-08 13:00:00,2.47,2.63,2.46,2.48,11387
ok,2024-01-08 13:30:00,2.52,2.54,2.5,2.53,2150
ok,2024-01-08 14:00:00,2.53,2.54,2.51,2.54,3922
ok,2024-01-08 14:30:00,2.5,2.54,2.5,2.53,5039
ok,2024-01-08 15:00:00,2.53,2.57,2.52,2.57,11062
ok,2024-01-08 15:30:00,2.57,2.62,2.54,2.62,4646
ok,2024-01-08 17:30:00,2.63,2.63,2.63,2.63,500
ok,2024-01-08 19:00:00,2.58,2.58,2.58,2.58,100
ok,2024-01-09 08:00:00,2.68,2.68,2.68,2.68,101
ok,2024-01-09 08:30:00,2.68,2.68,2.68,2.68,285
ok,2024-01-09 09:30:00,2.71,2.71,2.63,2.64,14872
ok,2024-01-09 10:00:00,2.69,2.83,2.68,2.73,39479
ok,2024-01-09 10:30:00,2.73,2.82,2.72,2.76,25120
ok,2024-01-09 11:00:00,2.74,2.77,2.74,2.76,2077
ok,2024-01-09 11:30:00,2.76,2.76,2.74,2.75,15671
ok,2024-01-09 12:00:00,2.74,2.77,2.74,2.76,4829
ok,2024-01-09 12:30:00,2.77,2.79,2.76,2.78,9700
ok,2024-01-09 13:00:00,2.79,2.83,2.78,2.78,15870
ok,2024-01-09 13:30:00,2.78,2.89,2.78,2.86,20047
ok,2024-01-09 14:00:00,2.88,3.11,2.88,3.0,28913
ok,2024-01-09 14:30:00,2.95,3.14,2.9,2.98,37013
ok,2024-01-09 15:00:00,3.01,3.01,2.88,2.98,7910
ok,2024-01-09 15:30:00,2.95,2.96,2.89,2.9,17903
ok,2024-01-09 17:00:00,2.9,2.98,2.9,2.98,700
ok,2024-01-09 18:30:00,2.98,2.98,2.98,2.98,350
ok,2024-01-10 09:00:00,2.9,2.9,2.9,2.9,260
ok,2024-01-10 09:30:00,3.09,3.11,2.29,2.86,107935
ok,2024-01-10 10:00:00,2.86,3.02,2.84,3.02,49164
ok,2024-01-10 10:30:00,3.01,3.07,2.51,2.87,44692
ok,2024-01-10 11:00:00,2.75,2.8,2.7,2.7,1672
ok,2024-01-10 11:30:00,2.66,2.7,2.6,2.7,4276
ok,2024-01-10 12:00:00,2.61,2.75,2.61,2.61,8879
ok,2024-01-10 12:30:00,2.75,2.86,2.66,2.86,701
ok,2024-01-10 13:00:00,2.85,2.85,2.68,2.68,754
ok,2024-01-10 13:30:00,2.79,2.79,2.6,2.62,13962
ok,2024-01-10 14:00:00,2.6,2.74,2.58,2.74,23421
ok,2024-01-10 14:30:00,2.72,2.72,2.53,2.53,10644
ok,2024-01-10 15:00:00,2.6,2.6,2.5,2.51,10855
ok,2024-01-10 15:30:00,2.51,2.81,2.51,2.74,23486
