s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,1.98,1.98,1.98,1.98,200
ok,2024-01-02 07:00:00,1.85,1.85,1.84,1.84,650
ok,2024-01-02 08:00:00,1.85,1.85,1.8,1.81,726
ok,2024-01-02 09:00:00,1.78,1.82,1.7,1.82,5531
ok,2024-01-02 09:30:00,1.87,1.92,1.8,1.86,53959
ok,2024-01-02 10:00:00,1.82,1.92,1.82,1.92,30568
ok,2024-01-02 10:30:00,1.92,2.01,1.9,1.98,50008
ok,2024-01-02 11:00:00,1.91,1.93,1.82,1.92,5045
ok,2024-01-02 11:30:00,1.89,1.9,1.89,1.9,945
ok,2024-01-02 12:00:00,1.9,1.92,1.9,1.9,6633
ok,2024-01-02 12:30:00,1.9,1.9,1.85,1.85,4327
ok,2024-01-02 13:00:00,1.84,1.87,1.84,1.87,2760
ok,2024-01-02 13:30:00,1.84,1.84,1.8,1.8,1966
ok,2024-01-02 14:00:00,1.8,1.81,1.76,1.76,3926
ok,2024-01-02 14:30:00,1.82,1.85,1.8,1.83,3796
ok,2024-01-02 15:00:00,1.77,1.77,1.77,1.77,4051
ok,2024-01-02 15:30:00,1.77,1.8,1.75,1.75,9601
ok,2024-01-02 16:00:00,1.85,1.85,1.77,1.77,350
ok,2024-01-02 18:30:00,1.8,1.8,1.8,1.8,550
ok,2024-01-02 19:30:00,1.78,1.78,1.78,1.78,1418
ok,2024-01-03 05:00:00,1.8,1.8,1.8,1.8,288
ok,2024-01-03 08:30:00,1.8,1.8,1.78,1.78,950
ok,2024-01-03 09:30:00,1.82,1.82,1.62,1.74,20628
ok,2024-01-03 10:00:00,1.76,1.78,1.74,1.74,2940
ok,2024-01-03 10:30:00,1.77,1.78,1.77,1.77,758
ok,2024-01-03 11:00:00,1.77,1.77,1.77,1.77,350
ok,2024-01-03 11:30:00,1.74,1.74,1.74,1.74,1305
ok,2024-01-03 12:00:00,1.74,1.75,1.74,1.75,9251
ok,2024-01-03 12:30:00,1.77,1.77,1.77,1.77,700
ok,2024-01-03 13:00:00,1.76,1.78,1.74,1.78,2471
ok,2024-01-03 13:30:00,1.75,1.76,1.75,1.76,800
ok,2024-01-03 14:00:00,1.75,1.83,1.75,1.83,1070
ok,2024-01-03 14:30:00,1.76,1.76,1.76,1.76,500
ok,2024-01-03 15:00:00,1.76,1.76,1.76,1.76,986
ok,2024-01-03 15:30:00,1.79,1.79,1.74,1.76,8992
ok,2024-01-04 07:00:00,1.75,1.75,1.75,1.75,315
ok,2024-01-04 08:00:00,1.74,1.74,1.7,1.7,1404
ok,2024-01-04 09:30:00,1.77,1.77,1.68,1.72,1495
ok,2024-01-04 10:00:00,1.72,1.72,1.72,1.72,1387
ok,2024-01-04 11:00:00,1.76,1.76,1.72,1.72,1665
ok,2024-01-04 11:30:00,1.72,1.74,1.72,1.73,328
ok,2024-01-04 12:00:00,1.74,1.75,1.74,1.74,514
ok,2024-01-04 12:30:00,1.73,1.75,1.73,1.75,4405
ok,2024-01-04 13:00:00,1.76,1.76,1.76,1.76,101
ok,2024-01-04 14:00:00,1.75,1.75,1.75,1.75,300
ok,2024-01-04 14:30:00,1.71,1.71,1.71,1.71,540
ok,2024-01-04 15:00:00,1.73,1.76,1.73,1.75,2713
ok,2024-01-04 15:30:00,1.71,1.76,1.71,1.76,2441
ok,2024-01-05 09:00:00,1.74,1.74,1.74,1.74,114
ok,2024-01-05 09:30:00,1.71,1.84,1.71,1.82,7636
