s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.2,0.2,0.2,0.2,900
ok,2024-01-02 04:30:00,0.2,0.2,0.2,0.2,1100
ok,2024-01-02 08:00:00,0.2,0.2,0.2,0.2,101
ok,2024-01-02 08:30:00,0.2,0.2,0.2,0.2,100
ok,2024-01-02 09:00:00,0.19,0.19,0.19,0.19,300
ok,2024-01-02 09:30:00,0.2,0.2,0.19,0.19,10841
ok,2024-01-02 10:00:00,0.19,0.2,0.19,0.2,26967
ok,2024-01-02 10:30:00,0.2,0.2,0.2,0.2,833
ok,2024-01-02 11:00:00,0.2,0.2,0.2,0.2,9788
ok,2024-01-02 12:00:00,0.2,0.2,0.2,0.2,305
ok,2024-01-02 12:30:00,0.2,0.2,0.2,0.2,830
ok,2024-01-02 13:00:00,0.2,0.2,0.2,0.2,100
ok,2024-01-02 13:30:00,0.2,0.2,0.2,0.2,255
ok,2024-01-02 14:00:00,0.2,0.2,0.2,0.2,3254
ok,2024-01-02 14:30:00,0.2,0.2,0.2,0.2,26888
ok,2024-01-02 15:30:00,0.2,0.21,0.2,0.21,3613
ok,2024-01-02 18:30:00,0.21,0.21,0.21,0.21,200
ok,2024-01-03 04:00:00,0.21,0.21,0.21,0.21,497
ok,2024-01-03 04:30:00,0.21,0.21,0.21,0.21,4479
ok,2024-01-03 05:00:00,0.21,0.21,0.21,0.21,2100
ok,2024-01-03 07:00:00,0.21,0.21,0.21,0.21,7899
ok,2024-01-03 08:00:00,0.19,0.19,0.19,0.19,351
ok,2024-01-03 09:30:00,0.21,0.21,0.2,0.2,3328
ok,2024-01-03 10:00:00,0.19,0.19,0.19,0.19,25377
ok,2024-01-03 10:30:00,0.19,0.19,0.19,0.19,18206
ok,2024-01-03 11:00:00,0.19,0.19,0.19,0.19,360
ok,2024-01-03 11:30:00,0.19,0.19,0.19,0.19,228
ok,2024-01-03 12:00:00,0.19,0.19,0.19,0.19,2770
ok,2024-01-03 12:30:00,0.19,0.19,0.19,0.19,7573
ok,2024-01-03 13:00:00,0.19,0.19,0.19,0.19,667
ok,2024-01-03 13:30:00,0.19,0.19,0.19,0.19,4800
ok,2024-01-03 14:00:00,0.19,0.19,0.19,0.19,200
ok,2024-01-03 14:30:00,0.19,0.2,0.19,0.19,1600
ok,2024-01-03 15:00:00,0.19,0.2,0.19,0.2,200
ok,2024-01-03 15:30:00,0.2,0.2,0.2,0.2,8186
ok,2024-01-03 16:00:00,0.19,0.19,0.19,0.19,2606
ok,2024-01-03 17:30:00,0.19,0.19,0.19,0.19,12413
ok,2024-01-04 08:30:00,0.2,0.2,0.2,0.2,498
ok,2024-01-04 09:00:00,0.19,0.19,0.19,0.19,100
ok,2024-01-04 09:30:00,0.19,0.19,0.19,0.19,40463
ok,2024-01-04 10:00:00,0.19,0.2,0.19,0.2,26207
ok,2024-01-04 10:30:00,0.19,0.19,0.19,0.19,3553
ok,2024-01-04 11:00:00,0.19,0.19,0.19,0.19,3723
ok,2024-01-04 11:30:00,0.19,0.19,0.19,0.19,35071
ok,2024-01-04 12:00:00,0.19,0.19,0.19,0.19,523
ok,2024-01-04 12:30:00,0.19,0.19,0.19,0.19,6901
ok,2024-01-04 13:30:00,0.19,0.19,0.19,0.19,2131
