s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.4,0.4,0.39,0.4,13967
ok,2024-01-02 10:00:00,0.41,0.41,0.41,0.41,315
ok,2024-01-02 10:30:00,0.41,0.41,0.4,0.41,10062
ok,2024-01-02 11:00:00,0.42,0.43,0.42,0.42,12284
ok,2024-01-02 11:30:00,0.42,0.42,0.42,0.42,230
ok,2024-01-02 12:00:00,0.41,0.41,0.41,0.41,378
ok,2024-01-02 13:00:00,0.42,0.42,0.42,0.42,465
ok,2024-01-02 13:30:00,0.42,0.42,0.41,0.41,23575
ok,2024-01-02 14:00:00,0.41,0.41,0.41,0.41,1211
ok,2024-01-02 14:30:00,0.41,0.43,0.41,0.43,60087
ok,2024-01-02 15:00:00,0.43,0.43,0.43,0.43,7075
ok,2024-01-02 15:30:00,0.43,0.43,0.4,0.42,15675
ok,2024-01-02 16:00:00,0.42,0.42,0.42,0.42,232
ok,2024-01-03 08:00:00,0.42,0.42,0.41,0.41,350
ok,2024-01-03 09:30:00,0.4,0.41,0.4,0.4,11268
ok,2024-01-03 10:00:00,0.4,0.4,0.4,0.4,10213
ok,2024-01-03 10:30:00,0.4,0.4,0.4,0.4,1215
ok,2024-01-03 11:00:00,0.4,0.4,0.4,0.4,123
ok,2024-01-03 11:30:00,0.4,0.4,0.4,0.4,19620
ok,2024-01-03 12:30:00,0.39,0.39,0.39,0.39,5522
ok,2024-01-03 13:00:00,0.39,0.4,0.39,0.4,25807
ok,2024-01-03 13:30:00,0.4,0.4,0.4,0.4,115
ok,2024-01-03 15:30:00,0.39,0.4,0.38,0.4,1071
ok,2024-01-03 16:30:00,0.38,0.38,0.38,0.38,388
ok,2024-01-03 17:30:00,0.39,0.39,0.39,0.39,231
ok,2024-01-04 09:30:00,0.39,0.4,0.39,0.4,603
ok,2024-01-04 10:00:00,0.38,0.38,0.38,0.38,660
ok,2024-01-04 10:30:00,0.38,0.38,0.38,0.38,4091
ok,2024-01-04 11:00:00,0.38,0.38,0.38,0.38,200
ok,2024-01-04 11:30:00,0.4,0.4,0.38,0.38,8109
ok,2024-01-04 12:00:00,0.4,0.4,0.4,0.4,295
ok,2024-01-04 12:30:00,0.38,0.39,0.38,0.39,1433
ok,2024-01-04 13:30:00,0.4,0.43,0.38,0.38,11921
ok,2024-01-04 15:30:00,0.43,0.43,0.38,0.39,12793
ok,2024-01-04 17:00:00,0.4,0.4,0.4,0.4,498
ok,2024-01-05 07:00:00,0.38,0.38,0.38,0.38,163
ok,2024-01-05 09:30:00,0.38,0.41,0.38,0.4,5123
ok,2024-01-05 10:00:00,0.4,0.4,0.4,0.4,100
ok,2024-01-05 10:30:00,0.4,0.4,0.4,0.4,562
ok,2024-01-05 11:00:00,0.4,0.4,0.4,0.4,503
ok,2024-01-05 12:00:00,0.4,0.4,0.4,0.4,2273
ok,2024-01-05 12:30:00,0.4,0.4,0.4,0.4,2048
ok,2024-01-05 13:30:00,0.41,0.43,0.4,0.42,10217
ok,2024-01-05 14:00:00,0.42,0.43,0.42,0.43,5515
ok,2024-01-05 14:30:00,0.43,0.43,0.42,0.43,2350
ok,2024-01-05 15:00:00,0.43,0.44,0.43,0.44,2410
ok,2024-01-05 15:30:00,0.42,0.43,0.42,0.42,6264
ok,2024-01-08 09:00:00,0.42,0.42,0.42,0.42,563
ok,2024-01-08 09:30:00,0.41,0.42,0.41,0.41,2838
ok,2024-01-08 10:00:00,0.4,0.45,0.4,0.45,9206
ok,2024-01-08 10:30:00,0.45,0.45,0.4,0.41,26605
ok,2024-01-08 11:00:00,0.42,0.43,0.42,0.42,6100
ok,2024-01-08 12:30:00,0.42,0.42,0.42,0.42,130
ok,2024-01-08 13:00:00,0.4,0.43,0.31,0.32,111408
ok,2024-01-08 13:30:00,0.34,0.37,0.34,0.36,9516
ok,2024-01-08 14:00:00,0.35,0.39,0.35,0.38,18269
ok,2024-01-08 14:30:00,0.37,0.38,0.36,0.36,508
ok,2024-01-08 15:00:00,0.36,0.38,0.36,0.38,2984
ok,2024-01-08 15:30:00,0.37,0.38,0.37,0.38,11922
ok,2024-01-08 16:00:00,0.39,0.39,0.39,0.39,200
ok,2024-01-08 16:30:00,0.37,0.37,0.37,0.37,150
ok,2024-01-08 18:30:00,0.38,0.38,0.38,0.38,400
ok,2024-01-08 19:00:00,0.38,0.38,0.38,0.38,546
ok,2024-01-09 07:00:00,0.39,0.4,0.39,0.4,473
ok,2024-01-09 08:00:00,0.42,0.42,0.42,0.42,1628
ok,2024-01-09 09:30:00,0.38,0.39,0.38,0.39,5264
ok,2024-01-09 10:00:00,0.39,0.39,0.39,0.39,2400
ok,2024-01-09 10:30:00,0.39,0.4,0.38,0.4,2600
ok,2024-01-09 11:00:00,0.4,0.4,0.4,0.4,5593
ok,2024-01-09 11:30:00,0.39,0.39,0.39,0.39,200
ok,2024-01-09 13:00:00,0.39,0.4,0.39,0.4,836
ok,2024-01-09 13:30:00,0.38,0.39,0.38,0.39,240
ok,2024-01-09 14:00:00,0.38,0.39,0.38,0.39,1102
ok,2024-01-09 14:30:00,0.39,0.39,0.39,0.39,2134
ok,2024-01-09 15:00:00,0.39,0.39,0.39,0.39,574
ok,2024-01-09 15:30:00,0.39,0.39,0.39,0.39,2729
ok,2024-01-09 16:30:00,0.37,0.37,0.37,0.37,500
ok,2024-01-10 09:30:00,0.38,0.38,0.38,0.38,405
ok,2024-01-10 10:00:00,0.38,0.4,0.38,0.4,9271
ok,2024-01-10 10:30:00,0.39,0.39,0.39,0.39,126
ok,2024-01-10 11:00:00,0.38,0.38,0.38,0.38,130
ok,2024-01-10 12:00:00,0.38,0.38,0.38,0.38,615
ok,2024-01-10 12:30:00,0.38,0.39,0.37,0.39,3774
ok,2024-01-10 14:00:00,0.39,0.39,0.39,0.39,100
ok,2024-01-10 15:30:00,0.36,0.39,0.36,0.38,727
ok,2024-01-11 09:30:00,0.38,0.38,0.38,0.38,150
ok,2024-01-11 10:30:00,0.38,0.38,0.38,0.38,100
ok,2024-01-11 11:30:00,0.38,0.38,0.38,0.38,200
ok,2024-01-11 13:00:00,0.38,0.4,0.38,0.4,2644
ok,2024-01-11 14:00:00,0.39,0.39,0.39,0.39,117
ok,2024-01-11 15:30:00,0.39,0.41,0.39,0.41,650
ok,2024-01-11 17:30:00,0.4,0.4,0.4,0.4,1100
ok,2024-01-11 19:30:00,0.38,0.39,0.38,0.39,410
ok,2024-01-12 08:00:00,0.4,0.4,0.4,0.4,725
ok,2024-01-12 09:30:00,0.4,0.4,0.4,0.4,710
ok,2024-01-12 10:00:00,0.39,0.41,0.39,0.41,8913
ok,2024-01-12 10:30:00,0.39,0.41,0.39,0.41,1180
