s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.7,0.7,0.7,0.7,144
ok,2024-01-02 07:00:00,0.69,0.69,0.67,0.67,410
ok,2024-01-02 09:30:00,0.71,0.71,0.67,0.67,564
ok,2024-01-02 10:00:00,0.65,0.65,0.6,0.61,900
ok,2024-01-02 11:00:00,0.64,0.64,0.61,0.61,1030
ok,2024-01-02 14:00:00,0.61,0.62,0.61,0.62,483
ok,2024-01-03 09:30:00,0.59,0.59,0.59,0.59,279
ok,2024-01-03 10:00:00,0.65,0.65,0.63,0.63,938
ok,2024-01-03 10:30:00,0.65,0.65,0.65,0.65,247
ok,2024-01-03 11:30:00,0.62,0.62,0.62,0.62,2000
ok,2024-01-04 09:30:00,0.65,0.65,0.65,0.65,390
ok,2024-01-04 13:00:00,0.68,0.68,0.68,0.68,300
ok,2024-01-04 14:00:00,0.68,0.68,0.68,0.68,300
ok,2024-01-04 15:30:00,0.65,0.65,0.65,0.65,908
ok,2024-01-05 12:30:00,0.65,0.65,0.65,0.65,500
ok,2024-01-05 14:00:00,0.63,0.64,0.63,0.64,648
ok,2024-01-05 15:00:00,0.64,0.64,0.64,0.64,1200
ok,2024-01-08 09:30:00,0.64,0.64,0.64,0.64,811
ok,2024-01-08 10:00:00,0.56,0.56,0.56,0.56,299
ok,2024-01-08 11:00:00,0.61,0.61,0.61,0.61,120
ok,2024-01-08 12:00:00,0.61,0.61,0.61,0.61,100
ok,2024-01-08 12:30:00,0.6,0.61,0.6,0.6,1000
ok,2024-01-10 12:30:00,0.7,0.7,0.7,0.7,100
ok,2024-01-10 13:00:00,0.63,0.63,0.63,0.63,2950
ok,2024-01-10 14:00:00,0.66,0.66,0.66,0.66,194
ok,2024-01-10 15:00:00,0.63,0.63,0.63,0.63,118
ok,2024-01-11 09:30:00,0.6,0.6,0.6,0.6,100
ok,2024-01-12 09:00:00,0.6,0.6,0.6,0.6,550
ok,2024-01-12 09:30:00,0.7,0.7,0.7,0.7,1417
ok,2024-01-12 10:00:00,0.61,0.61,0.61,0.61,200
ok,2024-01-12 10:30:00,0.61,0.61,0.61,0.61,133
ok,2024-01-12 11:00:00,0.61,0.61,0.61,0.61,100
ok,2024-01-12 14:00:00,0.65,0.65,0.61,0.61,475
ok,2024-01-12 15:00:00,0.61,0.61,0.61,0.61,100
ok,2024-01-16 09:30:00,0.69,0.69,0.64,0.64,380
ok,2024-01-16 10:30:00,0.6,0.6,0.6,0.6,100
ok,2024-01-17 10:00:00,0.6,0.6,0.6,0.6,696
ok,2024-01-17 11:30:00,0.6,0.6,0.6,0.6,400
ok,2024-01-17 12:30:00,0.6,0.6,0.6,0.6,100
ok,2024-01-19 09:30:00,0.57,0.57,0.57,0.57,110
ok,2024-01-19 12:00:00,0.6,0.6,0.6,0.6,200
ok,2024-01-19 13:00:00,0.61,0.61,0.61,0.61,200
ok,2024-01-19 13:30:00,0.61,0.61,0.61,0.61,200
ok,2024-01-22 07:30:00,0.56,0.56,0.56,0.56,240
ok,2024-01-22 10:00:00,0.65,0.65,0.6,0.6,873
ok,2024-01-22 10:30:00,0.56,0.57,0.56,0.57,1717
ok,2024-01-22 11:00:00,0.57,0.57,0.57,0.57,185
ok,2024-01-22 13:00:00,0.56,0.56,0.55,0.55,4062
ok,2024-01-22 13:30:00,0.54,0.55,0.54,0.54,500
ok,2024-01-22 15:30:00,0.54,0.54,0.54,0.54,237
ok,2024-01-23 09:30:00,0.47,0.47,0.47,0.47,159
ok,2024-01-23 11:00:00,0.56,0.56,0.56,0.56,158
ok,2024-01-23 11:30:00,0.55,0.55,0.55,0.55,373
ok,2024-01-23 12:00:00,0.55,0.55,0.55,0.55,150
ok,2024-01-23 12:30:00,0.62,0.62,0.62,0.62,250
ok,2024-01-23 14:30:00,0.62,0.62,0.62,0.62,100
ok,2024-01-24 12:00:00,0.61,0.61,0.61,0.61,10000
ok,2024-01-24 13:00:00,0.59,0.59,0.59,0.59,350
ok,2024-01-24 14:00:00,0.58,0.58,0.58,0.58,245
ok,2024-01-25 09:30:00,0.66,0.67,0.66,0.67,1006
ok,2024-01-25 10:00:00,0.62,0.62,0.6,0.62,4300
ok,2024-01-25 10:30:00,0.6,0.6,0.6,0.6,124
ok,2024-01-25 12:30:00,0.58,0.58,0.58,0.58,1600
ok,2024-01-25 13:00:00,0.58,0.58,0.58,0.58,100
ok,2024-01-25 15:30:00,0.58,0.62,0.58,0.59,3200
ok,2024-01-26 11:00:00,0.59,0.59,0.59,0.59,219
ok,2024-01-26 11:30:00,0.59,0.59,0.5,0.57,12533
ok,2024-01-26 13:30:00,0.6,0.6,0.6,0.6,1011
ok,2024-01-26 14:00:00,0.6,0.6,0.6,0.6,200
ok,2024-01-29 11:00:00,0.51,0.6,0.51,0.59,6558
ok,2024-01-29 11:30:00,0.6,0.6,0.59,0.59,200
ok,2024-01-29 12:00:00,0.57,0.57,0.57,0.57,100
ok,2024-01-29 13:00:00,0.56,0.56,0.56,0.56,200
ok,2024-01-30 09:30:00,0.59,0.59,0.59,0.59,105
ok,2024-01-30 11:30:00,0.51,0.53,0.5,0.5,6172
ok,2024-01-30 12:00:00,0.51,0.51,0.5,0.5,5215
ok,2024-01-30 13:00:00,0.5,0.5,0.5,0.5,200
ok,2024-01-30 13:30:00,0.5,0.5,0.5,0.5,1300
ok,2024-01-30 14:00:00,0.5,0.5,0.5,0.5,4379
ok,2024-01-30 14:30:00,0.5,0.5,0.5,0.5,6567
ok,2024-01-30 15:00:00,0.5,0.5,0.5,0.5,800
ok,2024-01-30 15:30:00,0.5,0.5,0.5,0.5,100
ok,2024-01-31 14:30:00,0.55,0.55,0.55,0.55,200
ok,2024-01-31 16:00:00,0.54,0.54,0.54,0.54,200
ok,2024-02-01 09:30:00,0.54,0.54,0.54,0.54,703
ok,2024-02-01 18:30:00,0.54,0.54,0.54,0.54,100
ok,2024-02-02 09:30:00,0.53,0.53,0.53,0.53,750
ok,2024-02-02 10:00:00,0.53,0.53,0.53,0.53,300
ok,2024-02-02 13:00:00,0.5,0.5,0.5,0.5,200
ok,2024-02-02 13:30:00,0.5,0.5,0.5,0.5,1998
ok,2024-02-02 15:00:00,0.52,0.53,0.5,0.5,7221
ok,2024-02-05 09:00:00,0.5,0.5,0.5,0.5,2100
ok,2024-02-05 09:30:00,0.57,0.57,0.5,0.55,6835
ok,2024-02-05 10:00:00,0.5,0.5,0.49,0.49,5016
ok,2024-02-05 11:00:00,0.48,0.48,0.48,0.48,300
ok,2024-02-05 11:30:00,0.48,0.48,0.48,0.48,1050
ok,2024-02-05 13:00:00,0.48,0.48,0.48,0.48,100
ok,2024-02-05 14:00:00,0.48,0.48,0.48,0.48,100
ok,2024-02-05 15:30:00,0.48,0.48,0.48,0.48,600
ok,2024-02-06 09:30:00,0.57,0.57,0.56,0.56,1488
ok,2024-02-06 10:00:00,0.52,0.52,0.52,0.52,416
ok,2024-02-06 11:00:00,0.55,0.55,0.55,0.55,127
ok,2024-02-06 11:30:00,0.55,0.56,0.55,0.56,3544
ok,2024-02-06 12:00:00,0.53,0.56,0.53,0.56,288
ok,2024-02-06 14:00:00,0.55,0.55,0.5,0.5,983
ok,2024-02-06 14:30:00,0.5,0.5,0.5,0.5,300
ok,2024-02-06 15:00:00,0.5,0.5,0.5,0.5,100
ok,2024-02-06 15:30:00,0.52,0.52,0.5,0.5,743
