s,t,o,h,l,c,v
ok,2024-03-15 08:00:00,19.4,19.4,19.4,19.4,214
ok,2024-03-15 08:30:00,16.65,16.65,12.25,13.6,2375
ok,2024-03-15 09:00:00,14.86,14.86,14.86,14.86,214
ok,2024-03-15 09:30:00,15.29,15.5,15.0,15.0,969
ok,2024-03-15 10:00:00,15.17,15.5,15.11,15.5,750
ok,2024-03-15 10:30:00,15.7,16.78,15.54,16.78,795
ok,2024-03-15 11:30:00,17.0,17.0,17.0,17.0,199
ok,2024-03-15 12:00:00,15.32,15.5,11.16,11.16,6799
ok,2024-03-15 12:30:00,10.84,11.67,10.84,11.6,1745
ok,2024-03-15 13:00:00,11.67,11.8,11.01,11.22,5003
ok,2024-03-15 13:30:00,11.55,11.55,11.4,11.4,548
ok,2024-03-15 14:00:00,11.95,12.0,11.95,11.95,506
ok,2024-03-15 14:30:00,11.86,12.08,11.86,12.0,856
ok,2024-03-15 15:00:00,11.25,11.25,11.05,11.05,552
ok,2024-03-18 08:30:00,12.4,13.35,11.8,12.0,10037
ok,2024-03-18 09:00:00,10.84,10.84,9.5,9.5,3693
ok,2024-03-18 09:30:00,9.02,9.61,8.4,9.15,6596
ok,2024-03-18 10:00:00,9.32,9.8,9.25,9.8,2666
ok,2024-03-18 10:30:00,10.3,11.0,9.81,11.0,2861
ok,2024-03-18 11:00:00,10.5,10.84,10.5,10.84,598
ok,2024-03-18 11:30:00,10.92,12.0,10.5,11.81,11205
ok,2024-03-18 12:00:00,11.56,11.56,11.19,11.19,829
ok,2024-03-18 12:30:00,10.25,10.25,10.25,10.25,137
ok,2024-03-18 13:30:00,11.17,11.17,11.17,11.17,205
ok,2024-03-18 14:00:00,10.15,11.6,10.0,11.5,10141
ok,2024-03-18 14:30:00,11.36,11.5,10.9,11.06,6370
ok,2024-03-19 07:30:00,10.83,10.83,10.83,10.83,222
ok,2024-03-19 08:30:00,10.6,10.6,10.11,10.11,571
ok,2024-03-19 09:00:00,10.4,10.4,10.15,10.15,326
ok,2024-03-19 09:30:00,10.1,10.1,10.0,10.04,638
ok,2024-03-19 10:00:00,10.1,10.1,10.1,10.1,102
ok,2024-03-19 10:30:00,10.05,10.05,10.0,10.0,2400
ok,2024-03-19 11:30:00,10.02,10.02,10.02,10.02,100
