s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.43,0.44,0.43,0.44,258
ok,2024-01-02 07:00:00,0.43,0.43,0.43,0.43,750
ok,2024-01-02 08:00:00,0.45,0.45,0.45,0.45,282
ok,2024-01-02 09:30:00,0.43,0.44,0.43,0.44,906
ok,2024-01-02 10:00:00,0.44,0.44,0.44,0.44,100
ok,2024-01-02 10:30:00,0.43,0.43,0.43,0.43,300
ok,2024-01-02 11:00:00,0.45,0.45,0.45,0.45,100
ok,2024-01-02 11:30:00,0.44,0.45,0.43,0.43,5289
ok,2024-01-02 12:00:00,0.46,0.46,0.46,0.46,1000
ok,2024-01-02 12:30:00,0.45,0.45,0.44,0.44,2128
ok,2024-01-02 13:30:00,0.43,0.44,0.43,0.44,14700
ok,2024-01-02 15:00:00,0.43,0.45,0.43,0.45,1200
ok,2024-01-02 15:30:00,0.43,0.43,0.43,0.43,227
ok,2024-01-02 19:00:00,0.45,0.45,0.45,0.45,100
ok,2024-01-02 19:30:00,0.43,0.43,0.43,0.43,250
ok,2024-01-03 09:00:00,0.43,0.43,0.43,0.43,4939
ok,2024-01-03 09:30:00,0.43,0.43,0.43,0.43,105
ok,2024-01-03 10:00:00,0.43,0.43,0.43,0.43,6550
ok,2024-01-03 11:30:00,0.43,0.43,0.42,0.42,610
ok,2024-01-03 12:00:00,0.44,0.44,0.44,0.44,10000
ok,2024-01-03 12:30:00,0.43,0.46,0.43,0.45,17433
ok,2024-01-03 13:00:00,0.45,0.46,0.44,0.45,13651
ok,2024-01-03 13:30:00,0.45,0.49,0.45,0.47,115087
ok,2024-01-03 14:00:00,0.49,0.49,0.47,0.47,8657
ok,2024-01-03 14:30:00,0.48,0.5,0.47,0.5,38831
ok,2024-01-03 15:00:00,0.5,0.5,0.48,0.48,15587
ok,2024-01-03 15:30:00,0.48,0.5,0.48,0.49,17203
ok,2024-01-03 16:00:00,0.49,0.49,0.47,0.47,259
ok,2024-01-03 16:30:00,0.46,0.46,0.46,0.46,1100
ok,2024-01-03 17:00:00,0.48,0.48,0.48,0.48,1000
ok,2024-01-04 07:00:00,0.48,0.48,0.48,0.48,200
ok,2024-01-04 07:30:00,0.48,0.48,0.48,0.48,198
ok,2024-01-04 08:00:00,0.47,0.48,0.47,0.48,645
