s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,0.48,0.48,0.48,0.48,200
ok,2024-01-02 09:00:00,0.45,0.45,0.44,0.45,6886
ok,2024-01-02 10:00:00,0.49,0.49,0.49,0.49,217
ok,2024-01-02 12:30:00,0.48,0.48,0.48,0.48,971
ok,2024-01-02 13:00:00,0.49,0.49,0.49,0.49,338
ok,2024-01-02 13:30:00,0.49,0.49,0.49,0.49,328
ok,2024-01-02 14:00:00,0.49,0.49,0.49,0.49,300
ok,2024-01-02 14:30:00,0.49,0.49,0.49,0.49,2777
ok,2024-01-02 15:00:00,0.49,0.49,0.48,0.48,11223
ok,2024-01-02 15:30:00,0.48,0.48,0.48,0.48,2491
ok,2024-01-02 17:30:00,0.5,0.5,0.5,0.5,500
ok,2024-01-02 19:30:00,0.5,0.52,0.47,0.47,1656
ok,2024-01-03 08:30:00,0.47,0.47,0.47,0.47,487
ok,2024-01-03 10:30:00,0.48,0.49,0.48,0.49,741
ok,2024-01-03 11:00:00,0.48,0.48,0.48,0.48,2000
ok,2024-01-03 11:30:00,0.49,0.49,0.48,0.48,1485
ok,2024-01-03 12:00:00,0.48,0.48,0.48,0.48,1000
ok,2024-01-03 13:00:00,0.47,0.47,0.46,0.46,2246
ok,2024-01-03 13:30:00,0.48,0.48,0.48,0.48,1200
ok,2024-01-03 14:30:00,0.48,0.48,0.48,0.48,100
ok,2024-01-03 19:00:00,0.5,0.5,0.5,0.5,994
ok,2024-01-04 08:00:00,0.48,0.48,0.48,0.48,100
ok,2024-01-04 09:00:00,0.48,0.48,0.48,0.48,140
ok,2024-01-04 09:30:00,0.48,0.48,0.47,0.47,437
ok,2024-01-04 10:30:00,0.46,0.46,0.45,0.45,4213
ok,2024-01-04 12:30:00,0.48,0.48,0.47,0.47,8194
ok,2024-01-04 13:30:00,0.48,0.48,0.48,0.48,2100
ok,2024-01-04 15:00:00,0.48,0.48,0.48,0.48,209
ok,2024-01-04 15:30:00,0.48,0.48,0.46,0.47,1726
ok,2024-01-04 17:30:00,0.46,0.46,0.46,0.46,347
ok,2024-01-04 18:00:00,0.46,0.46,0.46,0.46,298
ok,2024-01-05 07:00:00,0.48,0.48,0.48,0.48,100
ok,2024-01-05 09:30:00,0.47,0.48,0.47,0.48,450
ok,2024-01-05 10:00:00,0.46,0.46,0.46,0.46,1210
ok,2024-01-05 10:30:00,0.46,0.46,0.45,0.46,312
ok,2024-01-05 11:00:00,0.45,0.45,0.45,0.45,1000
ok,2024-01-05 11:30:00,0.45,0.45,0.45,0.45,1805
ok,2024-01-05 12:00:00,0.46,0.46,0.46,0.46,676
ok,2024-01-05 12:30:00,0.46,0.46,0.45,0.45,8081
ok,2024-01-05 13:00:00,0.47,0.47,0.47,0.47,2592
ok,2024-01-05 15:30:00,0.46,0.46,0.46,0.46,249
ok,2024-01-08 09:30:00,0.44,0.44,0.44,0.44,222
ok,2024-01-08 10:00:00,0.44,0.44,0.44,0.44,2370
ok,2024-01-08 10:30:00,0.44,0.44,0.44,0.44,1306
ok,2024-01-08 11:00:00,0.44,0.44,0.44,0.44,1313
ok,2024-01-08 11:30:00,0.43,0.43,0.43,0.43,367
ok,2024-01-08 12:00:00,0.43,0.43,0.43,0.43,1503
ok,2024-01-08 12:30:00,0.43,0.43,0.4,0.4,10610
ok,2024-01-08 13:00:00,0.4,0.42,0.39,0.42,16171
