s,t,o,h,l,c,v
ok,2024-01-02 09:00:00,0.51,0.51,0.51,0.51,502
ok,2024-01-02 09:30:00,0.46,0.48,0.46,0.47,1677
ok,2024-01-02 10:00:00,0.46,0.46,0.46,0.46,100
ok,2024-01-02 12:30:00,0.48,0.48,0.48,0.48,400
ok,2024-01-02 13:30:00,0.47,0.48,0.47,0.48,431
ok,2024-01-02 14:00:00,0.49,0.49,0.46,0.48,2150
ok,2024-01-02 15:30:00,0.49,0.49,0.47,0.47,700
ok,2024-01-03 09:00:00,0.48,0.48,0.48,0.48,155
ok,2024-01-03 09:30:00,0.45,0.47,0.45,0.47,600
ok,2024-01-03 12:00:00,0.48,0.48,0.48,0.48,112
ok,2024-01-03 12:30:00,0.43,0.43,0.43,0.43,416
ok,2024-01-03 13:30:00,0.48,0.48,0.46,0.46,270
ok,2024-01-03 16:30:00,0.48,0.48,0.48,0.48,113
ok,2024-01-04 07:30:00,0.45,0.45,0.45,0.45,100
ok,2024-01-04 09:30:00,0.48,0.48,0.48,0.48,217
ok,2024-01-04 10:00:00,0.47,0.47,0.45,0.45,562
ok,2024-01-04 10:30:00,0.45,0.45,0.45,0.45,485
ok,2024-01-04 11:00:00,0.47,0.47,0.47,0.47,1000
ok,2024-01-04 12:00:00,0.48,0.48,0.45,0.45,4460
ok,2024-01-04 12:30:00,0.45,0.45,0.45,0.45,147
ok,2024-01-04 13:00:00,0.45,0.45,0.45,0.45,2697
ok,2024-01-04 13:30:00,0.45,0.45,0.45,0.45,200
ok,2024-01-04 14:00:00,0.45,0.45,0.45,0.45,950
ok,2024-01-04 14:30:00,0.45,0.45,0.45,0.45,2300
ok,2024-01-04 15:30:00,0.45,0.45,0.45,0.45,1263
ok,2024-01-05 10:00:00,0.44,0.44,0.44,0.44,250
ok,2024-01-05 10:30:00,0.44,0.45,0.44,0.45,703
ok,2024-01-05 11:00:00,0.44,0.44,0.44,0.44,300
ok,2024-01-05 12:00:00,0.44,0.44,0.44,0.44,155
ok,2024-01-05 13:30:00,0.44,0.44,0.44,0.44,100
ok,2024-01-05 15:00:00,0.44,0.45,0.43,0.44,1374
ok,2024-01-05 15:30:00,0.44,0.45,0.44,0.45,444
ok,2024-01-05 16:30:00,0.47,0.47,0.47,0.47,469
ok,2024-01-08 09:30:00,0.43,0.47,0.43,0.47,1009
ok,2024-01-08 10:00:00,0.45,0.45,0.45,0.45,2222
ok,2024-01-08 10:30:00,0.47,0.47,0.47,0.47,300
ok,2024-01-08 11:00:00,0.47,0.47,0.46,0.46,1198
ok,2024-01-08 12:30:00,0.46,0.46,0.46,0.46,500
ok,2024-01-08 13:00:00,0.46,0.46,0.45,0.45,750
ok,2024-01-08 13:30:00,0.46,0.46,0.45,0.45,618
ok,2024-01-08 14:00:00,0.45,0.45,0.44,0.44,321
ok,2024-01-08 14:30:00,0.45,0.46,0.45,0.46,200
ok,2024-01-08 15:30:00,0.46,0.46,0.44,0.44,455
ok,2024-01-09 09:30:00,0.44,0.48,0.43,0.43,7027
ok,2024-01-09 10:00:00,0.48,0.48,0.48,0.48,100
ok,2024-01-09 11:00:00,0.46,0.46,0.46,0.46,100
ok,2024-01-09 12:00:00,0.44,0.45,0.44,0.45,696
ok,2024-01-09 13:30:00,0.45,0.45,0.45,0.45,101
ok,2024-01-09 14:00:00,0.44,0.44,0.43,0.43,371
ok,2024-01-09 15:00:00,0.45,0.45,0.45,0.45,100
ok,2024-01-10 08:00:00,0.47,0.47,0.47,0.47,105
ok,2024-01-10 09:30:00,0.45,0.45,0.42,0.45,2601
ok,2024-01-10 10:00:00,0.43,0.43,0.43,0.43,650
ok,2024-01-10 10:30:00,0.43,0.43,0.43,0.43,300
ok,2024-01-10 11:30:00,0.43,0.43,0.43,0.43,100
ok,2024-01-10 15:00:00,0.46,0.46,0.46,0.46,100
ok,2024-01-10 15:30:00,0.44,0.45,0.44,0.45,506
ok,2024-01-11 09:30:00,0.43,0.43,0.43,0.43,1000
ok,2024-01-11 10:30:00,0.47,0.48,0.45,0.47,1401
ok,2024-01-11 11:30:00,0.46,0.46,0.46,0.46,100
ok,2024-01-11 12:30:00,0.46,0.47,0.44,0.44,600
ok,2024-01-11 13:00:00,0.46,0.46,0.46,0.46,116
ok,2024-01-11 14:00:00,0.44,0.46,0.44,0.46,2488
ok,2024-01-11 15:00:00,0.44,0.45,0.44,0.45,366
ok,2024-01-12 09:00:00,0.45,0.45,0.45,0.45,100
ok,2024-01-12 09:30:00,0.46,0.46,0.46,0.46,400
ok,2024-01-12 10:00:00,0.44,0.45,0.44,0.45,900
ok,2024-01-12 11:00:00,0.45,0.45,0.45,0.45,950
ok,2024-01-12 12:00:00,0.43,0.43,0.43,0.43,672
ok,2024-01-12 12:30:00,0.43,0.43,0.43,0.43,870
ok,2024-01-12 13:00:00,0.44,0.45,0.44,0.45,200
ok,2024-01-12 13:30:00,0.42,0.42,0.42,0.42,100
ok,2024-01-12 14:30:00,0.44,0.44,0.44,0.44,300
ok,2024-01-12 15:00:00,0.44,0.44,0.44,0.44,601
ok,2024-01-12 15:30:00,0.46,0.46,0.44,0.44,415
ok,2024-01-16 09:30:00,0.43,0.44,0.42,0.42,954
ok,2024-01-16 10:00:00,0.44,0.44,0.44,0.44,225
ok,2024-01-16 11:30:00,0.42,0.42,0.42,0.42,408
ok,2024-01-16 12:00:00,0.44,0.44,0.44,0.44,100
ok,2024-01-16 12:30:00,0.43,0.44,0.43,0.43,1672
ok,2024-01-16 14:00:00,0.42,0.42,0.42,0.42,303
ok,2024-01-16 15:00:00,0.42,0.42,0.42,0.42,204
ok,2024-01-16 15:30:00,0.42,0.42,0.42,0.42,2814
ok,2024-01-17 09:30:00,0.42,0.42,0.4,0.42,1728
ok,2024-01-17 10:00:00,0.41,0.41,0.4,0.4,1500
ok,2024-01-17 10:30:00,0.43,0.43,0.43,0.43,100
ok,2024-01-17 11:00:00,0.42,0.42,0.4,0.4,6766
ok,2024-01-17 12:00:00,0.42,0.42,0.4,0.41,701
ok,2024-01-17 12:30:00,0.4,0.42,0.4,0.42,500
ok,2024-01-17 13:00:00,0.41,0.41,0.41,0.41,109
ok,2024-01-17 13:30:00,0.42,0.42,0.42,0.42,100
ok,2024-01-17 15:30:00,0.4,0.42,0.4,0.42,768
ok,2024-01-18 08:30:00,0.4,0.4,0.4,0.4,100
ok,2024-01-18 09:00:00,0.4,0.4,0.4,0.4,727
ok,2024-01-18 09:30:00,0.39,0.42,0.39,0.41,4159
ok,2024-01-18 10:00:00,0.41,0.41,0.41,0.41,100
ok,2024-01-18 11:00:00,0.4,0.4,0.4,0.4,150
ok,2024-01-18 11:30:00,0.42,0.42,0.42,0.42,128
ok,2024-01-18 12:00:00,0.41,0.41,0.41,0.41,900
ok,2024-01-18 12:30:00,0.41,0.41,0.4,0.4,201
ok,2024-01-18 13:30:00,0.42,0.42,0.42,0.42,100
ok,2024-01-18 14:00:00,0.4,0.4,0.4,0.4,179
ok,2024-01-18 14:30:00,0.4,0.42,0.4,0.42,812
ok,2024-01-18 15:00:00,0.4,0.4,0.4,0.4,252
ok,2024-01-18 15:30:00,0.4,0.4,0.4,0.4,466
ok,2024-01-19 09:00:00,0.42,0.42,0.4,0.4,300
ok,2024-01-19 09:30:00,0.42,0.42,0.4,0.4,865
ok,2024-01-19 10:00:00,0.4,0.4,0.4,0.4,100
ok,2024-01-19 10:30:00,0.42,0.42,0.42,0.42,100
ok,2024-01-19 11:00:00,0.41,0.41,0.4,0.41,2217
ok,2024-01-19 11:30:00,0.42,0.42,0.41,0.41,1004
ok,2024-01-19 13:30:00,0.43,0.44,0.43,0.44,313
ok,2024-01-19 14:30:00,0.42,0.42,0.42,0.42,108
ok,2024-01-22 09:30:00,0.42,0.42,0.42,0.42,1773
ok,2024-01-22 10:30:00,0.41,0.42,0.41,0.42,1026
ok,2024-01-22 11:00:00,0.41,0.41,0.41,0.41,115
ok,2024-01-22 11:30:00,0.42,0.42,0.42,0.42,126
ok,2024-01-22 12:00:00,0.42,0.42,0.42,0.42,300
ok,2024-01-22 14:30:00,0.41,0.42,0.41,0.41,1511
ok,2024-01-22 18:00:00,0.4,0.4,0.4,0.4,505
ok,2024-01-23 09:30:00,0.41,0.42,0.41,0.42,928
ok,2024-01-23 10:00:00,0.42,0.42,0.42,0.42,518
ok,2024-01-23 10:30:00,0.41,0.42,0.41,0.42,500
ok,2024-01-23 12:00:00,0.42,0.42,0.42,0.42,400
ok,2024-01-23 12:30:00,0.41,0.41,0.41,0.41,400
ok,2024-01-23 13:00:00,0.41,0.41,0.4,0.4,1981
ok,2024-01-23 13:30:00,0.4,0.42,0.39,0.39,2222
ok,2024-01-24 08:00:00,0.42,0.42,0.42,0.42,100
ok,2024-01-24 10:30:00,0.41,0.41,0.41,0.41,150
ok,2024-01-24 11:30:00,0.41,0.41,0.41,0.41,100
ok,2024-01-24 12:00:00,0.41,0.42,0.41,0.42,400
ok,2024-01-24 12:30:00,0.41,0.41,0.41,0.41,559
ok,2024-01-24 13:30:00,0.41,0.41,0.41,0.41,381
ok,2024-01-24 15:30:00,0.42,0.42,0.42,0.42,131
ok,2024-01-25 09:00:00,0.4,0.4,0.4,0.4,100
ok,2024-01-25 09:30:00,0.41,0.41,0.41,0.41,444
ok,2024-01-25 13:30:00,0.4,0.4,0.4,0.4,200
ok,2024-01-25 14:30:00,0.4,0.4,0.4,0.4,200
ok,2024-01-25 15:00:00,0.41,0.41,0.41,0.41,110
ok,2024-01-25 15:30:00,0.41,0.41,0.41,0.41,479
ok,2024-01-26 10:00:00,0.42,0.42,0.42,0.42,200
ok,2024-01-26 10:30:00,0.4,0.4,0.4,0.4,239
ok,2024-01-26 11:00:00,0.41,0.41,0.4,0.41,1492
ok,2024-01-26 11:30:00,0.41,0.41,0.4,0.4,254
ok,2024-01-26 12:30:00,0.41,0.41,0.4,0.4,342
ok,2024-01-26 13:00:00,0.42,0.42,0.4,0.41,411
ok,2024-01-26 13:30:00,0.4,0.4,0.4,0.4,502
ok,2024-01-26 14:00:00,0.4,0.4,0.4,0.4,100
ok,2024-01-29 08:00:00,0.4,0.4,0.4,0.4,195
ok,2024-01-29 08:30:00,0.4,0.4,0.4,0.4,348
ok,2024-01-29 09:30:00,0.42,0.42,0.42,0.42,1232
ok,2024-01-29 10:30:00,0.42,0.42,0.42,0.42,300
ok,2024-01-29 12:30:00,0.42,0.42,0.42,0.42,213
ok,2024-01-29 14:00:00,0.42,0.42,0.4,0.42,1505
ok,2024-01-29 15:30:00,0.4,0.4,0.4,0.4,751
ok,2024-01-30 08:30:00,0.43,0.43,0.43,0.43,100
ok,2024-01-30 09:30:00,0.4,0.42,0.4,0.42,2732
ok,2024-01-30 10:00:00,0.42,0.42,0.42,0.42,255
ok,2024-01-30 11:00:00,0.44,0.44,0.44,0.44,604
ok,2024-01-30 11:30:00,0.46,0.46,0.46,0.46,300
ok,2024-01-30 12:00:00,0.43,0.46,0.43,0.45,10968
ok,2024-01-30 12:30:00,0.45,0.45,0.45,0.45,14735
ok,2024-01-30 13:30:00,0.44,0.45,0.44,0.45,202
ok,2024-01-30 14:00:00,0.43,0.43,0.43,0.43,500
ok,2024-01-30 14:30:00,0.45,0.45,0.45,0.45,300
ok,2024-01-30 15:30:00,0.45,0.45,0.43,0.43,10482
ok,2024-01-31 08:00:00,0.44,0.44,0.44,0.44,100
ok,2024-01-31 09:30:00,0.44,0.44,0.44,0.44,164
ok,2024-01-31 11:00:00,0.43,0.43,0.43,0.43,130
ok,2024-01-31 13:00:00,0.43,0.43,0.43,0.43,456
ok,2024-01-31 14:00:00,0.45,0.45,0.45,0.45,290
ok,2024-01-31 15:00:00,0.43,0.43,0.43,0.43,127
ok,2024-01-31 15:30:00,0.45,0.45,0.45,0.45,100
ok,2024-01-31 16:30:00,0.41,0.41,0.41,0.41,100
ok,2024-02-01 09:30:00,0.41,0.44,0.41,0.44,304
ok,2024-02-01 10:30:00,0.45,0.45,0.4,0.44,6726
ok,2024-02-01 13:00:00,0.42,0.43,0.42,0.43,229
ok,2024-02-01 13:30:00,0.4,0.41,0.4,0.41,1346
ok,2024-02-01 14:00:00,0.41,0.41,0.41,0.41,151
