s,t,o,h,l,c,v
ok,2024-01-02 05:00:00,1.35,1.35,1.35,1.35,200
ok,2024-01-02 09:30:00,1.35,1.38,1.33,1.36,8197
ok,2024-01-02 10:00:00,1.34,1.34,1.34,1.34,237
ok,2024-01-02 10:30:00,1.33,1.33,1.3,1.31,10941
ok,2024-01-02 11:00:00,1.32,1.32,1.25,1.26,11882
ok,2024-01-02 11:30:00,1.27,1.27,1.21,1.21,25087
ok,2024-01-02 12:00:00,1.23,1.28,1.23,1.26,8127
ok,2024-01-02 12:30:00,1.26,1.28,1.24,1.25,5299
ok,2024-01-02 13:00:00,1.25,1.27,1.24,1.27,5891
ok,2024-01-02 13:30:00,1.26,1.29,1.26,1.28,28381
ok,2024-01-02 14:00:00,1.28,1.29,1.28,1.28,1200
ok,2024-01-02 14:30:00,1.28,1.29,1.28,1.28,1782
ok,2024-01-02 15:00:00,1.3,1.3,1.28,1.28,1884
ok,2024-01-02 15:30:00,1.29,1.29,1.28,1.28,6453
ok,2024-01-02 16:00:00,1.29,1.29,1.29,1.29,258
ok,2024-01-03 09:30:00,1.32,1.32,1.21,1.23,10358
ok,2024-01-03 10:00:00,1.22,1.22,1.22,1.22,2019
ok,2024-01-03 10:30:00,1.23,1.25,1.22,1.25,6319
ok,2024-01-03 11:00:00,1.24,1.32,1.23,1.29,17978
ok,2024-01-03 11:30:00,1.27,1.3,1.25,1.27,2162
ok,2024-01-03 12:00:00,1.27,1.27,1.26,1.26,310
ok,2024-01-03 12:30:00,1.27,1.27,1.27,1.27,908
ok,2024-01-03 13:00:00,1.29,1.31,1.28,1.3,1551
ok,2024-01-03 13:30:00,1.3,1.3,1.28,1.28,5324
ok,2024-01-03 14:00:00,1.28,1.29,1.25,1.25,1652
ok,2024-01-03 15:30:00,1.27,1.27,1.26,1.26,1190
ok,2024-01-03 16:00:00,1.26,1.26,1.26,1.26,450
ok,2024-01-04 09:30:00,1.23,1.26,1.22,1.25,32034
ok,2024-01-04 10:00:00,1.26,1.31,1.24,1.24,18914
ok,2024-01-04 10:30:00,1.22,1.23,1.21,1.21,753
ok,2024-01-04 11:00:00,1.23,1.27,1.23,1.27,407
ok,2024-01-04 11:30:00,1.25,1.26,1.23,1.26,2689
ok,2024-01-04 12:00:00,1.23,1.25,1.23,1.25,524
ok,2024-01-04 12:30:00,1.27,1.27,1.27,1.27,1160
ok,2024-01-04 13:00:00,1.25,1.25,1.25,1.25,879
ok,2024-01-04 13:30:00,1.23,1.23,1.23,1.23,100
ok,2024-01-04 14:00:00,1.25,1.26,1.24,1.26,1257
ok,2024-01-04 15:00:00,1.26,1.26,1.25,1.25,501
ok,2024-01-04 15:30:00,1.25,1.25,1.24,1.24,7316
ok,2024-01-05 08:30:00,1.31,1.31,1.27,1.27,610
ok,2024-01-05 09:30:00,1.23,1.26,1.23,1.25,1190
ok,2024-01-05 10:00:00,1.25,1.25,1.25,1.25,314
ok,2024-01-05 10:30:00,1.27,1.27,1.26,1.26,2098
ok,2024-01-05 11:00:00,1.3,1.35,1.26,1.28,25685
ok,2024-01-05 11:30:00,1.26,1.28,1.25,1.25,1305
ok,2024-01-05 12:00:00,1.26,1.26,1.26,1.26,100
ok,2024-01-05 12:30:00,1.28,1.28,1.28,1.28,180
ok,2024-01-05 13:00:00,1.28,1.28,1.28,1.28,874
ok,2024-01-05 13:30:00,1.32,1.32,1.29,1.29,1177
ok,2024-01-05 14:30:00,1.29,1.29,1.28,1.28,704
ok,2024-01-05 15:00:00,1.26,1.28,1.26,1.26,500
ok,2024-01-05 15:30:00,1.26,1.27,1.26,1.27,472
ok,2024-01-05 19:00:00,1.25,1.25,1.25,1.25,300
ok,2024-01-08 09:30:00,1.3,1.3,1.3,1.3,1146
ok,2024-01-08 10:00:00,1.27,1.27,1.27,1.27,1187
ok,2024-01-08 11:00:00,1.28,1.28,1.28,1.28,100
ok,2024-01-08 11:30:00,1.28,1.28,1.28,1.28,820
ok,2024-01-08 12:00:00,1.26,1.27,1.26,1.26,923
ok,2024-01-08 12:30:00,1.28,1.28,1.26,1.28,1800
ok,2024-01-08 13:00:00,1.27,1.27,1.26,1.27,1010
ok,2024-01-08 14:00:00,1.25,1.26,1.25,1.25,912
ok,2024-01-08 14:30:00,1.26,1.26,1.26,1.26,150
ok,2024-01-08 15:00:00,1.26,1.26,1.24,1.25,7660
ok,2024-01-08 15:30:00,1.24,1.27,1.24,1.26,2202
ok,2024-01-09 09:30:00,1.24,1.24,1.21,1.21,1464
ok,2024-01-09 10:00:00,1.22,1.22,1.16,1.16,26584
ok,2024-01-09 10:30:00,1.16,1.18,1.15,1.17,19842
ok,2024-01-09 11:00:00,1.15,1.17,1.15,1.16,5031
ok,2024-01-09 11:30:00,1.15,1.17,1.15,1.17,15352
ok,2024-01-09 12:00:00,1.16,1.17,1.13,1.15,11909
ok,2024-01-09 12:30:00,1.14,1.15,1.14,1.14,1650
ok,2024-01-09 13:00:00,1.14,1.17,1.14,1.17,7739
ok,2024-01-09 13:30:00,1.17,1.17,1.16,1.16,844
ok,2024-01-09 14:00:00,1.16,1.17,1.16,1.16,1340
ok,2024-01-09 14:30:00,1.16,1.17,1.15,1.17,6910
ok,2024-01-09 15:00:00,1.15,1.18,1.15,1.15,7768
ok,2024-01-09 15:30:00,1.16,1.16,1.14,1.15,13909
ok,2024-01-09 18:30:00,1.17,1.17,1.17,1.17,400
ok,2024-01-09 19:30:00,1.16,1.16,1.16,1.16,410
ok,2024-01-10 09:00:00,1.17,1.17,1.17,1.17,250
ok,2024-01-10 09:30:00,1.17,1.21,1.16,1.2,5834
ok,2024-01-10 10:00:00,1.17,1.2,1.16,1.18,3580
ok,2024-01-10 10:30:00,1.17,1.21,1.17,1.18,13210
ok,2024-01-10 11:00:00,1.2,1.22,1.19,1.22,3330
ok,2024-01-10 11:30:00,1.2,1.2,1.16,1.16,8608
ok,2024-01-10 12:00:00,1.19,1.19,1.19,1.19,1000
ok,2024-01-10 12:30:00,1.19,1.19,1.15,1.16,10097
ok,2024-01-10 13:00:00,1.15,1.19,1.15,1.18,1246
ok,2024-01-10 13:30:00,1.16,1.16,1.16,1.16,300
ok,2024-01-10 14:00:00,1.18,1.18,1.18,1.18,300
ok,2024-01-10 14:30:00,1.17,1.19,1.16,1.16,4065
ok,2024-01-10 15:00:00,1.18,1.19,1.16,1.18,2440
ok,2024-01-10 15:30:00,1.17,1.19,1.15,1.15,11909
ok,2024-01-11 09:30:00,1.15,1.18,1.12,1.16,56599
ok,2024-01-11 10:00:00,1.13,1.13,1.1,1.13,9551
ok,2024-01-11 10:30:00,1.12,1.12,1.11,1.12,7205
ok,2024-01-11 11:00:00,1.12,1.14,1.12,1.14,1649
ok,2024-01-11 11:30:00,1.14,1.14,1.12,1.12,391
ok,2024-01-11 12:00:00,1.14,1.15,1.12,1.12,800
ok,2024-01-11 12:30:00,1.14,1.14,1.14,1.14,1500
ok,2024-01-11 13:00:00,1.15,1.17,1.15,1.15,6622
ok,2024-01-11 13:30:00,1.16,1.17,1.16,1.16,2186
ok,2024-01-11 14:00:00,1.17,1.19,1.16,1.16,1469
ok,2024-01-11 14:30:00,1.18,1.19,1.17,1.17,3631
ok,2024-01-11 15:30:00,1.17,1.17,1.13,1.14,11653
ok,2024-01-11 17:00:00,1.14,1.14,1.14,1.14,250
ok,2024-01-11 18:30:00,1.19,1.19,1.19,1.19,100
ok,2024-01-12 08:00:00,1.12,1.12,1.12,1.12,500
ok,2024-01-12 08:30:00,1.12,1.12,1.11,1.11,200
ok,2024-01-12 09:30:00,1.19,1.19,1.14,1.16,4112
ok,2024-01-12 10:00:00,1.19,1.19,1.17,1.18,3016
ok,2024-01-12 10:30:00,1.18,1.2,1.17,1.19,2719
ok,2024-01-12 11:00:00,1.2,1.2,1.18,1.19,8394
ok,2024-01-12 11:30:00,1.2,1.2,1.18,1.2,3570
ok,2024-01-12 12:00:00,1.18,1.19,1.18,1.18,2189
ok,2024-01-12 12:30:00,1.17,1.17,1.13,1.13,6268
ok,2024-01-12 13:00:00,1.13,1.15,1.13,1.15,419
ok,2024-01-12 13:30:00,1.16,1.16,1.16,1.16,203
ok,2024-01-12 14:00:00,1.12,1.13,1.12,1.12,575
ok,2024-01-12 14:30:00,1.15,1.15,1.15,1.15,125
ok,2024-01-12 15:00:00,1.13,1.13,1.13,1.13,300
ok,2024-01-12 15:30:00,1.15,1.16,1.14,1.16,3793
ok,2024-01-16 09:30:00,1.19,1.19,1.15,1.15,6767
