s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.13,0.14,0.13,0.14,1500
ok,2024-01-02 07:00:00,0.14,0.14,0.14,0.14,300
ok,2024-01-02 08:30:00,0.14,0.14,0.14,0.14,400
ok,2024-01-02 09:30:00,0.14,0.14,0.14,0.14,231
ok,2024-01-02 10:00:00,0.14,0.14,0.14,0.14,2200
ok,2024-01-02 10:30:00,0.14,0.14,0.14,0.14,17158
ok,2024-01-02 11:00:00,0.14,0.14,0.14,0.14,2200
ok,2024-01-02 11:30:00,0.14,0.14,0.14,0.14,300
ok,2024-01-02 12:00:00,0.14,0.14,0.14,0.14,657
ok,2024-01-02 12:30:00,0.14,0.14,0.14,0.14,4271
ok,2024-01-02 14:00:00,0.14,0.14,0.14,0.14,580
ok,2024-01-02 15:30:00,0.14,0.14,0.14,0.14,8586
ok,2024-01-02 16:00:00,0.14,0.14,0.14,0.14,170
ok,2024-01-02 17:30:00,0.14,0.14,0.13,0.14,21500
ok,2024-01-03 09:30:00,0.14,0.14,0.14,0.14,8861
ok,2024-01-03 10:00:00,0.14,0.14,0.14,0.14,1048
ok,2024-01-03 11:00:00,0.14,0.14,0.14,0.14,360
ok,2024-01-03 11:30:00,0.14,0.14,0.14,0.14,23300
ok,2024-01-03 12:00:00,0.14,0.14,0.13,0.13,54372
ok,2024-01-03 12:30:00,0.13,0.14,0.13,0.14,9500
ok,2024-01-03 13:00:00,0.14,0.14,0.13,0.13,2150
ok,2024-01-03 14:00:00,0.14,0.14,0.14,0.14,1310
ok,2024-01-03 14:30:00,0.14,0.14,0.14,0.14,475
ok,2024-01-03 15:00:00,0.13,0.13,0.13,0.13,100
ok,2024-01-03 15:30:00,0.14,0.14,0.14,0.14,2700
ok,2024-01-03 19:00:00,0.14,0.14,0.14,0.14,100
ok,2024-01-04 09:00:00,0.14,0.14,0.14,0.14,150
ok,2024-01-04 09:30:00,0.14,0.14,0.14,0.14,4906
ok,2024-01-04 10:00:00,0.14,0.14,0.14,0.14,1100
ok,2024-01-04 10:30:00,0.14,0.14,0.14,0.14,500
ok,2024-01-04 15:30:00,0.14,0.14,0.13,0.14,1323
ok,2024-01-04 17:30:00,0.14,0.14,0.14,0.14,1000
ok,2024-01-05 08:30:00,0.14,0.14,0.14,0.14,1000
ok,2024-01-05 09:30:00,0.13,0.13,0.13,0.13,100
ok,2024-01-05 10:30:00,0.14,0.14,0.13,0.13,4200
ok,2024-01-05 11:30:00,0.14,0.14,0.14,0.14,200
ok,2024-01-05 12:30:00,0.13,0.13,0.13,0.13,100
ok,2024-01-05 13:00:00,0.14,0.14,0.14,0.14,140
ok,2024-01-05 13:30:00,0.14,0.14,0.13,0.13,5351
ok,2024-01-05 14:00:00,0.14,0.14,0.13,0.13,5340
ok,2024-01-05 14:30:00,0.14,0.14,0.14,0.14,366
ok,2024-01-05 15:00:00,0.14,0.14,0.13,0.13,525
ok,2024-01-05 15:30:00,0.13,0.13,0.13,0.13,2754
ok,2024-01-05 16:00:00,0.14,0.14,0.14,0.14,152
ok,2024-01-08 09:30:00,0.13,0.14,0.13,0.14,3997
ok,2024-01-08 10:00:00,0.14,0.14,0.13,0.13,887
ok,2024-01-08 10:30:00,0.14,0.14,0.14,0.14,1900
ok,2024-01-08 11:30:00,0.14,0.14,0.13,0.13,1610
ok,2024-01-08 12:00:00,0.14,0.14,0.13,0.13,1300
ok,2024-01-08 12:30:00,0.14,0.14,0.13,0.13,2654
ok,2024-01-08 13:00:00,0.13,0.13,0.13,0.13,2735
ok,2024-01-08 13:30:00,0.14,0.14,0.13,0.13,300
ok,2024-01-08 14:00:00,0.14,0.14,0.13,0.13,200
ok,2024-01-08 14:30:00,0.14,0.14,0.14,0.14,201
ok,2024-01-08 15:00:00,0.14,0.14,0.14,0.14,2799
ok,2024-01-08 15:30:00,0.14,0.14,0.13,0.13,6583
ok,2024-01-09 04:00:00,0.12,0.12,0.12,0.12,100
ok,2024-01-09 08:00:00,0.13,0.13,0.13,0.13,100
ok,2024-01-09 09:00:00,0.13,0.13,0.13,0.13,179
ok,2024-01-09 10:30:00,0.13,0.13,0.13,0.13,1800
ok,2024-01-09 11:30:00,0.13,0.13,0.13,0.13,279
ok,2024-01-09 12:00:00,0.14,0.14,0.13,0.13,1010
