s,t,o,h,l,c,v
ok,2024-01-02 08:00:00,0.79,0.79,0.79,0.79,274
ok,2024-01-02 08:30:00,0.79,0.79,0.79,0.79,120
ok,2024-01-02 09:30:00,0.82,0.85,0.8,0.85,2775
ok,2024-01-02 10:00:00,0.8,0.8,0.8,0.8,110
ok,2024-01-02 11:00:00,0.82,0.82,0.76,0.76,2300
ok,2024-01-02 11:30:00,0.77,0.77,0.77,0.77,168
ok,2024-01-02 12:30:00,0.85,0.85,0.85,0.85,369
ok,2024-01-02 13:00:00,0.85,0.85,0.85,0.85,350
ok,2024-01-02 15:00:00,0.8,0.85,0.8,0.85,4801
ok,2024-01-02 15:30:00,0.85,0.85,0.85,0.85,180
ok,2024-01-03 09:30:00,0.85,0.85,0.8,0.8,462
ok,2024-01-03 11:00:00,0.8,0.8,0.8,0.8,188
ok,2024-01-03 15:30:00,0.83,0.83,0.83,0.83,166
ok,2024-01-04 11:30:00,0.72,0.73,0.72,0.73,584
ok,2024-01-04 12:30:00,0.76,0.76,0.76,0.76,175
ok,2024-01-04 15:30:00,0.76,0.84,0.76,0.84,950
ok,2024-01-04 17:30:00,0.84,0.84,0.84,0.84,200
ok,2024-01-05 08:00:00,0.84,0.84,0.84,0.84,100
ok,2024-01-05 09:30:00,0.84,0.84,0.75,0.75,2248
ok,2024-01-05 11:00:00,0.83,0.84,0.83,0.84,1121
ok,2024-01-05 12:30:00,0.84,0.84,0.84,0.84,155
ok,2024-01-05 13:30:00,0.85,0.85,0.85,0.85,795
ok,2024-01-08 09:30:00,0.85,0.85,0.84,0.84,416
ok,2024-01-08 10:00:00,0.85,0.85,0.85,0.85,354
ok,2024-01-08 11:30:00,0.85,0.85,0.85,0.85,420
ok,2024-01-08 13:30:00,0.81,0.81,0.81,0.81,644
ok,2024-01-08 15:30:00,0.84,0.84,0.84,0.84,175
ok,2024-01-08 18:30:00,0.82,0.82,0.82,0.82,234
ok,2024-01-09 10:30:00,0.81,0.81,0.81,0.81,100
ok,2024-01-09 11:30:00,0.79,0.79,0.79,0.79,400
ok,2024-01-09 12:00:00,0.81,0.81,0.81,0.81,111
ok,2024-01-09 12:30:00,0.8,0.8,0.8,0.8,200
ok,2024-01-09 13:30:00,0.8,0.8,0.8,0.8,730
ok,2024-01-09 14:30:00,0.76,0.76,0.76,0.76,860
ok,2024-01-09 16:00:00,0.75,0.75,0.75,0.75,100
ok,2024-01-10 09:30:00,0.76,0.76,0.76,0.76,500
ok,2024-01-10 10:30:00,0.75,0.75,0.75,0.75,100
ok,2024-01-10 13:30:00,0.75,0.75,0.75,0.75,123
ok,2024-01-10 14:00:00,0.75,0.75,0.75,0.75,602
ok,2024-01-10 14:30:00,0.76,0.76,0.76,0.76,1039
ok,2024-01-10 15:30:00,0.81,0.85,0.81,0.83,11897
ok,2024-01-11 10:30:00,0.83,0.83,0.83,0.83,198
ok,2024-01-12 10:00:00,0.82,0.82,0.82,0.82,156
ok,2024-01-12 10:30:00,0.76,0.76,0.76,0.76,200
