s,t,o,h,l,c,v
ok,2024-01-02 06:30:00,3.49,3.49,3.36,3.36,1975
ok,2024-01-02 08:00:00,3.41,3.46,3.35,3.46,882
ok,2024-01-02 08:30:00,3.45,3.45,3.4,3.4,440
ok,2024-01-02 09:00:00,3.39,3.46,3.35,3.46,2034
ok,2024-01-02 09:30:00,3.35,3.95,3.35,3.79,650480
ok,2024-01-02 10:00:00,3.82,3.82,3.63,3.63,75773
ok,2024-01-02 10:30:00,3.63,3.76,3.58,3.73,79092
ok,2024-01-02 11:00:00,3.73,3.79,3.69,3.72,87660
ok,2024-01-02 11:30:00,3.73,3.73,3.66,3.68,71316
ok,2024-01-02 12:00:00,3.69,3.84,3.67,3.68,112764
ok,2024-01-02 12:30:00,3.68,3.74,3.64,3.64,97513
ok,2024-01-02 13:00:00,3.64,3.69,3.6,3.68,41606
ok,2024-01-02 13:30:00,3.68,3.74,3.64,3.72,32651
ok,2024-01-02 14:00:00,3.71,3.71,3.65,3.68,35144
ok,2024-01-02 14:30:00,3.68,3.73,3.68,3.69,59015
ok,2024-01-02 15:00:00,3.69,3.73,3.62,3.64,56551
ok,2024-01-02 15:30:00,3.64,3.65,3.54,3.64,201566
ok,2024-01-02 16:00:00,3.63,3.63,3.63,3.63,550
ok,2024-01-02 18:30:00,3.7,3.7,3.7,3.7,450
ok,2024-01-02 19:00:00,3.7,3.7,3.7,3.7,200
ok,2024-01-03 08:00:00,3.72,3.88,3.65,3.84,8254
ok,2024-01-03 08:30:00,3.84,3.84,3.84,3.84,2421
ok,2024-01-03 09:00:00,3.84,3.87,3.78,3.82,13828
ok,2024-01-03 09:30:00,3.77,4.07,3.43,4.07,613756
ok,2024-01-03 10:00:00,4.07,4.42,3.85,4.06,835441
ok,2024-01-03 10:30:00,4.07,4.14,3.85,3.94,233128
ok,2024-01-03 11:00:00,3.95,4.01,3.88,3.92,142683
ok,2024-01-03 11:30:00,3.93,3.93,3.77,3.82,104496
ok,2024-01-03 12:00:00,3.81,3.87,3.74,3.79,101516
ok,2024-01-03 12:30:00,3.79,3.79,3.65,3.66,100651
ok,2024-01-03 13:00:00,3.66,3.73,3.5,3.51,203826
ok,2024-01-03 13:30:00,3.52,3.62,3.48,3.57,124108
ok,2024-01-03 14:00:00,3.58,3.65,3.57,3.63,46476
ok,2024-01-03 14:30:00,3.62,3.7,3.61,3.68,54743
ok,2024-01-03 15:00:00,3.68,3.68,3.52,3.58,146295
ok,2024-01-03 15:30:00,3.58,3.66,3.57,3.59,282094
ok,2024-01-03 16:00:00,3.59,3.84,3.45,3.45,3656
ok,2024-01-03 16:30:00,3.45,3.45,3.45,3.45,300
ok,2024-01-03 17:00:00,3.5,3.5,3.5,3.5,350
ok,2024-01-03 19:00:00,3.55,3.55,3.55,3.55,300
ok,2024-01-03 19:30:00,3.52,3.52,3.52,3.52,100
ok,2024-01-04 08:00:00,3.6,3.6,3.6,3.6,857
ok,2024-01-04 08:30:00,3.6,3.6,3.58,3.58,700
ok,2024-01-04 09:30:00,3.56,3.67,3.43,3.45,125734
ok,2024-01-04 10:00:00,3.46,3.51,3.22,3.3,279194
ok,2024-01-04 10:30:00,3.28,3.48,3.26,3.47,87149
ok,2024-01-04 11:00:00,3.49,3.63,3.49,3.62,85147
ok,2024-01-04 11:30:00,3.64,3.7,3.58,3.69,79042
ok,2024-01-04 12:00:00,3.69,3.74,3.67,3.71,62120
ok,2024-01-04 12:30:00,3.7,3.7,3.6,3.68,140481
