s,t,o,h,l,c,v
ok,2024-01-02 08:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-02 09:00:00,0.18,0.19,0.18,0.18,3350
ok,2024-01-02 09:30:00,0.19,0.19,0.18,0.18,37527
ok,2024-01-02 10:00:00,0.18,0.18,0.18,0.18,6560
ok,2024-01-02 10:30:00,0.18,0.18,0.18,0.18,11667
ok,2024-01-02 11:00:00,0.19,0.19,0.18,0.19,11450
ok,2024-01-02 11:30:00,0.19,0.19,0.18,0.19,4242
ok,2024-01-02 12:00:00,0.19,0.19,0.19,0.19,130800
ok,2024-01-02 12:30:00,0.19,0.19,0.19,0.19,900
ok,2024-01-02 13:00:00,0.19,0.19,0.19,0.19,2350
ok,2024-01-02 13:30:00,0.19,0.19,0.18,0.19,13327
ok,2024-01-02 14:00:00,0.19,0.19,0.18,0.19,52248
ok,2024-01-02 14:30:00,0.18,0.19,0.18,0.19,15454
ok,2024-01-02 15:00:00,0.18,0.19,0.18,0.19,11188
ok,2024-01-02 15:30:00,0.18,0.19,0.18,0.18,139114
ok,2024-01-02 17:00:00,0.19,0.19,0.19,0.19,5355
ok,2024-01-02 18:00:00,0.18,0.18,0.18,0.18,410
ok,2024-01-02 19:00:00,0.19,0.19,0.19,0.19,200
ok,2024-01-03 09:00:00,0.18,0.18,0.18,0.18,246
ok,2024-01-03 09:30:00,0.17,0.18,0.17,0.18,24949
ok,2024-01-03 10:00:00,0.18,0.18,0.17,0.17,13702
ok,2024-01-03 10:30:00,0.17,0.17,0.17,0.17,21067
ok,2024-01-03 11:00:00,0.17,0.17,0.17,0.17,56910
ok,2024-01-03 11:30:00,0.17,0.17,0.17,0.17,1785
ok,2024-01-03 12:00:00,0.17,0.17,0.17,0.17,4647
ok,2024-01-03 12:30:00,0.17,0.17,0.17,0.17,16979
ok,2024-01-03 13:00:00,0.17,0.17,0.17,0.17,20000
ok,2024-01-03 13:30:00,0.17,0.18,0.17,0.18,61491
ok,2024-01-03 14:00:00,0.18,0.18,0.18,0.18,2000
ok,2024-01-03 14:30:00,0.18,0.18,0.18,0.18,701
ok,2024-01-03 15:30:00,0.18,0.18,0.18,0.18,30236
ok,2024-01-03 19:00:00,0.18,0.18,0.18,0.18,560
ok,2024-01-04 04:00:00,0.16,0.16,0.16,0.16,2000
ok,2024-01-04 07:30:00,0.18,0.18,0.18,0.18,100
ok,2024-01-04 08:30:00,0.18,0.18,0.18,0.18,2000
ok,2024-01-04 09:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-04 09:30:00,0.17,0.18,0.17,0.17,16040
ok,2024-01-04 10:00:00,0.18,0.18,0.18,0.18,8950
ok,2024-01-04 10:30:00,0.18,0.18,0.18,0.18,6812
ok,2024-01-04 11:00:00,0.18,0.18,0.18,0.18,1000
ok,2024-01-04 11:30:00,0.18,0.18,0.17,0.17,17836
ok,2024-01-04 12:00:00,0.17,0.17,0.17,0.17,1450
ok,2024-01-04 12:30:00,0.17,0.17,0.17,0.17,12600
ok,2024-01-04 13:00:00,0.17,0.18,0.17,0.18,32358
ok,2024-01-04 13:30:00,0.17,0.17,0.17,0.17,4362
ok,2024-01-04 14:00:00,0.17,0.17,0.17,0.17,6153
ok,2024-01-04 14:30:00,0.17,0.18,0.17,0.18,12894
ok,2024-01-04 15:00:00,0.18,0.18,0.17,0.17,17003
ok,2024-01-04 15:30:00,0.18,0.18,0.17,0.17,3594
ok,2024-01-04 16:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-04 16:30:00,0.18,0.18,0.18,0.18,1632
ok,2024-01-04 18:30:00,0.18,0.18,0.18,0.18,186
ok,2024-01-05 09:30:00,0.18,0.18,0.18,0.18,9988
ok,2024-01-05 10:00:00,0.17,0.17,0.17,0.17,76676
