s,t,o,h,l,c,v
ok,2024-02-12 09:30:00,9.23,9.23,7.8,7.8,960
ok,2024-02-12 10:00:00,7.11,7.11,4.95,5.0,4592
ok,2024-02-12 10:30:00,5.2,5.2,4.5,4.5,1956
ok,2024-02-12 11:00:00,4.93,4.93,4.93,4.93,296
ok,2024-02-12 11:30:00,5.17,5.54,4.99,4.99,1601
ok,2024-02-12 12:00:00,4.67,5.2,4.67,5.2,1450
ok,2024-02-12 12:30:00,5.13,5.13,4.93,5.13,6457
ok,2024-02-12 13:00:00,5.07,5.8,5.07,5.8,2910
ok,2024-02-12 13:30:00,6.0,7.86,6.0,6.8,10645
ok,2024-02-12 15:00:00,6.54,6.54,6.54,6.54,1000
ok,2024-02-12 15:30:00,6.5,7.0,6.5,7.0,783
ok,2024-02-12 17:00:00,5.95,5.95,5.95,5.95,159
ok,2024-02-13 05:30:00,6.33,6.33,6.33,6.33,125
ok,2024-02-13 09:00:00,5.82,5.82,5.75,5.77,550
ok,2024-02-13 09:30:00,6.3,6.7,5.75,5.75,5975
ok,2024-02-13 10:00:00,5.21,5.21,5.0,5.16,2271
ok,2024-02-13 10:30:00,5.09,5.5,4.92,5.04,8121
ok,2024-02-13 11:00:00,4.72,5.56,4.72,5.56,1329
ok,2024-02-13 11:30:00,5.03,5.03,4.7,4.85,3686
ok,2024-02-13 12:00:00,4.96,5.25,4.85,5.25,1925
ok,2024-02-13 12:30:00,5.4,5.4,5.0,5.0,804
ok,2024-02-13 13:00:00,5.5,5.75,5.5,5.75,369
ok,2024-02-13 13:30:00,5.8,6.25,5.25,5.95,3229
ok,2024-02-13 14:00:00,6.0,6.0,5.97,6.0,1644
ok,2024-02-13 14:30:00,5.5,5.5,5.5,5.5,166
ok,2024-02-13 15:00:00,5.2,5.3,5.0,5.0,2718
ok,2024-02-13 15:30:00,4.9,5.25,4.83,5.11,2628
ok,2024-02-14 09:30:00,5.62,5.68,5.14,5.14,729
ok,2024-02-14 10:00:00,5.54,5.65,5.54,5.65,200
ok,2024-02-14 11:00:00,5.95,5.98,5.45,5.45,600
ok,2024-02-14 12:00:00,5.51,5.51,5.51,5.51,100
ok,2024-02-14 13:30:00,5.64,5.64,5.64,5.64,100
ok,2024-02-14 14:30:00,5.92,5.92,5.92,5.92,300
ok,2024-02-14 15:30:00,5.8,5.8,5.8,5.8,174
ok,2024-02-15 10:00:00,5.37,5.37,5.37,5.37,200
ok,2024-02-15 11:30:00,5.8,5.91,5.69,5.91,2142
ok,2024-02-15 12:00:00,5.58,5.58,5.58,5.58,100
ok,2024-02-15 12:30:00,5.83,5.83,5.83,5.83,250
ok,2024-02-15 14:00:00,5.69,5.69,5.69,5.69,500
ok,2024-02-15 14:30:00,5.83,5.83,5.83,5.83,909
ok,2024-02-15 15:30:00,5.7,5.7,5.7,5.7,209
ok,2024-02-16 09:30:00,5.2,5.4,5.2,5.2,5052
ok,2024-02-16 10:00:00,5.56,5.56,5.2,5.2,706
ok,2024-02-16 11:30:00,5.2,5.2,5.2,5.2,200
ok,2024-02-16 12:00:00,5.2,5.2,5.2,5.2,200
ok,2024-02-16 12:30:00,5.2,5.22,5.2,5.22,300
ok,2024-02-16 13:00:00,5.2,5.2,5.0,5.0,4360
ok,2024-02-16 14:00:00,5.52,5.52,5.52,5.52,150
ok,2024-02-16 15:30:00,5.0,5.0,4.32,4.41,4743
ok,2024-02-20 09:00:00,4.45,4.45,4.41,4.41,2300
ok,2024-02-20 09:30:00,4.89,4.89,4.63,4.63,2442
ok,2024-02-20 10:00:00,4.41,4.41,3.82,3.82,4300
ok,2024-02-20 10:30:00,3.82,3.86,3.75,3.75,1985
ok,2024-02-20 11:00:00,3.45,3.72,3.45,3.72,356
ok,2024-02-20 11:30:00,3.45,3.45,2.25,2.3,23957
ok,2024-02-20 12:00:00,2.31,2.34,1.63,1.73,63096
ok,2024-02-20 12:30:00,1.73,2.16,1.73,2.0,92672
ok,2024-02-20 13:00:00,1.96,2.04,1.8,1.92,24527
ok,2024-02-20 13:30:00,1.95,2.04,1.85,1.98,9377
ok,2024-02-20 14:00:00,2.0,2.0,1.9,1.95,3443
ok,2024-02-20 14:30:00,1.98,2.05,1.88,2.02,26957
ok,2024-02-20 15:00:00,2.0,2.04,1.87,1.92,22471
ok,2024-02-20 15:30:00,1.92,2.15,1.86,1.98,31801
ok,2024-02-20 16:00:00,2.04,2.38,2.04,2.11,17216
ok,2024-02-20 16:30:00,2.18,2.18,2.18,2.18,280
ok,2024-02-20 17:00:00,2.21,2.21,2.1,2.1,1126
ok,2024-02-20 17:30:00,2.09,2.25,2.09,2.23,1725
ok,2024-02-20 18:30:00,2.2,2.2,2.18,2.2,1245
ok,2024-02-21 04:00:00,2.24,2.48,2.2,2.43,3220
ok,2024-02-21 04:30:00,2.31,2.31,2.2,2.2,912
ok,2024-02-21 05:00:00,2.03,2.03,2.02,2.02,371
ok,2024-02-21 05:30:00,2.06,2.11,2.0,2.0,1200
ok,2024-02-21 07:30:00,2.13,2.13,2.03,2.04,1047
ok,2024-02-21 08:00:00,2.01,2.19,1.98,2.02,1992
ok,2024-02-21 08:30:00,1.94,2.02,1.94,2.02,298
ok,2024-02-21 09:00:00,1.9,1.94,1.86,1.89,2191
ok,2024-02-21 09:30:00,2.0,2.0,1.44,1.54,86925
ok,2024-02-21 10:00:00,1.54,1.54,1.26,1.4,68557
ok,2024-02-21 10:30:00,1.36,1.37,1.15,1.18,204341
ok,2024-02-21 11:00:00,1.22,1.22,1.15,1.18,65377
ok,2024-02-21 11:30:00,1.2,1.27,1.18,1.27,104136
ok,2024-02-21 12:00:00,1.27,1.35,1.23,1.34,165713
ok,2024-02-21 12:30:00,1.34,1.41,1.32,1.39,93729
ok,2024-02-21 13:00:00,1.43,1.43,1.23,1.25,54037
ok,2024-02-21 13:30:00,1.29,1.31,1.24,1.25,31325
ok,2024-02-21 14:00:00,1.27,1.38,1.23,1.35,23953
ok,2024-02-21 14:30:00,1.33,1.33,1.25,1.27,67585
ok,2024-02-21 15:00:00,1.27,1.35,1.27,1.3,41181
ok,2024-02-21 15:30:00,1.32,1.37,1.23,1.32,95618
ok,2024-02-21 16:00:00,1.37,1.49,1.32,1.36,14813
ok,2024-02-21 16:30:00,1.36,1.42,1.3,1.35,12935
ok,2024-02-21 17:00:00,1.34,1.34,1.34,1.34,371
ok,2024-02-21 17:30:00,1.34,1.34,1.24,1.27,12657
ok,2024-02-21 18:00:00,1.26,1.3,1.24,1.29,5737
ok,2024-02-21 18:30:00,1.28,1.3,1.27,1.29,4256
ok,2024-02-21 19:00:00,1.35,1.35,1.31,1.32,3580
ok,2024-02-21 19:30:00,1.26,1.35,1.26,1.35,4676
ok,2024-02-22 04:00:00,1.35,1.35,1.25,1.26,3576
ok,2024-02-22 04:30:00,1.25,1.26,1.24,1.24,1838
ok,2024-02-22 05:00:00,1.25,1.25,1.21,1.21,1341
ok,2024-02-22 05:30:00,1.24,1.25,1.2,1.21,5049
ok,2024-02-22 06:00:00,1.21,1.25,1.21,1.25,368
ok,2024-02-22 06:30:00,1.21,1.22,1.21,1.21,482
ok,2024-02-22 07:00:00,1.24,1.27,1.24,1.27,1100
ok,2024-02-22 07:30:00,1.26,1.27,1.25,1.25,804
ok,2024-02-22 08:00:00,1.28,1.44,1.21,1.26,9717
ok,2024-02-22 08:30:00,1.24,1.3,1.24,1.26,10061
ok,2024-02-22 09:00:00,1.26,1.38,1.24,1.35,26007
ok,2024-02-22 09:30:00,1.44,1.44,0.93,1.07,294622
ok,2024-02-22 10:00:00,1.08,1.2,1.06,1.2,53298
ok,2024-02-22 10:30:00,1.19,1.2,1.16,1.16,54378
ok,2024-02-22 11:00:00,1.17,1.2,1.16,1.16,22218
ok,2024-02-22 11:30:00,1.16,1.17,1.12,1.12,24942
ok,2024-02-22 12:00:00,1.13,1.14,1.12,1.14,9279
ok,2024-02-22 12:30:00,1.14,1.2,1.12,1.18,22025
ok,2024-02-22 13:00:00,1.19,1.3,1.16,1.3,47184
ok,2024-02-22 13:30:00,1.3,1.31,1.25,1.26,33109
ok,2024-02-22 14:00:00,1.26,1.27,1.2,1.2,10405
ok,2024-02-22 14:30:00,1.2,1.24,1.2,1.2,15493
ok,2024-02-22 15:00:00,1.2,1.21,1.12,1.14,26437
ok,2024-02-22 15:30:00,1.15,1.25,1.12,1.14,49906
ok,2024-02-22 16:00:00,1.14,1.2,1.14,1.2,5034
ok,2024-02-22 17:30:00,1.15,1.3,1.15,1.3,21008
ok,2024-02-22 18:00:00,1.24,1.24,1.21,1.24,15350
ok,2024-02-22 18:30:00,1.23,1.24,1.16,1.16,4840
ok,2024-02-22 19:00:00,1.21,1.21,1.15,1.15,6273
ok,2024-02-22 19:30:00,1.25,1.25,1.24,1.24,1779
ok,2024-02-23 04:00:00,1.24,1.24,1.24,1.24,114
ok,2024-02-23 05:30:00,1.22,1.22,1.22,1.22,100
ok,2024-02-23 06:00:00,1.25,1.25,1.24,1.25,2235
ok,2024-02-23 06:30:00,1.18,1.32,1.18,1.32,3722
ok,2024-02-23 07:00:00,1.2,1.2,1.2,1.2,150
ok,2024-02-23 08:00:00,1.21,1.29,1.18,1.19,5634
ok,2024-02-23 08:30:00,1.19,1.19,1.19,1.19,620
ok,2024-02-23 09:00:00,1.19,1.2,1.19,1.19,903
ok,2024-02-23 09:30:00,1.24,1.35,1.2,1.24,76183
ok,2024-02-23 10:00:00,1.23,1.3,1.23,1.29,22461
ok,2024-02-23 10:30:00,1.28,1.63,1.28,1.56,121901
ok,2024-02-23 11:00:00,1.54,1.56,1.25,1.37,132830
ok,2024-02-23 11:30:00,1.37,1.51,1.37,1.44,69159
ok,2024-02-23 12:00:00,1.44,1.61,1.38,1.6,95168
ok,2024-02-23 12:30:00,1.61,2.0,1.52,1.78,1106221
ok,2024-02-23 13:00:00,1.78,2.21,1.61,1.69,1499480
ok,2024-02-23 13:30:00,1.68,1.78,1.53,1.68,458034
ok,2024-02-23 14:00:00,1.68,1.93,1.63,1.74,248226
ok,2024-02-23 14:30:00,1.75,1.9,1.72,1.82,234961
ok,2024-02-23 15:00:00,1.82,1.84,1.78,1.82,108200
ok,2024-02-23 15:30:00,1.82,3.49,1.82,2.78,1088146
ok,2024-02-23 16:00:00,2.71,3.2,2.03,2.1,320790
ok,2024-02-23 16:30:00,2.12,2.33,2.11,2.22,40639
ok,2024-02-23 17:00:00,2.23,2.23,2.07,2.08,14958
ok,2024-02-23 17:30:00,2.19,2.19,2.08,2.16,2942
ok,2024-02-23 18:00:00,2.19,2.19,2.09,2.1,4337
ok,2024-02-23 18:30:00,2.18,2.18,2.12,2.12,634
ok,2024-02-23 19:00:00,2.12,2.12,2.03,2.08,11598
ok,2024-02-23 19:30:00,2.03,2.15,2.03,2.1,8535
ok,2024-02-26 04:00:00,2.3,2.3,2.05,2.05,3346
ok,2024-02-26 04:30:00,2.0,2.09,1.92,1.95,6954
ok,2024-02-26 05:00:00,1.96,1.99,1.9,1.9,3773
ok,2024-02-26 05:30:00,1.93,2.0,1.85,1.86,4049
ok,2024-02-26 06:00:00,1.98,1.98,1.93,1.93,1956
ok,2024-02-26 06:30:00,1.97,1.99,1.94,1.99,1315
ok,2024-02-26 07:00:00,2.0,2.06,1.99,2.0,3744
ok,2024-02-26 07:30:00,2.01,2.05,2.0,2.03,2872
ok,2024-02-26 08:00:00,1.96,2.34,1.96,2.02,19880
ok,2024-02-26 08:30:00,2.07,2.47,2.02,2.42,23774
ok,2024-02-26 09:00:00,2.41,2.56,2.2,2.23,23855
ok,2024-02-26 09:30:00,2.18,2.58,2.06,2.21,115100
ok,2024-02-26 10:00:00,2.21,2.69,2.21,2.48,78551
ok,2024-02-26 10:30:00,2.5,2.5,2.22,2.28,22006
ok,2024-02-26 11:00:00,2.26,2.58,2.25,2.4,57670
ok,2024-02-26 11:30:00,2.52,2.54,2.39,2.48,52879
ok,2024-02-26 12:00:00,2.48,2.5,2.38,2.5,62165
ok,2024-02-26 12:30:00,2.44,2.49,2.38,2.49,11128
ok,2024-02-26 13:00:00,2.49,2.5,2.4,2.42,38126
ok,2024-02-26 13:30:00,2.4,2.41,2.36,2.36,1806
ok,2024-02-26 14:00:00,2.36,2.37,2.11,2.11,25232
ok,2024-02-26 14:30:00,2.12,2.21,2.11,2.2,11673
ok,2024-02-26 15:00:00,2.21,2.23,2.12,2.2,18982
ok,2024-02-26 15:30:00,2.18,2.29,2.13,2.18,40753
ok,2024-02-26 16:00:00,2.19,2.28,2.11,2.11,2289
ok,2024-02-26 16:30:00,2.11,2.15,2.08,2.08,2053
ok,2024-02-26 17:30:00,2.12,2.13,2.1,2.1,1109
ok,2024-02-26 18:00:00,2.12,2.12,2.11,2.11,1675
ok,2024-02-26 18:30:00,2.11,2.11,2.11,2.11,469
ok,2024-02-26 19:00:00,2.07,2.07,2.06,2.07,400
ok,2024-02-26 19:30:00,2.1,2.25,2.1,2.25,602
ok,2024-02-27 05:30:00,2.11,2.11,2.11,2.11,100
ok,2024-02-27 06:00:00,2.11,2.11,2.1,2.1,392
ok,2024-02-27 06:30:00,2.09,2.09,2.09,2.09,300
ok,2024-02-27 07:00:00,2.08,2.08,2.08,2.08,112
ok,2024-02-27 08:00:00,2.13,2.28,2.05,2.05,6424
ok,2024-02-27 08:30:00,2.01,2.01,2.0,2.01,1679
ok,2024-02-27 09:00:00,2.07,2.14,2.07,2.14,1149
ok,2024-02-27 09:30:00,2.08,2.12,1.79,1.88,76760
ok,2024-02-27 10:00:00,1.88,1.97,1.87,1.88,23345
ok,2024-02-27 10:30:00,1.88,1.95,1.88,1.9,10792
ok,2024-02-27 11:00:00,1.9,1.9,1.88,1.88,8999
ok,2024-02-27 11:30:00,1.88,1.89,1.88,1.89,10372
ok,2024-02-27 12:00:00,1.88,1.9,1.87,1.88,9924
ok,2024-02-27 12:30:00,1.9,1.92,1.88,1.91,10725
ok,2024-02-27 13:00:00,1.91,2.07,1.91,2.0,20862
ok,2024-02-27 13:30:00,1.96,1.99,1.96,1.97,700
ok,2024-02-27 14:00:00,1.99,1.99,1.99,1.99,301
ok,2024-02-27 14:30:00,1.99,2.07,1.98,2.06,18182
ok,2024-02-27 15:00:00,2.02,2.15,2.02,2.15,18138
ok,2024-02-27 15:30:00,2.12,2.17,2.0,2.09,22883
ok,2024-02-27 17:30:00,2.12,2.12,2.12,2.12,980
ok,2024-02-27 18:00:00,2.12,2.12,2.12,2.12,578
ok,2024-02-27 19:00:00,2.22,2.22,2.22,2.22,200
ok,2024-02-28 08:00:00,2.1,2.1,2.03,2.03,1153
ok,2024-02-28 08:30:00,2.03,2.03,2.03,2.03,624
ok,2024-02-28 09:00:00,2.01,2.01,2.01,2.01,1083
ok,2024-02-28 09:30:00,2.07,2.07,1.9,1.91,36873
ok,2024-02-28 10:00:00,1.93,2.06,1.93,1.95,11744
ok,2024-02-28 10:30:00,1.96,1.96,1.95,1.95,3853
