s,t,o,h,l,c,v
ok,2024-03-22 11:00:00,9.51,10.0,9.51,9.81,2608578
ok,2024-03-22 11:30:00,9.82,10.32,9.5,9.91,1180752
ok,2024-03-22 12:00:00,9.91,10.14,9.75,9.75,435582
ok,2024-03-22 12:30:00,9.76,9.96,9.59,9.66,389016
ok,2024-03-22 13:00:00,9.66,9.72,9.46,9.51,500357
ok,2024-03-22 13:30:00,9.51,9.6,9.3,9.55,696265
ok,2024-03-22 14:00:00,9.55,9.8,9.39,9.54,826778
ok,2024-03-22 14:30:00,9.57,9.81,9.52,9.6,1473965
ok,2024-03-22 15:00:00,9.55,9.6,9.51,9.51,981
ok,2024-03-22 15:30:00,9.79,9.88,9.79,9.88,10000
ok,2024-03-22 16:30:00,9.8,9.8,9.8,9.8,500
ok,2024-03-22 17:00:00,9.8,9.8,9.8,9.8,846
ok,2024-03-22 18:30:00,9.93,9.93,9.93,9.93,200
ok,2024-03-25 06:00:00,9.6,9.6,9.6,9.6,499
ok,2024-03-25 07:30:00,9.7,9.7,9.7,9.7,200
ok,2024-03-25 08:30:00,9.31,9.6,9.31,9.53,62474
ok,2024-03-25 09:00:00,9.59,9.95,9.5,9.85,73804
ok,2024-03-25 09:30:00,9.81,9.97,9.72,9.93,171822
ok,2024-03-25 10:00:00,9.94,10.2,9.72,9.98,152950
ok,2024-03-25 10:30:00,9.94,9.99,9.77,9.84,51098
ok,2024-03-25 11:00:00,9.84,9.98,9.8,9.91,82409
ok,2024-03-25 11:30:00,9.91,10.04,9.84,9.97,107596
ok,2024-03-25 12:00:00,9.96,10.03,9.92,10.01,80178
ok,2024-03-25 12:30:00,10.01,10.1,9.99,10.04,85499
ok,2024-03-25 13:00:00,10.04,10.08,9.85,9.97,105576
ok,2024-03-25 13:30:00,9.97,10.0,9.81,9.98,246658
ok,2024-03-25 14:00:00,9.96,10.05,9.95,10.05,349315
ok,2024-03-25 14:30:00,10.04,10.05,9.85,9.92,481227
ok,2024-03-26 08:30:00,10.11,10.23,10.0,10.11,27736
ok,2024-03-26 09:00:00,10.07,10.15,10.07,10.12,45355
ok,2024-03-26 09:30:00,10.14,10.4,10.04,10.31,65226
ok,2024-03-26 10:00:00,10.34,10.51,10.24,10.49,67539
ok,2024-03-26 10:30:00,10.49,10.7,10.48,10.52,50183
ok,2024-03-26 11:00:00,10.52,10.69,10.5,10.64,57441
ok,2024-03-26 11:30:00,10.64,10.65,10.5,10.57,22718
ok,2024-03-26 12:00:00,10.57,10.57,10.45,10.52,90354
ok,2024-03-26 12:30:00,10.52,10.53,10.5,10.5,90726
ok,2024-03-26 13:00:00,10.5,10.51,10.25,10.45,87537
ok,2024-03-26 13:30:00,10.5,10.55,10.44,10.53,97177
ok,2024-03-26 14:00:00,10.53,10.53,10.43,10.5,194452
ok,2024-03-26 14:30:00,10.5,10.56,10.17,10.53,139723
ok,2024-03-27 08:30:00,10.42,10.77,10.34,10.56,45581
ok,2024-03-27 09:00:00,10.61,10.74,10.44,10.56,60133
ok,2024-03-27 09:30:00,10.55,10.56,10.42,10.46,100575
ok,2024-03-27 10:00:00,10.45,10.52,10.29,10.46,108721
ok,2024-03-27 10:30:00,10.47,10.64,10.44,10.52,72038
ok,2024-03-27 11:00:00,10.52,10.53,10.5,10.51,20584
ok,2024-03-27 11:30:00,10.5,10.51,10.5,10.5,58837
ok,2024-03-27 12:00:00,10.5,10.51,10.5,10.5,36950
ok,2024-03-27 12:30:00,10.5,10.52,10.5,10.5,63024
ok,2024-03-27 13:00:00,10.5,10.51,10.4,10.4,44360
ok,2024-03-27 13:30:00,10.4,10.41,10.4,10.4,35967
ok,2024-03-27 14:00:00,10.41,10.42,10.4,10.4,49623
ok,2024-03-27 14:30:00,10.4,10.65,10.4,10.65,117837
ok,2024-03-28 07:30:00,10.7,10.7,10.7,10.7,261
ok,2024-03-28 08:30:00,10.8,10.85,10.49,10.64,37387
ok,2024-03-28 09:00:00,10.63,10.63,10.5,10.54,3746
ok,2024-03-28 09:30:00,10.56,10.7,10.52,10.65,26271
ok,2024-03-28 10:00:00,10.66,10.85,10.64,10.85,44546
ok,2024-03-28 10:30:00,10.8,10.8,10.76,10.8,12174
ok,2024-03-28 11:00:00,10.81,10.85,10.62,10.7,87279
ok,2024-03-28 11:30:00,10.69,10.84,10.65,10.73,114630
ok,2024-03-28 12:00:00,10.75,10.79,10.73,10.79,33946
ok,2024-03-28 12:30:00,10.76,10.79,10.76,10.78,3775
ok,2024-03-28 13:00:00,10.78,10.85,10.75,10.83,34631
ok,2024-03-28 13:30:00,10.83,10.85,10.73,10.78,28348
ok,2024-03-28 14:00:00,10.79,10.83,10.72,10.72,48162
ok,2024-03-28 14:30:00,10.71,10.71,10.55,10.68,58859
ok,2024-04-01 08:30:00,10.5,10.7,10.5,10.55,4265
ok,2024-04-01 09:00:00,10.55,10.58,10.41,10.5,50317
ok,2024-04-01 09:30:00,10.5,10.53,10.49,10.5,47207
ok,2024-04-01 10:00:00,10.5,10.51,10.49,10.5,25131
ok,2024-04-01 10:30:00,10.5,10.51,10.5,10.5,36008
ok,2024-04-01 11:00:00,10.5,10.54,10.5,10.5,29444
ok,2024-04-01 11:30:00,10.5,10.52,10.49,10.51,43803
ok,2024-04-01 12:00:00,10.5,10.51,10.49,10.5,47267
ok,2024-04-01 12:30:00,10.5,10.51,10.21,10.4,23356
ok,2024-04-01 13:00:00,10.5,10.5,10.34,10.35,2713
ok,2024-04-01 13:30:00,10.39,10.54,10.3,10.42,49849
ok,2024-04-01 14:00:00,10.41,10.44,10.3,10.38,42462
ok,2024-04-01 14:30:00,10.42,10.52,10.36,10.52,121426
ok,2024-04-02 08:30:00,10.56,10.56,9.99,10.16,44019
ok,2024-04-02 09:00:00,10.14,10.21,10.01,10.12,59587
ok,2024-04-02 09:30:00,10.1,10.23,10.1,10.2,24390
ok,2024-04-02 10:00:00,10.2,10.28,10.2,10.23,22633
ok,2024-04-02 10:30:00,10.22,10.23,10.2,10.2,36313
ok,2024-04-02 11:00:00,10.2,10.2,10.0,10.0,45273
ok,2024-04-02 11:30:00,9.99,10.04,9.92,9.96,32314
ok,2024-04-02 12:00:00,9.95,9.99,9.87,9.98,32105
ok,2024-04-02 12:30:00,9.98,9.98,9.9,9.9,21780
ok,2024-04-02 13:00:00,9.88,9.91,9.79,9.86,55525
ok,2024-04-02 13:30:00,9.87,9.95,9.85,9.92,40428
ok,2024-04-02 14:00:00,9.91,9.92,9.89,9.92,39370
ok,2024-04-02 14:30:00,9.92,9.97,9.9,9.92,88175
ok,2024-04-03 08:30:00,9.92,9.97,9.46,9.51,34288
ok,2024-04-03 09:00:00,9.51,9.53,9.33,9.45,79451
ok,2024-04-03 09:30:00,9.44,9.56,9.2,9.23,63978
ok,2024-04-03 10:00:00,9.24,9.26,9.16,9.2,79240
ok,2024-04-03 10:30:00,9.2,9.22,9.2,9.2,52751
ok,2024-04-03 11:00:00,9.2,9.2,9.07,9.13,148839
ok,2024-04-03 11:30:00,9.13,9.24,9.11,9.16,34143
ok,2024-04-03 12:00:00,9.16,9.22,9.15,9.2,40087
ok,2024-04-03 12:30:00,9.2,9.32,9.2,9.25,68377
ok,2024-04-03 13:00:00,9.27,9.29,9.2,9.27,51943
ok,2024-04-03 13:30:00,9.28,9.33,9.24,9.27,54858
ok,2024-04-03 14:00:00,9.27,9.35,9.22,9.29,93088
ok,2024-04-03 14:30:00,9.29,9.4,9.23,9.25,276267
ok,2024-04-04 07:00:00,9.43,9.43,9.43,9.43,200
ok,2024-04-04 08:30:00,9.19,9.52,9.18,9.3,17038
ok,2024-04-04 09:00:00,9.3,9.3,9.2,9.26,19092
ok,2024-04-04 09:30:00,9.25,9.27,9.22,9.23,29878
ok,2024-04-04 10:00:00,9.25,9.26,9.18,9.21,37250
ok,2024-04-04 10:30:00,9.22,9.25,9.2,9.25,41997
ok,2024-04-04 11:00:00,9.25,9.25,9.2,9.22,41829
ok,2024-04-04 11:30:00,9.22,9.23,9.21,9.22,24081
ok,2024-04-04 12:00:00,9.22,9.23,9.18,9.22,134728
ok,2024-04-04 12:30:00,9.22,9.23,9.2,9.2,15241
ok,2024-04-04 13:00:00,9.2,9.26,9.2,9.26,230081
ok,2024-04-04 13:30:00,9.26,9.33,9.24,9.32,54754
ok,2024-04-04 14:00:00,9.32,9.36,9.3,9.3,41097
ok,2024-04-04 14:30:00,9.3,9.44,9.3,9.4,259627
ok,2024-04-05 08:30:00,9.26,9.63,9.26,9.39,22599
ok,2024-04-05 09:00:00,9.39,9.4,9.32,9.33,13484
ok,2024-04-05 09:30:00,9.35,9.36,9.21,9.23,57896
ok,2024-04-05 10:00:00,9.23,9.34,9.22,9.25,47537
