s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.26,0.26,0.25,0.26,9197
ok,2024-01-02 10:00:00,0.26,0.26,0.25,0.25,2157
ok,2024-01-02 10:30:00,0.25,0.25,0.25,0.25,5617
ok,2024-01-02 11:00:00,0.26,0.26,0.25,0.26,1975
ok,2024-01-02 11:30:00,0.26,0.26,0.25,0.25,697
ok,2024-01-02 12:00:00,0.26,0.26,0.25,0.25,302
ok,2024-01-02 12:30:00,0.25,0.25,0.25,0.25,310
ok,2024-01-02 13:00:00,0.26,0.26,0.26,0.26,396
ok,2024-01-02 13:30:00,0.26,0.26,0.26,0.26,500
ok,2024-01-02 14:00:00,0.26,0.26,0.26,0.26,650
ok,2024-01-02 14:30:00,0.25,0.25,0.25,0.25,570
ok,2024-01-02 15:00:00,0.25,0.26,0.25,0.26,600
ok,2024-01-02 15:30:00,0.26,0.26,0.26,0.26,1292
ok,2024-01-02 16:00:00,0.25,0.25,0.25,0.25,3000
ok,2024-01-02 19:30:00,0.26,0.26,0.26,0.26,3320
ok,2024-01-03 09:30:00,0.26,0.26,0.25,0.25,1062
ok,2024-01-03 10:00:00,0.25,0.25,0.24,0.24,9317
ok,2024-01-03 10:30:00,0.24,0.25,0.23,0.24,23038
ok,2024-01-03 11:00:00,0.24,0.24,0.24,0.24,4025
ok,2024-01-03 12:00:00,0.24,0.24,0.24,0.24,875
ok,2024-01-03 12:30:00,0.24,0.24,0.22,0.22,38406
ok,2024-01-03 13:00:00,0.23,0.23,0.22,0.23,2626
ok,2024-01-03 13:30:00,0.23,0.24,0.23,0.24,9600
ok,2024-01-03 14:00:00,0.23,0.24,0.22,0.24,950
ok,2024-01-03 14:30:00,0.22,0.22,0.22,0.22,100
ok,2024-01-03 15:00:00,0.22,0.22,0.22,0.22,1060
ok,2024-01-03 15:30:00,0.23,0.24,0.23,0.23,1994
ok,2024-01-03 16:00:00,0.24,0.24,0.24,0.24,200
ok,2024-01-03 18:30:00,0.25,0.25,0.25,0.25,19750
ok,2024-01-04 04:00:00,0.23,0.23,0.23,0.23,954
ok,2024-01-04 09:30:00,0.23,0.23,0.23,0.23,1834
ok,2024-01-04 10:00:00,0.25,0.25,0.25,0.25,100
ok,2024-01-04 10:30:00,0.25,0.25,0.25,0.25,5000
ok,2024-01-04 11:00:00,0.25,0.25,0.23,0.25,1343
ok,2024-01-04 11:30:00,0.25,0.25,0.24,0.25,2088
ok,2024-01-04 12:00:00,0.25,0.25,0.24,0.25,1314
ok,2024-01-04 12:30:00,0.24,0.25,0.23,0.25,613
ok,2024-01-04 13:00:00,0.25,0.25,0.25,0.25,500
ok,2024-01-04 15:00:00,0.24,0.24,0.24,0.24,1200
ok,2024-01-04 15:30:00,0.23,0.23,0.23,0.23,433
ok,2024-01-04 19:00:00,0.24,0.26,0.24,0.26,202
ok,2024-01-04 19:30:00,0.26,0.26,0.26,0.26,1700
ok,2024-01-05 04:00:00,0.23,0.23,0.23,0.23,1000
ok,2024-01-05 08:00:00,0.28,0.28,0.25,0.28,5426
ok,2024-01-05 08:30:00,0.25,0.25,0.25,0.25,201
ok,2024-01-05 09:00:00,0.24,0.24,0.23,0.23,700
ok,2024-01-05 09:30:00,0.23,0.25,0.23,0.25,4771
ok,2024-01-05 10:00:00,0.24,0.26,0.24,0.26,5542
ok,2024-01-05 10:30:00,0.26,0.26,0.24,0.25,4510
ok,2024-01-05 11:00:00,0.25,0.26,0.24,0.25,4536
ok,2024-01-05 11:30:00,0.23,0.25,0.23,0.25,2205
ok,2024-01-05 12:00:00,0.25,0.25,0.24,0.25,7210
ok,2024-01-05 12:30:00,0.25,0.26,0.24,0.26,5926
ok,2024-01-05 13:00:00,0.24,0.26,0.24,0.26,1386
ok,2024-01-05 14:00:00,0.24,0.26,0.24,0.26,1200
ok,2024-01-05 14:30:00,0.25,0.27,0.25,0.27,20225
ok,2024-01-05 15:00:00,0.26,0.27,0.24,0.24,1205
ok,2024-01-05 15:30:00,0.25,0.25,0.25,0.25,519
ok,2024-01-05 16:00:00,0.25,0.25,0.25,0.25,1000
ok,2024-01-05 17:30:00,0.27,0.27,0.27,0.27,225
ok,2024-01-05 18:00:00,0.26,0.26,0.26,0.26,700
ok,2024-01-08 06:00:00,0.24,0.25,0.24,0.25,1877
ok,2024-01-08 09:30:00,0.24,0.24,0.23,0.23,12323
ok,2024-01-08 10:00:00,0.24,0.25,0.23,0.25,2088
ok,2024-01-08 10:30:00,0.24,0.25,0.24,0.25,3700
ok,2024-01-08 11:00:00,0.25,0.25,0.24,0.25,650
ok,2024-01-08 12:00:00,0.24,0.25,0.23,0.25,2228
ok,2024-01-08 13:00:00,0.23,0.25,0.23,0.25,1978
ok,2024-01-08 13:30:00,0.23,0.25,0.23,0.25,2738
ok,2024-01-08 14:00:00,0.25,0.25,0.23,0.25,2323
ok,2024-01-08 14:30:00,0.23,0.25,0.23,0.25,408
ok,2024-01-08 15:30:00,0.24,0.25,0.24,0.25,7056
ok,2024-01-08 19:30:00,0.28,0.28,0.28,0.28,300
ok,2024-01-09 05:30:00,0.23,0.23,0.23,0.23,202
ok,2024-01-09 08:30:00,0.28,0.28,0.26,0.26,407
ok,2024-01-09 09:00:00,0.28,0.28,0.28,0.28,191
ok,2024-01-09 09:30:00,0.25,0.25,0.25,0.25,1711
ok,2024-01-09 10:00:00,0.25,0.28,0.25,0.27,62114
ok,2024-01-09 10:30:00,0.27,0.27,0.26,0.27,6845
ok,2024-01-09 11:00:00,0.26,0.27,0.26,0.27,5232
ok,2024-01-09 11:30:00,0.27,0.27,0.27,0.27,250
ok,2024-01-09 12:00:00,0.27,0.28,0.27,0.28,23016
ok,2024-01-09 12:30:00,0.27,0.28,0.25,0.28,3040
ok,2024-01-09 13:30:00,0.28,0.28,0.26,0.28,4919
ok,2024-01-09 14:00:00,0.26,0.28,0.26,0.28,200
ok,2024-01-09 14:30:00,0.26,0.28,0.26,0.28,8106
ok,2024-01-09 15:00:00,0.27,0.27,0.27,0.27,555
ok,2024-01-09 15:30:00,0.26,0.27,0.26,0.26,3361
ok,2024-01-09 16:00:00,0.28,0.28,0.26,0.26,1200
ok,2024-01-09 16:30:00,0.27,0.27,0.27,0.27,100
ok,2024-01-09 17:00:00,0.26,0.26,0.26,0.26,2000
ok,2024-01-10 08:30:00,0.27,0.27,0.27,0.27,200
ok,2024-01-10 09:00:00,0.27,0.27,0.27,0.27,300
ok,2024-01-10 09:30:00,0.26,0.26,0.25,0.26,24507
ok,2024-01-10 10:00:00,0.27,0.27,0.27,0.27,190
ok,2024-01-10 10:30:00,0.27,0.27,0.26,0.27,1007
ok,2024-01-10 11:30:00,0.26,0.26,0.26,0.26,350
ok,2024-01-10 12:30:00,0.26,0.26,0.26,0.26,562
ok,2024-01-10 13:30:00,0.26,0.27,0.26,0.27,205
ok,2024-01-10 14:30:00,0.27,0.27,0.26,0.27,765
ok,2024-01-10 15:00:00,0.27,0.27,0.27,0.27,1683
ok,2024-01-10 15:30:00,0.26,0.27,0.26,0.26,5769
ok,2024-01-11 07:00:00,0.27,0.27,0.27,0.27,100
ok,2024-01-11 09:30:00,0.26,0.27,0.26,0.26,988
ok,2024-01-11 10:00:00,0.27,0.27,0.26,0.26,536
ok,2024-01-11 10:30:00,0.26,0.26,0.25,0.26,10880
ok,2024-01-11 11:00:00,0.26,0.26,0.26,0.26,700
ok,2024-01-11 11:30:00,0.25,0.26,0.25,0.26,1000
ok,2024-01-11 12:30:00,0.26,0.26,0.26,0.26,4558
ok,2024-01-11 13:30:00,0.26,0.26,0.26,0.26,1086
ok,2024-01-11 14:30:00,0.26,0.26,0.25,0.25,1600
ok,2024-01-11 15:00:00,0.26,0.26,0.26,0.26,743
ok,2024-01-11 15:30:00,0.26,0.26,0.25,0.25,3419
ok,2024-01-11 16:30:00,0.25,0.25,0.25,0.25,607
ok,2024-01-11 17:30:00,0.26,0.26,0.26,0.26,200
ok,2024-01-12 08:00:00,0.25,0.25,0.25,0.25,100
ok,2024-01-12 09:30:00,0.25,0.25,0.25,0.25,4300
ok,2024-01-12 10:00:00,0.26,0.26,0.26,0.26,100
ok,2024-01-12 10:30:00,0.26,0.26,0.26,0.26,200
ok,2024-01-12 11:30:00,0.26,0.26,0.25,0.26,1077
ok,2024-01-12 12:00:00,0.25,0.25,0.25,0.25,497
ok,2024-01-12 12:30:00,0.25,0.25,0.24,0.25,3702
ok,2024-01-12 13:30:00,0.25,0.25,0.25,0.25,290
ok,2024-01-12 14:00:00,0.25,0.25,0.25,0.25,467
ok,2024-01-12 14:30:00,0.25,0.25,0.25,0.25,506
ok,2024-01-12 15:30:00,0.25,0.25,0.25,0.25,544
ok,2024-01-16 07:00:00,0.24,0.25,0.24,0.25,602
ok,2024-01-16 08:30:00,0.26,0.26,0.26,0.26,1000
ok,2024-01-16 09:30:00,0.25,0.25,0.25,0.25,3311
ok,2024-01-16 10:00:00,0.24,0.25,0.24,0.25,500
ok,2024-01-16 10:30:00,0.24,0.24,0.24,0.24,325
ok,2024-01-16 12:30:00,0.25,0.25,0.24,0.24,300
ok,2024-01-16 13:00:00,0.24,0.24,0.24,0.24,740
ok,2024-01-16 14:00:00,0.24,0.25,0.24,0.25,15631
ok,2024-01-16 15:00:00,0.24,0.24,0.24,0.24,2000
ok,2024-01-17 07:00:00,0.25,0.25,0.25,0.25,100
ok,2024-01-17 09:00:00,0.24,0.24,0.24,0.24,700
ok,2024-01-17 09:30:00,0.24,0.25,0.24,0.24,6700
ok,2024-01-17 10:00:00,0.24,0.25,0.24,0.25,398
ok,2024-01-17 10:30:00,0.24,0.25,0.24,0.25,1310
ok,2024-01-17 11:00:00,0.24,0.25,0.24,0.25,1106
ok,2024-01-17 11:30:00,0.25,0.25,0.25,0.25,500
ok,2024-01-17 12:30:00,0.24,0.25,0.24,0.25,2500
ok,2024-01-17 14:00:00,0.25,0.25,0.25,0.25,120
ok,2024-01-17 15:30:00,0.24,0.24,0.23,0.23,9148
ok,2024-01-17 19:00:00,0.24,0.24,0.24,0.24,905
ok,2024-01-18 08:00:00,0.24,0.24,0.24,0.24,1000
ok,2024-01-18 09:00:00,0.24,0.24,0.24,0.24,600
ok,2024-01-18 09:30:00,0.24,0.24,0.23,0.23,4307
ok,2024-01-18 10:00:00,0.24,0.24,0.24,0.24,13153
ok,2024-01-18 10:30:00,0.24,0.25,0.24,0.25,3304
