s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,2.19,2.2,2.19,2.2,515
ok,2024-01-02 06:00:00,2.24,2.24,2.24,2.24,118
ok,2024-01-02 06:30:00,2.36,2.36,2.36,2.36,250
ok,2024-01-02 07:00:00,2.33,2.34,2.33,2.34,1682
ok,2024-01-02 07:30:00,2.33,2.33,2.33,2.33,200
ok,2024-01-02 08:00:00,2.34,2.34,2.28,2.3,5112
ok,2024-01-02 08:30:00,2.3,2.3,2.26,2.26,615
ok,2024-01-02 09:00:00,2.26,2.29,2.25,2.29,1300
ok,2024-01-02 09:30:00,2.35,2.45,2.28,2.43,26303
ok,2024-01-02 10:00:00,2.43,2.49,2.38,2.46,15997
ok,2024-01-02 10:30:00,2.49,2.64,2.48,2.6,96732
ok,2024-01-02 11:00:00,2.58,2.65,2.57,2.63,52688
ok,2024-01-02 11:30:00,2.64,2.78,2.62,2.78,104589
ok,2024-01-02 12:00:00,2.76,2.77,2.57,2.6,36624
ok,2024-01-02 12:30:00,2.66,2.67,2.57,2.57,52251
ok,2024-01-02 13:00:00,2.56,2.6,2.56,2.58,10649
ok,2024-01-02 13:30:00,2.57,2.66,2.57,2.6,7193
ok,2024-01-02 14:00:00,2.6,2.64,2.6,2.64,14953
ok,2024-01-02 14:30:00,2.64,2.7,2.64,2.7,20408
ok,2024-01-02 15:00:00,2.72,2.81,2.66,2.7,58037
ok,2024-01-02 15:30:00,2.73,2.76,2.66,2.68,43645
ok,2024-01-02 16:00:00,2.68,2.68,2.68,2.68,475
ok,2024-01-02 16:30:00,2.74,2.74,2.64,2.69,3994
ok,2024-01-02 17:00:00,2.65,2.65,2.65,2.65,3000
ok,2024-01-02 18:00:00,2.65,2.73,2.52,2.59,4163
ok,2024-01-02 18:30:00,2.59,2.61,2.59,2.61,1226
ok,2024-01-02 19:00:00,2.68,2.7,2.68,2.68,700
ok,2024-01-02 19:30:00,2.68,2.68,2.55,2.55,1174
ok,2024-01-03 04:00:00,2.68,2.68,2.68,2.68,421
ok,2024-01-03 04:30:00,2.68,2.68,2.68,2.68,7500
ok,2024-01-03 05:00:00,2.7,2.7,2.69,2.7,638
ok,2024-01-03 05:30:00,2.83,2.83,2.82,2.82,542
ok,2024-01-03 06:00:00,2.87,2.88,2.82,2.82,7800
ok,2024-01-03 06:30:00,2.84,2.84,2.83,2.83,383
ok,2024-01-03 07:00:00,2.83,2.83,2.68,2.68,6734
ok,2024-01-03 07:30:00,2.68,2.7,2.68,2.68,3650
ok,2024-01-03 08:00:00,2.68,2.7,2.68,2.7,1225
ok,2024-01-03 08:30:00,2.62,2.64,2.62,2.64,472
ok,2024-01-03 09:00:00,2.64,2.77,2.64,2.73,6391
ok,2024-01-03 09:30:00,2.77,2.77,2.61,2.69,77500
ok,2024-01-03 10:00:00,2.69,2.71,2.5,2.55,99946
ok,2024-01-03 10:30:00,2.54,2.55,2.47,2.54,23435
ok,2024-01-03 11:00:00,2.55,2.55,2.5,2.5,47716
ok,2024-01-03 11:30:00,2.52,2.52,2.5,2.52,9342
ok,2024-01-03 12:00:00,2.51,2.52,2.5,2.5,6843
ok,2024-01-03 12:30:00,2.52,2.55,2.52,2.55,6160
ok,2024-01-03 13:00:00,2.54,2.55,2.51,2.55,904
ok,2024-01-03 13:30:00,2.5,2.54,2.5,2.54,303
ok,2024-01-03 14:00:00,2.54,2.55,2.5,2.52,7813
ok,2024-01-03 14:30:00,2.51,2.51,2.48,2.5,27207
ok,2024-01-03 15:00:00,2.48,2.49,2.44,2.45,10657
ok,2024-01-03 15:30:00,2.42,2.46,2.42,2.46,20635
ok,2024-01-03 18:00:00,2.46,2.48,2.45,2.45,1268
ok,2024-01-03 18:30:00,2.46,2.46,2.46,2.46,200
ok,2024-01-03 19:00:00,2.46,2.46,2.46,2.46,150
ok,2024-01-03 19:30:00,2.48,2.48,2.48,2.48,363
ok,2024-01-04 06:30:00,2.45,2.45,2.45,2.45,101
ok,2024-01-04 07:00:00,2.4,2.4,2.4,2.4,182
ok,2024-01-04 08:00:00,2.36,2.53,2.33,2.33,2412
ok,2024-01-04 08:30:00,2.45,2.5,2.44,2.5,2659
ok,2024-01-04 09:00:00,2.45,2.5,2.45,2.5,737
ok,2024-01-04 09:30:00,2.44,2.46,2.4,2.43,10908
ok,2024-01-04 10:00:00,2.44,2.44,2.27,2.28,24130
ok,2024-01-04 10:30:00,2.29,2.4,2.29,2.4,20138
ok,2024-01-04 11:00:00,2.38,2.47,2.38,2.41,14047
ok,2024-01-04 11:30:00,2.4,2.43,2.4,2.41,6865
ok,2024-01-04 12:00:00,2.39,2.39,2.27,2.32,22089
ok,2024-01-04 12:30:00,2.3,2.31,2.3,2.31,1103
ok,2024-01-04 13:00:00,2.31,2.33,2.29,2.31,5647
ok,2024-01-04 13:30:00,2.3,2.3,2.28,2.28,8451
ok,2024-01-04 14:00:00,2.29,2.31,2.28,2.29,12747
ok,2024-01-04 14:30:00,2.31,2.31,2.24,2.26,6052
ok,2024-01-04 15:00:00,2.26,2.27,2.23,2.25,4496
ok,2024-01-04 15:30:00,2.25,2.27,2.23,2.24,19923
ok,2024-01-04 16:30:00,2.34,2.47,2.34,2.47,451
ok,2024-01-04 17:30:00,2.27,2.27,2.27,2.27,125
ok,2024-01-04 19:30:00,2.29,2.38,2.29,2.38,1750
ok,2024-01-05 05:00:00,2.26,2.26,2.26,2.26,200
ok,2024-01-05 07:00:00,2.28,2.28,2.24,2.24,1600
ok,2024-01-05 07:30:00,2.29,2.29,2.29,2.29,1036
ok,2024-01-05 08:00:00,2.33,2.33,2.33,2.33,101
ok,2024-01-05 08:30:00,2.3,2.3,2.26,2.26,4000
ok,2024-01-05 09:30:00,2.26,2.29,2.18,2.24,27774
ok,2024-01-05 10:00:00,2.24,2.33,2.24,2.31,13118
ok,2024-01-05 10:30:00,2.28,2.3,2.2,2.22,12404
ok,2024-01-05 11:00:00,2.2,2.2,2.08,2.08,56426
ok,2024-01-05 11:30:00,2.12,2.17,2.1,2.1,35946
ok,2024-01-05 12:00:00,2.1,2.12,2.1,2.12,9382
ok,2024-01-05 12:30:00,2.14,2.2,2.14,2.2,8691
ok,2024-01-05 13:00:00,2.2,2.27,2.19,2.19,8728
ok,2024-01-05 13:30:00,2.22,2.22,2.21,2.21,487
ok,2024-01-05 14:00:00,2.23,2.33,2.22,2.25,42136
ok,2024-01-05 14:30:00,2.24,2.28,2.23,2.24,6016
ok,2024-01-05 15:00:00,2.26,2.28,2.23,2.27,5974
ok,2024-01-05 15:30:00,2.27,2.31,2.22,2.23,15982
ok,2024-01-05 19:30:00,2.24,2.24,2.24,2.24,719
ok,2024-01-08 05:30:00,2.16,2.16,2.16,2.16,112
ok,2024-01-08 06:30:00,2.16,2.16,2.16,2.16,254
ok,2024-01-08 07:30:00,2.25,2.25,2.11,2.16,2712
ok,2024-01-08 08:00:00,2.16,2.16,2.12,2.12,6117
ok,2024-01-08 08:30:00,2.12,2.16,2.12,2.16,2804
ok,2024-01-08 09:00:00,2.15,2.16,2.15,2.16,1026
ok,2024-01-08 09:30:00,2.16,2.22,2.16,2.18,3051
ok,2024-01-08 10:00:00,2.17,2.23,2.15,2.17,8360
ok,2024-01-08 10:30:00,2.23,2.23,2.15,2.19,2115
ok,2024-01-08 11:00:00,2.23,2.23,2.15,2.15,2727
ok,2024-01-08 11:30:00,2.2,2.2,2.17,2.17,4775
ok,2024-01-08 12:30:00,2.17,2.22,2.17,2.22,991
ok,2024-01-08 13:00:00,2.16,2.18,2.16,2.16,5977
ok,2024-01-08 13:30:00,2.2,2.27,2.18,2.27,8887
ok,2024-01-08 14:00:00,2.28,2.3,2.28,2.29,6541
ok,2024-01-08 14:30:00,2.3,2.36,2.3,2.34,6058
ok,2024-01-08 15:00:00,2.31,2.31,2.25,2.29,19568
ok,2024-01-08 15:30:00,2.28,2.3,2.26,2.27,4329
ok,2024-01-08 17:30:00,2.23,2.23,2.23,2.23,809
ok,2024-01-09 08:30:00,2.25,2.25,2.25,2.25,200
ok,2024-01-09 09:30:00,2.29,2.41,2.28,2.41,14546
ok,2024-01-09 10:00:00,2.47,2.48,2.41,2.43,6481
ok,2024-01-09 10:30:00,2.44,2.48,2.44,2.48,7551
ok,2024-01-09 11:00:00,2.42,2.59,2.42,2.53,44467
ok,2024-01-09 11:30:00,2.52,2.63,2.5,2.63,37398
ok,2024-01-09 12:00:00,2.6,2.81,2.53,2.71,62048
ok,2024-01-09 12:30:00,2.76,2.79,2.6,2.63,39442
ok,2024-01-09 13:00:00,2.64,2.7,2.63,2.7,28579
ok,2024-01-09 13:30:00,2.7,2.77,2.7,2.77,43065
ok,2024-01-09 14:00:00,2.77,2.79,2.67,2.71,38619
ok,2024-01-09 14:30:00,2.72,2.77,2.71,2.75,9308
ok,2024-01-09 15:00:00,2.75,2.75,2.62,2.71,28785
