s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,2.64,2.8,2.64,2.8,530
ok,2024-01-02 10:00:00,2.8,2.8,2.8,2.8,100
ok,2024-01-02 10:30:00,2.8,2.8,2.79,2.79,300
ok,2024-01-02 11:00:00,2.79,2.79,2.79,2.79,100
ok,2024-01-02 12:00:00,2.79,2.79,2.79,2.79,100
ok,2024-01-02 13:00:00,2.78,2.86,2.78,2.86,2419
ok,2024-01-02 14:30:00,2.9,2.9,2.9,2.9,100
ok,2024-01-02 15:00:00,2.9,2.9,2.9,2.9,300
ok,2024-01-02 18:00:00,2.76,2.76,2.76,2.76,250
ok,2024-01-03 09:30:00,2.86,2.87,2.85,2.87,1795
ok,2024-01-03 10:00:00,2.8,2.8,2.8,2.8,590
ok,2024-01-03 10:30:00,2.79,2.79,2.79,2.79,1000
ok,2024-01-03 11:00:00,2.73,2.74,2.73,2.73,3505
ok,2024-01-03 11:30:00,2.68,2.68,2.68,2.68,200
ok,2024-01-03 12:00:00,2.71,2.74,2.71,2.74,2324
ok,2024-01-03 12:30:00,2.71,2.73,2.71,2.73,504
ok,2024-01-03 13:00:00,2.72,2.72,2.72,2.72,718
ok,2024-01-03 13:30:00,2.72,2.72,2.7,2.72,900
ok,2024-01-03 14:00:00,2.72,2.72,2.7,2.7,2200
ok,2024-01-03 14:30:00,2.73,2.73,2.72,2.73,795
ok,2024-01-03 15:00:00,2.79,2.79,2.79,2.79,364
ok,2024-01-03 15:30:00,2.82,2.82,2.79,2.79,534
ok,2024-01-04 09:30:00,2.69,2.69,2.69,2.69,286
ok,2024-01-04 10:00:00,2.82,2.82,2.82,2.82,185
ok,2024-01-04 11:00:00,2.76,2.76,2.76,2.76,100
ok,2024-01-04 12:00:00,2.76,2.76,2.75,2.75,413
ok,2024-01-04 13:00:00,2.75,2.75,2.7,2.7,1256
ok,2024-01-04 14:30:00,2.7,2.7,2.7,2.7,900
ok,2024-01-04 18:00:00,2.7,2.7,2.7,2.7,130
ok,2024-01-04 19:30:00,2.7,2.7,2.7,2.7,200
ok,2024-01-05 09:30:00,2.85,2.85,2.76,2.77,533
ok,2024-01-05 10:00:00,2.83,2.83,2.78,2.82,5244
ok,2024-01-05 10:30:00,2.77,2.79,2.77,2.79,1062
ok,2024-01-05 11:00:00,2.77,2.77,2.77,2.77,458
ok,2024-01-05 11:30:00,2.82,2.82,2.8,2.8,1064
ok,2024-01-05 13:00:00,2.8,2.8,2.8,2.8,104
ok,2024-01-05 15:00:00,2.78,2.78,2.78,2.78,102
ok,2024-01-08 09:00:00,2.7,2.7,2.7,2.7,201
ok,2024-01-08 09:30:00,2.85,2.85,2.85,2.85,1004
ok,2024-01-08 10:00:00,2.83,2.84,2.83,2.84,1361
ok,2024-01-08 10:30:00,2.95,2.95,2.95,2.95,285
ok,2024-01-08 11:00:00,2.86,3.24,2.84,2.9,35150
ok,2024-01-08 11:30:00,2.86,2.92,2.86,2.87,1866
ok,2024-01-08 12:00:00,2.98,2.98,2.94,2.94,1132
ok,2024-01-08 12:30:00,2.95,2.95,2.94,2.94,800
ok,2024-01-08 13:00:00,2.99,3.09,2.93,3.02,6632
ok,2024-01-08 13:30:00,3.08,3.1,2.98,2.98,3298
ok,2024-01-08 14:00:00,3.02,3.1,3.0,3.05,2417
ok,2024-01-08 14:30:00,3.07,3.07,3.06,3.06,1247
ok,2024-01-08 15:00:00,3.06,3.08,3.0,3.0,1838
ok,2024-01-08 15:30:00,3.05,3.08,3.05,3.06,1792
ok,2024-01-09 09:00:00,3.06,3.06,3.06,3.06,300
ok,2024-01-09 09:30:00,3.05,3.07,2.99,3.0,3291
ok,2024-01-09 10:00:00,3.0,3.11,3.0,3.0,3833
ok,2024-01-09 10:30:00,3.03,3.03,3.03,3.03,250
ok,2024-01-09 12:30:00,3.04,3.04,3.04,3.04,1500
ok,2024-01-09 13:00:00,3.09,3.15,3.04,3.11,1138
ok,2024-01-09 13:30:00,3.1,3.13,3.1,3.13,901
ok,2024-01-09 14:00:00,3.1,3.1,3.1,3.1,300
ok,2024-01-09 14:30:00,3.1,3.1,3.1,3.1,582
ok,2024-01-09 15:00:00,3.05,3.05,3.0,3.0,4116
ok,2024-01-09 15:30:00,3.03,3.09,3.03,3.09,1575
ok,2024-01-09 16:00:00,3.13,3.14,3.13,3.14,3000
ok,2024-01-10 09:30:00,3.12,3.12,3.05,3.05,1418
ok,2024-01-10 10:00:00,3.1,3.1,3.0,3.08,1485
ok,2024-01-10 10:30:00,3.0,3.0,2.96,2.99,4133
ok,2024-01-10 11:30:00,3.04,3.04,3.03,3.03,814
ok,2024-01-10 12:00:00,3.04,3.04,3.01,3.01,425
ok,2024-01-10 12:30:00,3.04,3.04,2.91,2.91,350
ok,2024-01-10 14:00:00,3.05,3.05,3.05,3.05,200
ok,2024-01-10 14:30:00,3.01,3.01,3.0,3.0,1350
ok,2024-01-10 15:00:00,3.0,3.01,3.0,3.0,4008
ok,2024-01-10 15:30:00,3.04,3.04,3.04,3.04,211
ok,2024-01-11 09:30:00,3.02,3.02,3.02,3.02,223
ok,2024-01-11 10:00:00,2.9,2.99,2.9,2.98,2760
ok,2024-01-11 10:30:00,2.99,2.99,2.99,2.99,400
ok,2024-01-11 11:30:00,2.93,2.93,2.93,2.93,100
ok,2024-01-11 12:00:00,3.0,3.0,2.96,2.96,200
ok,2024-01-11 12:30:00,2.96,2.96,2.96,2.96,663
ok,2024-01-11 15:00:00,3.0,3.0,3.0,3.0,500
ok,2024-01-11 16:00:00,2.93,2.93,2.93,2.93,277
ok,2024-01-12 10:30:00,3.0,3.0,2.9,2.92,2316
ok,2024-01-12 11:00:00,2.87,2.87,2.87,2.87,300
ok,2024-01-12 11:30:00,2.95,2.95,2.92,2.92,800
ok,2024-01-12 12:30:00,2.96,2.96,2.96,2.96,1286
ok,2024-01-12 13:00:00,2.93,2.97,2.93,2.97,3281
ok,2024-01-12 13:30:00,3.04,3.04,2.92,2.98,9774
ok,2024-01-12 14:30:00,2.99,2.99,2.99,2.99,1752
ok,2024-01-12 15:30:00,3.0,3.0,2.92,2.92,758
ok,2024-01-12 19:30:00,2.8,2.8,2.58,2.58,3131
ok,2024-01-16 09:30:00,2.81,2.89,2.81,2.89,2478
ok,2024-01-16 10:30:00,2.8,2.8,2.8,2.8,1225
ok,2024-01-16 11:00:00,2.76,2.76,2.75,2.75,2650
ok,2024-01-16 11:30:00,2.7,2.7,2.7,2.7,2002
ok,2024-01-16 12:00:00,2.74,2.74,2.74,2.74,250
ok,2024-01-16 12:30:00,2.73,2.76,2.73,2.76,1403
ok,2024-01-16 13:00:00,2.76,2.76,2.76,2.76,500
ok,2024-01-16 13:30:00,2.81,2.81,2.76,2.8,720
ok,2024-01-16 15:00:00,2.77,2.8,2.76,2.76,1441
ok,2024-01-16 15:30:00,2.76,2.76,2.7,2.7,3388
ok,2024-01-17 09:30:00,2.84,2.84,2.84,2.84,1000
ok,2024-01-17 10:00:00,2.7,2.71,2.7,2.71,1105
ok,2024-01-17 10:30:00,2.84,2.84,2.84,2.84,100
ok,2024-01-17 11:00:00,2.82,2.84,2.71,2.71,1876
ok,2024-01-17 12:00:00,2.7,2.7,2.7,2.7,1097
ok,2024-01-17 12:30:00,2.62,2.64,2.6,2.6,1243
ok,2024-01-17 13:00:00,2.59,2.59,2.59,2.59,512
ok,2024-01-17 13:30:00,2.65,2.71,2.65,2.7,3626
ok,2024-01-17 14:00:00,2.75,2.8,2.75,2.8,1983
ok,2024-01-17 15:30:00,2.65,2.77,2.65,2.77,524
ok,2024-01-18 09:30:00,2.86,2.87,2.77,2.77,2423
ok,2024-01-18 10:00:00,2.68,2.68,2.63,2.64,2186
ok,2024-01-18 11:00:00,2.64,2.72,2.64,2.72,800
ok,2024-01-18 15:00:00,2.69,2.69,2.69,2.69,304
ok,2024-01-18 15:30:00,2.68,2.77,2.67,2.72,1246
ok,2024-01-19 09:30:00,2.86,2.86,2.86,2.86,1036
ok,2024-01-19 10:00:00,2.78,2.78,2.76,2.76,378
ok,2024-01-19 11:30:00,2.65,2.75,2.65,2.66,557
ok,2024-01-19 12:30:00,2.86,2.86,2.86,2.86,100
