s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,8.81,8.81,8.81,8.81,200
ok,2024-01-02 04:30:00,8.81,8.98,8.81,8.98,3104
ok,2024-01-02 05:00:00,9.03,9.03,9.03,9.03,130
ok,2024-01-02 05:30:00,9.04,9.04,9.04,9.04,132
ok,2024-01-02 06:00:00,9.29,9.29,9.29,9.29,121
ok,2024-01-02 07:30:00,9.1,9.1,8.98,8.98,695
ok,2024-01-02 08:00:00,9.49,9.49,8.8,9.0,2565
ok,2024-01-02 08:30:00,9.0,9.0,8.84,8.84,887
ok,2024-01-02 09:00:00,8.8,8.81,8.8,8.81,2087
ok,2024-01-02 09:30:00,8.81,8.95,8.6,8.87,27102
ok,2024-01-02 10:00:00,8.8,9.19,8.8,8.93,11459
ok,2024-01-02 10:30:00,9.02,9.2,8.81,9.1,10389
ok,2024-01-02 11:00:00,8.92,9.36,8.91,9.08,19644
ok,2024-01-02 11:30:00,9.03,9.03,8.96,9.0,1468
ok,2024-01-02 12:00:00,9.09,9.16,9.09,9.12,1738
ok,2024-01-02 12:30:00,9.0,9.21,9.0,9.1,783
ok,2024-01-02 13:00:00,9.03,9.1,9.03,9.06,722
ok,2024-01-02 14:00:00,9.06,9.06,8.87,8.87,1467
ok,2024-01-02 14:30:00,8.84,8.86,8.75,8.76,1802
ok,2024-01-02 15:00:00,8.78,8.78,8.62,8.66,4748
ok,2024-01-02 15:30:00,8.71,8.75,8.63,8.63,11170
ok,2024-01-02 16:00:00,8.74,8.75,8.74,8.75,901
ok,2024-01-02 16:30:00,8.71,8.71,8.71,8.71,241
ok,2024-01-02 18:00:00,8.81,8.81,8.81,8.81,442
ok,2024-01-02 19:30:00,9.0,9.0,9.0,9.0,500
ok,2024-01-03 04:30:00,8.43,8.49,8.43,8.49,1623
ok,2024-01-03 05:00:00,8.49,8.49,8.42,8.44,742
ok,2024-01-03 06:00:00,8.35,8.39,8.35,8.39,384
ok,2024-01-03 06:30:00,8.29,8.29,8.26,8.26,224
ok,2024-01-03 07:00:00,8.28,8.99,8.28,8.99,3447
ok,2024-01-03 07:30:00,8.7,8.7,8.7,8.7,266
ok,2024-01-03 08:00:00,8.6,8.9,8.3,8.66,2682
ok,2024-01-03 08:30:00,8.61,8.62,8.53,8.6,942
ok,2024-01-03 09:00:00,8.62,8.62,8.6,8.6,296
ok,2024-01-03 09:30:00,8.43,8.63,8.26,8.33,18572
ok,2024-01-03 10:00:00,8.39,8.42,8.15,8.21,14829
ok,2024-01-03 10:30:00,8.28,8.38,8.12,8.12,17737
ok,2024-01-03 11:00:00,8.18,8.32,8.06,8.12,6577
ok,2024-01-03 11:30:00,8.14,8.16,8.01,8.01,4887
ok,2024-01-03 12:00:00,8.07,8.07,8.02,8.04,3299
ok,2024-01-03 12:30:00,8.04,8.05,8.01,8.05,4357
ok,2024-01-03 13:00:00,8.06,8.12,8.05,8.11,5035
ok,2024-01-03 13:30:00,8.12,8.32,8.12,8.31,8283
ok,2024-01-03 14:00:00,8.3,8.32,8.12,8.21,6421
ok,2024-01-03 14:30:00,8.2,8.22,8.15,8.15,562
ok,2024-01-03 15:00:00,8.14,8.2,8.08,8.2,763
ok,2024-01-03 15:30:00,8.11,8.21,7.85,7.98,24907
ok,2024-01-03 16:00:00,8.25,8.25,8.25,8.25,186
ok,2024-01-03 16:30:00,7.95,7.95,7.91,7.92,1365
ok,2024-01-03 17:00:00,8.0,8.0,8.0,8.0,381
ok,2024-01-03 17:30:00,8.0,8.0,8.0,8.0,439
ok,2024-01-03 18:30:00,7.91,7.91,7.91,7.91,485
ok,2024-01-04 06:00:00,7.98,7.98,7.98,7.98,188
ok,2024-01-04 09:00:00,7.83,7.83,7.8,7.8,784
ok,2024-01-04 09:30:00,7.78,7.89,7.7,7.79,9560
ok,2024-01-04 10:00:00,7.78,7.82,7.75,7.79,1997
ok,2024-01-04 10:30:00,7.9,7.9,7.66,7.75,3930
ok,2024-01-04 11:00:00,7.69,7.74,7.68,7.68,1396
ok,2024-01-04 11:30:00,7.72,8.17,7.69,7.9,17121
ok,2024-01-04 12:00:00,8.17,8.17,7.77,7.77,18195
ok,2024-01-04 12:30:00,7.95,8.14,7.95,8.1,2003
ok,2024-01-04 13:00:00,8.16,8.46,8.14,8.43,4100
ok,2024-01-04 13:30:00,8.4,8.4,8.26,8.26,2352
ok,2024-01-04 14:00:00,8.2,8.29,8.2,8.22,3748
ok,2024-01-04 14:30:00,8.21,8.3,8.09,8.2,3169
ok,2024-01-04 15:00:00,8.3,8.3,8.02,8.2,5085
ok,2024-01-04 15:30:00,8.01,8.3,8.01,8.24,2600
ok,2024-01-04 16:00:00,7.93,7.93,7.93,7.93,100
ok,2024-01-04 16:30:00,8.34,8.34,8.34,8.34,100
ok,2024-01-04 19:30:00,8.02,8.02,8.02,8.02,100
ok,2024-01-05 05:00:00,8.39,8.39,8.39,8.39,130
ok,2024-01-05 08:00:00,8.23,8.23,8.23,8.23,200
ok,2024-01-05 09:30:00,8.22,8.35,8.12,8.25,1362
ok,2024-01-05 10:00:00,8.35,8.43,8.35,8.41,1135
ok,2024-01-05 10:30:00,8.55,8.55,8.3,8.3,5917
ok,2024-01-05 11:00:00,8.58,8.82,8.31,8.31,3684
ok,2024-01-05 11:30:00,8.6,8.6,8.31,8.6,659
ok,2024-01-05 12:00:00,8.41,8.41,8.41,8.41,168
ok,2024-01-05 12:30:00,8.34,8.34,8.34,8.34,272
ok,2024-01-05 13:00:00,8.57,8.57,8.31,8.44,3526
ok,2024-01-05 13:30:00,8.6,8.8,8.6,8.6,3769
ok,2024-01-05 14:00:00,8.56,8.65,8.54,8.54,873
ok,2024-01-05 14:30:00,8.67,8.67,8.56,8.56,1554
ok,2024-01-05 15:00:00,8.49,8.49,8.49,8.49,100
ok,2024-01-05 15:30:00,8.51,8.6,8.48,8.57,1532
ok,2024-01-05 16:00:00,8.41,8.68,8.41,8.67,494
ok,2024-01-08 08:00:00,8.49,8.49,8.49,8.49,150
ok,2024-01-08 09:30:00,8.47,8.47,8.16,8.3,5967
ok,2024-01-08 10:00:00,8.3,8.55,8.22,8.55,7832
ok,2024-01-08 10:30:00,8.52,8.52,8.23,8.39,9906
ok,2024-01-08 11:00:00,8.44,8.44,8.26,8.34,7532
ok,2024-01-08 11:30:00,8.45,8.45,8.29,8.36,1548
ok,2024-01-08 12:00:00,8.39,8.54,8.38,8.54,8433
ok,2024-01-08 12:30:00,8.47,8.6,8.47,8.6,4404
ok,2024-01-08 13:00:00,8.79,8.8,8.62,8.62,1095
ok,2024-01-08 13:30:00,8.66,8.73,8.55,8.62,4601
ok,2024-01-08 14:00:00,8.73,8.79,8.7,8.79,4184
ok,2024-01-08 14:30:00,8.76,9.04,8.74,8.96,9166
ok,2024-01-08 15:00:00,8.88,8.92,8.8,8.92,1811
ok,2024-01-08 15:30:00,8.76,8.81,8.6,8.65,9303
ok,2024-01-08 16:00:00,8.69,8.71,8.69,8.71,304
ok,2024-01-08 17:00:00,9.0,9.0,9.0,9.0,100
ok,2024-01-08 19:30:00,8.75,8.75,8.75,8.75,400
ok,2024-01-09 08:00:00,8.74,9.05,8.74,9.05,219
ok,2024-01-09 09:00:00,8.71,9.07,8.71,9.07,1162
ok,2024-01-09 09:30:00,8.79,8.92,8.46,8.46,3845
ok,2024-01-09 10:00:00,8.51,8.51,8.25,8.46,2933
ok,2024-01-09 10:30:00,8.47,8.47,8.34,8.34,1265
ok,2024-01-09 11:00:00,8.37,8.56,8.37,8.56,366
ok,2024-01-09 12:00:00,8.4,8.4,8.3,8.31,832
ok,2024-01-09 12:30:00,8.47,8.47,8.45,8.45,247
ok,2024-01-09 13:00:00,8.38,8.39,8.38,8.38,385
ok,2024-01-09 13:30:00,8.38,8.38,8.15,8.22,6936
ok,2024-01-09 14:00:00,8.29,8.5,8.29,8.5,10746
ok,2024-01-09 14:30:00,8.38,8.44,8.38,8.44,1101
ok,2024-01-09 15:00:00,8.38,8.38,8.38,8.38,102
ok,2024-01-09 15:30:00,8.41,8.41,8.16,8.26,2630
ok,2024-01-09 16:30:00,8.15,8.15,8.15,8.15,250
ok,2024-01-09 18:30:00,8.4,8.4,8.4,8.4,210
ok,2024-01-10 09:00:00,8.06,8.06,8.06,8.06,150
ok,2024-01-10 09:30:00,8.23,8.31,8.02,8.02,8862
ok,2024-01-10 10:00:00,8.02,8.14,7.8,7.9,10532
ok,2024-01-10 10:30:00,7.9,7.9,7.7,7.71,5275
ok,2024-01-10 11:00:00,7.72,7.78,7.72,7.78,2158
ok,2024-01-10 12:00:00,7.78,7.86,7.75,7.75,8430
ok,2024-01-10 12:30:00,7.76,7.76,7.76,7.76,100
ok,2024-01-10 13:00:00,7.75,7.87,7.73,7.73,2567
ok,2024-01-10 13:30:00,7.72,7.8,7.5,7.6,12102
ok,2024-01-10 14:00:00,7.57,7.62,7.55,7.55,3926
ok,2024-01-10 14:30:00,7.55,7.61,7.55,7.6,1828
ok,2024-01-10 15:00:00,7.62,7.63,7.6,7.6,1977
ok,2024-01-10 15:30:00,7.6,7.6,7.45,7.5,7788
ok,2024-01-10 16:30:00,7.6,7.6,7.6,7.6,300
ok,2024-01-10 17:00:00,7.6,7.93,7.45,7.45,1251
ok,2024-01-11 05:00:00,8.48,8.5,8.48,8.5,784
ok,2024-01-11 06:30:00,7.9,7.9,7.9,7.9,177
ok,2024-01-11 07:00:00,7.91,7.91,7.9,7.9,1022
ok,2024-01-11 08:00:00,7.93,7.93,7.93,7.93,387
ok,2024-01-11 08:30:00,7.81,7.81,7.81,7.81,138
ok,2024-01-11 09:00:00,7.8,7.8,7.62,7.62,503
ok,2024-01-11 09:30:00,7.51,7.59,7.06,7.06,10979
ok,2024-01-11 10:00:00,7.11,7.11,6.83,6.88,9228
ok,2024-01-11 10:30:00,6.9,6.94,6.85,6.94,2768
ok,2024-01-11 11:00:00,6.98,6.98,6.86,6.86,587
ok,2024-01-11 11:30:00,6.87,6.87,6.87,6.87,580
ok,2024-01-11 12:00:00,7.0,7.0,6.9,6.9,1434
ok,2024-01-11 12:30:00,6.91,7.02,6.91,7.02,2594
ok,2024-01-11 13:00:00,7.0,7.0,6.91,6.91,1747
ok,2024-01-11 13:30:00,6.91,6.92,6.91,6.92,853
