s,t,o,h,l,c,v
ok,2024-03-27 11:00:00,12.0,12.0,12.0,12.0,1239
ok,2024-03-27 11:30:00,11.9,12.5,11.9,12.5,1111
ok,2024-03-27 12:00:00,10.0,11.75,9.9,11.75,2821
ok,2024-03-27 12:30:00,12.5,12.6,12.07,12.07,3218
ok,2024-03-27 13:00:00,12.1,12.27,11.35,11.35,748
ok,2024-03-27 13:30:00,12.38,12.5,10.7,10.7,4377
ok,2024-03-27 14:00:00,10.5,10.5,8.51,8.51,2925
ok,2024-03-27 14:30:00,8.99,9.68,8.99,9.5,3845
ok,2024-03-27 15:00:00,10.25,13.99,10.25,13.99,2401
ok,2024-03-27 15:30:00,14.91,16.52,13.31,13.31,851
ok,2024-03-27 16:00:00,14.0,14.0,14.0,14.0,302
ok,2024-03-27 16:30:00,14.0,14.0,14.0,14.0,387
ok,2024-03-27 17:00:00,14.0,14.0,14.0,14.0,105
ok,2024-03-27 17:30:00,17.3,17.3,17.0,17.0,777
ok,2024-03-28 03:00:00,17.8,25.32,17.71,17.71,25246
ok,2024-03-28 03:30:00,17.0,26.0,17.0,22.73,44156
ok,2024-03-28 04:00:00,21.11,21.5,17.73,17.73,15182
ok,2024-03-28 04:30:00,18.1,21.32,18.09,19.37,13714
ok,2024-03-28 05:00:00,18.5,19.51,18.5,19.0,3835
ok,2024-03-28 05:30:00,18.74,20.25,18.74,20.25,3443
ok,2024-03-28 06:00:00,20.6,20.6,18.65,19.07,12027
ok,2024-03-28 06:30:00,19.01,19.02,18.65,18.65,8688
ok,2024-03-28 07:00:00,18.98,20.82,18.0,18.41,8236
ok,2024-03-28 07:30:00,18.13,18.72,15.5,16.73,14314
ok,2024-03-28 08:00:00,16.5,17.3,16.0,16.06,5897
ok,2024-03-28 08:30:00,16.61,16.61,12.51,12.51,51408
ok,2024-03-28 09:00:00,12.51,14.15,11.11,13.06,63418
ok,2024-03-28 09:30:00,13.67,14.1,11.2,11.99,29816
ok,2024-03-28 10:00:00,11.6,12.0,11.21,11.21,4546
ok,2024-03-28 10:30:00,11.25,12.0,11.25,11.5,2561
ok,2024-03-28 11:00:00,11.61,11.98,11.25,11.89,1544
ok,2024-03-28 11:30:00,11.52,12.0,11.5,11.6,3791
ok,2024-03-28 12:00:00,11.69,11.69,11.22,11.25,3650
ok,2024-03-28 13:00:00,11.5,11.5,11.01,11.01,2053
ok,2024-03-28 13:30:00,11.01,11.25,11.0,11.25,5076
ok,2024-03-28 14:00:00,11.23,11.3,10.98,11.28,3408
ok,2024-03-28 14:30:00,11.25,12.92,11.09,12.82,19946
ok,2024-03-28 15:00:00,12.49,12.49,12.49,12.49,175
ok,2024-03-28 17:00:00,11.4,11.4,11.4,11.4,195
ok,2024-03-28 17:30:00,11.0,11.0,11.0,11.0,710
ok,2024-03-28 18:00:00,11.0,11.0,11.0,11.0,1700
ok,2024-03-28 18:30:00,11.0,11.0,11.0,11.0,605
ok,2024-04-01 04:30:00,11.17,11.17,11.17,11.17,100
ok,2024-04-01 05:00:00,10.95,11.73,10.95,11.72,1052
ok,2024-04-01 05:30:00,10.97,10.97,10.97,10.97,179
ok,2024-04-01 06:30:00,10.99,10.99,10.91,10.91,200
ok,2024-04-01 07:30:00,9.29,9.29,8.62,8.62,339
ok,2024-04-01 08:00:00,9.7,9.7,8.81,8.81,1131
ok,2024-04-01 08:30:00,8.96,9.03,8.63,8.71,14784
ok,2024-04-01 09:00:00,8.81,8.97,8.26,8.55,9607
ok,2024-04-01 09:30:00,8.5,8.8,8.3,8.8,5546
ok,2024-04-01 10:00:00,9.65,10.62,9.32,9.37,3866
ok,2024-04-01 10:30:00,9.32,9.32,8.94,9.01,2290
ok,2024-04-01 11:30:00,9.7,9.7,9.16,9.16,1291
ok,2024-04-01 12:00:00,9.29,9.5,9.29,9.46,600
ok,2024-04-01 13:30:00,9.62,10.0,9.61,10.0,1110
