s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.01,0.01,0.01,0.01,66806852
ok,2024-01-02 04:30:00,0.01,0.01,0.01,0.01,26262889
ok,2024-01-02 05:00:00,0.01,0.01,0.01,0.01,24866174
ok,2024-01-02 05:30:00,0.01,0.01,0.01,0.01,11638634
ok,2024-01-02 06:00:00,0.01,0.01,0.01,0.01,7393045
ok,2024-01-02 06:30:00,0.01,0.01,0.01,0.01,6771770
ok,2024-01-02 07:00:00,0.01,0.01,0.01,0.01,24198630
ok,2024-01-02 07:30:00,0.01,0.01,0.01,0.01,19526877
ok,2024-01-02 08:00:00,0.01,0.01,0.01,0.01,68865860
ok,2024-01-02 08:30:00,0.01,0.01,0.01,0.01,34896193
ok,2024-01-02 09:00:00,0.01,0.01,0.01,0.01,46871664
ok,2024-01-02 09:30:00,0.01,0.01,0.01,0.01,238318506
ok,2024-01-02 10:00:00,0.01,0.01,0.01,0.01,78722592
ok,2024-01-02 10:30:00,0.01,0.01,0.01,0.01,83198415
ok,2024-01-02 11:00:00,0.01,0.01,0.01,0.01,62718259
ok,2024-01-02 11:30:00,0.01,0.01,0.01,0.01,36303854
ok,2024-01-02 12:00:00,0.01,0.01,0.01,0.01,28635707
ok,2024-01-02 12:30:00,0.01,0.01,0.01,0.01,32518962
ok,2024-01-02 13:00:00,0.01,0.01,0.01,0.01,31252199
ok,2024-01-02 13:30:00,0.01,0.01,0.01,0.01,37922020
ok,2024-01-02 14:00:00,0.01,0.01,0.01,0.01,20904881
ok,2024-01-02 14:30:00,0.01,0.01,0.01,0.01,38748013
ok,2024-01-02 15:00:00,0.01,0.01,0.01,0.01,51898315
ok,2024-01-02 15:30:00,0.01,0.01,0.01,0.01,67032852
ok,2024-01-02 16:00:00,0.01,0.01,0.01,0.01,8157911
ok,2024-01-02 16:30:00,0.01,0.01,0.01,0.01,4309379
ok,2024-01-02 17:00:00,0.01,0.01,0.01,0.01,4789627
ok,2024-01-02 17:30:00,0.01,0.01,0.01,0.01,6464785
ok,2024-01-02 18:00:00,0.01,0.01,0.01,0.01,2925953
ok,2024-01-02 18:30:00,0.01,0.01,0.01,0.01,1683394
ok,2024-01-02 19:00:00,0.01,0.01,0.01,0.01,2828639
ok,2024-01-02 19:30:00,0.01,0.01,0.01,0.01,4224478
ok,2024-01-03 04:00:00,0.01,0.01,0.01,0.01,10536035
ok,2024-01-03 04:30:00,0.01,0.01,0.01,0.01,3966571
ok,2024-01-03 05:00:00,0.01,0.01,0.01,0.01,1506455
ok,2024-01-03 05:30:00,0.01,0.01,0.01,0.01,3400818
ok,2024-01-03 06:00:00,0.01,0.01,0.01,0.01,4833659
ok,2024-01-03 06:30:00,0.01,0.01,0.01,0.01,26868812
ok,2024-01-03 07:00:00,0.01,0.01,0.01,0.01,23950070
ok,2024-01-03 07:30:00,0.01,0.01,0.01,0.01,31938337
ok,2024-01-03 08:00:00,0.01,0.01,0.01,0.01,56762321
ok,2024-01-03 08:30:00,0.01,0.01,0.01,0.01,22580640
