s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,0.54,0.54,0.54,0.54,134
ok,2024-01-02 07:30:00,0.53,0.53,0.53,0.53,200
ok,2024-01-02 08:00:00,0.53,0.53,0.53,0.53,3274
ok,2024-01-02 08:30:00,0.57,0.57,0.57,0.57,5766
ok,2024-01-02 09:30:00,0.56,0.56,0.53,0.54,7823
ok,2024-01-02 10:00:00,0.54,0.55,0.54,0.54,3315
ok,2024-01-02 10:30:00,0.54,0.54,0.53,0.53,600
ok,2024-01-02 11:00:00,0.54,0.54,0.54,0.54,1001
ok,2024-01-02 11:30:00,0.54,0.54,0.54,0.54,666
ok,2024-01-02 12:00:00,0.54,0.55,0.53,0.55,2600
ok,2024-01-02 12:30:00,0.55,0.55,0.54,0.54,3743
ok,2024-01-02 13:00:00,0.55,0.55,0.55,0.55,4600
ok,2024-01-02 14:00:00,0.54,0.54,0.53,0.53,1465
ok,2024-01-02 14:30:00,0.53,0.53,0.53,0.53,1613
ok,2024-01-02 15:00:00,0.53,0.54,0.51,0.53,13226
ok,2024-01-02 15:30:00,0.52,0.53,0.52,0.52,7169
ok,2024-01-03 08:00:00,0.52,0.58,0.52,0.58,564
ok,2024-01-03 08:30:00,0.58,0.58,0.54,0.55,517
ok,2024-01-03 09:00:00,0.56,0.56,0.56,0.56,6990
ok,2024-01-03 09:30:00,0.55,0.56,0.52,0.52,3215
ok,2024-01-03 10:00:00,0.52,0.53,0.52,0.53,5921
ok,2024-01-03 10:30:00,0.52,0.52,0.52,0.52,842
ok,2024-01-03 11:00:00,0.52,0.53,0.52,0.52,760
ok,2024-01-03 12:00:00,0.53,0.56,0.53,0.53,2280
ok,2024-01-03 12:30:00,0.55,0.55,0.55,0.55,10752
ok,2024-01-03 13:00:00,0.53,0.55,0.53,0.55,1498
ok,2024-01-03 13:30:00,0.55,0.55,0.55,0.55,664
ok,2024-01-03 14:00:00,0.54,0.55,0.53,0.55,1660
ok,2024-01-03 14:30:00,0.53,0.55,0.53,0.55,7505
ok,2024-01-03 15:00:00,0.53,0.54,0.53,0.54,1100
ok,2024-01-03 15:30:00,0.53,0.54,0.53,0.53,2657
ok,2024-01-03 16:00:00,0.53,0.55,0.53,0.55,644
ok,2024-01-03 16:30:00,0.56,0.56,0.56,0.56,123
ok,2024-01-03 17:30:00,0.55,0.55,0.55,0.55,100
ok,2024-01-03 18:30:00,0.54,0.54,0.54,0.54,185
ok,2024-01-04 08:00:00,0.53,0.53,0.53,0.53,201
ok,2024-01-04 08:30:00,0.51,0.51,0.51,0.51,985
ok,2024-01-04 09:30:00,0.53,0.53,0.53,0.53,829
ok,2024-01-04 10:00:00,0.52,0.54,0.52,0.52,7099
ok,2024-01-04 10:30:00,0.52,0.53,0.52,0.53,4920
ok,2024-01-04 11:00:00,0.52,0.52,0.51,0.51,15016
ok,2024-01-04 11:30:00,0.52,0.52,0.52,0.52,470
ok,2024-01-04 12:00:00,0.52,0.52,0.51,0.51,5514
ok,2024-01-04 12:30:00,0.51,0.52,0.5,0.51,14156
ok,2024-01-04 13:00:00,0.51,0.52,0.51,0.52,22466
ok,2024-01-04 13:30:00,0.52,0.52,0.51,0.52,7236
ok,2024-01-04 14:00:00,0.51,0.51,0.51,0.51,124
ok,2024-01-04 14:30:00,0.52,0.52,0.51,0.51,3127
ok,2024-01-04 15:00:00,0.51,0.52,0.5,0.52,1200
ok,2024-01-04 15:30:00,0.51,0.52,0.51,0.51,1636
ok,2024-01-05 07:30:00,0.52,0.52,0.52,0.52,1260
ok,2024-01-05 09:00:00,0.52,0.52,0.52,0.52,115
ok,2024-01-05 09:30:00,0.54,0.56,0.5,0.5,405
ok,2024-01-05 10:00:00,0.51,0.54,0.51,0.52,7444
ok,2024-01-05 10:30:00,0.53,0.54,0.51,0.52,10960
ok,2024-01-05 12:00:00,0.51,0.51,0.51,0.51,206
ok,2024-01-05 12:30:00,0.51,0.52,0.51,0.51,700
ok,2024-01-05 13:00:00,0.52,0.52,0.52,0.52,1755
ok,2024-01-05 14:00:00,0.52,0.52,0.51,0.51,7032
ok,2024-01-05 14:30:00,0.51,0.51,0.51,0.51,100
ok,2024-01-05 15:00:00,0.51,0.51,0.5,0.5,200
ok,2024-01-05 15:30:00,0.5,0.52,0.5,0.52,7854
ok,2024-01-08 08:30:00,0.52,0.52,0.5,0.5,300
ok,2024-01-08 09:30:00,0.53,0.54,0.49,0.52,10710
ok,2024-01-08 10:00:00,0.49,0.49,0.49,0.49,200
ok,2024-01-08 10:30:00,0.5,0.5,0.5,0.5,1260
ok,2024-01-08 11:00:00,0.52,0.52,0.52,0.52,100
ok,2024-01-08 11:30:00,0.51,0.51,0.51,0.51,961
ok,2024-01-08 12:00:00,0.52,0.52,0.52,0.52,196
ok,2024-01-08 13:00:00,0.5,0.52,0.49,0.52,727
ok,2024-01-08 13:30:00,0.52,0.52,0.49,0.49,298
ok,2024-01-08 14:00:00,0.49,0.52,0.49,0.52,908
ok,2024-01-08 14:30:00,0.5,0.5,0.49,0.49,1704
ok,2024-01-08 15:00:00,0.49,0.52,0.49,0.52,285
ok,2024-01-08 15:30:00,0.49,0.5,0.49,0.5,888
ok,2024-01-09 07:30:00,0.5,0.5,0.5,0.5,808
ok,2024-01-09 09:30:00,0.52,0.52,0.5,0.5,418
ok,2024-01-09 10:00:00,0.5,0.5,0.49,0.49,9446
ok,2024-01-09 10:30:00,0.53,0.53,0.49,0.53,1574
ok,2024-01-09 11:00:00,0.51,0.51,0.51,0.51,415
ok,2024-01-09 12:30:00,0.49,0.5,0.49,0.5,2634
ok,2024-01-09 13:00:00,0.5,0.5,0.5,0.5,105
ok,2024-01-09 13:30:00,0.5,0.5,0.5,0.5,1000
ok,2024-01-09 14:00:00,0.5,0.5,0.5,0.5,5954
ok,2024-01-09 15:00:00,0.49,0.49,0.49,0.49,1447
ok,2024-01-09 15:30:00,0.5,0.5,0.5,0.5,300
ok,2024-01-09 18:00:00,0.5,0.5,0.5,0.5,350
ok,2024-01-10 07:00:00,0.49,0.49,0.49,0.49,100
ok,2024-01-10 07:30:00,0.49,0.49,0.49,0.49,261
ok,2024-01-10 08:30:00,0.5,0.5,0.5,0.5,1200
ok,2024-01-10 09:00:00,0.49,0.49,0.49,0.49,103
