s,t,o,h,l,c,v
ok,2024-01-02 06:30:00,0.31,0.31,0.31,0.31,345
ok,2024-01-02 08:00:00,0.35,0.35,0.35,0.35,1247
ok,2024-01-02 08:30:00,0.35,0.35,0.35,0.35,100
ok,2024-01-02 09:30:00,0.33,0.35,0.33,0.33,13732
ok,2024-01-02 10:00:00,0.33,0.34,0.33,0.33,4907
ok,2024-01-02 10:30:00,0.34,0.34,0.34,0.34,9660
ok,2024-01-02 11:00:00,0.34,0.35,0.34,0.35,8994
ok,2024-01-02 11:30:00,0.35,0.36,0.34,0.36,24051
ok,2024-01-02 12:00:00,0.36,0.36,0.34,0.34,2788
ok,2024-01-02 12:30:00,0.35,0.35,0.35,0.35,680
ok,2024-01-02 13:00:00,0.35,0.35,0.35,0.35,500
ok,2024-01-02 13:30:00,0.34,0.35,0.33,0.33,1981
ok,2024-01-02 14:00:00,0.33,0.34,0.33,0.33,1974
ok,2024-01-02 14:30:00,0.33,0.35,0.33,0.33,2988
ok,2024-01-02 15:00:00,0.33,0.35,0.33,0.33,7711
ok,2024-01-02 15:30:00,0.33,0.35,0.32,0.32,15793
ok,2024-01-03 07:30:00,0.33,0.33,0.33,0.33,200
ok,2024-01-03 08:00:00,0.34,0.35,0.34,0.35,400
ok,2024-01-03 09:00:00,0.34,0.34,0.33,0.34,2040
ok,2024-01-03 09:30:00,0.34,0.35,0.32,0.32,38941
ok,2024-01-03 10:00:00,0.34,0.34,0.31,0.32,31490
ok,2024-01-03 10:30:00,0.31,0.34,0.31,0.31,10442
ok,2024-01-03 11:00:00,0.31,0.32,0.31,0.31,8996
ok,2024-01-03 11:30:00,0.32,0.32,0.3,0.3,12201
ok,2024-01-03 12:00:00,0.3,0.32,0.3,0.31,14361
ok,2024-01-03 12:30:00,0.31,0.32,0.3,0.31,14915
ok,2024-01-03 13:00:00,0.31,0.31,0.3,0.31,5495
ok,2024-01-03 13:30:00,0.31,0.31,0.31,0.31,7777
ok,2024-01-03 14:00:00,0.31,0.31,0.3,0.31,8355
ok,2024-01-03 14:30:00,0.3,0.31,0.3,0.3,22634
ok,2024-01-03 15:00:00,0.3,0.31,0.28,0.29,60197
ok,2024-01-03 15:30:00,0.28,0.3,0.27,0.27,81632
ok,2024-01-03 16:00:00,0.29,0.3,0.29,0.3,2942
ok,2024-01-03 16:30:00,0.29,0.29,0.29,0.29,600
ok,2024-01-03 17:30:00,0.29,0.29,0.29,0.29,100
ok,2024-01-03 18:30:00,0.29,0.29,0.29,0.29,100
ok,2024-01-03 19:00:00,0.29,0.29,0.29,0.29,330
ok,2024-01-04 04:00:00,0.3,0.3,0.3,0.3,107
ok,2024-01-04 07:00:00,0.28,0.3,0.28,0.3,1397
ok,2024-01-04 07:30:00,0.3,0.3,0.28,0.29,356
ok,2024-01-04 08:00:00,0.28,0.3,0.28,0.29,5851
ok,2024-01-04 08:30:00,0.29,0.29,0.28,0.28,280
ok,2024-01-04 09:00:00,0.29,0.29,0.29,0.29,100
ok,2024-01-04 09:30:00,0.28,0.3,0.28,0.3,48806
ok,2024-01-04 10:00:00,0.28,0.31,0.28,0.29,7970
ok,2024-01-04 10:30:00,0.29,0.31,0.29,0.3,41017
ok,2024-01-04 11:00:00,0.3,0.3,0.3,0.3,5166
ok,2024-01-04 11:30:00,0.3,0.3,0.3,0.3,12599
ok,2024-01-04 12:00:00,0.3,0.3,0.3,0.3,18628
