s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.56,1.56,1.56,1.56,100
ok,2024-01-02 11:00:00,1.54,1.54,1.54,1.54,100
ok,2024-01-02 12:30:00,1.52,1.52,1.52,1.52,553
ok,2024-01-02 15:30:00,1.48,1.69,1.48,1.69,6291
ok,2024-01-02 17:30:00,1.68,1.68,1.68,1.68,561
ok,2024-01-03 09:30:00,1.7,1.7,1.7,1.7,234
ok,2024-01-03 10:00:00,1.55,1.55,1.55,1.55,120
ok,2024-01-03 11:30:00,1.61,1.63,1.6,1.6,1800
ok,2024-01-03 12:00:00,1.6,1.6,1.58,1.59,745
ok,2024-01-03 12:30:00,1.54,1.56,1.54,1.54,601
ok,2024-01-03 15:00:00,1.57,1.66,1.57,1.66,1000
ok,2024-01-03 15:30:00,1.56,1.6,1.52,1.52,2459
ok,2024-01-04 09:30:00,1.56,1.6,1.49,1.49,2101
ok,2024-01-04 10:00:00,1.55,1.58,1.55,1.58,662
ok,2024-01-04 10:30:00,1.5,1.5,1.5,1.5,301
ok,2024-01-04 11:00:00,1.5,1.5,1.5,1.5,200
ok,2024-01-04 12:00:00,1.54,1.54,1.54,1.54,100
ok,2024-01-04 12:30:00,1.54,1.54,1.54,1.54,100
ok,2024-01-04 13:00:00,1.51,1.51,1.5,1.5,1686
ok,2024-01-04 13:30:00,1.5,1.5,1.5,1.5,250
ok,2024-01-04 14:30:00,1.51,1.51,1.5,1.5,770
ok,2024-01-04 15:00:00,1.6,1.6,1.6,1.6,100
ok,2024-01-04 15:30:00,1.5,1.64,1.46,1.46,2314
ok,2024-01-05 10:30:00,1.59,1.59,1.59,1.59,800
ok,2024-01-05 11:00:00,1.41,1.41,1.41,1.41,805
ok,2024-01-05 13:30:00,1.59,1.59,1.59,1.59,100
ok,2024-01-05 14:30:00,1.51,1.51,1.51,1.51,100
ok,2024-01-05 15:30:00,1.5,1.53,1.5,1.53,754
ok,2024-01-08 09:30:00,1.64,1.64,1.51,1.59,2542
ok,2024-01-08 10:00:00,1.6,1.6,1.58,1.6,650
ok,2024-01-08 10:30:00,1.64,1.64,1.57,1.57,982
ok,2024-01-08 11:00:00,1.57,1.57,1.57,1.57,800
ok,2024-01-08 14:30:00,1.57,1.57,1.57,1.57,350
ok,2024-01-08 15:30:00,1.56,1.57,1.56,1.56,1359
ok,2024-01-09 09:30:00,1.61,1.61,1.61,1.61,109
ok,2024-01-09 10:00:00,1.63,1.63,1.63,1.63,590
ok,2024-01-09 10:30:00,1.43,1.43,1.43,1.43,400
ok,2024-01-09 11:30:00,1.51,1.51,1.51,1.51,3000
ok,2024-01-09 15:30:00,1.56,1.56,1.55,1.55,400
ok,2024-01-10 09:30:00,1.65,1.65,1.63,1.63,807
ok,2024-01-10 10:00:00,1.56,1.56,1.56,1.56,100
ok,2024-01-10 10:30:00,1.54,1.54,1.53,1.53,935
ok,2024-01-10 12:30:00,1.53,1.53,1.53,1.53,1250
ok,2024-01-10 13:00:00,1.5,1.5,1.5,1.5,900
ok,2024-01-10 13:30:00,1.54,1.54,1.54,1.54,100
ok,2024-01-10 14:30:00,1.54,1.54,1.54,1.54,1069
ok,2024-01-10 16:30:00,1.61,1.61,1.61,1.61,100
ok,2024-01-11 09:30:00,1.48,1.62,1.48,1.62,1514
ok,2024-01-11 12:00:00,1.59,1.62,1.56,1.62,5945
ok,2024-01-11 14:00:00,1.6,1.6,1.57,1.58,453
ok,2024-01-11 14:30:00,1.59,1.6,1.59,1.6,500
ok,2024-01-12 11:30:00,1.6,1.6,1.6,1.6,2000
ok,2024-01-12 12:00:00,1.51,1.51,1.51,1.51,230
ok,2024-01-12 12:30:00,1.49,1.49,1.49,1.49,200
ok,2024-01-12 13:00:00,1.56,1.59,1.56,1.59,4356
ok,2024-01-12 15:30:00,1.54,1.54,1.49,1.49,200
ok,2024-01-12 17:30:00,1.47,1.47,1.47,1.47,6200
ok,2024-01-16 10:00:00,1.59,1.59,1.59,1.59,100
ok,2024-01-16 10:30:00,1.5,1.54,1.49,1.54,1633
ok,2024-01-16 13:00:00,1.55,1.55,1.49,1.49,200
ok,2024-01-16 13:30:00,1.49,1.49,1.49,1.49,100
ok,2024-01-16 15:30:00,1.55,1.57,1.55,1.57,700
ok,2024-01-16 16:30:00,1.57,1.57,1.57,1.57,2000
ok,2024-01-17 09:30:00,1.5,1.5,1.5,1.5,579
ok,2024-01-17 12:00:00,1.54,1.55,1.54,1.55,2400
ok,2024-01-17 12:30:00,1.54,1.55,1.5,1.52,10212
ok,2024-01-17 13:00:00,1.55,1.59,1.55,1.59,2000
ok,2024-01-17 14:30:00,1.54,1.54,1.54,1.54,275
ok,2024-01-17 15:00:00,1.5,1.5,1.5,1.5,680
ok,2024-01-17 15:30:00,1.56,1.56,1.5,1.51,1303
ok,2024-01-18 09:30:00,1.58,1.59,1.49,1.59,4412
ok,2024-01-18 10:00:00,1.5,1.5,1.5,1.5,250
ok,2024-01-18 11:00:00,1.59,1.59,1.59,1.59,214
ok,2024-01-18 12:00:00,1.57,1.58,1.5,1.5,1211
ok,2024-01-18 15:00:00,1.49,1.58,1.49,1.58,3282
ok,2024-01-18 15:30:00,1.54,1.54,1.54,1.54,436
ok,2024-01-19 09:30:00,1.54,1.54,1.48,1.48,200
ok,2024-01-19 10:00:00,1.59,1.6,1.49,1.56,874
ok,2024-01-19 10:30:00,1.48,1.49,1.48,1.49,1406
ok,2024-01-19 11:00:00,1.5,1.5,1.5,1.5,300
ok,2024-01-19 15:00:00,1.57,1.57,1.54,1.54,4400
ok,2024-01-19 15:30:00,1.54,1.58,1.54,1.54,1496
ok,2024-01-22 09:30:00,1.51,1.51,1.51,1.51,512
ok,2024-01-22 10:00:00,1.51,1.51,1.51,1.51,200
ok,2024-01-22 10:30:00,1.49,1.49,1.49,1.49,320
ok,2024-01-22 12:00:00,1.51,1.51,1.51,1.51,100
ok,2024-01-22 13:00:00,1.5,1.5,1.5,1.5,167
ok,2024-01-22 13:30:00,1.53,1.54,1.53,1.54,433
ok,2024-01-22 14:00:00,1.54,1.54,1.54,1.54,1681
ok,2024-01-22 14:30:00,1.54,1.54,1.54,1.54,144
ok,2024-01-22 15:30:00,1.51,1.51,1.51,1.51,265
ok,2024-01-23 08:00:00,1.62,1.62,1.62,1.62,250
ok,2024-01-23 08:30:00,1.59,1.59,1.59,1.59,200
ok,2024-01-23 09:30:00,1.59,1.59,1.59,1.59,1025
ok,2024-01-23 13:00:00,1.57,1.57,1.57,1.57,316
ok,2024-01-23 15:00:00,1.57,1.57,1.56,1.56,1180
ok,2024-01-23 15:30:00,1.57,1.57,1.55,1.57,3862
ok,2024-01-24 10:00:00,1.55,1.55,1.55,1.55,200
ok,2024-01-24 10:30:00,1.54,1.54,1.54,1.54,350
ok,2024-01-24 11:00:00,1.54,1.54,1.54,1.54,1600
ok,2024-01-24 12:30:00,1.57,1.58,1.57,1.58,400
ok,2024-01-24 13:00:00,1.58,1.58,1.58,1.58,427
ok,2024-01-24 13:30:00,1.57,1.57,1.57,1.57,4348
ok,2024-01-24 15:00:00,1.59,1.61,1.59,1.6,4168
ok,2024-01-24 15:30:00,1.61,1.62,1.55,1.55,1067
ok,2024-01-25 09:30:00,1.55,1.62,1.55,1.58,32142
ok,2024-01-25 10:00:00,1.58,1.58,1.58,1.58,300
ok,2024-01-25 10:30:00,1.58,1.6,1.55,1.55,5108
ok,2024-01-25 11:00:00,1.62,1.62,1.58,1.58,5090
ok,2024-01-25 11:30:00,1.62,1.62,1.62,1.62,210
ok,2024-01-25 12:00:00,1.62,1.64,1.62,1.64,1081
ok,2024-01-25 12:30:00,1.62,1.62,1.6,1.6,1500
ok,2024-01-25 14:00:00,1.57,1.57,1.57,1.57,550
ok,2024-01-25 14:30:00,1.62,1.62,1.62,1.62,100
ok,2024-01-25 15:30:00,1.62,1.62,1.58,1.58,1302
ok,2024-01-26 09:00:00,1.72,1.74,1.7,1.7,400
ok,2024-01-26 09:30:00,1.6,1.62,1.6,1.62,2280
ok,2024-01-26 10:00:00,1.6,1.62,1.6,1.62,1700
ok,2024-01-26 10:30:00,1.62,1.62,1.62,1.62,500
ok,2024-01-26 11:00:00,1.59,1.59,1.59,1.59,1000
ok,2024-01-26 15:30:00,1.62,1.64,1.6,1.64,1961
ok,2024-01-26 16:00:00,1.74,1.74,1.74,1.74,100
ok,2024-01-29 09:30:00,1.6,1.61,1.6,1.61,5080
ok,2024-01-29 10:00:00,1.6,1.6,1.6,1.6,1831
ok,2024-01-29 10:30:00,1.6,1.6,1.6,1.6,1000
ok,2024-01-29 11:00:00,1.61,1.61,1.61,1.61,100
ok,2024-01-29 12:30:00,1.6,1.62,1.6,1.6,4105
ok,2024-01-29 13:30:00,1.62,1.62,1.62,1.62,1000
ok,2024-01-29 14:00:00,1.65,1.65,1.58,1.58,3083
ok,2024-01-29 14:30:00,1.59,1.59,1.59,1.59,155
ok,2024-01-29 15:30:00,1.6,1.6,1.55,1.6,750
ok,2024-01-30 09:30:00,1.64,1.65,1.64,1.64,1000
ok,2024-01-30 10:00:00,1.55,1.64,1.55,1.64,1168
ok,2024-01-30 11:30:00,1.63,1.63,1.63,1.63,250
