s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,2.42,2.6,2.33,2.5,173353
ok,2024-01-02 04:30:00,2.53,2.53,2.45,2.47,32177
ok,2024-01-02 05:00:00,2.51,2.53,2.49,2.52,17150
ok,2024-01-02 05:30:00,2.51,2.51,2.46,2.46,21585
ok,2024-01-02 06:00:00,2.46,2.5,2.46,2.47,7442
ok,2024-01-02 06:30:00,2.46,2.46,2.36,2.43,38475
ok,2024-01-02 07:00:00,2.41,2.45,2.3,2.37,60034
ok,2024-01-02 07:30:00,2.37,2.38,2.35,2.36,11485
ok,2024-01-02 08:00:00,2.43,2.59,2.31,2.44,174977
ok,2024-01-02 08:30:00,2.43,2.45,2.38,2.39,79325
ok,2024-01-02 09:00:00,2.4,2.49,2.35,2.35,85695
ok,2024-01-02 09:30:00,2.33,2.38,2.2,2.24,1883503
ok,2024-01-02 10:00:00,2.24,2.28,2.14,2.17,724894
ok,2024-01-02 10:30:00,2.17,2.21,2.12,2.16,812919
ok,2024-01-02 11:00:00,2.16,2.19,2.15,2.19,287268
ok,2024-01-02 11:30:00,2.19,2.24,2.16,2.22,289165
ok,2024-01-02 12:00:00,2.23,2.23,2.16,2.18,203936
ok,2024-01-02 12:30:00,2.17,2.18,2.12,2.14,297139
ok,2024-01-02 13:00:00,2.14,2.16,2.11,2.15,203768
ok,2024-01-02 13:30:00,2.16,2.17,2.13,2.15,187462
ok,2024-01-02 14:00:00,2.15,2.17,2.12,2.13,275535
ok,2024-01-02 14:30:00,2.12,2.15,2.11,2.13,278722
ok,2024-01-02 15:00:00,2.12,2.13,2.1,2.1,370483
ok,2024-01-02 15:30:00,2.1,2.12,2.06,2.12,625771
ok,2024-01-02 16:00:00,2.13,2.13,2.1,2.13,4157
ok,2024-01-02 16:30:00,2.15,2.17,2.1,2.1,17367
ok,2024-01-02 17:00:00,2.11,2.13,2.07,2.12,11763
ok,2024-01-02 17:30:00,2.15,2.15,2.1,2.12,8371
ok,2024-01-02 18:00:00,2.13,2.13,2.1,2.12,4573
ok,2024-01-02 18:30:00,2.12,2.12,2.11,2.11,3832
ok,2024-01-02 19:00:00,2.11,2.11,2.1,2.1,12068
ok,2024-01-02 19:30:00,2.1,2.13,2.08,2.08,12696
ok,2024-01-03 04:00:00,2.19,2.2,2.14,2.14,340
ok,2024-01-03 04:30:00,2.16,2.16,2.12,2.12,2885
ok,2024-01-03 05:00:00,2.12,2.12,2.12,2.12,2001
ok,2024-01-03 05:30:00,2.12,2.15,2.12,2.15,200
ok,2024-01-03 06:00:00,2.11,2.11,2.08,2.09,7110
ok,2024-01-03 06:30:00,2.09,2.09,1.98,2.05,36456
ok,2024-01-03 07:00:00,2.03,2.03,1.82,1.91,123996
ok,2024-01-03 07:30:00,1.91,1.99,1.9,1.96,38945
ok,2024-01-03 08:00:00,1.92,2.2,1.82,1.98,108967
ok,2024-01-03 08:30:00,1.97,1.99,1.94,1.94,37509
ok,2024-01-03 09:00:00,1.94,1.99,1.85,1.87,161147
ok,2024-01-03 09:30:00,1.87,2.01,1.87,1.98,970943
ok,2024-01-03 10:00:00,1.97,2.04,1.91,1.94,614686
ok,2024-01-03 10:30:00,1.94,1.99,1.92,1.98,492941
ok,2024-01-03 11:00:00,1.99,2.02,1.97,1.99,398850
ok,2024-01-03 11:30:00,2.0,2.02,1.97,1.98,173829
ok,2024-01-03 12:00:00,1.99,1.99,1.96,1.97,89922
ok,2024-01-03 12:30:00,1.96,1.98,1.94,1.96,138207
ok,2024-01-03 13:00:00,1.96,1.99,1.95,1.98,144906
ok,2024-01-03 13:30:00,1.98,1.98,1.95,1.97,78833
ok,2024-01-03 14:00:00,1.96,1.97,1.92,1.96,325547
ok,2024-01-03 14:30:00,1.95,1.97,1.94,1.94,128807
ok,2024-01-03 15:00:00,1.94,1.96,1.86,1.88,701306
ok,2024-01-03 15:30:00,1.88,1.9,1.88,1.9,338141
ok,2024-01-03 16:00:00,1.89,1.9,1.89,1.9,14407
ok,2024-01-03 16:30:00,1.9,1.91,1.89,1.91,4334
ok,2024-01-03 17:00:00,1.91,1.91,1.9,1.91,69400
ok,2024-01-03 17:30:00,1.91,1.92,1.91,1.92,2665
ok,2024-01-03 18:00:00,1.9,1.91,1.9,1.9,3512
ok,2024-01-03 18:30:00,1.9,1.9,1.87,1.88,7869
ok,2024-01-03 19:00:00,1.89,1.9,1.89,1.9,2018
ok,2024-01-03 19:30:00,1.9,1.9,1.89,1.9,10648
ok,2024-01-04 04:00:00,1.96,1.97,1.96,1.97,480
ok,2024-01-04 04:30:00,1.94,1.96,1.94,1.96,4140
ok,2024-01-04 05:30:00,1.95,1.96,1.95,1.96,1366
ok,2024-01-04 06:00:00,1.93,1.95,1.92,1.95,4365
ok,2024-01-04 06:30:00,1.95,1.95,1.9,1.9,7446
ok,2024-01-04 07:00:00,1.91,1.97,1.91,1.94,10817
ok,2024-01-04 07:30:00,1.94,1.94,1.91,1.93,6572
ok,2024-01-04 08:00:00,1.92,1.99,1.92,1.93,11807
ok,2024-01-04 08:30:00,1.93,1.94,1.92,1.94,12157
ok,2024-01-04 09:00:00,1.93,1.95,1.93,1.93,7186
ok,2024-01-04 09:30:00,1.92,1.95,1.87,1.94,561049
ok,2024-01-04 10:00:00,1.95,1.96,1.89,1.9,564162
ok,2024-01-04 10:30:00,1.91,1.95,1.9,1.9,454493
ok,2024-01-04 11:00:00,1.9,1.92,1.89,1.9,237461
ok,2024-01-04 11:30:00,1.9,1.91,1.9,1.9,61519
ok,2024-01-04 12:00:00,1.9,1.92,1.9,1.9,234022
ok,2024-01-04 12:30:00,1.91,1.91,1.87,1.87,387426
ok,2024-01-04 13:00:00,1.87,1.88,1.86,1.86,246557
ok,2024-01-04 13:30:00,1.86,1.88,1.86,1.87,125909
ok,2024-01-04 14:00:00,1.87,1.89,1.87,1.87,109197
ok,2024-01-04 14:30:00,1.87,1.87,1.86,1.86,78828
ok,2024-01-04 15:00:00,1.86,1.87,1.86,1.86,184888
ok,2024-01-04 15:30:00,1.86,1.9,1.86,1.89,419889
ok,2024-01-04 16:00:00,1.9,1.91,1.9,1.91,11184
ok,2024-01-04 16:30:00,1.91,1.91,1.91,1.91,400
ok,2024-01-04 17:00:00,1.9,1.91,1.9,1.91,12467
ok,2024-01-04 17:30:00,1.91,1.91,1.91,1.91,3818
ok,2024-01-04 18:00:00,1.91,1.91,1.9,1.91,2269
ok,2024-01-04 18:30:00,1.91,1.91,1.91,1.91,2105
ok,2024-01-04 19:00:00,1.91,1.91,1.9,1.9,1690
ok,2024-01-04 19:30:00,1.9,1.91,1.9,1.91,18322
ok,2024-01-05 04:00:00,1.9,1.9,1.9,1.9,275
ok,2024-01-05 04:30:00,1.9,1.9,1.9,1.9,905
ok,2024-01-05 05:00:00,1.91,1.91,1.91,1.91,543
ok,2024-01-05 05:30:00,1.9,1.91,1.9,1.91,2764
ok,2024-01-05 06:00:00,1.9,1.91,1.9,1.91,2000
ok,2024-01-05 07:00:00,1.89,1.89,1.86,1.87,5176
ok,2024-01-05 07:30:00,1.87,1.87,1.86,1.87,3155
ok,2024-01-05 08:00:00,1.86,1.91,1.86,1.88,10420
ok,2024-01-05 08:30:00,1.86,1.9,1.86,1.9,16027
ok,2024-01-05 09:00:00,1.89,1.9,1.88,1.88,5269
ok,2024-01-05 09:30:00,1.86,1.87,1.71,1.74,1608426
ok,2024-01-05 10:00:00,1.74,1.78,1.73,1.76,357338
ok,2024-01-05 10:30:00,1.76,1.8,1.76,1.76,179168
ok,2024-01-05 11:00:00,1.77,1.77,1.72,1.72,214529
ok,2024-01-05 11:30:00,1.72,1.73,1.72,1.73,171917
ok,2024-01-05 12:00:00,1.72,1.73,1.71,1.72,181137
ok,2024-01-05 12:30:00,1.73,1.75,1.72,1.74,118213
ok,2024-01-05 13:00:00,1.75,1.75,1.74,1.75,73495
ok,2024-01-05 13:30:00,1.74,1.82,1.74,1.82,263022
ok,2024-01-05 14:00:00,1.82,1.82,1.78,1.78,85886
ok,2024-01-05 14:30:00,1.79,1.81,1.77,1.79,92345
ok,2024-01-05 15:00:00,1.79,1.81,1.78,1.81,83168
ok,2024-01-05 15:30:00,1.8,1.84,1.79,1.84,657792
ok,2024-01-05 16:00:00,1.83,1.84,1.8,1.84,1180
