s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,2.98,2.99,2.98,2.99,261
ok,2024-01-02 05:00:00,2.89,3.21,2.89,3.0,2230
ok,2024-01-02 05:30:00,3.21,3.24,3.21,3.23,434
ok,2024-01-02 06:30:00,3.1,3.15,3.1,3.15,1424
ok,2024-01-02 07:00:00,3.15,3.19,3.12,3.12,3158
ok,2024-01-02 07:30:00,3.03,3.15,3.03,3.1,1733
ok,2024-01-02 08:00:00,3.25,3.25,3.0,3.15,5487
ok,2024-01-02 08:30:00,3.2,3.2,3.05,3.05,2913
ok,2024-01-02 09:00:00,3.04,3.05,2.81,2.98,7160
ok,2024-01-02 09:30:00,3.02,3.02,2.82,2.82,16816
ok,2024-01-02 10:00:00,2.81,2.89,2.8,2.82,22118
ok,2024-01-02 10:30:00,2.85,2.88,2.8,2.87,10954
ok,2024-01-02 11:00:00,2.82,2.89,2.76,2.8,26620
ok,2024-01-02 11:30:00,2.78,2.79,2.66,2.79,18676
ok,2024-01-02 12:00:00,2.83,2.83,2.78,2.8,816
ok,2024-01-02 12:30:00,2.85,2.86,2.8,2.84,9675
ok,2024-01-02 13:00:00,2.8,2.84,2.77,2.8,4216
ok,2024-01-02 13:30:00,2.78,2.84,2.74,2.78,19235
ok,2024-01-02 14:00:00,2.78,2.78,2.7,2.7,4185
ok,2024-01-02 14:30:00,2.71,2.73,2.69,2.69,14544
ok,2024-01-02 15:00:00,2.75,2.76,2.71,2.72,2282
ok,2024-01-02 15:30:00,2.71,2.75,2.7,2.75,6082
ok,2024-01-02 16:00:00,2.74,2.77,2.74,2.77,951
ok,2024-01-02 16:30:00,2.77,2.77,2.76,2.77,800
ok,2024-01-02 17:00:00,2.72,2.78,2.72,2.78,2300
ok,2024-01-02 17:30:00,2.78,2.78,2.78,2.78,119
ok,2024-01-03 04:00:00,2.71,2.71,2.71,2.71,212
ok,2024-01-03 04:30:00,2.74,2.74,2.74,2.74,335
ok,2024-01-03 06:30:00,2.71,2.72,2.71,2.72,300
ok,2024-01-03 07:00:00,2.71,2.71,2.71,2.71,128
ok,2024-01-03 07:30:00,2.73,2.73,2.72,2.72,379
ok,2024-01-03 08:00:00,2.73,2.73,2.73,2.73,468
ok,2024-01-03 08:30:00,2.73,2.73,2.73,2.73,500
ok,2024-01-03 09:00:00,2.73,2.73,2.72,2.72,1663
ok,2024-01-03 09:30:00,2.73,2.76,2.6,2.6,19445
ok,2024-01-03 10:00:00,2.6,2.64,2.52,2.52,19372
ok,2024-01-03 10:30:00,2.5,2.54,2.35,2.54,14481
ok,2024-01-03 11:00:00,2.53,2.55,2.5,2.5,3388
ok,2024-01-03 11:30:00,2.47,2.47,2.47,2.47,122
ok,2024-01-03 12:00:00,2.5,2.5,2.48,2.48,1021
ok,2024-01-03 12:30:00,2.52,2.54,2.51,2.52,1921
ok,2024-01-03 13:00:00,2.52,2.55,2.4,2.55,9122
ok,2024-01-03 13:30:00,2.46,2.5,2.45,2.5,2999
ok,2024-01-03 14:00:00,2.55,2.66,2.5,2.66,20096
ok,2024-01-03 14:30:00,2.67,2.74,2.67,2.74,6851
ok,2024-01-03 15:00:00,2.75,2.77,2.66,2.77,9250
ok,2024-01-03 15:30:00,2.76,2.93,2.64,2.92,16455
ok,2024-01-03 17:00:00,2.8,2.8,2.8,2.8,100
ok,2024-01-03 18:00:00,2.8,2.8,2.8,2.8,200
ok,2024-01-03 18:30:00,2.8,2.8,2.8,2.8,355
ok,2024-01-03 19:30:00,2.86,2.86,2.86,2.86,398
ok,2024-01-04 08:00:00,2.8,2.86,2.8,2.85,755
ok,2024-01-04 08:30:00,2.81,2.81,2.81,2.81,130
ok,2024-01-04 09:00:00,2.8,2.8,2.8,2.8,400
ok,2024-01-04 09:30:00,2.8,3.13,2.8,3.01,29224
ok,2024-01-04 10:00:00,3.01,3.35,2.89,3.27,135556
ok,2024-01-04 10:30:00,3.2,3.43,3.04,3.25,312871
ok,2024-01-04 11:00:00,3.25,3.43,3.05,3.2,202146
ok,2024-01-04 11:30:00,3.2,3.37,3.08,3.1,90901
ok,2024-01-04 12:00:00,3.1,3.13,2.56,2.82,251064
ok,2024-01-04 12:30:00,2.82,2.88,2.75,2.82,20224
ok,2024-01-04 13:00:00,2.87,3.08,2.86,3.06,89060
ok,2024-01-04 13:30:00,3.06,3.06,2.76,2.9,52789
ok,2024-01-04 14:00:00,2.9,2.95,2.68,2.74,31347
ok,2024-01-04 14:30:00,2.68,2.81,2.68,2.73,12367
ok,2024-01-04 15:00:00,2.77,2.77,2.61,2.68,18539
ok,2024-01-04 15:30:00,2.67,2.67,2.61,2.65,20036
ok,2024-01-04 16:00:00,2.7,2.73,2.64,2.73,6136
ok,2024-01-04 16:30:00,2.65,2.7,2.64,2.7,1198
ok,2024-01-04 17:00:00,2.7,2.7,2.7,2.7,506
ok,2024-01-04 17:30:00,2.64,2.67,2.64,2.64,2033
ok,2024-01-04 18:00:00,2.64,2.71,2.61,2.64,3036
ok,2024-01-04 18:30:00,2.64,2.65,2.64,2.64,1702
ok,2024-01-04 19:00:00,2.64,2.65,2.62,2.65,5194
ok,2024-01-04 19:30:00,2.65,2.7,2.65,2.7,1322
ok,2024-01-05 04:30:00,2.62,2.62,2.62,2.62,306
ok,2024-01-05 06:00:00,2.62,2.62,2.62,2.62,221
ok,2024-01-05 07:00:00,2.62,2.62,2.62,2.62,462
ok,2024-01-05 08:00:00,2.65,2.92,2.61,2.85,3888
ok,2024-01-05 08:30:00,2.66,2.75,2.63,2.71,2411
ok,2024-01-05 09:00:00,2.74,2.8,2.66,2.66,2319
ok,2024-01-05 09:30:00,2.62,2.67,2.38,2.53,52623
ok,2024-01-05 10:00:00,2.55,2.62,2.45,2.53,20918
ok,2024-01-05 10:30:00,2.48,2.57,2.47,2.49,2311
ok,2024-01-05 11:00:00,2.51,2.52,2.49,2.51,2836
ok,2024-01-05 11:30:00,2.57,2.57,2.38,2.47,15171
ok,2024-01-05 12:00:00,2.44,2.47,2.4,2.4,7365
ok,2024-01-05 12:30:00,2.44,2.44,2.35,2.36,13124
ok,2024-01-05 13:00:00,2.39,2.4,2.34,2.37,7619
ok,2024-01-05 13:30:00,2.38,2.41,2.37,2.41,2945
ok,2024-01-05 14:00:00,2.41,2.44,2.4,2.4,2807
ok,2024-01-05 14:30:00,2.41,2.41,2.41,2.41,101
ok,2024-01-05 15:00:00,2.41,2.48,2.41,2.47,11898
ok,2024-01-05 15:30:00,2.43,2.45,2.36,2.37,22886
ok,2024-01-05 16:00:00,2.4,2.4,2.36,2.36,812
ok,2024-01-05 16:30:00,2.47,2.47,2.3,2.3,3262
ok,2024-01-05 17:00:00,2.41,2.41,2.31,2.31,1443
ok,2024-01-05 17:30:00,2.31,2.42,2.31,2.42,1118
ok,2024-01-05 18:00:00,2.32,2.32,2.32,2.32,300
ok,2024-01-05 19:00:00,2.4,2.4,2.4,2.4,125
ok,2024-01-08 04:00:00,2.4,2.4,2.4,2.4,278
ok,2024-01-08 04:30:00,2.36,2.36,2.36,2.36,200
ok,2024-01-08 05:00:00,2.49,2.49,2.32,2.32,700
ok,2024-01-08 06:00:00,2.35,2.37,2.35,2.37,1064
ok,2024-01-08 06:30:00,2.31,2.31,2.28,2.28,750
ok,2024-01-08 07:00:00,2.32,2.4,2.32,2.4,401
ok,2024-01-08 07:30:00,2.39,2.39,2.34,2.35,447
ok,2024-01-08 08:00:00,2.32,2.43,2.32,2.43,1297
