s,t,o,h,l,c,v
ok,2024-01-02 07:30:00,1.49,1.49,1.45,1.45,1448
ok,2024-01-02 08:00:00,1.52,1.52,1.52,1.52,250
ok,2024-01-02 09:30:00,1.57,1.63,1.57,1.61,13113
ok,2024-01-02 10:00:00,1.59,1.76,1.59,1.75,16856
ok,2024-01-02 10:30:00,1.75,1.8,1.7,1.7,39604
ok,2024-01-02 11:00:00,1.71,1.71,1.7,1.7,1100
ok,2024-01-02 11:30:00,1.7,1.7,1.65,1.65,1153
ok,2024-01-02 12:00:00,1.65,1.73,1.65,1.71,1706
ok,2024-01-02 12:30:00,1.71,1.79,1.71,1.76,5460
ok,2024-01-02 13:00:00,1.78,1.93,1.76,1.88,40732
ok,2024-01-02 13:30:00,1.93,1.93,1.75,1.75,15052
ok,2024-01-02 14:00:00,1.78,1.83,1.75,1.77,12732
ok,2024-01-02 14:30:00,1.77,1.8,1.77,1.77,3716
ok,2024-01-02 15:00:00,1.78,1.79,1.77,1.78,10970
ok,2024-01-02 15:30:00,1.79,1.79,1.77,1.79,6758
ok,2024-01-02 16:00:00,1.89,1.89,1.87,1.87,942
ok,2024-01-02 16:30:00,1.8,1.89,1.79,1.89,1106
ok,2024-01-02 17:00:00,1.88,1.88,1.88,1.88,122
ok,2024-01-02 18:00:00,1.87,1.87,1.87,1.87,550
ok,2024-01-02 19:00:00,1.88,1.88,1.88,1.88,400
ok,2024-01-02 19:30:00,1.88,1.95,1.88,1.95,2046
ok,2024-01-03 07:00:00,2.05,2.05,2.05,2.05,1300
ok,2024-01-03 08:00:00,2.24,2.24,2.24,2.24,160
ok,2024-01-03 09:30:00,2.0,2.0,1.7,1.73,26934
ok,2024-01-03 10:00:00,1.71,1.73,1.67,1.7,19193
ok,2024-01-03 10:30:00,1.72,1.72,1.69,1.7,2312
ok,2024-01-03 11:00:00,1.7,1.72,1.7,1.7,4539
ok,2024-01-03 11:30:00,1.72,1.72,1.69,1.7,3007
ok,2024-01-03 12:00:00,1.71,1.71,1.71,1.71,294
ok,2024-01-03 12:30:00,1.69,1.7,1.67,1.67,2868
ok,2024-01-03 13:00:00,1.68,1.68,1.67,1.67,3400
ok,2024-01-03 13:30:00,1.7,1.71,1.67,1.68,2717
ok,2024-01-03 14:00:00,1.69,1.7,1.69,1.7,200
ok,2024-01-03 14:30:00,1.68,1.68,1.68,1.68,151
ok,2024-01-03 15:00:00,1.69,1.69,1.66,1.68,1562
ok,2024-01-03 15:30:00,1.67,1.69,1.63,1.65,2776
ok,2024-01-03 16:00:00,1.62,1.62,1.59,1.59,3410
ok,2024-01-04 07:00:00,1.8,1.8,1.8,1.8,122
ok,2024-01-04 09:00:00,1.62,1.62,1.62,1.62,510
ok,2024-01-04 09:30:00,1.71,1.71,1.6,1.63,4372
ok,2024-01-04 10:00:00,1.7,1.71,1.66,1.71,1276
ok,2024-01-04 10:30:00,1.71,1.71,1.7,1.71,962
ok,2024-01-04 11:00:00,1.68,1.7,1.63,1.7,9520
ok,2024-01-04 11:30:00,1.64,1.71,1.63,1.64,6107
ok,2024-01-04 12:00:00,1.68,1.68,1.67,1.67,230
ok,2024-01-04 12:30:00,1.7,1.7,1.7,1.7,335
ok,2024-01-04 13:30:00,1.69,1.69,1.69,1.69,800
ok,2024-01-04 14:00:00,1.68,1.69,1.68,1.69,2698
ok,2024-01-04 14:30:00,1.69,1.7,1.68,1.68,1819
ok,2024-01-04 15:00:00,1.68,1.7,1.68,1.68,712
ok,2024-01-04 15:30:00,1.7,1.7,1.68,1.69,3225
ok,2024-01-05 08:00:00,1.75,1.75,1.75,1.75,5100
ok,2024-01-05 09:00:00,1.75,2.5,1.75,1.96,327197
ok,2024-01-05 09:30:00,1.85,2.28,1.82,1.92,773505
ok,2024-01-05 10:00:00,1.88,2.14,1.88,2.09,479355
ok,2024-01-05 10:30:00,2.1,2.1,1.92,2.03,223333
ok,2024-01-05 11:00:00,1.99,2.02,1.91,1.95,71436
ok,2024-01-05 11:30:00,1.95,1.97,1.85,1.89,57630
ok,2024-01-05 12:00:00,1.91,1.91,1.87,1.9,67098
ok,2024-01-05 12:30:00,1.91,1.95,1.9,1.93,39582
ok,2024-01-05 13:00:00,1.94,1.94,1.87,1.9,18554
ok,2024-01-05 13:30:00,1.92,1.94,1.88,1.94,45355
ok,2024-01-05 14:00:00,1.94,2.05,1.92,1.98,41582
ok,2024-01-05 14:30:00,1.95,1.98,1.95,1.96,5873
ok,2024-01-05 15:00:00,1.96,2.0,1.9,1.9,36643
ok,2024-01-05 15:30:00,1.92,1.95,1.9,1.93,83221
ok,2024-01-05 16:00:00,1.91,2.06,1.9,2.0,15661
ok,2024-01-05 16:30:00,2.06,2.06,1.91,1.95,4247
ok,2024-01-05 17:00:00,1.96,1.96,1.96,1.96,113
ok,2024-01-05 17:30:00,2.02,2.05,2.0,2.05,1245
ok,2024-01-05 18:00:00,2.02,2.02,2.01,2.01,955
ok,2024-01-05 18:30:00,2.04,2.04,2.01,2.01,1000
ok,2024-01-05 19:00:00,2.04,2.04,2.01,2.01,2200
ok,2024-01-05 19:30:00,2.01,2.01,1.95,1.95,1064
ok,2024-01-08 05:00:00,1.85,1.86,1.85,1.86,483
ok,2024-01-08 07:00:00,1.95,1.98,1.89,1.98,3786
ok,2024-01-08 08:00:00,1.88,1.92,1.8,1.81,8171
ok,2024-01-08 08:30:00,1.8,1.91,1.8,1.91,6100
ok,2024-01-08 09:00:00,1.82,1.9,1.82,1.85,2721
ok,2024-01-08 09:30:00,2.04,2.05,1.69,1.8,56963
ok,2024-01-08 10:00:00,1.81,1.88,1.71,1.79,20670
ok,2024-01-08 10:30:00,1.79,1.81,1.76,1.78,12184
ok,2024-01-08 11:00:00,1.81,1.81,1.79,1.79,3805
ok,2024-01-08 11:30:00,1.79,1.81,1.78,1.8,4161
ok,2024-01-08 12:00:00,1.8,1.82,1.8,1.8,2065
ok,2024-01-08 12:30:00,1.81,1.85,1.8,1.84,8854
ok,2024-01-08 13:00:00,1.82,1.82,1.81,1.81,700
ok,2024-01-08 13:30:00,1.81,1.85,1.81,1.85,4319
ok,2024-01-08 14:00:00,1.84,1.84,1.81,1.83,7929
ok,2024-01-08 14:30:00,1.81,1.82,1.8,1.8,2100
ok,2024-01-08 15:00:00,1.81,1.88,1.8,1.87,7135
ok,2024-01-08 15:30:00,1.87,1.91,1.87,1.91,4703
ok,2024-01-08 16:00:00,1.8,1.8,1.78,1.78,500
ok,2024-01-08 16:30:00,1.8,1.8,1.8,1.8,100
ok,2024-01-09 08:30:00,1.89,1.89,1.89,1.89,435
ok,2024-01-09 09:00:00,1.81,1.81,1.72,1.72,3380
ok,2024-01-09 09:30:00,1.87,1.87,1.81,1.82,8325
ok,2024-01-09 10:00:00,1.81,1.83,1.8,1.83,2074
ok,2024-01-09 10:30:00,1.85,1.85,1.81,1.81,1356
ok,2024-01-09 11:00:00,1.81,1.85,1.8,1.85,2518
ok,2024-01-09 11:30:00,1.8,1.83,1.8,1.81,7968
ok,2024-01-09 12:00:00,1.81,1.81,1.81,1.81,447
ok,2024-01-09 12:30:00,1.81,1.84,1.8,1.8,2164
ok,2024-01-09 13:00:00,1.81,1.84,1.8,1.82,3081
ok,2024-01-09 13:30:00,1.8,1.82,1.8,1.8,1282
ok,2024-01-09 14:00:00,1.84,1.84,1.8,1.81,725
ok,2024-01-09 14:30:00,1.82,1.83,1.8,1.8,2472
ok,2024-01-09 15:00:00,1.8,1.82,1.8,1.8,777
ok,2024-01-09 15:30:00,1.8,1.81,1.8,1.81,5705
ok,2024-01-10 08:00:00,1.76,1.76,1.75,1.75,426
ok,2024-01-10 08:30:00,1.84,1.85,1.84,1.85,647
ok,2024-01-10 09:00:00,1.78,1.78,1.78,1.78,200
ok,2024-01-10 09:30:00,1.8,1.87,1.75,1.79,15392
ok,2024-01-10 10:00:00,1.74,1.82,1.74,1.74,2824
ok,2024-01-10 10:30:00,1.74,1.74,1.7,1.72,10902
ok,2024-01-10 11:00:00,1.7,1.75,1.68,1.69,21175
ok,2024-01-10 11:30:00,1.68,1.68,1.54,1.54,21265
ok,2024-01-10 12:00:00,1.61,1.65,1.6,1.62,3640
ok,2024-01-10 12:30:00,1.61,1.62,1.6,1.62,9770
ok,2024-01-10 13:00:00,1.62,1.65,1.59,1.59,16860
ok,2024-01-10 13:30:00,1.59,1.59,1.57,1.57,4207
ok,2024-01-10 14:00:00,1.6,1.6,1.58,1.58,4230
ok,2024-01-10 14:30:00,1.59,1.66,1.58,1.66,27578
ok,2024-01-10 15:00:00,1.64,1.64,1.59,1.64,6550
ok,2024-01-10 15:30:00,1.64,1.64,1.61,1.61,2126
ok,2024-01-10 16:00:00,1.61,1.61,1.57,1.57,1000
ok,2024-01-10 17:00:00,1.59,1.6,1.59,1.6,1808
ok,2024-01-10 18:00:00,1.6,1.6,1.6,1.6,200
ok,2024-01-10 18:30:00,1.7,1.7,1.7,1.7,100
ok,2024-01-11 09:30:00,1.69,1.69,1.55,1.55,14880
ok,2024-01-11 10:00:00,1.55,1.6,1.55,1.55,7961
ok,2024-01-11 10:30:00,1.56,1.56,1.54,1.54,1250
ok,2024-01-11 11:00:00,1.55,1.55,1.55,1.55,363
ok,2024-01-11 11:30:00,1.56,1.57,1.55,1.57,2558
ok,2024-01-11 12:00:00,1.6,1.6,1.6,1.6,450
ok,2024-01-11 12:30:00,1.58,1.6,1.56,1.6,1945
ok,2024-01-11 13:00:00,1.57,1.57,1.57,1.57,700
ok,2024-01-11 13:30:00,1.6,1.6,1.58,1.59,690
ok,2024-01-11 14:00:00,1.57,1.59,1.57,1.59,1833
ok,2024-01-11 14:30:00,1.6,1.6,1.58,1.58,2488
ok,2024-01-11 15:00:00,1.6,1.67,1.6,1.62,9103
ok,2024-01-11 15:30:00,1.66,1.66,1.62,1.62,1735
ok,2024-01-11 16:30:00,1.67,1.67,1.67,1.67,598
ok,2024-01-11 17:30:00,1.67,1.67,1.67,1.67,114
ok,2024-01-12 08:00:00,1.6,1.64,1.6,1.64,398
ok,2024-01-12 09:30:00,1.69,1.7,1.67,1.67,3333
ok,2024-01-12 10:00:00,1.68,1.68,1.68,1.68,100
ok,2024-01-12 10:30:00,1.66,1.67,1.6,1.67,6920
ok,2024-01-12 11:30:00,1.64,1.64,1.64,1.64,100
ok,2024-01-12 12:00:00,1.61,1.61,1.59,1.59,5300
ok,2024-01-12 12:30:00,1.6,1.62,1.58,1.58,2067
ok,2024-01-12 13:00:00,1.59,1.62,1.59,1.62,718
ok,2024-01-12 13:30:00,1.64,1.64,1.62,1.62,1568
ok,2024-01-12 15:00:00,1.63,1.63,1.63,1.63,315
