s,t,o,h,l,c,v
ok,2024-03-15 04:00:00,8.0,8.0,8.0,8.0,546
ok,2024-03-15 05:30:00,8.0,8.0,8.0,8.0,195
ok,2024-03-15 07:00:00,7.01,7.01,7.01,7.01,100
ok,2024-03-15 08:00:00,6.1,6.1,6.09,6.09,2650
ok,2024-03-15 08:30:00,5.85,7.79,5.65,7.79,29405
ok,2024-03-15 09:00:00,7.99,11.13,7.59,9.02,74443
ok,2024-03-15 09:30:00,7.7,8.75,6.65,6.65,32503
ok,2024-03-15 10:00:00,6.38,8.34,6.27,8.16,15573
ok,2024-03-15 10:30:00,7.88,8.75,7.74,7.8,25564
ok,2024-03-15 11:00:00,7.85,8.2,7.51,8.2,2670
ok,2024-03-15 11:30:00,8.2,9.0,8.05,8.76,8807
ok,2024-03-15 12:00:00,8.77,8.88,8.7,8.88,1223
ok,2024-03-15 12:30:00,8.89,8.94,8.22,8.22,1149
ok,2024-03-15 13:00:00,8.99,10.0,8.98,9.12,6504
ok,2024-03-15 13:30:00,9.45,10.47,9.15,9.21,10911
ok,2024-03-15 14:00:00,10.0,10.0,9.75,9.96,1456
ok,2024-03-15 14:30:00,9.69,11.64,9.69,10.86,25851
ok,2024-03-15 15:00:00,10.87,11.5,10.87,11.1,2749
ok,2024-03-15 15:30:00,11.5,12.02,11.5,12.02,1334
ok,2024-03-15 16:00:00,11.6,19.0,11.6,17.0,16677
ok,2024-03-15 16:30:00,18.3,22.99,18.11,19.0,37611
ok,2024-03-15 17:00:00,20.9,21.45,19.0,19.02,20959
ok,2024-03-15 17:30:00,19.02,19.5,19.0,19.0,6912
ok,2024-03-15 18:00:00,19.01,19.01,15.0,15.0,7747
ok,2024-03-15 18:30:00,16.63,19.01,15.51,19.0,6766
ok,2024-03-18 03:00:00,17.2,17.4,17.2,17.4,606
ok,2024-03-18 03:30:00,16.89,16.89,16.89,16.89,306
ok,2024-03-18 04:00:00,16.99,17.0,16.99,17.0,907
