s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,1.47,1.47,1.47,1.47,100
ok,2024-01-02 07:00:00,1.48,1.48,1.48,1.48,128
ok,2024-01-02 08:00:00,1.48,1.48,1.43,1.46,1142
ok,2024-01-02 08:30:00,1.46,1.46,1.46,1.46,1902
ok,2024-01-02 09:00:00,1.48,1.53,1.44,1.44,6691
ok,2024-01-02 09:30:00,1.51,1.6,1.51,1.59,155939
ok,2024-01-02 10:00:00,1.59,1.61,1.56,1.58,104926
ok,2024-01-02 10:30:00,1.59,1.59,1.57,1.59,30449
ok,2024-01-02 11:00:00,1.58,1.59,1.58,1.59,33806
ok,2024-01-02 11:30:00,1.59,1.7,1.58,1.7,97557
ok,2024-01-02 12:00:00,1.7,1.72,1.66,1.7,212123
ok,2024-01-02 12:30:00,1.71,1.75,1.7,1.75,37613
ok,2024-01-02 13:00:00,1.75,1.75,1.67,1.67,72884
ok,2024-01-02 13:30:00,1.67,1.68,1.63,1.66,57968
ok,2024-01-02 14:00:00,1.66,1.66,1.63,1.64,31240
ok,2024-01-02 14:30:00,1.63,1.65,1.61,1.64,81955
ok,2024-01-02 15:00:00,1.64,1.64,1.55,1.56,69470
ok,2024-01-02 15:30:00,1.56,1.6,1.55,1.6,40354
ok,2024-01-02 16:30:00,1.64,1.64,1.6,1.6,1404
ok,2024-01-02 17:00:00,1.6,1.6,1.6,1.6,3000
ok,2024-01-02 17:30:00,1.6,1.6,1.6,1.6,250
ok,2024-01-02 18:00:00,1.65,1.65,1.65,1.65,500
ok,2024-01-02 18:30:00,1.6,1.61,1.6,1.61,1870
ok,2024-01-03 08:00:00,1.6,1.6,1.57,1.57,2372
ok,2024-01-03 08:30:00,1.6,1.6,1.6,1.6,449
ok,2024-01-03 09:00:00,1.55,1.55,1.55,1.55,250
ok,2024-01-03 09:30:00,1.59,1.65,1.55,1.64,65382
ok,2024-01-03 10:00:00,1.64,1.68,1.63,1.64,75883
ok,2024-01-03 10:30:00,1.64,1.64,1.58,1.59,65133
ok,2024-01-03 11:00:00,1.59,1.61,1.58,1.6,29288
ok,2024-01-03 11:30:00,1.61,1.62,1.6,1.61,18642
ok,2024-01-03 12:00:00,1.61,1.62,1.6,1.61,23602
ok,2024-01-03 12:30:00,1.61,1.62,1.59,1.61,42312
ok,2024-01-03 13:00:00,1.62,1.62,1.6,1.6,19720
ok,2024-01-03 13:30:00,1.6,1.61,1.59,1.59,9802
ok,2024-01-03 14:00:00,1.58,1.59,1.57,1.59,11613
ok,2024-01-03 14:30:00,1.59,1.59,1.54,1.54,80749
ok,2024-01-03 15:00:00,1.54,1.56,1.45,1.49,292946
ok,2024-01-03 15:30:00,1.48,1.53,1.48,1.53,144021
ok,2024-01-03 18:00:00,1.52,1.52,1.52,1.52,101
ok,2024-01-04 07:00:00,1.52,1.52,1.52,1.52,206
ok,2024-01-04 08:00:00,1.58,1.58,1.58,1.58,303
