s,t,o,h,l,c,v
ok,2024-01-02 06:00:00,1.94,1.94,1.94,1.94,104
ok,2024-01-02 08:00:00,2.03,2.03,1.92,1.95,1419
ok,2024-01-02 08:30:00,1.99,1.99,1.99,1.99,100
ok,2024-01-02 09:00:00,2.0,2.0,2.0,2.0,800
ok,2024-01-02 09:30:00,1.95,2.0,1.82,1.83,14004
ok,2024-01-02 10:00:00,1.85,1.86,1.85,1.85,1226
ok,2024-01-02 10:30:00,1.85,1.88,1.82,1.84,4598
ok,2024-01-02 11:00:00,1.82,1.84,1.79,1.79,11590
ok,2024-01-02 11:30:00,1.79,1.82,1.77,1.81,5039
ok,2024-01-02 12:00:00,1.77,1.8,1.75,1.8,5501
ok,2024-01-02 12:30:00,1.75,1.8,1.75,1.78,2902
ok,2024-01-02 13:00:00,1.76,1.78,1.73,1.73,4864
ok,2024-01-02 13:30:00,1.75,1.78,1.73,1.74,11908
ok,2024-01-02 14:00:00,1.73,1.76,1.66,1.68,18830
ok,2024-01-02 14:30:00,1.66,1.69,1.61,1.66,12363
ok,2024-01-02 15:00:00,1.62,1.69,1.6,1.6,10131
ok,2024-01-02 15:30:00,1.6,1.67,1.58,1.59,18471
ok,2024-01-02 16:00:00,1.65,1.65,1.65,1.65,100
ok,2024-01-02 17:30:00,1.68,1.68,1.68,1.68,110
ok,2024-01-02 18:00:00,1.69,1.78,1.69,1.69,2734
ok,2024-01-02 18:30:00,1.86,1.86,1.86,1.86,400
ok,2024-01-02 19:00:00,1.63,1.64,1.63,1.63,1201
ok,2024-01-02 19:30:00,1.64,1.64,1.64,1.64,1500
ok,2024-01-03 07:00:00,1.6,1.6,1.6,1.6,200
ok,2024-01-03 07:30:00,1.59,1.62,1.57,1.62,1609
ok,2024-01-03 08:00:00,1.55,1.78,1.55,1.64,6322
ok,2024-01-03 08:30:00,1.66,1.66,1.65,1.65,602
ok,2024-01-03 09:00:00,1.65,1.65,1.65,1.65,175
ok,2024-01-03 09:30:00,1.6,1.6,1.5,1.5,42839
ok,2024-01-03 10:00:00,1.51,1.6,1.5,1.5,19738
ok,2024-01-03 10:30:00,1.49,1.5,1.47,1.49,10698
ok,2024-01-03 11:00:00,1.49,1.56,1.49,1.49,3955
ok,2024-01-03 11:30:00,1.52,1.6,1.51,1.6,28831
ok,2024-01-03 12:00:00,1.59,1.88,1.53,1.8,235743
ok,2024-01-03 12:30:00,1.84,2.24,1.6,1.63,975287
ok,2024-01-03 13:00:00,1.62,1.65,1.46,1.52,80181
ok,2024-01-03 13:30:00,1.48,1.63,1.48,1.54,20727
ok,2024-01-03 14:00:00,1.53,1.57,1.5,1.52,10274
