s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.22,1.22,1.22,1.22,341
ok,2024-01-02 12:30:00,1.27,1.32,1.27,1.28,1157
ok,2024-01-03 09:30:00,1.31,1.31,1.31,1.31,208
ok,2024-01-03 10:00:00,1.28,1.35,1.28,1.35,200
ok,2024-01-04 10:00:00,1.38,1.38,1.34,1.34,200
ok,2024-01-04 14:00:00,1.3,1.3,1.27,1.27,500
ok,2024-01-05 10:00:00,1.22,1.22,1.22,1.22,1000
ok,2024-01-05 10:30:00,1.25,1.25,1.22,1.22,600
ok,2024-01-05 13:00:00,1.27,1.27,1.27,1.27,100
ok,2024-01-05 14:00:00,1.37,1.37,1.37,1.37,100
ok,2024-01-05 14:30:00,1.36,1.37,1.36,1.37,854
ok,2024-01-05 15:00:00,1.44,1.5,1.39,1.5,1100
ok,2024-01-05 15:30:00,1.39,1.44,1.35,1.37,7453
ok,2024-01-08 11:00:00,1.28,1.35,1.28,1.3,1000
ok,2024-01-08 11:30:00,1.35,1.35,1.35,1.35,3674
ok,2024-01-08 12:30:00,1.23,1.23,1.23,1.23,500
ok,2024-01-08 13:00:00,1.23,1.23,1.23,1.23,100
ok,2024-01-08 15:30:00,1.24,1.28,1.24,1.28,2535
ok,2024-01-09 04:00:00,1.2,1.2,1.2,1.2,100
ok,2024-01-09 11:00:00,1.33,1.33,1.33,1.33,194
ok,2024-01-09 12:30:00,1.28,1.28,1.28,1.28,500
ok,2024-01-09 14:00:00,1.34,1.34,1.34,1.34,781
ok,2024-01-09 15:30:00,1.3,1.3,1.3,1.3,1000
ok,2024-01-10 08:00:00,1.4,1.4,1.4,1.4,239
ok,2024-01-10 10:00:00,1.3,1.33,1.3,1.33,1500
ok,2024-01-10 11:30:00,1.29,1.29,1.29,1.29,200
ok,2024-01-10 13:00:00,1.28,1.28,1.28,1.28,158
ok,2024-01-11 09:30:00,1.3,1.4,1.3,1.34,5171
ok,2024-01-11 11:00:00,1.3,1.3,1.28,1.29,1978
ok,2024-01-11 12:00:00,1.37,1.37,1.37,1.37,1600
ok,2024-01-11 15:30:00,1.36,1.36,1.32,1.32,7167
ok,2024-01-12 10:00:00,1.32,1.32,1.32,1.32,268
ok,2024-01-12 11:30:00,1.32,1.32,1.32,1.32,500
ok,2024-01-16 08:00:00,1.35,1.35,1.35,1.35,157
ok,2024-01-16 09:30:00,1.28,1.28,1.28,1.28,3973
ok,2024-01-16 11:30:00,1.28,1.28,1.28,1.28,1000
ok,2024-01-17 09:00:00,1.15,1.15,1.06,1.06,1000
ok,2024-01-17 10:30:00,1.16,1.16,1.15,1.15,1133
ok,2024-01-17 11:00:00,1.15,1.16,1.15,1.16,1200
ok,2024-01-17 13:30:00,1.16,1.16,1.16,1.16,100
ok,2024-01-17 14:30:00,1.22,1.25,1.22,1.25,2500
ok,2024-01-17 15:00:00,1.16,1.17,1.15,1.15,6100
ok,2024-01-17 15:30:00,1.2,1.2,1.2,1.2,100
ok,2024-01-17 16:30:00,1.2,1.2,1.2,1.2,100
ok,2024-01-18 12:00:00,1.1,1.1,1.1,1.1,220
ok,2024-01-18 12:30:00,1.1,1.1,1.1,1.1,1500
ok,2024-01-18 15:00:00,1.13,1.13,1.13,1.13,478
ok,2024-01-18 15:30:00,1.12,1.13,1.11,1.13,1649
ok,2024-01-19 09:00:00,1.1,1.1,1.1,1.1,200
ok,2024-01-19 09:30:00,1.1,1.13,1.1,1.13,6519
ok,2024-01-19 10:00:00,1.14,1.2,1.1,1.2,3175
ok,2024-01-19 12:00:00,1.1,1.1,1.1,1.1,7090
ok,2024-01-19 12:30:00,1.1,1.12,1.1,1.12,450
ok,2024-01-19 13:30:00,1.1,1.1,1.1,1.1,1580
ok,2024-01-19 14:30:00,1.1,1.1,1.1,1.1,7285
ok,2024-01-19 15:00:00,1.12,1.12,1.11,1.12,2035
ok,2024-01-22 08:00:00,1.14,1.14,1.14,1.14,400
ok,2024-01-22 09:30:00,1.24,1.24,1.22,1.22,350
ok,2024-01-22 12:30:00,1.2,1.2,1.15,1.18,3300
ok,2024-01-22 13:30:00,1.13,1.13,1.13,1.13,300
ok,2024-01-22 15:00:00,1.18,1.18,1.13,1.13,2142
ok,2024-01-22 15:30:00,1.13,1.13,1.11,1.11,13015
ok,2024-01-23 09:30:00,1.11,1.11,1.11,1.11,2002
ok,2024-01-23 10:00:00,1.15,1.16,1.15,1.16,327
ok,2024-01-23 10:30:00,1.2,1.2,1.18,1.18,4300
ok,2024-01-23 13:00:00,1.19,1.19,1.17,1.17,295
ok,2024-01-23 15:30:00,1.15,1.15,1.15,1.15,2851
ok,2024-01-24 10:00:00,1.11,1.11,1.11,1.11,1000
ok,2024-01-24 10:30:00,1.16,1.19,1.15,1.15,2912
ok,2024-01-24 14:30:00,1.11,1.11,1.11,1.11,599
ok,2024-01-25 12:00:00,1.15,1.15,1.15,1.15,115
ok,2024-01-25 12:30:00,1.19,1.2,1.19,1.2,2489
ok,2024-01-25 14:30:00,1.35,1.35,1.2,1.2,2865
ok,2024-01-26 09:00:00,1.26,1.26,1.26,1.26,1620
ok,2024-01-26 09:30:00,1.2,1.2,1.14,1.15,11186
ok,2024-01-26 10:00:00,1.18,1.18,1.16,1.16,1146
ok,2024-01-26 10:30:00,1.16,1.16,1.16,1.16,646
ok,2024-01-26 11:00:00,1.15,1.15,1.12,1.14,500
ok,2024-01-26 11:30:00,1.12,1.17,1.12,1.15,6825
ok,2024-01-26 12:00:00,1.15,1.15,1.15,1.15,500
ok,2024-01-26 12:30:00,1.15,1.15,1.13,1.13,500
ok,2024-01-26 13:00:00,1.12,1.13,1.12,1.13,500
ok,2024-01-26 13:30:00,1.12,1.12,1.12,1.12,400
ok,2024-01-26 14:00:00,1.12,1.12,1.11,1.11,600
ok,2024-01-26 14:30:00,1.1,1.1,1.1,1.1,933
ok,2024-01-26 15:00:00,1.16,1.16,1.15,1.15,802
ok,2024-01-29 09:00:00,1.15,1.15,1.15,1.15,300
ok,2024-01-29 12:00:00,1.22,1.22,1.22,1.22,200
ok,2024-01-29 13:00:00,1.24,1.24,1.24,1.24,300
ok,2024-01-29 14:00:00,1.23,1.23,1.23,1.23,200
ok,2024-01-29 15:30:00,1.2,1.2,1.16,1.16,928
ok,2024-01-30 13:30:00,1.16,1.17,1.15,1.17,1000
ok,2024-01-30 15:00:00,1.33,1.33,1.33,1.33,2000
ok,2024-01-31 08:00:00,1.47,1.95,1.1,1.3,15397
ok,2024-01-31 08:30:00,1.34,1.34,1.34,1.34,187
ok,2024-01-31 09:00:00,1.3,1.36,1.24,1.31,1607
ok,2024-01-31 09:30:00,1.28,1.35,1.25,1.25,5450
ok,2024-01-31 10:00:00,1.25,1.3,1.25,1.25,1560
ok,2024-01-31 10:30:00,1.25,1.25,1.25,1.25,1934
ok,2024-01-31 11:00:00,1.25,1.25,1.17,1.17,3039
ok,2024-01-31 11:30:00,1.18,1.18,1.16,1.16,500
ok,2024-01-31 12:00:00,1.22,1.23,1.2,1.2,4124
ok,2024-01-31 12:30:00,1.13,1.17,1.12,1.14,2951
ok,2024-01-31 13:00:00,1.14,1.14,1.13,1.13,750
ok,2024-01-31 13:30:00,1.13,1.19,1.12,1.12,1700
ok,2024-01-31 14:00:00,1.12,1.12,1.12,1.12,500
ok,2024-01-31 15:30:00,1.11,1.12,1.11,1.12,400
ok,2024-01-31 16:30:00,1.11,1.11,1.11,1.11,180
ok,2024-01-31 17:00:00,1.14,1.14,1.14,1.14,138
ok,2024-02-01 09:30:00,1.22,1.28,1.13,1.13,5254
ok,2024-02-01 10:00:00,1.16,1.16,1.16,1.16,210
ok,2024-02-01 10:30:00,1.19,1.28,1.17,1.28,4081
ok,2024-02-01 11:00:00,1.32,1.34,1.32,1.34,806
ok,2024-02-01 11:30:00,1.34,1.34,1.34,1.34,1023
ok,2024-02-01 12:00:00,1.29,1.3,1.16,1.16,2335
ok,2024-02-01 12:30:00,1.15,1.15,1.15,1.15,760
ok,2024-02-01 13:00:00,1.25,1.25,1.21,1.21,300
ok,2024-02-01 13:30:00,1.21,1.23,1.2,1.21,2411
ok,2024-02-01 14:00:00,1.21,1.21,1.2,1.2,400
ok,2024-02-01 14:30:00,1.2,1.23,1.2,1.22,800
ok,2024-02-01 15:00:00,1.22,1.23,1.22,1.23,2201
ok,2024-02-01 15:30:00,1.23,1.25,1.22,1.23,1000
ok,2024-02-02 09:30:00,1.18,1.18,1.15,1.15,403
ok,2024-02-02 10:00:00,1.3,1.3,1.3,1.3,1000
ok,2024-02-02 10:30:00,1.24,1.24,1.24,1.24,2000
ok,2024-02-05 09:30:00,1.29,1.3,1.28,1.28,3183
ok,2024-02-05 10:00:00,1.33,1.35,1.32,1.32,1001
ok,2024-02-05 11:00:00,1.39,1.44,1.39,1.44,2426
ok,2024-02-05 12:00:00,1.45,1.45,1.4,1.42,1239
ok,2024-02-05 13:00:00,1.42,1.43,1.4,1.43,2853
ok,2024-02-05 13:30:00,1.44,1.5,1.38,1.38,2215
ok,2024-02-05 15:30:00,1.5,1.5,1.45,1.45,3977
ok,2024-02-06 09:30:00,1.44,1.44,1.33,1.33,7009
ok,2024-02-06 10:00:00,1.4,1.44,1.4,1.44,600
ok,2024-02-06 11:30:00,1.4,1.4,1.4,1.4,500
ok,2024-02-06 15:00:00,1.4,1.4,1.4,1.4,1000
ok,2024-02-06 15:30:00,1.35,1.35,1.35,1.35,300
ok,2024-02-07 09:30:00,1.44,1.45,1.4,1.45,4326
ok,2024-02-07 10:00:00,1.45,1.46,1.45,1.46,1199
ok,2024-02-07 11:30:00,1.46,1.46,1.46,1.46,199
ok,2024-02-07 12:00:00,1.46,1.46,1.46,1.46,438
ok,2024-02-07 14:00:00,1.37,1.41,1.37,1.41,313
ok,2024-02-07 15:30:00,1.41,1.41,1.41,1.41,202
ok,2024-02-07 16:00:00,1.44,1.44,1.44,1.44,100
ok,2024-02-07 17:30:00,1.44,1.44,1.44,1.44,200
ok,2024-02-08 09:30:00,1.48,1.49,1.43,1.49,3680
ok,2024-02-08 10:00:00,1.44,1.44,1.44,1.44,2000
ok,2024-02-08 11:00:00,1.45,1.47,1.45,1.47,200
ok,2024-02-08 14:30:00,1.41,1.41,1.37,1.37,1528
ok,2024-02-08 15:00:00,1.42,1.42,1.42,1.42,111
ok,2024-02-08 15:30:00,1.42,1.42,1.42,1.42,585
ok,2024-02-09 11:00:00,1.4,1.4,1.4,1.4,141
ok,2024-02-09 11:30:00,1.37,1.37,1.37,1.37,2500
ok,2024-02-09 12:30:00,1.4,1.4,1.38,1.38,1500
ok,2024-02-12 08:00:00,1.49,2.09,1.46,1.64,55648
ok,2024-02-12 08:30:00,1.52,1.64,1.38,1.4,12715
ok,2024-02-12 09:00:00,1.39,1.41,1.39,1.41,600
ok,2024-02-12 09:30:00,1.41,1.5,1.3,1.44,37188
ok,2024-02-12 10:00:00,1.48,1.53,1.41,1.45,15716
ok,2024-02-12 10:30:00,1.47,1.6,1.45,1.52,6634
ok,2024-02-12 11:00:00,1.58,1.64,1.5,1.64,19731
ok,2024-02-12 11:30:00,1.68,1.96,1.65,1.94,76991
ok,2024-02-12 12:00:00,1.95,1.98,1.84,1.98,38713
ok,2024-02-12 12:30:00,1.94,3.5,1.94,2.15,691354
ok,2024-02-12 13:00:00,2.15,3.6,2.12,2.3,701615
ok,2024-02-12 13:30:00,2.33,3.13,2.31,2.57,298645
ok,2024-02-12 14:00:00,2.49,2.84,2.23,2.38,141219
ok,2024-02-12 14:30:00,2.44,2.6,2.2,2.48,89478
ok,2024-02-12 15:00:00,2.46,3.2,2.45,2.66,366588
