s,t,o,h,l,c,v
ok,2024-03-28 12:00:00,14.25,15.0,14.1,14.84,724142
ok,2024-03-28 12:30:00,14.84,14.9,14.57,14.73,174519
ok,2024-03-28 13:00:00,14.71,14.82,14.55,14.78,177715
ok,2024-03-28 13:30:00,14.77,15.24,14.69,14.74,184386
ok,2024-03-28 14:00:00,14.69,14.85,14.54,14.55,137377
ok,2024-03-28 14:30:00,14.54,14.6,14.25,14.25,312225
ok,2024-03-28 15:00:00,14.26,14.26,14.26,14.26,100
ok,2024-04-01 06:00:00,14.55,14.55,14.55,14.55,800
ok,2024-04-01 07:00:00,14.55,14.55,14.55,14.55,2191
ok,2024-04-01 07:30:00,14.5,14.5,14.5,14.5,200
ok,2024-04-01 08:00:00,14.52,14.53,14.48,14.48,3051
ok,2024-04-01 08:30:00,14.58,14.72,14.26,14.26,26699
ok,2024-04-01 09:00:00,14.27,14.34,14.2,14.2,17863
ok,2024-04-01 09:30:00,14.2,14.23,14.0,14.2,23973
ok,2024-04-01 10:00:00,14.06,14.3,14.0,14.06,29287
ok,2024-04-01 10:30:00,14.03,14.15,13.99,14.05,43543
ok,2024-04-01 11:00:00,14.09,14.12,13.76,13.79,25742
ok,2024-04-01 11:30:00,13.89,14.06,13.78,13.86,9076
ok,2024-04-01 12:00:00,13.92,13.92,13.5,13.53,17726
ok,2024-04-01 12:30:00,13.53,13.66,13.5,13.57,15946
ok,2024-04-01 13:00:00,13.51,13.66,13.5,13.5,63708
ok,2024-04-01 13:30:00,13.5,13.6,13.48,13.51,48648
ok,2024-04-01 14:00:00,13.53,13.93,13.48,13.5,46595
ok,2024-04-01 14:30:00,13.5,14.2,13.3,13.94,132778
ok,2024-04-02 07:00:00,13.4,13.4,13.4,13.4,300
ok,2024-04-02 08:30:00,13.48,13.7,12.1,13.6,12540
ok,2024-04-02 09:00:00,13.52,13.61,13.28,13.5,26150
ok,2024-04-02 09:30:00,13.42,13.55,13.31,13.5,6527
ok,2024-04-02 10:00:00,13.5,13.5,13.39,13.49,3359
ok,2024-04-02 10:30:00,13.49,13.54,13.42,13.46,4283
ok,2024-04-02 11:00:00,13.51,13.52,13.45,13.52,3045
ok,2024-04-02 11:30:00,13.46,13.52,13.45,13.45,1716
ok,2024-04-02 12:00:00,13.5,13.6,13.49,13.54,12226
ok,2024-04-02 12:30:00,13.5,13.6,13.46,13.46,5320
ok,2024-04-02 13:00:00,13.52,13.54,13.45,13.46,7327
ok,2024-04-02 13:30:00,13.52,13.54,13.45,13.46,4121
ok,2024-04-02 14:00:00,13.47,13.52,13.46,13.47,6206
ok,2024-04-02 14:30:00,13.47,13.91,13.44,13.64,33017
ok,2024-04-03 08:30:00,13.9,13.9,13.7,13.78,12422
ok,2024-04-03 09:00:00,13.78,14.18,13.75,13.9,21858
ok,2024-04-03 09:30:00,13.9,13.9,13.68,13.84,17834
ok,2024-04-03 10:00:00,13.82,13.9,13.73,13.79,7394
ok,2024-04-03 10:30:00,13.79,13.9,13.68,13.75,10146
ok,2024-04-03 11:00:00,13.75,13.9,13.66,13.7,8518
ok,2024-04-03 11:30:00,13.7,13.8,13.67,13.7,8927
ok,2024-04-03 12:00:00,13.68,13.8,13.65,13.72,10061
ok,2024-04-03 12:30:00,13.72,13.81,13.65,13.66,11026
ok,2024-04-03 13:00:00,13.77,13.78,13.5,13.5,21659
ok,2024-04-03 13:30:00,13.51,13.51,13.5,13.5,27729
ok,2024-04-03 14:00:00,13.5,13.8,13.5,13.55,31545
ok,2024-04-03 14:30:00,13.55,13.67,13.3,13.55,109907
ok,2024-04-04 08:30:00,13.61,13.72,13.44,13.54,16882
ok,2024-04-04 09:00:00,13.5,13.59,13.25,13.39,39983
ok,2024-04-04 09:30:00,13.5,13.65,13.36,13.4,6400
ok,2024-04-04 10:00:00,13.4,13.45,13.1,13.19,28417
ok,2024-04-04 10:30:00,13.18,13.29,13.0,13.2,218221
ok,2024-04-04 11:00:00,13.4,13.48,13.18,13.3,7705
ok,2024-04-04 11:30:00,13.3,13.42,13.22,13.25,8824
ok,2024-04-04 12:00:00,13.24,13.36,13.12,13.25,9005
ok,2024-04-04 12:30:00,13.36,13.46,13.09,13.25,10496
ok,2024-04-04 13:00:00,13.46,13.46,13.02,13.25,11218
ok,2024-04-04 13:30:00,13.46,13.46,13.2,13.25,12368
ok,2024-04-04 14:00:00,13.3,13.3,13.1,13.18,21859
ok,2024-04-04 14:30:00,13.28,13.28,12.94,13.0,79102
ok,2024-04-05 06:30:00,13.05,13.05,13.05,13.05,302
ok,2024-04-05 07:00:00,13.05,13.05,13.05,13.05,622
ok,2024-04-05 08:30:00,13.34,13.34,13.25,13.26,12549
ok,2024-04-05 09:00:00,13.26,13.39,13.26,13.31,12029
ok,2024-04-05 09:30:00,13.31,13.34,13.22,13.24,20123
ok,2024-04-05 10:00:00,13.24,13.34,13.22,13.32,30071
ok,2024-04-05 10:30:00,13.33,13.44,13.29,13.37,13192
ok,2024-04-05 11:00:00,13.35,13.39,13.31,13.35,14276
ok,2024-04-05 11:30:00,13.35,13.44,13.31,13.36,10365
ok,2024-04-05 12:00:00,13.39,13.4,13.31,13.37,15859
ok,2024-04-05 12:30:00,13.37,13.44,13.3,13.34,7847
ok,2024-04-05 13:00:00,13.35,13.42,13.32,13.41,17240
ok,2024-04-05 13:30:00,13.42,13.42,13.2,13.2,17936
ok,2024-04-05 14:00:00,13.21,13.3,13.2,13.23,18847
ok,2024-04-05 14:30:00,13.22,13.36,13.2,13.22,42094
ok,2024-04-08 06:30:00,13.0,13.0,13.0,13.0,594
ok,2024-04-08 08:00:00,13.27,13.29,13.27,13.29,650
ok,2024-04-08 08:30:00,13.22,13.46,13.14,13.25,11823
ok,2024-04-08 09:00:00,13.25,13.4,13.25,13.35,8493
ok,2024-04-08 09:30:00,13.38,13.45,13.33,13.34,7163
ok,2024-04-08 10:00:00,13.37,13.42,13.3,13.33,8204
ok,2024-04-08 10:30:00,13.35,13.37,13.06,13.23,12716
ok,2024-04-08 11:00:00,13.17,13.17,13.02,13.04,5851
ok,2024-04-08 11:30:00,13.01,13.08,12.8,12.91,43266
ok,2024-04-08 12:00:00,12.85,12.9,12.79,12.8,10896
ok,2024-04-08 12:30:00,12.83,12.84,12.61,12.68,19943
ok,2024-04-08 13:00:00,12.67,12.77,12.61,12.67,21493
