s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.45,0.45,0.45,0.45,100
ok,2024-01-02 05:00:00,0.46,0.46,0.46,0.46,1000
ok,2024-01-02 05:30:00,0.46,0.49,0.46,0.49,5000
ok,2024-01-02 06:00:00,0.49,0.49,0.49,0.49,100
ok,2024-01-02 07:00:00,0.46,0.46,0.46,0.46,832
ok,2024-01-02 07:30:00,0.46,0.46,0.46,0.46,1276
ok,2024-01-02 08:00:00,0.48,0.48,0.46,0.46,5993
ok,2024-01-02 09:00:00,0.46,0.48,0.46,0.48,547
ok,2024-01-02 09:30:00,0.48,0.55,0.4,0.44,134399
ok,2024-01-02 10:00:00,0.49,0.49,0.44,0.48,5406
ok,2024-01-02 10:30:00,0.46,0.49,0.46,0.49,7674
ok,2024-01-02 11:00:00,0.46,0.48,0.46,0.46,6419
ok,2024-01-02 12:00:00,0.46,0.48,0.46,0.48,787
ok,2024-01-02 12:30:00,0.47,0.47,0.46,0.46,2521
ok,2024-01-02 13:00:00,0.48,0.48,0.46,0.46,3329
ok,2024-01-02 13:30:00,0.46,0.47,0.46,0.47,3229
ok,2024-01-02 14:00:00,0.47,0.48,0.47,0.48,830
ok,2024-01-02 15:00:00,0.47,0.47,0.47,0.47,684
ok,2024-01-02 15:30:00,0.46,0.47,0.46,0.47,5491
ok,2024-01-02 16:00:00,0.45,0.45,0.45,0.45,206
ok,2024-01-03 05:00:00,0.45,0.45,0.45,0.45,500
ok,2024-01-03 08:00:00,0.49,0.49,0.49,0.49,122
ok,2024-01-03 09:00:00,0.45,0.45,0.45,0.45,175
ok,2024-01-03 09:30:00,0.47,0.47,0.46,0.46,15407
ok,2024-01-03 10:00:00,0.46,0.46,0.43,0.43,39202
ok,2024-01-03 10:30:00,0.44,0.45,0.43,0.44,4218
ok,2024-01-03 11:00:00,0.44,0.45,0.44,0.45,4400
ok,2024-01-03 11:30:00,0.44,0.45,0.44,0.45,11375
ok,2024-01-03 12:00:00,0.44,0.45,0.44,0.45,2757
ok,2024-01-03 12:30:00,0.45,0.45,0.45,0.45,1000
ok,2024-01-03 13:00:00,0.45,0.45,0.45,0.45,300
ok,2024-01-03 13:30:00,0.45,0.45,0.44,0.44,6501
ok,2024-01-03 14:00:00,0.44,0.44,0.44,0.44,949
ok,2024-01-03 14:30:00,0.44,0.45,0.43,0.44,6745
ok,2024-01-03 15:00:00,0.43,0.43,0.43,0.43,1491
