s,t,o,h,l,c,v
ok,2024-02-08 09:30:00,11.17,11.54,8.0,8.0,6170
ok,2024-02-08 10:00:00,7.76,8.22,7.7,8.0,2208
ok,2024-02-08 10:30:00,7.2,7.2,7.2,7.2,150
ok,2024-02-08 11:30:00,7.7,8.0,7.7,7.75,1952
ok,2024-02-08 12:00:00,7.75,7.89,7.75,7.89,500
ok,2024-02-08 12:30:00,7.22,7.94,7.22,7.32,817
ok,2024-02-08 14:00:00,8.49,8.49,8.4,8.4,955
ok,2024-02-08 15:00:00,8.15,8.24,8.15,8.24,695
ok,2024-02-08 15:30:00,8.22,8.25,7.58,8.25,2031
ok,2024-02-08 16:30:00,8.99,8.99,8.99,8.99,100
ok,2024-02-09 09:30:00,8.41,8.41,8.41,8.41,377
ok,2024-02-09 10:00:00,8.11,8.11,8.0,8.0,592
ok,2024-02-09 10:30:00,7.61,8.1,7.35,8.1,1248
ok,2024-02-09 12:00:00,8.25,8.25,8.01,8.01,461
ok,2024-02-09 15:00:00,9.62,9.62,9.62,9.62,239
ok,2024-02-09 15:30:00,8.9,9.79,8.9,9.0,748
ok,2024-02-12 11:00:00,8.07,8.07,8.07,8.07,100
ok,2024-02-12 12:00:00,8.25,8.25,8.25,8.25,100
ok,2024-02-12 18:00:00,8.0,8.0,8.0,8.0,120
ok,2024-02-13 10:00:00,7.99,7.99,7.99,7.99,200
ok,2024-02-13 13:00:00,7.55,7.55,6.74,6.74,1155
ok,2024-02-13 13:30:00,6.3,6.3,6.3,6.3,350
ok,2024-02-13 14:00:00,7.77,7.77,7.77,7.77,301
ok,2024-02-13 14:30:00,7.53,8.76,7.53,8.76,613
ok,2024-02-13 15:30:00,8.68,8.68,8.68,8.68,174
ok,2024-02-14 10:00:00,8.8,8.8,8.8,8.8,189
ok,2024-02-14 10:30:00,8.95,8.95,8.84,8.84,200
ok,2024-02-14 11:30:00,8.5,8.5,8.5,8.5,399
ok,2024-02-14 14:00:00,8.9,8.9,8.85,8.9,2000
ok,2024-02-15 10:30:00,8.9,9.18,8.9,8.99,2010
ok,2024-02-15 11:30:00,8.99,8.99,8.96,8.96,253
ok,2024-02-15 12:00:00,8.9,8.9,8.9,8.9,100
ok,2024-02-15 14:00:00,8.75,8.75,8.75,8.75,102
ok,2024-02-16 11:00:00,8.03,8.41,8.0,8.41,400
ok,2024-02-16 12:30:00,8.8,8.8,8.8,8.8,139
ok,2024-02-16 13:30:00,8.81,8.81,8.8,8.8,457
ok,2024-02-16 14:00:00,8.8,8.8,8.8,8.8,107
ok,2024-02-16 14:30:00,8.8,8.8,8.8,8.8,100
ok,2024-02-16 15:00:00,8.8,8.8,8.8,8.8,104
ok,2024-02-16 15:30:00,8.81,8.81,8.81,8.81,115
ok,2024-02-20 09:30:00,9.09,9.2,9.0,9.0,1385
ok,2024-02-20 10:00:00,8.91,8.91,8.9,8.9,1545
ok,2024-02-20 13:30:00,8.5,9.2,8.48,9.19,6132
ok,2024-02-21 09:30:00,10.4,11.96,10.26,10.39,5187
ok,2024-02-21 10:00:00,10.43,10.43,10.43,10.43,350
ok,2024-02-21 10:30:00,9.7,9.7,9.7,9.7,100
ok,2024-02-21 11:00:00,9.22,9.59,9.2,9.59,798
ok,2024-02-21 11:30:00,9.0,9.22,9.0,9.22,533
ok,2024-02-21 13:30:00,9.2,10.94,9.2,10.45,2375
ok,2024-02-21 14:00:00,10.0,10.5,10.0,10.5,703
ok,2024-02-21 14:30:00,10.45,10.9,10.24,10.36,3418
ok,2024-02-21 15:00:00,10.59,10.7,10.3,10.3,1138
ok,2024-02-22 10:00:00,10.02,10.34,9.9,9.9,2880
ok,2024-02-22 10:30:00,9.9,9.92,9.64,9.64,780
ok,2024-02-22 12:30:00,10.39,10.39,10.39,10.39,1306
ok,2024-02-22 14:30:00,9.42,9.42,9.42,9.42,200
ok,2024-02-22 15:30:00,9.45,9.45,9.4,9.4,283
ok,2024-02-23 11:30:00,8.33,8.99,8.32,8.4,727
ok,2024-02-23 12:00:00,7.96,9.0,7.96,9.0,5708
ok,2024-02-23 12:30:00,9.05,10.5,9.05,9.94,4839
ok,2024-02-23 13:00:00,9.7,9.71,9.46,9.46,952
ok,2024-02-26 09:30:00,9.1,9.1,9.1,9.1,100
ok,2024-02-26 11:30:00,8.69,9.65,8.26,9.45,7158
ok,2024-02-26 12:30:00,9.44,9.44,9.44,9.44,299
ok,2024-02-26 14:00:00,9.3,9.49,9.3,9.49,400
ok,2024-02-26 14:30:00,9.3,11.5,9.3,10.9,7228
ok,2024-02-26 15:00:00,11.6,11.6,11.02,11.08,1041
ok,2024-02-26 15:30:00,10.0,10.89,9.6,10.31,4935
ok,2024-02-26 16:00:00,10.24,10.24,10.24,10.24,392
ok,2024-02-27 10:00:00,10.25,10.25,10.25,10.25,100
ok,2024-02-27 12:30:00,10.24,10.25,10.23,10.25,1254
