s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,3.56,3.56,3.56,3.56,300
ok,2024-01-02 07:00:00,3.51,3.52,3.51,3.52,235
ok,2024-01-02 09:00:00,3.83,3.83,3.83,3.83,214
ok,2024-01-02 09:30:00,3.91,4.5,3.75,4.48,13370
ok,2024-01-02 10:00:00,4.48,4.48,4.07,4.24,13343
ok,2024-01-02 10:30:00,4.18,4.18,3.68,3.95,15027
ok,2024-01-02 11:00:00,4.5,4.5,3.93,3.93,7277
ok,2024-01-02 11:30:00,3.82,4.1,3.69,3.8,9824
ok,2024-01-02 12:00:00,3.8,3.98,3.68,3.7,10263
ok,2024-01-02 12:30:00,3.7,3.8,3.7,3.78,2353
ok,2024-01-02 13:00:00,3.73,3.8,3.66,3.66,3858
ok,2024-01-02 13:30:00,3.56,3.56,3.54,3.54,1477
ok,2024-01-02 14:00:00,3.76,3.76,3.76,3.76,543
ok,2024-01-02 14:30:00,3.66,3.66,3.66,3.66,251
ok,2024-01-02 15:30:00,3.95,4.08,3.95,3.96,3700
ok,2024-01-03 09:30:00,3.98,3.98,3.68,3.8,5211
ok,2024-01-03 10:00:00,3.86,3.86,3.75,3.75,1435
ok,2024-01-03 10:30:00,3.75,3.8,3.59,3.59,3545
ok,2024-01-03 12:30:00,3.67,3.67,3.67,3.67,100
ok,2024-01-03 13:00:00,3.66,3.66,3.66,3.66,117
ok,2024-01-03 14:00:00,3.63,3.68,3.62,3.68,300
ok,2024-01-03 14:30:00,3.68,3.68,3.6,3.6,925
ok,2024-01-03 15:00:00,3.61,3.73,3.59,3.66,2422
ok,2024-01-03 15:30:00,3.63,3.64,3.63,3.63,406
ok,2024-01-04 04:00:00,4.14,4.15,4.14,4.15,331
ok,2024-01-04 05:00:00,4.01,4.01,3.97,3.97,595
ok,2024-01-04 06:30:00,3.76,3.76,3.76,3.76,225
ok,2024-01-04 07:00:00,3.74,3.74,3.65,3.65,1015
ok,2024-01-04 08:00:00,4.27,4.27,4.14,4.14,889
ok,2024-01-04 08:30:00,3.67,3.67,3.67,3.67,313
ok,2024-01-04 09:30:00,3.65,3.69,3.45,3.5,6807
ok,2024-01-04 10:00:00,3.47,3.47,3.34,3.34,1674
ok,2024-01-04 10:30:00,3.34,3.35,3.31,3.31,1110
ok,2024-01-04 11:00:00,3.34,3.35,3.33,3.35,1944
ok,2024-01-04 11:30:00,3.4,3.49,3.4,3.45,1836
ok,2024-01-04 12:00:00,3.49,3.49,3.4,3.47,587
ok,2024-01-04 12:30:00,3.4,3.47,3.4,3.45,600
ok,2024-01-04 13:00:00,3.45,3.45,3.42,3.45,860
ok,2024-01-04 14:00:00,3.46,3.46,3.35,3.35,973
ok,2024-01-04 14:30:00,3.34,3.34,3.3,3.31,1416
ok,2024-01-04 15:00:00,3.31,3.35,3.07,3.23,7345
ok,2024-01-04 15:30:00,3.23,3.23,3.11,3.12,7684
ok,2024-01-05 07:00:00,3.12,3.12,3.12,3.12,398
ok,2024-01-05 08:30:00,3.12,3.12,3.12,3.12,100
ok,2024-01-05 09:00:00,3.12,3.12,3.12,3.12,300
ok,2024-01-05 09:30:00,3.12,3.12,3.12,3.12,131
ok,2024-01-05 10:00:00,3.0,3.01,2.92,2.93,3209
ok,2024-01-05 10:30:00,2.93,3.05,2.75,2.76,11602
ok,2024-01-05 11:00:00,2.76,2.85,2.76,2.8,1480
ok,2024-01-05 11:30:00,2.83,2.83,2.76,2.76,1027
ok,2024-01-05 12:00:00,2.8,2.81,2.8,2.8,1326
ok,2024-01-05 12:30:00,2.81,2.81,2.75,2.76,8722
ok,2024-01-05 13:00:00,2.76,2.78,2.62,2.78,9434
ok,2024-01-05 13:30:00,2.81,3.27,2.66,2.92,19265
ok,2024-01-05 14:00:00,2.79,2.92,2.7,2.7,8118
ok,2024-01-05 14:30:00,2.7,2.81,2.62,2.69,10465
ok,2024-01-05 15:00:00,2.7,2.7,2.7,2.7,435
ok,2024-01-05 15:30:00,2.68,2.7,2.36,2.43,8742
ok,2024-01-05 16:00:00,2.5,2.5,2.5,2.5,254
ok,2024-01-05 16:30:00,2.54,2.54,2.54,2.54,210
ok,2024-01-05 17:30:00,2.54,2.54,2.54,2.54,207
ok,2024-01-08 04:00:00,3.1,3.12,2.87,3.12,2954
ok,2024-01-08 04:30:00,2.82,2.83,2.5,2.6,5556
ok,2024-01-08 05:00:00,2.72,2.73,2.72,2.73,447
ok,2024-01-08 05:30:00,2.64,2.68,2.63,2.64,2111
ok,2024-01-08 06:00:00,2.72,2.82,2.72,2.79,2405
ok,2024-01-08 06:30:00,2.8,2.82,2.76,2.79,2039
ok,2024-01-08 07:00:00,2.78,2.81,2.78,2.8,546
ok,2024-01-08 07:30:00,2.8,2.8,2.72,2.72,2108
ok,2024-01-08 08:00:00,2.82,2.82,2.7,2.73,2279
ok,2024-01-08 08:30:00,2.74,2.74,2.7,2.7,2313
ok,2024-01-08 09:00:00,2.7,2.7,2.7,2.7,421
ok,2024-01-08 09:30:00,2.64,2.64,2.5,2.62,4313
ok,2024-01-08 10:00:00,2.54,2.71,2.54,2.55,3633
ok,2024-01-08 10:30:00,2.71,2.76,2.66,2.66,1180
ok,2024-01-08 11:00:00,2.73,2.81,2.71,2.74,6585
ok,2024-01-08 11:30:00,2.71,2.71,2.71,2.71,200
ok,2024-01-08 12:00:00,2.73,2.74,2.73,2.74,1712
ok,2024-01-08 12:30:00,2.75,2.78,2.74,2.74,3008
ok,2024-01-08 13:00:00,2.71,2.99,2.68,2.9,13624
ok,2024-01-08 13:30:00,2.84,2.99,2.84,2.94,6983
ok,2024-01-08 14:00:00,2.94,2.96,2.9,2.91,2275
ok,2024-01-08 14:30:00,2.9,2.9,2.64,2.79,13249
ok,2024-01-08 15:00:00,2.77,2.78,2.77,2.77,745
ok,2024-01-08 15:30:00,2.79,2.88,2.71,2.73,3478
ok,2024-01-08 16:00:00,2.82,2.82,2.82,2.82,130
ok,2024-01-09 04:00:00,2.81,2.81,2.81,2.81,1044
ok,2024-01-09 08:00:00,2.82,2.82,2.82,2.82,148
ok,2024-01-09 08:30:00,2.77,2.77,2.77,2.77,100
ok,2024-01-09 09:00:00,2.78,2.78,2.78,2.78,266
