s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.13,0.14,0.13,0.13,8605
ok,2024-01-02 04:30:00,0.13,0.14,0.13,0.14,29686
ok,2024-01-02 05:00:00,0.13,0.13,0.13,0.13,14123
ok,2024-01-02 05:30:00,0.13,0.13,0.13,0.13,4432
ok,2024-01-02 06:00:00,0.13,0.13,0.13,0.13,3861
ok,2024-01-02 06:30:00,0.13,0.14,0.13,0.13,32625
ok,2024-01-02 07:00:00,0.13,0.13,0.13,0.13,31014
ok,2024-01-02 07:30:00,0.13,0.13,0.13,0.13,5186
ok,2024-01-02 08:00:00,0.13,0.14,0.13,0.13,66253
ok,2024-01-02 08:30:00,0.13,0.13,0.13,0.13,56728
ok,2024-01-02 09:00:00,0.13,0.13,0.13,0.13,98325
ok,2024-01-02 09:30:00,0.13,0.13,0.13,0.13,262879
ok,2024-01-02 10:00:00,0.13,0.13,0.13,0.13,452111
ok,2024-01-02 10:30:00,0.13,0.13,0.13,0.13,126135
ok,2024-01-02 11:00:00,0.13,0.13,0.13,0.13,32338
ok,2024-01-02 11:30:00,0.13,0.13,0.13,0.13,56413
ok,2024-01-02 12:00:00,0.13,0.13,0.13,0.13,207168
ok,2024-01-02 12:30:00,0.13,0.13,0.13,0.13,96395
ok,2024-01-02 13:00:00,0.13,0.13,0.13,0.13,58335
ok,2024-01-02 13:30:00,0.13,0.13,0.13,0.13,32368
ok,2024-01-02 14:00:00,0.13,0.13,0.13,0.13,23385
ok,2024-01-02 14:30:00,0.13,0.13,0.13,0.13,138479
ok,2024-01-02 15:00:00,0.13,0.14,0.13,0.14,729125
ok,2024-01-02 15:30:00,0.14,0.14,0.14,0.14,564867
ok,2024-01-02 16:00:00,0.14,0.14,0.13,0.13,70761
ok,2024-01-02 16:30:00,0.13,0.14,0.13,0.14,5339
ok,2024-01-02 17:00:00,0.14,0.14,0.13,0.13,3681
ok,2024-01-02 17:30:00,0.13,0.14,0.13,0.14,45701
ok,2024-01-02 18:00:00,0.14,0.14,0.13,0.14,2916
ok,2024-01-02 18:30:00,0.14,0.14,0.14,0.14,3576
ok,2024-01-02 19:00:00,0.14,0.14,0.14,0.14,10124
ok,2024-01-02 19:30:00,0.14,0.14,0.14,0.14,130408
ok,2024-01-03 04:00:00,0.14,0.14,0.14,0.14,2773
ok,2024-01-03 04:30:00,0.14,0.14,0.14,0.14,1001
ok,2024-01-03 05:00:00,0.13,0.14,0.13,0.13,2523
ok,2024-01-03 05:30:00,0.14,0.14,0.14,0.14,3749
ok,2024-01-03 06:00:00,0.14,0.14,0.14,0.14,9725
ok,2024-01-03 06:30:00,0.14,0.14,0.14,0.14,5319
ok,2024-01-03 07:00:00,0.14,0.14,0.14,0.14,5885
ok,2024-01-03 07:30:00,0.14,0.14,0.14,0.14,954
ok,2024-01-03 08:00:00,0.14,0.14,0.13,0.14,60306
ok,2024-01-03 08:30:00,0.14,0.14,0.14,0.14,145970
ok,2024-01-03 09:00:00,0.14,0.14,0.14,0.14,30934
ok,2024-01-03 09:30:00,0.13,0.14,0.12,0.13,372693
ok,2024-01-03 10:00:00,0.13,0.13,0.13,0.13,285282
ok,2024-01-03 10:30:00,0.13,0.13,0.13,0.13,266367
ok,2024-01-03 11:00:00,0.13,0.13,0.13,0.13,266764
ok,2024-01-03 11:30:00,0.13,0.13,0.13,0.13,85245
ok,2024-01-03 12:00:00,0.13,0.13,0.13,0.13,39699
ok,2024-01-03 12:30:00,0.13,0.13,0.13,0.13,13699
ok,2024-01-03 13:00:00,0.13,0.13,0.13,0.13,37352
ok,2024-01-03 13:30:00,0.13,0.13,0.13,0.13,113150
ok,2024-01-03 14:00:00,0.13,0.13,0.13,0.13,6406
ok,2024-01-03 14:30:00,0.13,0.13,0.13,0.13,12181
ok,2024-01-03 15:00:00,0.13,0.13,0.13,0.13,9510
ok,2024-01-03 15:30:00,0.13,0.13,0.13,0.13,35495
ok,2024-01-03 16:00:00,0.13,0.13,0.13,0.13,27326
ok,2024-01-03 16:30:00,0.13,0.13,0.13,0.13,5124
