s,t,o,h,l,c,v
ok,2024-01-03 14:30:00,23.05,23.05,22.99,23.05,404
ok,2024-01-12 13:30:00,23.15,23.19,23.14,23.14,2575
ok,2024-01-26 13:00:00,23.1,23.1,23.1,23.1,178
ok,2024-01-29 14:00:00,23.09,23.09,23.09,23.09,1079
ok,2024-01-31 09:30:00,23.32,23.32,23.01,23.01,873
ok,2024-02-01 14:30:00,22.92,22.92,22.91,22.91,2855
ok,2024-02-02 15:00:00,23.2,23.2,23.2,23.2,684
ok,2024-02-08 12:30:00,23.09,23.09,23.09,23.09,250
ok,2024-02-13 15:30:00,22.9,22.92,22.9,22.92,200
ok,2024-02-22 13:30:00,23.55,23.55,23.55,23.55,127
ok,2024-02-22 14:30:00,23.6,23.65,23.6,23.65,2410
ok,2024-02-29 13:30:00,23.7,23.7,23.7,23.7,165
ok,2024-03-01 12:00:00,23.81,23.81,23.81,23.81,657
ok,2024-03-19 09:30:00,24.01,24.01,24.01,24.01,318
ok,2024-03-22 12:30:00,24.4,24.4,24.4,24.4,313
ok,2024-03-22 13:30:00,24.39,24.39,24.34,24.34,2317
ok,2024-03-22 14:00:00,24.36,24.37,24.36,24.37,200
ok,2024-03-22 14:30:00,24.39,24.39,24.39,24.39,100
ok,2024-04-23 12:00:00,23.98,23.98,23.93,23.93,738
ok,2024-04-23 14:00:00,23.91,23.91,23.91,23.91,127
ok,2024-04-24 09:30:00,23.89,23.89,23.89,23.89,3758
ok,2024-04-24 12:00:00,23.82,23.87,23.82,23.87,1668
ok,2024-04-26 11:30:00,23.91,23.91,23.91,23.91,100
ok,2024-04-29 11:30:00,24.02,24.09,24.02,24.09,934
ok,2024-04-30 11:30:00,23.77,23.77,23.77,23.77,100
ok,2024-04-30 14:30:00,23.73,23.73,23.7,23.7,452
ok,2024-05-01 11:30:00,23.63,23.63,23.63,23.63,100
ok,2024-05-02 11:30:00,23.71,23.71,23.71,23.71,100
ok,2024-05-03 11:30:00,23.99,23.99,23.99,23.99,100
ok,2024-05-06 11:30:00,24.13,24.13,24.13,24.13,200
ok,2024-05-07 11:30:00,24.32,24.32,24.32,24.32,100
ok,2024-05-08 14:30:00,24.28,24.28,24.28,24.28,100
ok,2024-05-09 12:00:00,24.48,24.48,24.45,24.45,698
ok,2024-05-10 14:00:00,24.62,24.62,24.62,24.62,1277
ok,2024-05-21 08:30:00,24.88,24.88,24.88,24.88,286
ok,2024-05-21 11:30:00,24.85,24.85,24.85,24.85,153
ok,2024-05-24 12:30:00,24.63,24.64,24.56,24.56,1970
ok,2024-05-28 13:30:00,24.39,24.39,24.39,24.39,159
ok,2024-05-29 13:30:00,24.28,24.28,24.27,24.28,305
ok,2024-05-31 09:00:00,24.4,24.4,24.27,24.27,2175
ok,2024-05-31 09:30:00,24.24,24.24,24.24,24.24,128
ok,2024-05-31 12:00:00,24.39,24.39,24.39,24.39,385
ok,2024-06-03 11:00:00,24.51,24.51,24.51,24.51,192
ok,2024-06-05 08:30:00,24.4,24.4,24.4,24.4,285
ok,2024-06-06 11:30:00,24.61,24.61,24.61,24.61,248
ok,2024-06-11 10:00:00,24.39,24.39,24.39,24.39,143
ok,2024-06-11 13:00:00,24.52,24.52,24.52,24.52,117
ok,2024-06-11 13:30:00,24.54,24.54,24.54,24.54,244
