s,t,o,h,l,c,v
ok,2024-01-26 13:00:00,12.0,12.04,11.5,11.65,7940494
ok,2024-01-26 13:30:00,11.62,12.14,11.53,11.83,2843817
ok,2024-01-26 14:00:00,11.84,11.85,11.69,11.7,1714640
ok,2024-01-26 14:30:00,11.7,11.85,11.57,11.74,1922793
ok,2024-01-26 15:00:00,11.73,11.75,11.49,11.5,2398884
ok,2024-01-26 15:30:00,11.5,11.5,10.99,11.01,6707401
ok,2024-01-26 16:00:00,11.0,11.03,10.9,10.96,781261
ok,2024-01-26 16:30:00,10.95,11.0,10.93,11.0,4525
ok,2024-01-26 17:00:00,10.96,10.96,10.96,10.96,219
ok,2024-01-26 17:30:00,10.95,11.0,10.95,11.0,356
ok,2024-01-26 18:00:00,11.0,11.0,11.0,11.0,164
ok,2024-01-26 19:00:00,11.1,11.27,11.1,11.27,436
ok,2024-01-29 04:00:00,10.47,10.77,10.47,10.61,1032
ok,2024-01-29 04:30:00,10.41,10.41,10.41,10.41,319
ok,2024-01-29 06:30:00,10.76,10.76,10.76,10.76,262
ok,2024-01-29 07:00:00,10.9,10.9,10.9,10.9,214
ok,2024-01-29 08:00:00,10.99,10.99,10.9,10.9,1154
ok,2024-01-29 08:30:00,11.03,11.05,10.9,10.9,436
ok,2024-01-29 09:00:00,11.0,11.0,11.0,11.0,895
ok,2024-01-29 09:30:00,11.0,11.16,10.99,11.14,620135
ok,2024-01-29 10:00:00,11.17,11.21,11.0,11.01,242829
ok,2024-01-29 10:30:00,11.01,11.06,10.99,11.0,386816
ok,2024-01-29 11:00:00,11.0,11.02,10.9,10.94,846468
ok,2024-01-29 11:30:00,10.95,11.0,10.9,10.9,214587
ok,2024-01-29 12:00:00,10.9,11.0,10.9,10.9,388508
ok,2024-01-29 12:30:00,10.9,10.91,10.74,10.75,593901
ok,2024-01-29 13:00:00,10.75,10.76,10.6,10.65,337786
ok,2024-01-29 13:30:00,10.65,10.7,10.64,10.68,192681
ok,2024-01-29 14:00:00,10.67,10.8,10.65,10.7,267303
ok,2024-01-29 14:30:00,10.7,10.72,10.68,10.72,238756
ok,2024-01-29 15:00:00,10.72,10.8,10.64,10.64,390553
ok,2024-01-29 15:30:00,10.63,10.7,10.5,10.61,924112
ok,2024-01-29 16:00:00,10.56,10.56,10.56,10.56,2800
ok,2024-01-29 16:30:00,10.36,10.36,10.13,10.13,271
ok,2024-01-30 04:30:00,10.21,10.21,10.04,10.09,749
ok,2024-01-30 08:00:00,10.44,10.44,10.44,10.44,199
ok,2024-01-30 08:30:00,10.5,10.5,10.5,10.5,229
ok,2024-01-30 09:00:00,10.5,10.5,10.5,10.5,401
ok,2024-01-30 09:30:00,10.5,10.69,10.26,10.58,387136
ok,2024-01-30 10:00:00,10.59,10.62,10.55,10.56,216576
ok,2024-01-30 10:30:00,10.57,10.6,10.55,10.58,116226
ok,2024-01-30 11:00:00,10.58,10.78,10.55,10.74,205046
ok,2024-01-30 11:30:00,10.75,10.78,10.61,10.77,256519
ok,2024-01-30 12:00:00,10.78,10.78,10.65,10.7,191674
ok,2024-01-30 12:30:00,10.72,10.85,10.58,10.71,219564
ok,2024-01-30 13:00:00,10.73,10.78,10.68,10.72,173707
ok,2024-01-30 13:30:00,10.73,10.79,10.69,10.7,162346
ok,2024-01-30 14:00:00,10.72,11.12,10.66,11.1,661544
ok,2024-01-30 14:30:00,11.1,11.14,11.0,11.05,212724
ok,2024-01-30 15:00:00,11.08,11.26,11.05,11.23,448670
ok,2024-01-30 15:30:00,11.23,11.34,11.1,11.21,1401794
ok,2024-01-30 16:30:00,11.3,11.3,11.3,11.3,400
ok,2024-01-30 17:30:00,11.18,11.18,11.17,11.17,305
ok,2024-01-30 19:30:00,10.65,10.66,10.65,10.66,387
ok,2024-01-31 09:30:00,11.11,11.4,11.11,11.23,494805
ok,2024-01-31 10:00:00,11.24,11.3,11.22,11.25,215964
ok,2024-01-31 10:30:00,11.26,11.36,11.2,11.3,227607
ok,2024-01-31 11:00:00,11.3,11.36,11.21,11.32,167704
ok,2024-01-31 11:30:00,11.31,11.31,11.25,11.28,151859
ok,2024-01-31 12:00:00,11.29,11.29,11.25,11.26,114018
ok,2024-01-31 12:30:00,11.26,11.26,11.15,11.22,121323
ok,2024-01-31 13:00:00,11.22,11.22,11.16,11.2,143529
ok,2024-01-31 13:30:00,11.2,11.2,11.17,11.18,400968
ok,2024-01-31 14:00:00,11.18,11.18,11.15,11.16,280460
ok,2024-01-31 14:30:00,11.15,11.17,11.14,11.14,270101
ok,2024-01-31 15:00:00,11.15,11.15,11.11,11.12,255386
ok,2024-01-31 15:30:00,11.11,11.12,11.0,11.02,957897
ok,2024-01-31 16:00:00,11.02,11.02,11.02,11.02,81125
ok,2024-02-01 04:30:00,10.69,10.69,10.69,10.69,120
ok,2024-02-01 09:30:00,11.05,11.53,11.05,11.27,236855
ok,2024-02-01 10:00:00,11.26,11.34,11.15,11.3,153966
ok,2024-02-01 10:30:00,11.3,11.36,11.24,11.28,212321
ok,2024-02-01 11:00:00,11.29,11.3,11.15,11.2,181843
ok,2024-02-01 11:30:00,11.2,11.24,11.18,11.22,143855
ok,2024-02-01 12:00:00,11.22,11.25,11.2,11.23,172321
ok,2024-02-01 12:30:00,11.22,11.26,11.17,11.26,197981
ok,2024-02-01 13:00:00,11.25,11.26,11.2,11.24,163116
ok,2024-02-01 13:30:00,11.24,11.28,11.21,11.26,156362
ok,2024-02-01 14:00:00,11.26,11.29,11.0,11.0,297198
ok,2024-02-01 14:30:00,11.0,11.18,11.0,11.16,298491
ok,2024-02-01 15:00:00,11.16,11.34,11.15,11.26,432606
