s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.28,0.28,0.28,0.28,100
ok,2024-01-02 08:00:00,0.28,0.29,0.28,0.29,11425
ok,2024-01-02 09:00:00,0.28,0.28,0.28,0.28,100
ok,2024-01-02 09:30:00,0.27,0.29,0.27,0.27,55966
ok,2024-01-02 10:00:00,0.28,0.28,0.26,0.27,43316
ok,2024-01-02 10:30:00,0.27,0.28,0.26,0.26,54854
ok,2024-01-02 11:00:00,0.26,0.26,0.26,0.26,40060
ok,2024-01-02 11:30:00,0.26,0.26,0.26,0.26,8890
ok,2024-01-02 12:00:00,0.26,0.26,0.25,0.26,32843
ok,2024-01-02 12:30:00,0.25,0.26,0.25,0.26,53372
ok,2024-01-02 13:00:00,0.26,0.26,0.25,0.25,7611
ok,2024-01-02 13:30:00,0.26,0.26,0.25,0.26,37841
ok,2024-01-02 14:00:00,0.26,0.27,0.26,0.27,59885
ok,2024-01-02 14:30:00,0.27,0.27,0.27,0.27,11490
ok,2024-01-02 15:00:00,0.27,0.27,0.26,0.26,6345
ok,2024-01-02 15:30:00,0.26,0.27,0.26,0.27,16933
ok,2024-01-02 16:00:00,0.26,0.26,0.26,0.26,350
ok,2024-01-02 19:00:00,0.26,0.26,0.26,0.26,500
ok,2024-01-02 19:30:00,0.26,0.27,0.26,0.27,450
ok,2024-01-03 04:00:00,0.27,0.27,0.27,0.27,700
ok,2024-01-03 08:00:00,0.27,0.27,0.27,0.27,873
ok,2024-01-03 08:30:00,0.27,0.27,0.27,0.27,31542
ok,2024-01-03 09:30:00,0.26,0.27,0.26,0.27,10367
ok,2024-01-03 10:00:00,0.27,0.27,0.26,0.26,22757
ok,2024-01-03 10:30:00,0.27,0.27,0.26,0.26,13891
ok,2024-01-03 11:00:00,0.26,0.27,0.26,0.26,6307
ok,2024-01-03 11:30:00,0.26,0.26,0.26,0.26,3658
ok,2024-01-03 12:00:00,0.26,0.26,0.25,0.26,66172
ok,2024-01-03 12:30:00,0.26,0.26,0.26,0.26,10809
ok,2024-01-03 13:00:00,0.26,0.26,0.26,0.26,6489
ok,2024-01-03 13:30:00,0.26,0.26,0.26,0.26,9519
ok,2024-01-03 14:00:00,0.26,0.26,0.26,0.26,1224
ok,2024-01-03 14:30:00,0.26,0.26,0.26,0.26,500
ok,2024-01-03 15:00:00,0.26,0.26,0.26,0.26,5991
ok,2024-01-03 15:30:00,0.26,0.26,0.26,0.26,11415
ok,2024-01-04 04:00:00,0.26,0.26,0.26,0.26,100
ok,2024-01-04 09:30:00,0.26,0.26,0.26,0.26,6304
