s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,0.2,0.24,0.2,0.2,5338
ok,2024-01-02 05:00:00,0.22,0.22,0.21,0.22,2300
ok,2024-01-02 05:30:00,0.22,0.23,0.22,0.23,2060
ok,2024-01-02 06:00:00,0.23,0.23,0.21,0.22,1575
ok,2024-01-02 06:30:00,0.22,0.22,0.22,0.22,1000
ok,2024-01-02 07:00:00,0.21,0.21,0.2,0.2,12257
ok,2024-01-02 07:30:00,0.2,0.31,0.2,0.21,4560361
ok,2024-01-02 08:00:00,0.23,0.29,0.2,0.22,1992136
ok,2024-01-02 08:30:00,0.22,0.22,0.21,0.21,306796
ok,2024-01-02 09:00:00,0.21,0.21,0.2,0.2,476265
ok,2024-01-02 09:30:00,0.2,0.2,0.18,0.19,1148358
ok,2024-01-02 10:00:00,0.19,0.19,0.18,0.19,253773
ok,2024-01-02 10:30:00,0.19,0.19,0.18,0.18,424725
ok,2024-01-02 11:00:00,0.18,0.18,0.18,0.18,115272
ok,2024-01-02 11:30:00,0.18,0.19,0.18,0.19,609105
ok,2024-01-02 12:00:00,0.19,0.19,0.18,0.19,180670
ok,2024-01-02 12:30:00,0.19,0.19,0.19,0.19,150875
ok,2024-01-02 13:00:00,0.19,0.19,0.19,0.19,140823
ok,2024-01-02 13:30:00,0.19,0.19,0.18,0.19,108188
ok,2024-01-02 14:00:00,0.19,0.19,0.18,0.18,24846
ok,2024-01-02 14:30:00,0.19,0.19,0.18,0.18,58455
ok,2024-01-02 15:00:00,0.18,0.19,0.18,0.18,24677
ok,2024-01-02 15:30:00,0.18,0.18,0.18,0.18,320764
ok,2024-01-02 16:00:00,0.18,0.18,0.18,0.18,27783
ok,2024-01-02 16:30:00,0.18,0.19,0.18,0.19,35858
ok,2024-01-02 17:00:00,0.18,0.19,0.18,0.18,5720
ok,2024-01-02 18:30:00,0.18,0.18,0.18,0.18,18724
ok,2024-01-02 19:00:00,0.18,0.18,0.18,0.18,604
ok,2024-01-02 19:30:00,0.19,0.19,0.18,0.19,9690
ok,2024-01-03 04:00:00,0.18,0.18,0.17,0.17,11212
ok,2024-01-03 04:30:00,0.18,0.18,0.17,0.17,9689
ok,2024-01-03 05:00:00,0.18,0.18,0.17,0.17,16748
ok,2024-01-03 05:30:00,0.17,0.17,0.17,0.17,2457
ok,2024-01-03 06:00:00,0.17,0.17,0.17,0.17,6467
ok,2024-01-03 07:00:00,0.17,0.18,0.17,0.18,13563
ok,2024-01-03 07:30:00,0.18,0.18,0.17,0.17,15181
ok,2024-01-03 08:00:00,0.17,0.19,0.17,0.17,59848
ok,2024-01-03 08:30:00,0.18,0.18,0.17,0.17,78616
ok,2024-01-03 09:00:00,0.17,0.18,0.17,0.18,35349
ok,2024-01-03 09:30:00,0.18,0.19,0.17,0.17,566120
ok,2024-01-03 10:00:00,0.17,0.18,0.17,0.18,299298
ok,2024-01-03 10:30:00,0.18,0.18,0.17,0.17,60322
ok,2024-01-03 11:00:00,0.17,0.18,0.17,0.17,170825
ok,2024-01-03 11:30:00,0.17,0.18,0.17,0.17,146612
ok,2024-01-03 12:00:00,0.17,0.17,0.17,0.17,98555
ok,2024-01-03 12:30:00,0.17,0.18,0.16,0.17,511909
ok,2024-01-03 13:00:00,0.17,0.18,0.17,0.17,188867
