s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.15,0.16,0.15,0.16,14131
ok,2024-01-02 04:30:00,0.16,0.16,0.15,0.15,1400
ok,2024-01-02 05:00:00,0.15,0.15,0.15,0.15,367
ok,2024-01-02 05:30:00,0.16,0.16,0.16,0.16,445
ok,2024-01-02 06:00:00,0.16,0.16,0.16,0.16,654
ok,2024-01-02 06:30:00,0.16,0.16,0.16,0.16,1000
ok,2024-01-02 07:30:00,0.16,0.16,0.16,0.16,1000
ok,2024-01-02 08:00:00,0.16,0.16,0.15,0.16,30392
ok,2024-01-02 08:30:00,0.16,0.16,0.16,0.16,11408
ok,2024-01-02 09:00:00,0.16,0.16,0.16,0.16,15425
ok,2024-01-02 09:30:00,0.16,0.17,0.16,0.17,468287
ok,2024-01-02 10:00:00,0.16,0.19,0.16,0.18,725028
ok,2024-01-02 10:30:00,0.18,0.18,0.17,0.17,118909
ok,2024-01-02 11:00:00,0.17,0.17,0.16,0.16,262318
ok,2024-01-02 11:30:00,0.16,0.17,0.16,0.17,98473
ok,2024-01-02 12:00:00,0.17,0.17,0.16,0.17,122607
ok,2024-01-02 12:30:00,0.17,0.17,0.16,0.17,59304
ok,2024-01-02 13:00:00,0.17,0.17,0.17,0.17,48170
ok,2024-01-02 13:30:00,0.17,0.17,0.17,0.17,53266
ok,2024-01-02 14:00:00,0.17,0.17,0.16,0.17,19664
ok,2024-01-02 14:30:00,0.17,0.17,0.17,0.17,80771
ok,2024-01-02 15:00:00,0.17,0.17,0.17,0.17,183801
ok,2024-01-02 15:30:00,0.17,0.17,0.17,0.17,105169
ok,2024-01-02 16:00:00,0.17,0.18,0.17,0.17,6216
ok,2024-01-02 16:30:00,0.17,0.17,0.17,0.17,301
ok,2024-01-02 17:00:00,0.17,0.17,0.17,0.17,200
ok,2024-01-02 17:30:00,0.17,0.18,0.17,0.18,1370
ok,2024-01-02 18:00:00,0.17,0.18,0.17,0.18,558
ok,2024-01-02 18:30:00,0.17,0.18,0.17,0.18,4600
ok,2024-01-02 19:00:00,0.17,0.18,0.17,0.18,411
ok,2024-01-02 19:30:00,0.17,0.17,0.17,0.17,5148
ok,2024-01-03 04:00:00,0.17,0.17,0.17,0.17,1271
ok,2024-01-03 04:30:00,0.17,0.17,0.15,0.15,51231
ok,2024-01-03 05:00:00,0.16,0.16,0.15,0.16,3639
ok,2024-01-03 05:30:00,0.16,0.16,0.15,0.16,2577
ok,2024-01-03 06:00:00,0.16,0.16,0.16,0.16,394
ok,2024-01-03 07:00:00,0.17,0.17,0.16,0.17,3700
ok,2024-01-03 07:30:00,0.16,0.16,0.16,0.16,200
ok,2024-01-03 08:00:00,0.17,0.17,0.16,0.16,27467
ok,2024-01-03 08:30:00,0.16,0.16,0.16,0.16,12631
ok,2024-01-03 09:00:00,0.16,0.16,0.16,0.16,26583
ok,2024-01-03 09:30:00,0.17,0.17,0.15,0.16,195202
ok,2024-01-03 10:00:00,0.16,0.17,0.16,0.16,83504
ok,2024-01-03 10:30:00,0.16,0.17,0.16,0.16,47462
ok,2024-01-03 11:00:00,0.16,0.17,0.16,0.16,10227
ok,2024-01-03 11:30:00,0.16,0.16,0.16,0.16,14765
ok,2024-01-03 12:00:00,0.16,0.16,0.15,0.15,37366
ok,2024-01-03 12:30:00,0.16,0.17,0.15,0.15,148999
ok,2024-01-03 13:00:00,0.16,0.16,0.15,0.16,10378
ok,2024-01-03 13:30:00,0.15,0.16,0.15,0.16,58231
ok,2024-01-03 14:00:00,0.16,0.16,0.15,0.15,51226
ok,2024-01-03 14:30:00,0.15,0.16,0.15,0.16,69913
ok,2024-01-03 15:00:00,0.16,0.16,0.15,0.15,35080
ok,2024-01-03 15:30:00,0.15,0.16,0.15,0.15,9723
ok,2024-01-03 16:00:00,0.16,0.16,0.16,0.16,11382
ok,2024-01-03 17:30:00,0.16,0.16,0.15,0.15,543
ok,2024-01-03 18:00:00,0.16,0.16,0.16,0.16,1600
ok,2024-01-03 18:30:00,0.16,0.16,0.15,0.15,1485
ok,2024-01-03 19:00:00,0.15,0.16,0.15,0.16,1300
