s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.25,0.25,0.25,0.25,3010
ok,2024-01-02 08:00:00,0.25,0.25,0.25,0.25,5866
ok,2024-01-02 08:30:00,0.25,0.25,0.25,0.25,2100
ok,2024-01-02 09:00:00,0.25,0.25,0.25,0.25,1090
ok,2024-01-02 09:30:00,0.25,0.26,0.24,0.25,603169
ok,2024-01-02 10:00:00,0.25,0.27,0.25,0.27,355271
ok,2024-01-02 10:30:00,0.27,0.27,0.25,0.26,214082
ok,2024-01-02 11:00:00,0.26,0.26,0.26,0.26,176361
ok,2024-01-02 11:30:00,0.26,0.26,0.26,0.26,33141
ok,2024-01-02 12:00:00,0.26,0.27,0.26,0.27,398855
ok,2024-01-02 12:30:00,0.27,0.27,0.27,0.27,128111
ok,2024-01-02 13:00:00,0.27,0.27,0.26,0.27,76083
ok,2024-01-02 13:30:00,0.27,0.27,0.26,0.27,125092
ok,2024-01-02 14:00:00,0.27,0.27,0.27,0.27,85040
ok,2024-01-02 14:30:00,0.27,0.27,0.27,0.27,29058
ok,2024-01-02 15:00:00,0.27,0.27,0.26,0.27,151592
ok,2024-01-02 15:30:00,0.27,0.27,0.26,0.27,173408
ok,2024-01-02 16:30:00,0.27,0.27,0.27,0.27,100
ok,2024-01-02 17:30:00,0.26,0.26,0.26,0.26,900
ok,2024-01-03 04:00:00,0.26,0.27,0.26,0.27,1000
ok,2024-01-03 08:00:00,0.26,0.27,0.26,0.27,655
ok,2024-01-03 08:30:00,0.27,0.27,0.26,0.26,9100
ok,2024-01-03 09:00:00,0.26,0.26,0.26,0.26,6719
ok,2024-01-03 09:30:00,0.26,0.26,0.26,0.26,26708
ok,2024-01-03 10:00:00,0.26,0.26,0.26,0.26,30237
ok,2024-01-03 10:30:00,0.26,0.26,0.26,0.26,57763
ok,2024-01-03 11:00:00,0.26,0.26,0.26,0.26,67971
ok,2024-01-03 11:30:00,0.26,0.26,0.26,0.26,60221
ok,2024-01-03 12:00:00,0.26,0.26,0.26,0.26,20085
ok,2024-01-03 12:30:00,0.26,0.26,0.26,0.26,23523
ok,2024-01-03 13:00:00,0.26,0.26,0.26,0.26,4880
ok,2024-01-03 13:30:00,0.26,0.26,0.26,0.26,9669
ok,2024-01-03 14:00:00,0.26,0.26,0.26,0.26,3318
ok,2024-01-03 14:30:00,0.26,0.27,0.26,0.27,17982
ok,2024-01-03 15:00:00,0.27,0.27,0.26,0.27,110721
ok,2024-01-03 15:30:00,0.27,0.27,0.26,0.27,33957
ok,2024-01-03 18:30:00,0.26,0.26,0.26,0.26,250
ok,2024-01-03 19:00:00,0.27,0.27,0.27,0.27,175
ok,2024-01-04 08:00:00,0.27,0.27,0.27,0.27,2000
ok,2024-01-04 09:30:00,0.26,0.27,0.26,0.26,70560
ok,2024-01-04 10:00:00,0.26,0.26,0.25,0.25,83971
ok,2024-01-04 10:30:00,0.25,0.26,0.25,0.26,28500
ok,2024-01-04 11:00:00,0.26,0.26,0.26,0.26,12115
ok,2024-01-04 11:30:00,0.26,0.26,0.26,0.26,4894
ok,2024-01-04 12:00:00,0.26,0.26,0.26,0.26,15680
ok,2024-01-04 12:30:00,0.26,0.26,0.25,0.26,16354
ok,2024-01-04 13:00:00,0.25,0.26,0.25,0.26,1518
ok,2024-01-04 13:30:00,0.26,0.27,0.26,0.27,48169
ok,2024-01-04 14:00:00,0.26,0.27,0.26,0.26,30534
ok,2024-01-04 14:30:00,0.26,0.26,0.26,0.26,13882
ok,2024-01-04 15:00:00,0.26,0.26,0.26,0.26,15091
ok,2024-01-04 15:30:00,0.26,0.26,0.26,0.26,15018
ok,2024-01-05 09:30:00,0.25,0.26,0.25,0.25,70277
ok,2024-01-05 10:00:00,0.25,0.26,0.25,0.25,31568
ok,2024-01-05 10:30:00,0.25,0.26,0.25,0.26,33295
ok,2024-01-05 11:00:00,0.26,0.26,0.25,0.26,131082
