s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,0.47,0.47,0.47,0.47,710
ok,2024-01-02 11:00:00,0.47,0.47,0.47,0.47,957
ok,2024-01-02 11:30:00,0.47,0.47,0.47,0.47,150
ok,2024-01-02 12:00:00,0.49,0.49,0.49,0.49,1000
ok,2024-01-02 13:00:00,0.49,0.49,0.48,0.48,1211
ok,2024-01-02 13:30:00,0.47,0.47,0.47,0.47,1000
ok,2024-01-02 14:00:00,0.48,0.48,0.48,0.48,516
ok,2024-01-02 15:30:00,0.48,0.5,0.48,0.48,403
ok,2024-01-03 08:00:00,0.47,0.47,0.47,0.47,283
ok,2024-01-03 08:30:00,0.45,0.45,0.45,0.45,367
ok,2024-01-03 12:30:00,0.47,0.48,0.47,0.48,500
ok,2024-01-03 13:00:00,0.49,0.49,0.49,0.49,500
ok,2024-01-03 15:30:00,0.49,0.5,0.49,0.5,857
ok,2024-01-03 17:00:00,0.5,0.5,0.5,0.5,116
ok,2024-01-04 07:00:00,0.48,0.48,0.48,0.48,100
ok,2024-01-04 09:30:00,0.49,0.49,0.47,0.47,3190
ok,2024-01-04 10:00:00,0.47,0.47,0.47,0.47,148
ok,2024-01-04 10:30:00,0.49,0.49,0.49,0.49,200
ok,2024-01-04 11:00:00,0.48,0.49,0.48,0.48,956
ok,2024-01-04 11:30:00,0.49,0.49,0.49,0.49,2000
ok,2024-01-04 12:00:00,0.48,0.49,0.47,0.49,7266
ok,2024-01-04 12:30:00,0.47,0.47,0.47,0.47,100
ok,2024-01-04 13:00:00,0.47,0.47,0.47,0.47,5446
ok,2024-01-04 13:30:00,0.47,0.47,0.47,0.47,100
ok,2024-01-04 14:00:00,0.47,0.48,0.47,0.48,2730
ok,2024-01-04 14:30:00,0.48,0.48,0.47,0.47,5077
ok,2024-01-04 15:00:00,0.47,0.47,0.47,0.47,3001
ok,2024-01-04 15:30:00,0.48,0.48,0.48,0.48,436
ok,2024-01-04 17:00:00,0.47,0.47,0.47,0.47,333
ok,2024-01-04 18:00:00,0.47,0.47,0.47,0.47,350
ok,2024-01-05 07:30:00,0.46,0.46,0.46,0.46,200
ok,2024-01-05 09:30:00,0.47,0.47,0.47,0.47,1000
ok,2024-01-05 10:00:00,0.47,0.47,0.47,0.47,1000
ok,2024-01-05 12:30:00,0.46,0.46,0.46,0.46,1100
ok,2024-01-05 13:30:00,0.47,0.47,0.47,0.47,10385
ok,2024-01-05 15:30:00,0.47,0.47,0.45,0.45,3168
ok,2024-01-05 16:00:00,0.47,0.47,0.47,0.47,500
ok,2024-01-08 08:00:00,0.45,0.45,0.45,0.45,120
ok,2024-01-08 09:30:00,0.45,0.45,0.45,0.45,4000
ok,2024-01-08 10:30:00,0.46,0.46,0.46,0.46,1000
ok,2024-01-08 11:00:00,0.47,0.47,0.46,0.46,1200
ok,2024-01-08 11:30:00,0.46,0.48,0.46,0.48,22558
ok,2024-01-08 12:00:00,0.45,0.45,0.45,0.45,505
ok,2024-01-08 12:30:00,0.47,0.49,0.47,0.49,1599
ok,2024-01-08 13:00:00,0.48,0.48,0.46,0.46,250
ok,2024-01-09 09:00:00,0.46,0.46,0.46,0.46,1560
