s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,1.47,1.47,1.47,1.47,300
ok,2024-01-02 09:30:00,1.49,1.49,1.41,1.43,10952
ok,2024-01-02 10:00:00,1.41,1.46,1.41,1.44,1146
ok,2024-01-02 10:30:00,1.45,1.45,1.42,1.42,15303
ok,2024-01-02 11:00:00,1.42,1.42,1.42,1.42,359
ok,2024-01-02 11:30:00,1.44,1.44,1.43,1.43,1764
ok,2024-01-02 12:00:00,1.44,1.44,1.44,1.44,399
ok,2024-01-02 12:30:00,1.46,1.47,1.46,1.47,898
ok,2024-01-02 13:00:00,1.46,1.46,1.46,1.46,1000
ok,2024-01-02 13:30:00,1.47,1.47,1.47,1.47,105
ok,2024-01-02 14:00:00,1.47,1.47,1.41,1.44,11808
ok,2024-01-02 14:30:00,1.46,1.48,1.46,1.46,995
ok,2024-01-02 15:00:00,1.47,1.47,1.41,1.44,3051
ok,2024-01-02 15:30:00,1.44,1.46,1.44,1.46,18289
ok,2024-01-02 17:00:00,1.4,1.4,1.4,1.4,2640
ok,2024-01-02 18:30:00,1.4,1.4,1.4,1.4,100
ok,2024-01-03 07:00:00,1.46,1.47,1.46,1.47,300
ok,2024-01-03 07:30:00,1.47,1.47,1.47,1.47,411
ok,2024-01-03 08:00:00,1.47,1.47,1.47,1.47,235
ok,2024-01-03 08:30:00,1.42,1.42,1.42,1.42,100
ok,2024-01-03 09:00:00,1.4,1.4,1.39,1.39,3577
ok,2024-01-03 09:30:00,1.45,1.46,1.42,1.46,2516
ok,2024-01-03 10:00:00,1.44,1.45,1.41,1.41,18975
ok,2024-01-03 10:30:00,1.38,1.38,1.28,1.37,3483
ok,2024-01-03 11:00:00,1.39,1.41,1.39,1.4,2104
ok,2024-01-03 11:30:00,1.41,1.42,1.41,1.42,7314
ok,2024-01-03 12:00:00,1.41,1.44,1.41,1.43,514
ok,2024-01-03 12:30:00,1.43,1.43,1.37,1.37,2707
ok,2024-01-03 13:00:00,1.39,1.42,1.39,1.42,1671
ok,2024-01-03 13:30:00,1.43,1.45,1.42,1.42,4048
ok,2024-01-03 14:00:00,1.42,1.45,1.42,1.44,3277
ok,2024-01-03 14:30:00,1.45,1.48,1.45,1.47,8638
ok,2024-01-03 15:00:00,1.47,1.49,1.47,1.49,1817
ok,2024-01-03 15:30:00,1.49,1.5,1.46,1.5,6160
ok,2024-01-03 18:00:00,1.42,1.42,1.42,1.42,2320
ok,2024-01-04 09:30:00,1.47,1.47,1.45,1.45,3710
ok,2024-01-04 10:30:00,1.47,1.47,1.46,1.47,4049
ok,2024-01-04 11:00:00,1.49,1.49,1.49,1.49,200
ok,2024-01-04 11:30:00,1.46,1.46,1.46,1.46,100
ok,2024-01-04 12:00:00,1.46,1.49,1.46,1.49,500
ok,2024-01-04 12:30:00,1.46,1.46,1.46,1.46,100
ok,2024-01-04 13:00:00,1.49,1.49,1.46,1.46,603
ok,2024-01-04 13:30:00,1.48,1.48,1.46,1.46,600
ok,2024-01-04 14:00:00,1.49,1.49,1.46,1.46,800
ok,2024-01-04 14:30:00,1.48,1.48,1.46,1.46,1100
ok,2024-01-04 15:00:00,1.46,1.46,1.46,1.46,100
ok,2024-01-04 15:30:00,1.46,1.49,1.46,1.48,3012
ok,2024-01-04 16:30:00,1.44,1.49,1.44,1.49,393
ok,2024-01-04 17:30:00,1.49,1.49,1.49,1.49,250
ok,2024-01-04 19:00:00,1.49,1.49,1.49,1.49,152
ok,2024-01-04 19:30:00,1.49,1.49,1.49,1.49,200
ok,2024-01-05 09:30:00,1.49,1.49,1.38,1.42,3977
ok,2024-01-05 10:00:00,1.41,1.45,1.4,1.45,5986
ok,2024-01-05 10:30:00,1.42,1.42,1.42,1.42,1390
ok,2024-01-05 11:00:00,1.43,1.43,1.42,1.42,1801
ok,2024-01-05 11:30:00,1.42,1.42,1.39,1.39,3921
ok,2024-01-05 12:00:00,1.4,1.4,1.4,1.4,400
ok,2024-01-05 12:30:00,1.42,1.42,1.42,1.42,200
ok,2024-01-05 13:00:00,1.42,1.42,1.42,1.42,100
ok,2024-01-05 13:30:00,1.42,1.43,1.42,1.43,1300
ok,2024-01-05 14:00:00,1.42,1.42,1.42,1.42,1516
ok,2024-01-05 14:30:00,1.43,1.43,1.43,1.43,2690
ok,2024-01-05 15:00:00,1.43,1.43,1.43,1.43,202
ok,2024-01-05 15:30:00,1.41,1.41,1.41,1.41,200
ok,2024-01-05 19:00:00,1.42,1.42,1.42,1.42,150
ok,2024-01-08 07:00:00,1.37,1.37,1.36,1.36,200
ok,2024-01-08 09:30:00,1.35,1.42,1.35,1.38,5666
ok,2024-01-08 10:00:00,1.38,1.38,1.36,1.36,2677
ok,2024-01-08 10:30:00,1.36,1.37,1.3,1.36,48741
ok,2024-01-08 11:00:00,1.35,1.41,1.35,1.37,5355
ok,2024-01-08 11:30:00,1.37,1.39,1.37,1.37,3800
ok,2024-01-08 12:00:00,1.36,1.38,1.36,1.38,748
ok,2024-01-08 13:00:00,1.37,1.37,1.37,1.37,2800
ok,2024-01-08 13:30:00,1.37,1.37,1.36,1.37,6670
ok,2024-01-08 14:00:00,1.37,1.37,1.36,1.36,6352
ok,2024-01-08 14:30:00,1.36,1.37,1.35,1.36,7190
ok,2024-01-08 15:00:00,1.37,1.37,1.37,1.37,725
ok,2024-01-08 15:30:00,1.37,1.38,1.36,1.36,1500
ok,2024-01-09 10:00:00,1.39,1.41,1.39,1.41,7551
ok,2024-01-09 10:30:00,1.4,1.42,1.4,1.42,2401
ok,2024-01-09 11:00:00,1.38,1.39,1.38,1.39,200
ok,2024-01-09 11:30:00,1.39,1.39,1.39,1.39,2963
ok,2024-01-09 12:00:00,1.38,1.39,1.38,1.39,600
ok,2024-01-09 13:00:00,1.39,1.39,1.39,1.39,102
ok,2024-01-09 15:30:00,1.38,1.4,1.37,1.37,5983
ok,2024-01-10 07:00:00,1.4,1.4,1.4,1.4,179
ok,2024-01-10 08:30:00,1.4,1.4,1.4,1.4,100
ok,2024-01-10 09:30:00,1.4,1.45,1.36,1.41,16649
ok,2024-01-10 10:00:00,1.36,1.42,1.36,1.42,610
ok,2024-01-10 10:30:00,1.39,1.39,1.39,1.39,250
ok,2024-01-10 11:00:00,1.39,1.41,1.39,1.41,1200
ok,2024-01-10 11:30:00,1.37,1.37,1.32,1.32,10025
ok,2024-01-10 12:00:00,1.32,1.32,1.32,1.32,134
ok,2024-01-10 12:30:00,1.33,1.38,1.33,1.38,950
ok,2024-01-10 13:30:00,1.38,1.39,1.36,1.39,1305
ok,2024-01-10 15:00:00,1.37,1.37,1.34,1.34,1359
ok,2024-01-10 15:30:00,1.34,1.38,1.34,1.38,2300
ok,2024-01-11 09:00:00,1.33,1.33,1.33,1.33,100
ok,2024-01-11 09:30:00,1.34,1.34,1.34,1.34,520
ok,2024-01-11 10:00:00,1.35,1.35,1.35,1.35,1050
ok,2024-01-11 10:30:00,1.39,1.39,1.35,1.35,1279
ok,2024-01-11 11:30:00,1.32,1.32,1.32,1.32,410
ok,2024-01-11 12:00:00,1.3,1.3,1.3,1.3,7603
ok,2024-01-11 12:30:00,1.3,1.3,1.3,1.3,890
ok,2024-01-11 13:00:00,1.34,1.34,1.25,1.27,13106
ok,2024-01-11 13:30:00,1.25,1.26,1.25,1.26,438
ok,2024-01-11 14:00:00,1.22,1.22,1.22,1.22,3322
ok,2024-01-11 15:00:00,1.27,1.3,1.27,1.29,816
ok,2024-01-11 15:30:00,1.28,1.28,1.28,1.28,6707
ok,2024-01-12 09:30:00,1.35,1.35,1.35,1.35,200
ok,2024-01-12 10:00:00,1.35,1.35,1.34,1.34,1021
ok,2024-01-12 11:00:00,1.33,1.33,1.31,1.31,554
ok,2024-01-12 11:30:00,1.31,1.31,1.3,1.3,1105
ok,2024-01-12 13:00:00,1.32,1.33,1.32,1.32,796
ok,2024-01-12 15:00:00,1.32,1.32,1.3,1.3,814
ok,2024-01-12 15:30:00,1.3,1.32,1.3,1.32,6124
ok,2024-01-16 09:00:00,1.32,1.32,1.32,1.32,200
ok,2024-01-16 09:30:00,1.3,1.32,1.28,1.32,2369
ok,2024-01-16 10:00:00,1.32,1.32,1.32,1.32,1635
ok,2024-01-16 11:00:00,1.32,1.32,1.29,1.29,10120
ok,2024-01-16 12:00:00,1.31,1.31,1.31,1.31,1360
ok,2024-01-16 13:00:00,1.28,1.28,1.28,1.28,100
ok,2024-01-16 13:30:00,1.27,1.27,1.23,1.23,7127
ok,2024-01-16 14:30:00,1.24,1.26,1.24,1.26,1179
ok,2024-01-16 15:00:00,1.26,1.26,1.26,1.26,248
ok,2024-01-16 15:30:00,1.28,1.28,1.24,1.24,8259
ok,2024-01-16 16:00:00,1.31,1.31,1.31,1.31,138
ok,2024-01-17 09:30:00,1.2,1.23,1.2,1.21,1683
ok,2024-01-17 10:00:00,1.2,1.2,1.19,1.19,5272
ok,2024-01-17 13:00:00,1.23,1.23,1.23,1.23,1170
ok,2024-01-17 13:30:00,1.25,1.25,1.21,1.23,34492
ok,2024-01-17 14:30:00,1.23,1.25,1.23,1.25,1100
ok,2024-01-17 15:00:00,1.24,1.26,1.24,1.26,817
ok,2024-01-17 15:30:00,1.27,1.27,1.25,1.25,768
ok,2024-01-18 09:30:00,1.23,1.25,1.23,1.23,6555
ok,2024-01-18 10:00:00,1.26,1.26,1.26,1.26,100
ok,2024-01-18 10:30:00,1.26,1.26,1.26,1.26,100
ok,2024-01-18 11:00:00,1.27,1.27,1.25,1.25,2008
ok,2024-01-18 12:00:00,1.24,1.25,1.23,1.25,2717
ok,2024-01-18 12:30:00,1.27,1.37,1.27,1.29,11191
ok,2024-01-18 13:00:00,1.28,1.28,1.28,1.28,171
ok,2024-01-18 13:30:00,1.26,1.29,1.25,1.29,300
ok,2024-01-18 14:00:00,1.25,1.26,1.25,1.26,438
ok,2024-01-18 14:30:00,1.26,1.26,1.26,1.26,450
ok,2024-01-18 15:00:00,1.29,1.32,1.29,1.32,200
ok,2024-01-18 15:30:00,1.33,1.33,1.27,1.29,1987
ok,2024-01-19 10:00:00,1.35,1.35,1.32,1.32,3002
ok,2024-01-19 10:30:00,1.33,1.33,1.3,1.3,200
ok,2024-01-19 11:30:00,1.34,1.34,1.34,1.34,1220
ok,2024-01-19 12:00:00,1.34,1.34,1.33,1.33,734
ok,2024-01-19 12:30:00,1.33,1.33,1.29,1.31,4503
ok,2024-01-19 15:00:00,1.3,1.3,1.3,1.3,700
ok,2024-01-19 15:30:00,1.29,1.3,1.29,1.29,684
ok,2024-01-22 09:30:00,1.27,1.29,1.27,1.29,3743
ok,2024-01-22 10:00:00,1.33,1.33,1.33,1.33,750
ok,2024-01-22 10:30:00,1.31,1.31,1.31,1.31,100
ok,2024-01-22 11:30:00,1.32,1.32,1.31,1.32,1711
ok,2024-01-22 13:00:00,1.31,1.31,1.31,1.31,100
ok,2024-01-22 15:30:00,1.32,1.33,1.32,1.33,693
ok,2024-01-23 09:30:00,1.35,1.35,1.33,1.33,3240
ok,2024-01-23 10:00:00,1.36,1.36,1.33,1.36,2386
ok,2024-01-23 10:30:00,1.33,1.33,1.32,1.32,10900
ok,2024-01-23 11:00:00,1.31,1.31,1.26,1.26,3191
ok,2024-01-23 12:00:00,1.33,1.39,1.33,1.39,10000
ok,2024-01-23 13:30:00,1.32,1.39,1.32,1.39,103364
ok,2024-01-23 14:00:00,1.32,1.32,1.32,1.32,100
