s,t,o,h,l,c,v
ok,2024-01-02 05:30:00,1.36,1.36,1.36,1.36,500
ok,2024-01-02 07:00:00,1.36,1.36,1.36,1.36,1020
ok,2024-01-02 08:00:00,1.36,1.42,1.17,1.4,6077
ok,2024-01-02 08:30:00,1.4,1.43,1.4,1.4,6796
ok,2024-01-02 09:00:00,1.4,1.46,1.4,1.46,9874
ok,2024-01-02 09:30:00,1.46,1.47,1.4,1.44,33770
ok,2024-01-02 10:00:00,1.44,1.46,1.42,1.44,6594
ok,2024-01-02 10:30:00,1.45,1.45,1.42,1.44,14681
ok,2024-01-02 11:00:00,1.42,1.52,1.42,1.49,31401
ok,2024-01-02 11:30:00,1.44,1.5,1.44,1.48,13445
ok,2024-01-02 12:00:00,1.46,1.49,1.44,1.46,11530
ok,2024-01-02 12:30:00,1.48,1.49,1.48,1.48,2246
ok,2024-01-02 13:00:00,1.49,1.5,1.46,1.46,12122
ok,2024-01-02 13:30:00,1.47,1.49,1.45,1.49,15710
ok,2024-01-02 14:00:00,1.47,1.5,1.47,1.48,5730
ok,2024-01-02 14:30:00,1.49,1.51,1.49,1.5,8870
ok,2024-01-02 15:00:00,1.51,1.51,1.48,1.5,6779
ok,2024-01-02 15:30:00,1.5,1.5,1.46,1.49,22844
ok,2024-01-02 17:00:00,1.48,1.48,1.48,1.48,490
ok,2024-01-02 17:30:00,1.48,1.48,1.48,1.48,200
ok,2024-01-02 19:00:00,1.51,1.51,1.51,1.51,500
ok,2024-01-02 19:30:00,1.52,1.52,1.51,1.51,543
ok,2024-01-03 07:30:00,1.48,1.48,1.47,1.48,595
ok,2024-01-03 08:00:00,1.48,1.51,1.48,1.51,1346
ok,2024-01-03 08:30:00,1.48,1.5,1.48,1.5,2250
ok,2024-01-03 09:00:00,1.48,1.49,1.44,1.44,1470
ok,2024-01-03 09:30:00,1.48,1.48,1.45,1.48,8436
ok,2024-01-03 10:00:00,1.48,1.49,1.45,1.46,8051
ok,2024-01-03 10:30:00,1.45,1.45,1.41,1.43,6563
ok,2024-01-03 11:00:00,1.42,1.43,1.4,1.42,7380
ok,2024-01-03 11:30:00,1.42,1.42,1.4,1.4,9589
ok,2024-01-03 12:00:00,1.4,1.46,1.4,1.44,11407
ok,2024-01-03 12:30:00,1.44,1.46,1.42,1.44,11853
ok,2024-01-03 13:00:00,1.45,1.48,1.44,1.45,11855
ok,2024-01-03 13:30:00,1.48,1.48,1.48,1.48,1000
ok,2024-01-03 14:00:00,1.49,1.49,1.46,1.46,2000
