s,t,o,h,l,c,v
ok,2024-01-18 10:30:00,5.75,6.33,5.03,5.96,414085
ok,2024-01-18 11:00:00,6.5,7.0,5.56,5.6,977952
ok,2024-01-18 11:30:00,5.62,6.25,5.28,6.0,512996
ok,2024-01-18 12:00:00,6.19,8.8,6.19,8.8,294039
ok,2024-01-18 12:30:00,9.0,9.5,6.55,7.68,499673
ok,2024-01-18 13:00:00,7.75,9.83,7.75,9.17,822423
ok,2024-01-18 13:30:00,9.14,9.65,7.52,8.35,443753
ok,2024-01-18 14:00:00,8.32,8.33,7.11,7.44,128147
ok,2024-01-18 14:30:00,7.4,8.6,7.32,8.34,184739
ok,2024-01-18 15:00:00,8.45,9.25,7.82,9.25,408434
ok,2024-01-18 15:30:00,9.14,9.18,7.6,7.75,322851
ok,2024-01-18 16:00:00,7.7,9.24,7.7,8.32,60416
ok,2024-01-18 16:30:00,8.3,8.3,6.8,7.83,61914
ok,2024-01-18 17:00:00,7.61,7.77,7.4,7.41,9782
ok,2024-01-18 17:30:00,7.3,7.43,7.25,7.41,12560
ok,2024-01-18 18:00:00,7.6,7.65,7.4,7.45,3497
ok,2024-01-18 18:30:00,7.41,7.6,7.25,7.25,5878
ok,2024-01-18 19:00:00,7.25,7.45,7.25,7.25,3022
ok,2024-01-18 19:30:00,7.05,7.33,7.02,7.3,5016
ok,2024-01-19 04:00:00,7.17,8.29,7.17,7.73,5205
ok,2024-01-19 04:30:00,7.8,8.14,7.8,8.0,1270
ok,2024-01-19 05:00:00,7.85,8.15,7.85,7.93,1692
ok,2024-01-19 05:30:00,7.94,7.95,7.94,7.95,304
ok,2024-01-19 06:00:00,7.89,7.92,7.82,7.82,1996
ok,2024-01-19 06:30:00,7.26,7.31,6.99,7.31,5448
ok,2024-01-19 07:00:00,7.3,8.0,7.01,7.23,11780
ok,2024-01-19 07:30:00,7.22,7.58,6.9,7.0,5677
ok,2024-01-19 08:00:00,7.33,7.33,6.0,6.31,27314
ok,2024-01-19 08:30:00,6.6,6.95,6.31,6.9,4897
ok,2024-01-19 09:00:00,7.02,7.5,6.85,7.28,9441
ok,2024-01-19 09:30:00,7.49,10.33,6.81,8.71,769373
ok,2024-01-19 10:00:00,8.72,9.48,7.7,8.9,1442552
ok,2024-01-19 10:30:00,8.83,9.52,8.72,9.26,511604
ok,2024-01-19 11:00:00,9.35,9.97,8.86,9.07,519983
ok,2024-01-19 11:30:00,9.1,9.58,8.9,9.25,295145
ok,2024-01-19 12:00:00,9.26,10.2,8.83,9.04,365145
ok,2024-01-19 12:30:00,9.03,9.42,8.95,9.12,77481
ok,2024-01-19 13:00:00,9.03,9.2,8.92,9.04,38994
ok,2024-01-19 13:30:00,9.05,9.14,8.77,8.98,83559
ok,2024-01-19 14:00:00,8.9,9.05,8.81,8.86,51435
ok,2024-01-19 14:30:00,8.84,8.94,8.61,8.94,111252
ok,2024-01-19 15:00:00,8.81,9.49,8.8,9.25,130688
ok,2024-01-19 15:30:00,9.3,9.39,9.0,9.01,90629
ok,2024-01-19 16:00:00,9.0,9.05,8.65,8.95,10276
ok,2024-01-19 16:30:00,8.8,9.1,8.71,8.96,4452
ok,2024-01-19 17:00:00,8.88,8.98,8.77,8.8,2978
ok,2024-01-19 17:30:00,9.0,9.0,8.73,9.0,1613
ok,2024-01-19 18:00:00,8.98,9.18,8.86,9.18,2056
ok,2024-01-19 18:30:00,8.93,8.93,8.93,8.93,114
ok,2024-01-19 19:00:00,8.85,9.18,8.83,8.95,1713
ok,2024-01-19 19:30:00,8.91,9.16,8.75,8.76,5580
ok,2024-01-22 04:00:00,8.65,8.76,8.57,8.7,2484
ok,2024-01-22 05:00:00,8.86,8.86,8.73,8.73,1499
