s,t,o,h,l,c,v
ok,2024-04-18 10:30:00,3.5,3.5,2.76,3.43,333913
ok,2024-04-18 11:00:00,3.42,3.5,2.99,3.31,71333
ok,2024-04-18 11:30:00,3.35,3.44,3.24,3.24,17470
ok,2024-04-18 12:00:00,3.22,3.4,3.1,3.4,16194
ok,2024-04-18 12:30:00,3.39,3.9,3.39,3.9,42327
ok,2024-04-18 13:00:00,3.85,3.9,3.51,3.66,22383
ok,2024-04-18 13:30:00,3.65,3.66,3.54,3.6,2484
ok,2024-04-18 14:00:00,3.54,3.63,3.31,3.43,12833
ok,2024-04-18 14:30:00,3.38,3.5,3.2,3.2,11433
ok,2024-04-18 15:00:00,3.35,3.36,3.3,3.3,1267
ok,2024-04-18 15:30:00,3.32,3.36,3.3,3.3,1228
ok,2024-04-18 16:00:00,3.58,3.61,3.58,3.61,900
ok,2024-04-18 17:00:00,3.43,3.43,3.4,3.4,1100
ok,2024-04-18 18:30:00,3.4,3.4,3.4,3.4,200
ok,2024-04-19 04:30:00,3.28,3.28,3.23,3.23,590
ok,2024-04-19 05:30:00,3.23,3.23,3.23,3.23,200
ok,2024-04-19 06:00:00,3.16,3.16,3.06,3.06,600
ok,2024-04-19 06:30:00,3.18,3.18,3.18,3.18,200
ok,2024-04-19 07:00:00,3.16,3.19,3.02,3.16,1151
ok,2024-04-19 07:30:00,3.18,3.23,3.04,3.04,369
ok,2024-04-19 08:00:00,3.23,3.4,3.23,3.4,299
ok,2024-04-19 08:30:00,3.24,3.48,3.22,3.48,14207
ok,2024-04-19 09:00:00,3.4,3.6,3.22,3.39,7443
ok,2024-04-19 09:30:00,3.3,3.37,3.22,3.27,5443
ok,2024-04-19 10:00:00,3.24,3.43,3.24,3.43,2979
ok,2024-04-19 10:30:00,3.43,3.43,3.31,3.35,3085
ok,2024-04-19 11:00:00,3.38,3.45,3.38,3.39,6326
ok,2024-04-19 11:30:00,3.44,3.5,3.44,3.45,2676
ok,2024-04-19 12:00:00,3.48,4.26,3.45,4.1,51510
ok,2024-04-19 12:30:00,3.96,4.6,3.96,4.16,78487
ok,2024-04-19 13:00:00,4.17,4.34,3.81,4.0,6210
ok,2024-04-19 13:30:00,3.82,3.84,3.62,3.72,5096
ok,2024-04-19 14:00:00,3.73,4.1,3.73,4.01,18045
ok,2024-04-19 14:30:00,4.1,4.1,3.72,3.78,25833
ok,2024-04-19 15:00:00,3.75,3.75,3.62,3.62,947
ok,2024-04-19 17:00:00,4.09,4.09,4.09,4.09,100
ok,2024-04-22 07:00:00,3.69,3.69,3.69,3.69,350
ok,2024-04-22 08:30:00,3.94,4.1,3.75,3.86,7465
ok,2024-04-22 09:00:00,3.95,4.44,3.94,4.28,16422
ok,2024-04-22 09:30:00,4.28,4.28,4.1,4.11,1405
ok,2024-04-22 10:00:00,4.27,4.29,4.23,4.23,5072
ok,2024-04-22 10:30:00,4.28,4.29,4.03,4.05,6423
ok,2024-04-22 11:00:00,4.05,4.05,3.81,3.81,3404
ok,2024-04-22 11:30:00,3.84,3.84,3.84,3.84,552
ok,2024-04-22 12:00:00,3.82,3.82,3.82,3.82,497
ok,2024-04-22 12:30:00,3.9,3.9,3.82,3.84,1553
ok,2024-04-22 13:30:00,3.86,4.04,3.85,4.04,763
ok,2024-04-22 14:30:00,3.99,4.02,3.98,4.0,2507
ok,2024-04-22 15:00:00,4.0,4.0,4.0,4.0,100
ok,2024-04-23 08:30:00,3.96,3.99,3.76,3.86,4038
ok,2024-04-23 09:00:00,3.77,3.86,3.38,3.38,2910
ok,2024-04-23 09:30:00,3.0,3.62,2.8,3.44,24362
ok,2024-04-23 10:00:00,3.53,3.62,3.53,3.57,1720
ok,2024-04-23 11:30:00,3.6,3.6,3.56,3.56,1056
ok,2024-04-23 12:00:00,3.56,3.8,3.56,3.8,800
ok,2024-04-23 12:30:00,3.55,3.79,3.55,3.79,410
ok,2024-04-23 13:00:00,3.87,4.1,3.87,4.1,320
ok,2024-04-23 13:30:00,3.71,3.78,3.71,3.78,226
ok,2024-04-23 14:00:00,3.74,3.74,3.59,3.59,360
ok,2024-04-23 14:30:00,3.72,3.74,3.72,3.74,244
ok,2024-04-23 17:00:00,3.8,3.8,3.8,3.8,300
ok,2024-04-24 07:30:00,3.61,3.98,3.61,3.65,1547
ok,2024-04-24 08:00:00,3.74,4.14,3.74,4.14,1000
ok,2024-04-24 08:30:00,4.3,4.43,3.8,4.11,34424
ok,2024-04-24 09:00:00,4.09,4.1,3.81,4.09,13004
ok,2024-04-24 09:30:00,4.0,4.0,3.94,3.94,2201
ok,2024-04-24 10:00:00,3.88,3.92,3.8,3.83,2695
ok,2024-04-24 10:30:00,3.83,3.83,3.83,3.83,1001
ok,2024-04-24 11:00:00,3.82,3.82,3.82,3.82,1299
ok,2024-04-24 11:30:00,3.99,3.99,3.99,3.99,100
ok,2024-04-24 12:00:00,3.86,3.98,3.86,3.86,701
ok,2024-04-24 12:30:00,3.99,4.0,3.86,4.0,865
ok,2024-04-24 13:00:00,3.98,4.03,3.86,4.03,758
ok,2024-04-24 13:30:00,4.03,4.07,4.0,4.0,2832
ok,2024-04-24 14:00:00,4.0,4.02,4.0,4.0,875
ok,2024-04-24 14:30:00,4.0,4.03,3.9,3.98,1925
ok,2024-04-24 16:30:00,3.9,3.9,3.9,3.9,100
ok,2024-04-24 17:00:00,4.04,4.04,4.04,4.04,400
ok,2024-04-25 07:30:00,3.87,3.87,3.87,3.87,113
ok,2024-04-25 08:30:00,3.95,3.95,3.68,3.87,727
ok,2024-04-25 09:00:00,3.81,3.92,3.81,3.92,987
ok,2024-04-25 09:30:00,3.81,4.18,3.81,4.18,472
ok,2024-04-25 10:30:00,4.14,4.14,4.14,4.14,150
ok,2024-04-25 11:00:00,4.0,4.07,3.76,3.76,2672
ok,2024-04-25 11:30:00,3.76,3.76,3.76,3.76,200
ok,2024-04-25 12:00:00,3.77,3.81,3.77,3.81,500
ok,2024-04-25 12:30:00,3.82,3.93,3.8,3.93,2798
ok,2024-04-25 14:30:00,4.09,4.1,3.83,3.87,626
ok,2024-04-26 07:30:00,4.09,4.1,4.09,4.1,284
ok,2024-04-26 08:30:00,3.92,3.92,3.36,3.87,7761
