s,t,o,h,l,c,v
ok,2024-02-15 09:30:00,5.25,5.25,4.69,4.69,410
ok,2024-02-15 10:00:00,4.25,4.6,4.0,4.6,1224
ok,2024-02-15 10:30:00,4.57,4.57,4.11,4.25,1773
ok,2024-02-15 11:30:00,5.37,9.84,5.37,9.84,27395
ok,2024-02-15 12:00:00,11.25,12.38,10.33,10.41,24211
ok,2024-02-15 12:30:00,7.58,8.34,4.8,4.8,44465
ok,2024-02-15 13:00:00,5.03,7.0,5.03,6.9,43454
ok,2024-02-15 13:30:00,7.0,7.44,6.3,6.71,21798
ok,2024-02-15 14:00:00,6.7,6.7,5.13,5.25,14545
ok,2024-02-15 14:30:00,5.78,5.78,4.42,5.0,18983
ok,2024-02-15 15:00:00,5.0,5.13,4.6,4.6,6211
ok,2024-02-15 15:30:00,4.6,5.09,4.6,4.7,13500
ok,2024-02-15 16:00:00,5.45,5.45,4.82,4.82,1675
ok,2024-02-15 16:30:00,4.9,4.9,4.9,4.9,1000
ok,2024-02-15 17:00:00,4.96,4.96,4.62,4.62,1311
ok,2024-02-15 17:30:00,4.84,5.0,4.51,4.51,2107
ok,2024-02-15 19:00:00,4.75,4.92,4.75,4.92,748
ok,2024-02-16 04:00:00,5.4,6.96,4.64,4.66,11535
ok,2024-02-16 04:30:00,4.72,4.72,4.62,4.62,414
ok,2024-02-16 05:00:00,5.15,5.15,5.15,5.15,450
ok,2024-02-16 05:30:00,4.9,4.9,4.9,4.9,100
ok,2024-02-16 06:30:00,4.97,4.97,4.66,4.66,307
ok,2024-02-16 08:30:00,4.31,4.31,4.18,4.28,1015
ok,2024-02-16 09:00:00,4.18,4.51,4.1,4.51,1410
ok,2024-02-16 09:30:00,4.37,6.02,4.37,5.1,11300
ok,2024-02-16 10:00:00,5.36,5.5,5.0,5.0,1040
ok,2024-02-16 10:30:00,4.35,4.83,4.02,4.2,3279
ok,2024-02-16 11:00:00,4.51,4.63,4.51,4.63,310
ok,2024-02-16 11:30:00,4.04,4.43,3.95,4.25,2303
ok,2024-02-16 12:00:00,3.95,4.68,3.95,4.32,3095
ok,2024-02-16 12:30:00,4.48,4.48,4.0,4.0,1576
ok,2024-02-16 13:00:00,4.01,4.38,4.0,4.0,4897
ok,2024-02-16 13:30:00,4.06,4.06,3.62,3.93,11623
ok,2024-02-16 14:00:00,3.91,4.29,3.82,4.29,2388
ok,2024-02-16 14:30:00,4.45,4.75,3.9,4.35,8251
ok,2024-02-16 15:00:00,4.3,4.75,4.26,4.26,1038
ok,2024-02-16 15:30:00,4.28,5.2,4.26,4.78,11888
ok,2024-02-16 16:00:00,4.77,5.5,4.14,5.11,5688
ok,2024-02-16 16:30:00,4.75,4.75,4.75,4.75,1486
ok,2024-02-20 04:00:00,5.07,5.08,5.05,5.05,1203
ok,2024-02-20 09:00:00,4.79,4.79,4.79,4.79,100
ok,2024-02-20 09:30:00,4.43,4.43,4.0,4.12,3921
ok,2024-02-20 10:00:00,4.07,4.65,4.07,4.65,549
ok,2024-02-20 10:30:00,4.07,4.15,4.07,4.07,1213
ok,2024-02-20 11:00:00,4.15,4.15,4.15,4.15,586
ok,2024-02-20 11:30:00,4.14,4.48,4.0,4.15,2192
ok,2024-02-20 12:00:00,4.0,4.0,4.0,4.0,200
ok,2024-02-20 13:00:00,4.2,4.2,4.1,4.1,2000
ok,2024-02-20 13:30:00,4.09,4.09,4.0,4.0,526
ok,2024-02-20 14:30:00,4.03,4.03,4.03,4.03,715
ok,2024-02-20 15:00:00,4.07,4.07,4.07,4.07,142
ok,2024-02-20 15:30:00,3.8,4.18,3.8,4.18,1337
ok,2024-02-21 08:00:00,4.18,4.18,3.6,3.6,406
ok,2024-02-21 08:30:00,3.76,4.15,3.76,4.15,1091
ok,2024-02-21 09:30:00,4.05,4.14,3.2,3.54,4852
ok,2024-02-21 10:00:00,3.37,3.47,3.17,3.43,3650
