s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.57,1.57,1.51,1.51,1400
ok,2024-01-02 10:00:00,1.51,1.51,1.5,1.5,953
ok,2024-01-02 18:00:00,1.54,1.54,1.54,1.54,205
ok,2024-01-03 09:30:00,1.52,1.52,1.52,1.52,251
ok,2024-01-03 10:00:00,1.51,1.51,1.5,1.5,1302
ok,2024-01-03 13:00:00,1.44,1.44,1.44,1.44,280
ok,2024-01-03 13:30:00,1.47,1.47,1.47,1.47,338
ok,2024-01-04 10:30:00,1.5,1.5,1.46,1.46,1149
ok,2024-01-04 12:00:00,1.5,1.5,1.49,1.49,2182
ok,2024-01-04 12:30:00,1.52,1.53,1.52,1.53,411
ok,2024-01-05 09:30:00,1.48,1.53,1.48,1.53,2601
ok,2024-01-05 10:00:00,1.53,1.53,1.53,1.53,2500
ok,2024-01-05 10:30:00,1.49,1.49,1.48,1.48,375
ok,2024-01-05 13:30:00,1.49,1.49,1.49,1.49,1392
ok,2024-01-05 14:30:00,1.49,1.49,1.49,1.49,102
ok,2024-01-05 15:00:00,1.49,1.49,1.49,1.49,871
ok,2024-01-08 10:00:00,1.46,1.46,1.46,1.46,125
ok,2024-01-08 10:30:00,1.44,1.44,1.43,1.43,1815
ok,2024-01-08 12:00:00,1.48,1.48,1.48,1.48,195
ok,2024-01-08 14:00:00,1.48,1.48,1.48,1.48,1500
ok,2024-01-08 15:00:00,1.49,1.49,1.49,1.49,100
ok,2024-01-08 15:30:00,1.46,1.51,1.46,1.51,1665
ok,2024-01-09 09:30:00,1.46,1.46,1.46,1.46,379
ok,2024-01-09 11:00:00,1.49,1.49,1.49,1.49,100
ok,2024-01-09 11:30:00,1.46,1.46,1.45,1.45,1081
ok,2024-01-09 12:00:00,1.45,1.48,1.45,1.48,601
ok,2024-01-09 14:00:00,1.48,1.5,1.48,1.5,951
ok,2024-01-09 14:30:00,1.47,1.47,1.46,1.46,200
ok,2024-01-09 15:00:00,1.46,1.46,1.45,1.45,1165
ok,2024-01-09 15:30:00,1.48,1.48,1.45,1.46,1748
ok,2024-01-10 09:30:00,1.42,1.49,1.42,1.49,1029
ok,2024-01-10 10:00:00,1.49,1.49,1.49,1.49,268
ok,2024-01-10 10:30:00,1.44,1.44,1.43,1.43,1500
ok,2024-01-10 12:00:00,1.46,1.46,1.46,1.46,100
ok,2024-01-10 13:00:00,1.44,1.44,1.44,1.44,100
ok,2024-01-11 10:00:00,1.46,1.46,1.42,1.43,10999
ok,2024-01-11 10:30:00,1.43,1.44,1.41,1.41,1402
ok,2024-01-11 11:30:00,1.44,1.45,1.44,1.44,1300
ok,2024-01-11 12:30:00,1.46,1.46,1.42,1.42,300
ok,2024-01-11 13:00:00,1.42,1.42,1.41,1.41,5244
ok,2024-01-11 14:00:00,1.44,1.44,1.44,1.44,1500
ok,2024-01-11 14:30:00,1.41,1.41,1.41,1.41,547
ok,2024-01-11 15:30:00,1.4,1.4,1.4,1.4,211
ok,2024-01-12 09:30:00,1.41,1.41,1.41,1.41,1421
ok,2024-01-12 10:00:00,1.4,1.42,1.4,1.42,605
ok,2024-01-12 11:00:00,1.46,1.46,1.46,1.46,200
ok,2024-01-12 11:30:00,1.43,1.43,1.43,1.43,200
ok,2024-01-12 12:00:00,1.45,1.46,1.45,1.46,2133
ok,2024-01-12 13:00:00,1.44,1.44,1.44,1.44,925
ok,2024-01-12 15:00:00,1.44,1.44,1.43,1.43,619
ok,2024-01-12 15:30:00,1.45,1.45,1.45,1.45,343
ok,2024-01-16 09:30:00,1.4,1.4,1.39,1.4,17992
ok,2024-01-16 10:30:00,1.4,1.4,1.4,1.4,209
ok,2024-01-16 11:00:00,1.4,1.4,1.4,1.4,400
ok,2024-01-16 11:30:00,1.4,1.4,1.4,1.4,100
ok,2024-01-16 12:00:00,1.42,1.42,1.42,1.42,100
ok,2024-01-16 12:30:00,1.41,1.41,1.41,1.41,431
ok,2024-01-16 13:00:00,1.4,1.4,1.4,1.4,104
ok,2024-01-16 14:30:00,1.42,1.42,1.41,1.41,422
ok,2024-01-16 15:00:00,1.4,1.4,1.4,1.4,1200
ok,2024-01-16 15:30:00,1.43,1.43,1.43,1.43,132
ok,2024-01-17 09:00:00,1.4,1.4,1.4,1.4,1000
ok,2024-01-17 09:30:00,1.4,1.41,1.4,1.41,1402
ok,2024-01-17 10:30:00,1.4,1.42,1.4,1.42,7406
ok,2024-01-17 11:00:00,1.41,1.41,1.4,1.41,1519
ok,2024-01-17 13:00:00,1.4,1.42,1.4,1.42,6747
ok,2024-01-17 15:00:00,1.38,1.38,1.37,1.37,629
ok,2024-01-17 15:30:00,1.4,1.4,1.39,1.4,1355
ok,2024-01-18 09:30:00,1.4,1.41,1.39,1.39,4950
ok,2024-01-18 10:00:00,1.4,1.4,1.4,1.4,197
ok,2024-01-18 11:00:00,1.37,1.41,1.37,1.4,10822
ok,2024-01-18 11:30:00,1.44,1.44,1.44,1.44,902
ok,2024-01-18 12:00:00,1.41,1.41,1.41,1.41,100
ok,2024-01-18 13:00:00,1.41,1.41,1.4,1.4,233
ok,2024-01-18 14:00:00,1.35,1.37,1.35,1.37,433
ok,2024-01-18 14:30:00,1.37,1.37,1.37,1.37,103
ok,2024-01-18 15:00:00,1.38,1.38,1.36,1.36,1425
ok,2024-01-19 09:30:00,1.36,1.36,1.36,1.36,309
ok,2024-01-19 10:00:00,1.38,1.38,1.38,1.38,100
