s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,3.15,3.15,3.04,3.04,5473
ok,2024-01-02 10:00:00,3.04,3.04,3.04,3.04,2021
ok,2024-01-02 11:30:00,3.08,3.09,3.04,3.09,2250
ok,2024-01-02 12:30:00,3.09,3.09,3.09,3.09,109
ok,2024-01-02 13:00:00,3.06,3.09,3.05,3.05,1437
ok,2024-01-02 14:00:00,3.04,3.04,3.01,3.01,2196
ok,2024-01-02 14:30:00,3.03,3.1,3.03,3.1,640
ok,2024-01-02 15:00:00,3.07,3.07,3.07,3.07,160
ok,2024-01-03 09:30:00,3.07,3.07,3.07,3.07,224
ok,2024-01-03 10:00:00,3.02,3.02,3.0,3.0,2110
ok,2024-01-03 11:00:00,3.12,3.12,3.12,3.12,510
ok,2024-01-03 15:00:00,3.13,3.14,3.13,3.14,201
ok,2024-01-03 15:30:00,3.14,3.14,3.1,3.1,5000
ok,2024-01-04 09:30:00,3.11,3.11,3.09,3.09,1996
ok,2024-01-04 10:30:00,3.1,3.1,3.1,3.1,3595
ok,2024-01-04 11:00:00,3.05,3.13,3.03,3.13,905
ok,2024-01-04 11:30:00,3.13,3.13,3.13,3.13,710
ok,2024-01-04 12:00:00,3.14,3.14,3.12,3.12,400
ok,2024-01-04 13:00:00,3.12,3.12,3.12,3.12,800
ok,2024-01-05 09:30:00,3.13,3.13,3.13,3.13,200
ok,2024-01-05 10:30:00,3.12,3.12,3.08,3.08,397
ok,2024-01-05 11:00:00,3.14,3.14,3.14,3.14,320
ok,2024-01-05 11:30:00,3.12,3.12,3.12,3.12,430
ok,2024-01-05 12:30:00,3.12,3.13,3.12,3.13,500
ok,2024-01-05 13:00:00,3.12,3.12,3.12,3.12,560
ok,2024-01-05 15:30:00,3.13,3.13,3.13,3.13,500
ok,2024-01-08 09:30:00,3.08,3.13,3.08,3.11,525
ok,2024-01-08 10:00:00,3.1,3.1,3.1,3.1,1013
ok,2024-01-08 10:30:00,3.08,3.08,3.08,3.08,600
ok,2024-01-08 13:00:00,3.08,3.08,3.08,3.08,124
ok,2024-01-08 15:30:00,3.03,3.11,3.03,3.11,1175
ok,2024-01-09 10:30:00,3.06,3.06,3.06,3.06,1000
ok,2024-01-09 11:00:00,3.06,3.06,3.05,3.05,500
ok,2024-01-09 11:30:00,3.03,3.03,3.03,3.03,100
ok,2024-01-09 12:30:00,3.02,3.02,3.01,3.01,327
ok,2024-01-09 13:00:00,3.02,3.02,3.02,3.02,100
ok,2024-01-09 13:30:00,3.01,3.01,3.01,3.01,1177
ok,2024-01-09 14:30:00,3.01,3.01,3.0,3.0,2041
ok,2024-01-09 15:00:00,3.01,3.01,2.95,2.95,1954
ok,2024-01-09 15:30:00,2.93,3.02,2.9,2.9,678
ok,2024-01-10 14:30:00,3.0,3.0,3.0,3.0,656
ok,2024-01-10 15:00:00,2.96,2.96,2.96,2.96,222
ok,2024-01-10 15:30:00,2.96,2.96,2.95,2.96,1298
ok,2024-01-11 10:30:00,2.91,2.95,2.91,2.95,1001
ok,2024-01-11 11:00:00,2.93,2.93,2.93,2.93,500
