s,t,o,h,l,c,v
ok,2024-02-16 10:30:00,6.0,6.0,5.25,5.79,161467
ok,2024-02-16 11:00:00,5.66,5.87,5.25,5.4,26483
ok,2024-02-16 11:30:00,5.3,5.4,5.27,5.38,30663
ok,2024-02-16 12:00:00,5.38,5.4,5.27,5.27,27959
ok,2024-02-16 12:30:00,5.28,5.4,5.27,5.4,23866
ok,2024-02-16 13:00:00,5.36,5.4,5.29,5.29,4955
ok,2024-02-16 13:30:00,5.29,5.31,5.28,5.29,6195
ok,2024-02-16 14:00:00,5.3,5.35,5.25,5.25,9783
ok,2024-02-16 14:30:00,5.25,5.25,5.0,5.02,24287
ok,2024-02-16 15:00:00,5.03,5.11,4.54,4.54,18350
ok,2024-02-16 15:30:00,4.56,4.94,4.55,4.8,19694
ok,2024-02-20 08:00:00,4.69,4.69,4.69,4.69,100
ok,2024-02-20 09:00:00,4.56,4.56,4.3,4.3,802
ok,2024-02-20 09:30:00,4.27,4.44,3.7,3.88,9343
ok,2024-02-20 10:00:00,4.02,4.14,4.02,4.03,602
ok,2024-02-20 10:30:00,3.85,4.14,3.85,4.14,1010
ok,2024-02-20 12:30:00,3.82,4.0,3.82,4.0,1927
ok,2024-02-20 13:00:00,3.97,3.97,3.97,3.97,400
ok,2024-02-20 13:30:00,4.0,4.0,4.0,4.0,1100
ok,2024-02-20 14:00:00,4.1,4.1,4.1,4.1,100
ok,2024-02-20 14:30:00,4.22,4.22,4.1,4.1,700
ok,2024-02-20 15:00:00,4.15,4.27,4.15,4.26,1469
ok,2024-02-20 15:30:00,4.44,4.5,4.3,4.3,3236
ok,2024-02-20 16:00:00,4.69,4.69,4.69,4.69,571
ok,2024-02-20 19:00:00,4.6,4.6,4.6,4.6,100
ok,2024-02-21 08:00:00,4.74,4.74,4.74,4.74,500
ok,2024-02-21 09:30:00,4.36,4.8,4.34,4.68,1972
ok,2024-02-21 10:00:00,4.7,4.84,4.7,4.82,500
ok,2024-02-21 11:00:00,4.67,4.67,4.67,4.67,612
ok,2024-02-21 11:30:00,4.67,4.81,4.54,4.78,4841
ok,2024-02-21 13:30:00,4.57,4.57,4.57,4.57,350
ok,2024-02-21 14:30:00,4.62,4.62,4.62,4.62,273
ok,2024-02-21 15:00:00,4.75,4.75,4.74,4.74,300
ok,2024-02-21 15:30:00,4.63,4.63,4.63,4.63,150
ok,2024-02-22 08:00:00,4.57,4.57,4.57,4.57,115
ok,2024-02-22 09:30:00,4.5,4.5,4.5,4.5,124
ok,2024-02-22 10:00:00,4.77,4.77,4.71,4.73,738
ok,2024-02-22 12:30:00,4.65,4.8,4.65,4.78,1200
ok,2024-02-22 14:00:00,4.76,4.76,4.76,4.76,104
ok,2024-02-22 15:30:00,4.79,4.8,4.79,4.8,2000
ok,2024-02-23 11:00:00,4.51,4.74,4.51,4.73,700
ok,2024-02-23 11:30:00,4.73,4.73,4.73,4.73,200
ok,2024-02-23 12:30:00,4.6,4.6,4.6,4.6,200
ok,2024-02-23 13:30:00,4.52,4.59,4.51,4.51,1000
ok,2024-02-23 14:00:00,4.52,4.57,4.33,4.33,3090
ok,2024-02-26 09:30:00,4.31,4.59,4.02,4.02,10172
ok,2024-02-26 10:00:00,4.34,4.42,4.07,4.32,13620
ok,2024-02-26 10:30:00,4.4,4.55,4.4,4.4,926
ok,2024-02-26 11:00:00,4.62,4.62,4.52,4.54,1728
ok,2024-02-26 11:30:00,4.54,4.74,4.43,4.56,6860
ok,2024-02-26 12:00:00,4.63,4.72,4.55,4.72,1028
ok,2024-02-26 12:30:00,4.56,4.73,4.35,4.41,23472
ok,2024-02-26 13:00:00,4.44,4.47,4.35,4.47,4716
ok,2024-02-26 13:30:00,4.4,4.41,4.34,4.41,1080
ok,2024-02-26 15:00:00,4.29,4.35,4.29,4.35,1569
ok,2024-02-26 15:30:00,4.31,4.31,4.2,4.2,2684
ok,2024-02-27 09:30:00,4.02,4.31,4.02,4.31,1855
ok,2024-02-27 10:00:00,4.31,4.31,4.17,4.17,1498
ok,2024-02-27 11:00:00,4.18,4.36,4.18,4.28,755
ok,2024-02-27 12:30:00,4.35,4.35,4.35,4.35,334
ok,2024-02-27 13:00:00,4.18,4.18,4.18,4.18,300
ok,2024-02-27 13:30:00,4.18,4.18,4.18,4.18,300
ok,2024-02-27 14:00:00,4.19,4.22,4.02,4.22,2502
ok,2024-02-27 15:30:00,4.11,4.27,4.01,4.03,17844
ok,2024-02-28 09:30:00,4.0,4.26,3.85,4.17,8162
ok,2024-02-28 11:00:00,3.99,4.01,3.99,4.01,800
ok,2024-02-28 11:30:00,3.99,3.99,3.99,3.99,100
ok,2024-02-28 12:00:00,3.85,3.9,3.75,3.75,2711
ok,2024-02-28 12:30:00,3.82,3.88,3.82,3.88,401
ok,2024-02-28 13:00:00,3.82,3.83,3.75,3.83,903
ok,2024-02-28 14:00:00,3.96,4.0,3.94,4.0,1075
ok,2024-02-28 14:30:00,3.91,3.97,3.78,3.78,900
ok,2024-02-29 07:00:00,3.77,3.77,3.76,3.76,230
ok,2024-02-29 09:30:00,3.91,3.92,3.85,3.91,3810
ok,2024-02-29 11:00:00,3.78,3.78,3.76,3.76,279
ok,2024-02-29 11:30:00,3.94,3.94,3.78,3.78,500
ok,2024-02-29 12:30:00,3.77,3.81,3.77,3.8,650
ok,2024-02-29 13:30:00,3.9,3.9,3.9,3.9,241
ok,2024-02-29 14:00:00,3.88,3.88,3.88,3.88,240
