s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,7.7,7.71,7.34,7.34,4276
ok,2024-01-02 04:30:00,7.36,7.36,7.24,7.25,1227
ok,2024-01-02 05:00:00,7.24,7.24,7.24,7.24,300
ok,2024-01-02 05:30:00,7.24,7.24,7.24,7.24,282
ok,2024-01-02 06:30:00,7.1,7.1,7.05,7.05,847
ok,2024-01-02 07:00:00,7.2,7.2,6.72,6.82,22274
ok,2024-01-02 07:30:00,7.02,7.06,7.02,7.05,3111
ok,2024-01-02 08:00:00,6.89,7.37,6.73,6.91,8118
ok,2024-01-02 08:30:00,7.0,7.0,6.87,6.99,5684
ok,2024-01-02 09:00:00,7.0,7.08,6.91,7.08,2881
ok,2024-01-02 09:30:00,7.08,7.5,6.8,7.34,177336
ok,2024-01-02 10:00:00,7.39,8.1,7.38,7.82,208369
ok,2024-01-02 10:30:00,7.76,8.12,7.56,7.98,123096
ok,2024-01-02 11:00:00,7.98,8.18,7.79,7.9,78199
ok,2024-01-02 11:30:00,7.89,8.02,7.7,7.83,54675
ok,2024-01-02 12:00:00,7.72,7.76,7.32,7.61,30949
ok,2024-01-02 12:30:00,7.69,7.89,7.61,7.89,15378
ok,2024-01-02 13:00:00,7.84,7.89,7.74,7.79,18020
ok,2024-01-02 13:30:00,7.8,7.97,7.77,7.96,27383
ok,2024-01-02 14:00:00,7.94,8.0,7.58,7.6,43818
ok,2024-01-02 14:30:00,7.62,7.62,7.4,7.43,16919
ok,2024-01-02 15:00:00,7.4,7.4,6.5,6.66,66838
ok,2024-01-02 15:30:00,6.66,6.87,6.63,6.73,42229
ok,2024-01-02 16:00:00,6.8,7.0,6.8,6.89,2767
ok,2024-01-02 16:30:00,6.76,6.76,6.74,6.74,401
ok,2024-01-02 17:00:00,6.72,6.72,6.7,6.7,450
ok,2024-01-02 17:30:00,6.85,6.89,6.76,6.89,1250
ok,2024-01-02 18:00:00,6.84,7.1,6.84,7.1,326
ok,2024-01-02 19:00:00,6.93,6.93,6.93,6.93,725
ok,2024-01-03 04:00:00,7.0,7.0,7.0,7.0,104
ok,2024-01-03 04:30:00,6.84,6.84,6.84,6.84,261
ok,2024-01-03 06:00:00,6.98,6.99,6.74,6.74,1073
