s,t,o,h,l,c,v
ok,2024-01-02 06:30:00,0.11,0.11,0.1,0.1,861
ok,2024-01-02 08:00:00,0.1,0.11,0.1,0.1,7337
ok,2024-01-02 08:30:00,0.11,0.11,0.11,0.11,5665
ok,2024-01-02 09:00:00,0.11,0.11,0.11,0.11,472
ok,2024-01-02 09:30:00,0.11,0.11,0.1,0.1,129238
ok,2024-01-02 10:00:00,0.1,0.1,0.1,0.1,58604
ok,2024-01-02 10:30:00,0.1,0.1,0.1,0.1,82279
ok,2024-01-02 11:00:00,0.1,0.1,0.1,0.1,37014
ok,2024-01-02 11:30:00,0.1,0.1,0.1,0.1,18218
ok,2024-01-02 12:00:00,0.1,0.1,0.1,0.1,55568
ok,2024-01-02 12:30:00,0.1,0.11,0.1,0.11,94332
ok,2024-01-02 13:00:00,0.1,0.11,0.1,0.1,9949
ok,2024-01-02 13:30:00,0.11,0.11,0.1,0.1,14685
ok,2024-01-02 14:00:00,0.1,0.1,0.1,0.1,8182
ok,2024-01-02 14:30:00,0.1,0.1,0.1,0.1,95969
ok,2024-01-02 15:00:00,0.1,0.1,0.1,0.1,9844
ok,2024-01-02 15:30:00,0.1,0.11,0.1,0.1,71522
ok,2024-01-02 16:00:00,0.11,0.11,0.1,0.1,71100
ok,2024-01-02 16:30:00,0.1,0.1,0.1,0.1,2185
ok,2024-01-02 17:00:00,0.1,0.1,0.1,0.1,250
ok,2024-01-02 17:30:00,0.1,0.11,0.1,0.11,10807
ok,2024-01-02 18:00:00,0.11,0.11,0.11,0.11,360
ok,2024-01-02 19:30:00,0.11,0.11,0.11,0.11,766
ok,2024-01-03 04:30:00,0.11,0.11,0.11,0.11,500
ok,2024-01-03 07:00:00,0.11,0.11,0.1,0.1,797
ok,2024-01-03 08:00:00,0.11,0.11,0.1,0.1,8342
ok,2024-01-03 09:00:00,0.1,0.11,0.1,0.1,20630
ok,2024-01-03 09:30:00,0.1,0.11,0.1,0.1,130177
ok,2024-01-03 10:00:00,0.1,0.11,0.1,0.11,26992
ok,2024-01-03 10:30:00,0.1,0.11,0.1,0.1,126781
ok,2024-01-03 11:00:00,0.1,0.1,0.1,0.1,113938
ok,2024-01-03 11:30:00,0.1,0.1,0.1,0.1,5112
ok,2024-01-03 12:00:00,0.1,0.1,0.1,0.1,19100
ok,2024-01-03 12:30:00,0.1,0.1,0.1,0.1,9407
ok,2024-01-03 13:00:00,0.1,0.1,0.1,0.1,35068
ok,2024-01-03 13:30:00,0.1,0.1,0.1,0.1,14520
ok,2024-01-03 14:00:00,0.1,0.1,0.1,0.1,4401
ok,2024-01-03 14:30:00,0.1,0.1,0.1,0.1,68482
ok,2024-01-03 15:00:00,0.1,0.1,0.1,0.1,2616
ok,2024-01-03 15:30:00,0.1,0.1,0.1,0.1,8892
ok,2024-01-03 16:00:00,0.1,0.1,0.1,0.1,102800
ok,2024-01-03 16:30:00,0.11,0.11,0.1,0.1,1140
ok,2024-01-03 17:00:00,0.1,0.1,0.1,0.1,478
ok,2024-01-03 18:30:00,0.1,0.1,0.1,0.1,2700
ok,2024-01-03 19:00:00,0.1,0.1,0.1,0.1,400
ok,2024-01-03 19:30:00,0.1,0.11,0.1,0.1,24297
