s,t,o,h,l,c,v
ok,2024-01-02 04:30:00,0.51,0.51,0.51,0.51,167
ok,2024-01-02 05:30:00,0.48,0.5,0.48,0.5,300
ok,2024-01-02 07:30:00,0.52,0.52,0.52,0.52,100
ok,2024-01-02 08:00:00,0.53,0.53,0.53,0.53,517
ok,2024-01-02 09:30:00,0.56,0.56,0.55,0.55,2349
ok,2024-01-02 10:00:00,0.54,0.55,0.53,0.53,7428
ok,2024-01-02 10:30:00,0.56,0.56,0.54,0.55,4105
ok,2024-01-02 11:00:00,0.54,0.54,0.54,0.54,1400
ok,2024-01-02 11:30:00,0.53,0.54,0.53,0.54,11343
ok,2024-01-02 12:00:00,0.54,0.54,0.53,0.53,3036
ok,2024-01-02 12:30:00,0.54,0.56,0.54,0.55,8344
ok,2024-01-02 13:00:00,0.55,0.55,0.54,0.55,12570
ok,2024-01-02 15:00:00,0.54,0.55,0.54,0.55,18284
ok,2024-01-02 15:30:00,0.54,0.54,0.54,0.54,12137
ok,2024-01-02 19:30:00,0.56,0.56,0.56,0.56,265
ok,2024-01-03 07:30:00,0.55,0.56,0.55,0.56,2600
ok,2024-01-03 08:00:00,0.56,0.56,0.54,0.55,803
ok,2024-01-03 08:30:00,0.56,0.56,0.56,0.56,1617
ok,2024-01-03 09:30:00,0.54,0.54,0.53,0.53,23743
ok,2024-01-03 10:00:00,0.53,0.54,0.53,0.53,16530
ok,2024-01-03 10:30:00,0.53,0.53,0.53,0.53,1727
ok,2024-01-03 11:00:00,0.53,0.54,0.52,0.53,18699
ok,2024-01-03 11:30:00,0.53,0.54,0.53,0.54,9929
ok,2024-01-03 12:00:00,0.54,0.54,0.53,0.53,2692
ok,2024-01-03 12:30:00,0.54,0.54,0.54,0.54,485
ok,2024-01-03 13:00:00,0.53,0.53,0.53,0.53,419
ok,2024-01-03 13:30:00,0.53,0.53,0.53,0.53,250
ok,2024-01-03 14:00:00,0.53,0.53,0.53,0.53,7337
ok,2024-01-03 14:30:00,0.53,0.54,0.53,0.54,3457
ok,2024-01-03 15:00:00,0.54,0.54,0.53,0.54,10889
ok,2024-01-03 15:30:00,0.52,0.54,0.52,0.54,948
ok,2024-01-03 18:00:00,0.53,0.53,0.53,0.53,226
ok,2024-01-03 19:00:00,0.55,0.55,0.55,0.55,270
ok,2024-01-03 19:30:00,0.55,0.55,0.55,0.55,116
ok,2024-01-04 09:00:00,0.52,0.52,0.52,0.52,800
ok,2024-01-04 09:30:00,0.53,0.57,0.51,0.57,49908
ok,2024-01-04 10:00:00,0.57,0.6,0.57,0.58,287778
ok,2024-01-04 10:30:00,0.58,0.59,0.57,0.58,17528
ok,2024-01-04 11:00:00,0.58,0.6,0.58,0.58,81967
ok,2024-01-04 11:30:00,0.6,0.6,0.57,0.58,34155
ok,2024-01-04 12:00:00,0.57,0.59,0.57,0.59,19344
ok,2024-01-04 12:30:00,0.59,0.63,0.59,0.61,238314
ok,2024-01-04 13:00:00,0.61,0.61,0.6,0.6,18256
ok,2024-01-04 13:30:00,0.6,0.63,0.6,0.62,30493
ok,2024-01-04 14:00:00,0.62,0.63,0.61,0.61,56195
ok,2024-01-04 14:30:00,0.63,0.63,0.6,0.62,4980
ok,2024-01-04 15:00:00,0.62,0.63,0.62,0.62,16788
ok,2024-01-04 15:30:00,0.63,0.64,0.62,0.64,69549
ok,2024-01-04 16:00:00,0.63,0.63,0.63,0.63,1000
ok,2024-01-04 16:30:00,0.61,0.61,0.61,0.61,144
ok,2024-01-04 17:00:00,0.63,0.63,0.63,0.63,300
ok,2024-01-04 17:30:00,0.62,0.62,0.62,0.62,1000
ok,2024-01-04 19:00:00,0.62,0.62,0.62,0.62,707
ok,2024-01-04 19:30:00,0.62,0.63,0.62,0.63,1550
ok,2024-01-05 05:00:00,0.6,0.6,0.6,0.6,402
ok,2024-01-05 07:30:00,0.61,0.62,0.61,0.62,300
ok,2024-01-05 08:00:00,0.62,0.62,0.6,0.6,7597
ok,2024-01-05 08:30:00,0.61,0.61,0.61,0.61,101
ok,2024-01-05 09:00:00,0.61,0.64,0.61,0.62,3577
ok,2024-01-05 09:30:00,0.64,0.65,0.62,0.64,42506
ok,2024-01-05 10:00:00,0.64,0.67,0.64,0.66,83828
ok,2024-01-05 10:30:00,0.66,0.67,0.65,0.65,80891
ok,2024-01-05 11:00:00,0.66,0.68,0.66,0.68,51901
ok,2024-01-05 11:30:00,0.68,0.68,0.66,0.66,12575
ok,2024-01-05 12:00:00,0.66,0.66,0.63,0.65,42691
ok,2024-01-05 12:30:00,0.64,0.66,0.64,0.65,13406
ok,2024-01-05 13:00:00,0.65,0.65,0.65,0.65,6557
ok,2024-01-05 13:30:00,0.66,0.66,0.64,0.65,9240
ok,2024-01-05 14:00:00,0.65,0.66,0.65,0.65,17510
ok,2024-01-05 14:30:00,0.65,0.67,0.65,0.66,20373
ok,2024-01-05 15:00:00,0.66,0.67,0.66,0.66,11991
ok,2024-01-05 15:30:00,0.66,0.67,0.64,0.66,40402
ok,2024-01-05 17:30:00,0.65,0.65,0.65,0.65,202
ok,2024-01-05 19:00:00,0.68,0.68,0.68,0.68,100
ok,2024-01-05 19:30:00,0.68,0.68,0.65,0.65,12400
ok,2024-01-08 06:30:00,0.63,0.63,0.6,0.6,365
ok,2024-01-08 07:00:00,0.63,0.63,0.62,0.62,300
ok,2024-01-08 08:00:00,0.64,0.68,0.62,0.64,5790
ok,2024-01-08 09:30:00,0.66,0.68,0.64,0.66,24049
ok,2024-01-08 10:00:00,0.65,0.65,0.61,0.62,72434
ok,2024-01-08 10:30:00,0.62,0.62,0.6,0.6,36280
ok,2024-01-08 11:00:00,0.61,0.62,0.6,0.61,61566
ok,2024-01-08 11:30:00,0.61,0.62,0.59,0.59,30418
ok,2024-01-08 12:00:00,0.61,0.61,0.6,0.6,3073
ok,2024-01-08 12:30:00,0.61,0.61,0.6,0.61,3567
ok,2024-01-08 13:00:00,0.61,0.61,0.6,0.61,14430
ok,2024-01-08 13:30:00,0.6,0.61,0.6,0.61,14438
ok,2024-01-08 14:00:00,0.6,0.6,0.59,0.6,6358
ok,2024-01-08 14:30:00,0.6,0.6,0.6,0.6,9755
ok,2024-01-08 15:00:00,0.59,0.6,0.59,0.6,6036
ok,2024-01-08 15:30:00,0.6,0.6,0.57,0.58,100766
ok,2024-01-08 16:00:00,0.59,0.59,0.59,0.59,1450
ok,2024-01-08 17:00:00,0.58,0.58,0.56,0.56,47148
ok,2024-01-08 17:30:00,0.56,0.56,0.55,0.56,41169
ok,2024-01-08 18:00:00,0.55,0.55,0.54,0.55,1846
ok,2024-01-08 18:30:00,0.51,0.54,0.51,0.52,3469
ok,2024-01-08 19:00:00,0.52,0.55,0.52,0.55,2850
ok,2024-01-08 19:30:00,0.53,0.53,0.53,0.53,182
ok,2024-01-09 05:30:00,0.53,0.53,0.52,0.52,1395
ok,2024-01-09 06:30:00,0.55,0.57,0.55,0.57,5250
ok,2024-01-09 07:30:00,0.58,0.58,0.55,0.55,20705
ok,2024-01-09 08:00:00,0.58,0.58,0.55,0.55,21269
ok,2024-01-09 08:30:00,0.56,0.56,0.56,0.56,400
ok,2024-01-09 09:00:00,0.56,0.56,0.55,0.55,5571
ok,2024-01-09 09:30:00,0.56,0.56,0.53,0.54,130724
ok,2024-01-09 10:00:00,0.55,0.55,0.53,0.54,22979
ok,2024-01-09 10:30:00,0.54,0.54,0.54,0.54,16049
ok,2024-01-09 11:00:00,0.54,0.54,0.49,0.49,64131
ok,2024-01-09 11:30:00,0.49,0.5,0.47,0.5,69105
ok,2024-01-09 12:00:00,0.5,0.5,0.48,0.49,27398
ok,2024-01-09 12:30:00,0.5,0.5,0.49,0.5,38871
ok,2024-01-09 13:00:00,0.5,0.5,0.5,0.5,13215
ok,2024-01-09 13:30:00,0.5,0.5,0.49,0.5,74275
ok,2024-01-09 14:00:00,0.5,0.5,0.49,0.49,16773
ok,2024-01-09 14:30:00,0.49,0.49,0.44,0.45,94136
ok,2024-01-09 15:00:00,0.45,0.46,0.41,0.43,167739
ok,2024-01-09 15:30:00,0.43,0.44,0.4,0.43,193063
ok,2024-01-09 16:00:00,0.45,0.51,0.45,0.47,69077
ok,2024-01-09 16:30:00,0.46,0.46,0.46,0.46,4679
ok,2024-01-09 17:30:00,0.47,0.47,0.46,0.46,2664
ok,2024-01-09 18:00:00,0.48,0.48,0.48,0.48,160
ok,2024-01-09 18:30:00,0.5,0.5,0.46,0.48,1965
ok,2024-01-09 19:00:00,0.5,0.5,0.5,0.5,150
ok,2024-01-10 08:00:00,0.47,0.48,0.46,0.46,12708
ok,2024-01-10 08:30:00,0.47,0.47,0.45,0.45,3327
ok,2024-01-10 09:00:00,0.46,0.46,0.45,0.46,730
ok,2024-01-10 09:30:00,0.46,0.47,0.41,0.44,20949
ok,2024-01-10 10:00:00,0.44,0.44,0.43,0.44,35640
ok,2024-01-10 10:30:00,0.44,0.44,0.43,0.44,50355
ok,2024-01-10 11:00:00,0.44,0.44,0.44,0.44,5912
ok,2024-01-10 11:30:00,0.44,0.44,0.43,0.44,28786
ok,2024-01-10 12:00:00,0.44,0.44,0.43,0.44,25391
ok,2024-01-10 12:30:00,0.44,0.47,0.44,0.46,35578
ok,2024-01-10 13:00:00,0.45,0.48,0.45,0.46,26607
ok,2024-01-10 13:30:00,0.45,0.46,0.44,0.45,18306
ok,2024-01-10 14:00:00,0.44,0.45,0.44,0.45,897
ok,2024-01-10 14:30:00,0.45,0.45,0.45,0.45,5175
ok,2024-01-10 15:00:00,0.45,0.47,0.45,0.46,15784
ok,2024-01-10 15:30:00,0.46,0.47,0.44,0.46,17275
ok,2024-01-10 16:00:00,0.45,0.47,0.45,0.47,1481
ok,2024-01-10 17:00:00,0.45,0.45,0.45,0.45,206
ok,2024-01-10 17:30:00,0.45,0.45,0.45,0.45,200
ok,2024-01-10 18:00:00,0.45,0.45,0.45,0.45,268
ok,2024-01-11 08:00:00,0.48,0.48,0.48,0.48,295
ok,2024-01-11 08:30:00,0.48,0.48,0.48,0.48,198
ok,2024-01-11 09:30:00,0.48,0.48,0.46,0.48,7102
ok,2024-01-11 10:00:00,0.48,0.48,0.46,0.47,7632
ok,2024-01-11 10:30:00,0.48,0.48,0.46,0.48,3621
ok,2024-01-11 11:00:00,0.47,0.47,0.46,0.46,829
ok,2024-01-11 11:30:00,0.47,0.47,0.47,0.47,2101
ok,2024-01-11 12:00:00,0.47,0.47,0.47,0.47,4933
ok,2024-01-11 12:30:00,0.47,0.47,0.46,0.47,2408
ok,2024-01-11 13:00:00,0.46,0.47,0.44,0.44,54185
ok,2024-01-11 13:30:00,0.44,0.44,0.44,0.44,300
ok,2024-01-11 14:00:00,0.45,0.47,0.45,0.47,2615
ok,2024-01-11 15:30:00,0.46,0.47,0.46,0.46,4081
ok,2024-01-11 16:00:00,0.46,0.46,0.46,0.46,777
ok,2024-01-11 19:00:00,0.45,0.45,0.45,0.45,1225
ok,2024-01-11 19:30:00,0.47,0.47,0.47,0.47,952
ok,2024-01-12 04:00:00,0.48,0.48,0.47,0.47,301
ok,2024-01-12 04:30:00,0.46,0.46,0.46,0.46,212
ok,2024-01-12 08:00:00,0.47,0.47,0.47,0.47,297
ok,2024-01-12 08:30:00,0.47,0.47,0.47,0.47,101
ok,2024-01-12 09:00:00,0.47,0.47,0.47,0.47,594
ok,2024-01-12 09:30:00,0.47,0.47,0.44,0.45,43086
ok,2024-01-12 10:00:00,0.46,0.46,0.45,0.46,11499
ok,2024-01-12 10:30:00,0.46,0.46,0.46,0.46,7838
ok,2024-01-12 11:00:00,0.46,0.46,0.46,0.46,7528
ok,2024-01-12 11:30:00,0.46,0.46,0.46,0.46,25953
ok,2024-01-12 12:00:00,0.46,0.47,0.46,0.47,7800
ok,2024-01-12 12:30:00,0.47,0.47,0.47,0.47,250
ok,2024-01-12 13:00:00,0.47,0.47,0.46,0.46,489
ok,2024-01-12 13:30:00,0.46,0.46,0.46,0.46,5775
ok,2024-01-12 14:00:00,0.46,0.46,0.46,0.46,200
ok,2024-01-12 14:30:00,0.46,0.46,0.46,0.46,5655
ok,2024-01-12 15:00:00,0.47,0.47,0.47,0.47,1900
ok,2024-01-12 15:30:00,0.46,0.46,0.45,0.45,25642
ok,2024-01-12 16:00:00,0.47,0.47,0.45,0.47,700
ok,2024-01-12 17:00:00,0.45,0.45,0.45,0.45,300
ok,2024-01-12 18:00:00,0.45,0.47,0.45,0.47,2600
ok,2024-01-16 08:00:00,0.46,0.46,0.46,0.46,110
ok,2024-01-16 09:00:00,0.45,0.45,0.44,0.44,3440
ok,2024-01-16 09:30:00,0.44,0.47,0.44,0.47,38325
ok,2024-01-16 10:00:00,0.46,0.48,0.45,0.48,108022
ok,2024-01-16 10:30:00,0.47,0.48,0.47,0.47,14086
ok,2024-01-16 11:00:00,0.48,0.48,0.48,0.48,5236
ok,2024-01-16 11:30:00,0.48,0.5,0.48,0.5,78031
ok,2024-01-16 12:00:00,0.49,0.5,0.48,0.5,27219
ok,2024-01-16 12:30:00,0.5,0.5,0.48,0.5,20182
ok,2024-01-16 13:00:00,0.49,0.5,0.49,0.49,1022
ok,2024-01-16 13:30:00,0.49,0.52,0.48,0.49,98947
ok,2024-01-16 14:00:00,0.49,0.49,0.48,0.48,87488
ok,2024-01-16 14:30:00,0.49,0.5,0.48,0.48,32322
ok,2024-01-16 15:00:00,0.5,0.5,0.49,0.49,1010
ok,2024-01-16 15:30:00,0.49,0.49,0.48,0.49,5343
ok,2024-01-16 16:00:00,0.48,0.5,0.48,0.5,3199
ok,2024-01-16 17:30:00,0.48,0.48,0.48,0.48,2020
ok,2024-01-17 07:00:00,0.49,0.49,0.49,0.49,102
ok,2024-01-17 08:00:00,0.49,0.5,0.48,0.48,8347
ok,2024-01-17 08:30:00,0.48,0.48,0.48,0.48,1885
ok,2024-01-17 09:00:00,0.48,0.48,0.48,0.48,490
ok,2024-01-17 09:30:00,0.5,0.5,0.48,0.48,7302
ok,2024-01-17 10:00:00,0.49,0.49,0.49,0.49,3215
ok,2024-01-17 10:30:00,0.49,0.49,0.49,0.49,9125
ok,2024-01-17 11:00:00,0.49,0.52,0.49,0.52,99219
ok,2024-01-17 11:30:00,0.51,0.51,0.49,0.49,115059
ok,2024-01-17 12:00:00,0.49,0.5,0.46,0.46,157464
ok,2024-01-17 12:30:00,0.45,0.45,0.44,0.45,44956
ok,2024-01-17 13:00:00,0.45,0.45,0.43,0.45,48590
ok,2024-01-17 13:30:00,0.45,0.45,0.43,0.43,14665
ok,2024-01-17 14:00:00,0.43,0.43,0.42,0.43,16185
ok,2024-01-17 14:30:00,0.43,0.43,0.43,0.43,15569
ok,2024-01-17 15:00:00,0.43,0.43,0.42,0.42,10186
ok,2024-01-17 15:30:00,0.42,0.43,0.42,0.42,93560
ok,2024-01-17 16:00:00,0.42,0.42,0.42,0.42,2500
ok,2024-01-17 16:30:00,0.42,0.43,0.42,0.43,6056
ok,2024-01-17 17:30:00,0.43,0.43,0.43,0.43,821
ok,2024-01-17 18:00:00,0.42,0.42,0.42,0.42,125
ok,2024-01-17 18:30:00,0.43,0.43,0.43,0.43,4850
ok,2024-01-18 05:30:00,0.43,0.43,0.43,0.43,100
ok,2024-01-18 06:00:00,0.42,0.42,0.42,0.42,900
ok,2024-01-18 06:30:00,0.42,0.42,0.42,0.42,526
ok,2024-01-18 07:00:00,0.42,0.42,0.42,0.42,4419
ok,2024-01-18 07:30:00,0.42,0.44,0.42,0.44,3177
ok,2024-01-18 08:00:00,0.42,0.42,0.42,0.42,6001
ok,2024-01-18 08:30:00,0.42,0.42,0.42,0.42,10075
ok,2024-01-18 09:00:00,0.42,0.42,0.42,0.42,16840
ok,2024-01-18 09:30:00,0.42,0.45,0.41,0.41,38725
ok,2024-01-18 10:00:00,0.41,0.41,0.38,0.38,120517
ok,2024-01-18 10:30:00,0.38,0.38,0.37,0.37,111319
ok,2024-01-18 11:00:00,0.37,0.38,0.37,0.38,72463
ok,2024-01-18 11:30:00,0.38,0.4,0.38,0.38,65399
ok,2024-01-18 12:00:00,0.38,0.38,0.38,0.38,37751
ok,2024-01-18 12:30:00,0.38,0.38,0.37,0.38,24289
ok,2024-01-18 13:00:00,0.38,0.38,0.38,0.38,6001
ok,2024-01-18 13:30:00,0.38,0.38,0.38,0.38,26827
ok,2024-01-18 14:00:00,0.38,0.38,0.38,0.38,18480
ok,2024-01-18 14:30:00,0.38,0.38,0.38,0.38,39239
ok,2024-01-18 15:00:00,0.38,0.38,0.38,0.38,31134
ok,2024-01-18 15:30:00,0.38,0.38,0.38,0.38,18435
ok,2024-01-18 16:00:00,0.38,0.38,0.38,0.38,127
ok,2024-01-18 16:30:00,0.38,0.38,0.38,0.38,10800
ok,2024-01-18 17:00:00,0.38,0.38,0.37,0.37,4351
ok,2024-01-18 17:30:00,0.37,0.37,0.37,0.37,602
ok,2024-01-18 18:00:00,0.37,0.37,0.37,0.37,101
ok,2024-01-18 18:30:00,0.37,0.37,0.37,0.37,1230
ok,2024-01-18 19:00:00,0.37,0.37,0.37,0.37,1669
ok,2024-01-18 19:30:00,0.37,0.37,0.37,0.37,500
ok,2024-01-19 04:00:00,0.36,0.36,0.33,0.33,11877
ok,2024-01-19 04:30:00,0.3,0.32,0.3,0.32,5801
ok,2024-01-19 05:00:00,0.32,0.32,0.32,0.32,2000
ok,2024-01-19 05:30:00,0.32,0.32,0.32,0.32,989
ok,2024-01-19 06:00:00,0.32,0.32,0.31,0.31,102192
ok,2024-01-19 06:30:00,0.31,0.31,0.28,0.29,45304
ok,2024-01-19 07:00:00,0.29,0.29,0.29,0.29,102966
ok,2024-01-19 07:30:00,0.28,0.28,0.24,0.25,214186
ok,2024-01-19 08:00:00,0.26,0.29,0.24,0.26,101615
ok,2024-01-19 08:30:00,0.26,0.26,0.14,0.14,1416892
ok,2024-01-19 09:00:00,0.14,0.14,0.11,0.12,7170940
ok,2024-01-19 09:30:00,0.12,0.13,0.12,0.13,6953191
ok,2024-01-19 10:00:00,0.13,0.13,0.11,0.12,4408720
ok,2024-01-19 10:30:00,0.12,0.15,0.12,0.14,4454509
ok,2024-01-19 11:00:00,0.14,0.15,0.13,0.13,3634097
ok,2024-01-19 11:30:00,0.13,0.14,0.13,0.14,1413187
ok,2024-01-19 12:00:00,0.14,0.14,0.14,0.14,866354
ok,2024-01-19 12:30:00,0.14,0.14,0.13,0.14,708673
ok,2024-01-19 13:00:00,0.14,0.14,0.14,0.14,655558
ok,2024-01-19 13:30:00,0.14,0.14,0.13,0.13,436512
ok,2024-01-19 14:00:00,0.13,0.13,0.12,0.13,1330637
ok,2024-01-19 14:30:00,0.13,0.13,0.13,0.13,658376
ok,2024-01-19 15:00:00,0.13,0.13,0.13,0.13,986920
ok,2024-01-19 15:30:00,0.13,0.14,0.13,0.14,1833108
ok,2024-01-19 16:00:00,0.14,0.14,0.13,0.14,675009
ok,2024-01-19 16:30:00,0.14,0.14,0.13,0.14,190674
ok,2024-01-19 17:00:00,0.14,0.14,0.14,0.14,77028
ok,2024-01-19 17:30:00,0.14,0.14,0.13,0.14,88097
ok,2024-01-19 18:00:00,0.14,0.14,0.13,0.14,50143
ok,2024-01-19 18:30:00,0.14,0.14,0.13,0.14,26048
ok,2024-01-19 19:00:00,0.14,0.14,0.14,0.14,9232
ok,2024-01-19 19:30:00,0.14,0.14,0.13,0.13,172526
ok,2024-01-22 04:00:00,0.13,0.13,0.12,0.12,242828
ok,2024-01-22 04:30:00,0.12,0.13,0.12,0.13,118547
ok,2024-01-22 05:00:00,0.13,0.13,0.12,0.12,19725
ok,2024-01-22 05:30:00,0.12,0.13,0.12,0.12,10129
