s,t,o,h,l,c,v
ok,2024-01-02 07:00:00,0.73,0.75,0.73,0.75,958
ok,2024-01-02 09:30:00,0.81,0.81,0.74,0.78,10238
ok,2024-01-02 10:00:00,0.75,0.77,0.75,0.77,634
ok,2024-01-02 10:30:00,0.73,0.77,0.73,0.77,1130
ok,2024-01-02 11:00:00,0.77,0.77,0.77,0.77,330
ok,2024-01-02 11:30:00,0.75,0.75,0.73,0.73,430
ok,2024-01-02 12:00:00,0.74,0.76,0.74,0.76,832
ok,2024-01-02 12:30:00,0.73,0.73,0.73,0.73,577
ok,2024-01-02 13:30:00,0.73,0.73,0.73,0.73,5549
ok,2024-01-02 14:00:00,0.73,0.73,0.73,0.73,150
ok,2024-01-02 14:30:00,0.73,0.73,0.73,0.73,157
ok,2024-01-02 15:00:00,0.72,0.76,0.72,0.76,19891
ok,2024-01-02 15:30:00,0.72,0.72,0.72,0.72,11025
ok,2024-01-02 16:30:00,0.72,0.72,0.72,0.72,750
ok,2024-01-03 07:30:00,0.72,0.72,0.72,0.72,301
ok,2024-01-03 08:30:00,0.72,0.72,0.72,0.72,473
ok,2024-01-03 10:00:00,0.72,0.72,0.72,0.72,500
ok,2024-01-03 10:30:00,0.72,0.72,0.7,0.7,22963
ok,2024-01-03 11:00:00,0.7,0.7,0.7,0.7,225
ok,2024-01-03 11:30:00,0.7,0.7,0.7,0.7,800
ok,2024-01-03 12:00:00,0.74,0.74,0.74,0.74,300
ok,2024-01-03 14:00:00,0.73,0.74,0.73,0.74,2000
ok,2024-01-03 14:30:00,0.7,0.7,0.7,0.7,182
ok,2024-01-03 15:00:00,0.7,0.72,0.68,0.7,5253
ok,2024-01-03 15:30:00,0.7,0.7,0.69,0.69,304
ok,2024-01-03 16:00:00,0.73,0.73,0.73,0.73,100
ok,2024-01-03 18:30:00,0.71,0.71,0.7,0.7,500
ok,2024-01-04 09:00:00,0.69,0.69,0.69,0.69,271
ok,2024-01-04 09:30:00,0.69,0.69,0.68,0.68,292
ok,2024-01-04 10:30:00,0.68,0.69,0.68,0.69,1051
ok,2024-01-04 11:00:00,0.69,0.69,0.68,0.69,1420
ok,2024-01-04 11:30:00,0.69,0.69,0.68,0.68,6200
ok,2024-01-04 12:00:00,0.68,0.68,0.68,0.68,100
ok,2024-01-04 13:00:00,0.68,0.68,0.68,0.68,400
ok,2024-01-04 14:00:00,0.68,0.68,0.68,0.68,1289
ok,2024-01-04 15:00:00,0.68,0.68,0.68,0.68,101
ok,2024-01-04 15:30:00,0.68,0.68,0.68,0.68,1747
ok,2024-01-04 16:30:00,0.69,0.69,0.69,0.69,900
ok,2024-01-04 17:30:00,0.69,0.69,0.69,0.69,1050
ok,2024-01-05 08:30:00,0.69,0.69,0.69,0.69,466
ok,2024-01-05 09:30:00,0.67,0.67,0.64,0.64,5040
ok,2024-01-05 10:00:00,0.65,0.65,0.62,0.64,6964
ok,2024-01-05 10:30:00,0.64,0.64,0.64,0.64,1397
ok,2024-01-05 11:00:00,0.65,0.66,0.62,0.63,27237
ok,2024-01-05 11:30:00,0.63,0.63,0.63,0.63,18778
ok,2024-01-05 12:00:00,0.63,0.63,0.63,0.63,6282
ok,2024-01-05 12:30:00,0.63,0.63,0.63,0.63,8075
ok,2024-01-05 13:00:00,0.63,0.63,0.63,0.63,1068
ok,2024-01-05 13:30:00,0.63,0.63,0.63,0.63,1000
ok,2024-01-05 14:00:00,0.63,0.63,0.63,0.63,5839
ok,2024-01-05 14:30:00,0.63,0.63,0.6,0.6,19046
ok,2024-01-05 15:00:00,0.6,0.61,0.6,0.61,1000
ok,2024-01-05 15:30:00,0.61,0.61,0.6,0.6,2793
ok,2024-01-05 16:30:00,0.63,0.64,0.63,0.64,812
ok,2024-01-05 18:30:00,0.63,0.63,0.63,0.63,150
ok,2024-01-05 19:30:00,0.6,0.6,0.6,0.6,364
ok,2024-01-08 09:30:00,0.6,0.6,0.6,0.6,575
ok,2024-01-08 10:00:00,0.6,0.6,0.56,0.59,6046
ok,2024-01-08 10:30:00,0.57,0.59,0.57,0.59,906
ok,2024-01-08 11:30:00,0.58,0.58,0.57,0.57,250
ok,2024-01-08 12:00:00,0.57,0.57,0.56,0.57,1560
ok,2024-01-08 12:30:00,0.56,0.57,0.55,0.57,8963
ok,2024-01-08 13:00:00,0.55,0.55,0.55,0.55,120
