s,t,o,h,l,c,v
ok,2024-01-02 05:00:00,1.37,1.37,1.37,1.37,162
ok,2024-01-02 07:00:00,1.45,1.45,1.45,1.45,101
ok,2024-01-02 08:00:00,1.45,1.45,1.45,1.45,177
ok,2024-01-02 09:00:00,1.39,1.39,1.39,1.39,321
ok,2024-01-02 09:30:00,1.51,1.51,1.46,1.46,13656
ok,2024-01-02 10:00:00,1.47,1.5,1.46,1.47,7495
ok,2024-01-02 10:30:00,1.51,1.53,1.49,1.49,1247
ok,2024-01-02 11:00:00,1.49,1.53,1.49,1.52,3017
ok,2024-01-02 11:30:00,1.5,1.52,1.5,1.5,1635
ok,2024-01-02 12:00:00,1.49,1.49,1.47,1.47,772
ok,2024-01-02 12:30:00,1.47,1.48,1.47,1.47,1743
ok,2024-01-02 13:00:00,1.47,1.52,1.47,1.48,3795
ok,2024-01-02 13:30:00,1.52,1.52,1.46,1.46,1031
ok,2024-01-02 14:00:00,1.51,1.51,1.45,1.45,1002
ok,2024-01-02 14:30:00,1.48,1.48,1.45,1.45,2090
ok,2024-01-02 15:00:00,1.45,1.48,1.43,1.43,1137
ok,2024-01-02 15:30:00,1.48,1.48,1.43,1.44,2055
ok,2024-01-02 16:30:00,1.51,1.55,1.38,1.38,1284
ok,2024-01-03 04:30:00,1.36,1.36,1.24,1.24,2100
ok,2024-01-03 08:00:00,1.3,1.3,1.3,1.3,1257
ok,2024-01-03 09:00:00,1.38,1.38,1.38,1.38,100
ok,2024-01-03 09:30:00,1.41,1.44,1.41,1.44,4752
ok,2024-01-03 10:00:00,1.44,1.44,1.41,1.41,4377
ok,2024-01-03 10:30:00,1.41,1.42,1.41,1.41,3474
ok,2024-01-03 11:00:00,1.41,1.41,1.38,1.39,7373
ok,2024-01-03 11:30:00,1.42,1.42,1.32,1.33,3393
ok,2024-01-03 12:00:00,1.35,1.35,1.32,1.32,677
ok,2024-01-03 12:30:00,1.34,1.36,1.31,1.34,12799
ok,2024-01-03 13:00:00,1.34,1.36,1.32,1.32,10868
ok,2024-01-03 13:30:00,1.31,1.31,1.31,1.31,297
ok,2024-01-03 14:00:00,1.32,1.32,1.32,1.32,102
ok,2024-01-03 14:30:00,1.35,1.38,1.35,1.38,900
ok,2024-01-03 15:00:00,1.38,1.4,1.33,1.37,4977
ok,2024-01-03 15:30:00,1.37,1.4,1.33,1.37,10891
ok,2024-01-03 16:00:00,1.4,1.4,1.4,1.4,200
ok,2024-01-04 08:00:00,1.39,1.39,1.39,1.39,100
ok,2024-01-04 09:30:00,1.38,1.4,1.38,1.38,16868
ok,2024-01-04 11:00:00,1.39,1.39,1.38,1.38,8340
ok,2024-01-04 11:30:00,1.38,1.38,1.36,1.38,2561
ok,2024-01-04 12:00:00,1.34,1.37,1.34,1.37,1002
ok,2024-01-04 12:30:00,1.34,1.35,1.31,1.35,1075
ok,2024-01-04 13:00:00,1.35,1.4,1.35,1.39,12836
ok,2024-01-04 14:00:00,1.39,1.41,1.39,1.41,699
ok,2024-01-04 14:30:00,1.4,1.42,1.4,1.42,1949
ok,2024-01-04 15:00:00,1.42,1.44,1.42,1.43,3213
ok,2024-01-04 15:30:00,1.43,1.43,1.42,1.43,1108
ok,2024-01-04 16:00:00,1.36,1.36,1.36,1.36,3709
ok,2024-01-05 10:00:00,1.4,1.4,1.4,1.4,636
ok,2024-01-05 10:30:00,1.4,1.4,1.4,1.4,341
ok,2024-01-05 11:00:00,1.4,1.4,1.4,1.4,780
ok,2024-01-05 11:30:00,1.42,1.42,1.4,1.4,900
ok,2024-01-05 12:00:00,1.4,1.4,1.4,1.4,19956
ok,2024-01-05 13:00:00,1.36,1.36,1.36,1.36,100
ok,2024-01-05 13:30:00,1.42,1.49,1.39,1.49,21193
ok,2024-01-05 14:00:00,1.46,1.49,1.46,1.46,5660
ok,2024-01-05 14:30:00,1.47,1.47,1.46,1.46,300
ok,2024-01-05 15:00:00,1.46,1.47,1.46,1.47,656
ok,2024-01-05 15:30:00,1.47,1.48,1.46,1.46,3235
ok,2024-01-05 19:30:00,1.41,1.41,1.41,1.41,100
ok,2024-01-08 08:30:00,1.44,1.44,1.44,1.44,300
ok,2024-01-08 10:00:00,1.48,1.48,1.4,1.4,752
ok,2024-01-08 10:30:00,1.4,1.44,1.4,1.4,401
ok,2024-01-08 11:00:00,1.4,1.4,1.4,1.4,100
ok,2024-01-08 11:30:00,1.38,1.38,1.38,1.38,100
ok,2024-01-08 13:00:00,1.38,1.41,1.38,1.41,400
ok,2024-01-08 13:30:00,1.38,1.38,1.38,1.38,10800
ok,2024-01-08 14:00:00,1.4,1.45,1.39,1.45,3223
ok,2024-01-08 14:30:00,1.4,1.53,1.4,1.53,18019
ok,2024-01-08 15:00:00,1.52,1.55,1.5,1.5,9073
ok,2024-01-08 15:30:00,1.5,1.56,1.5,1.56,10873
ok,2024-01-08 16:00:00,1.56,1.94,1.56,1.62,40718
ok,2024-01-08 16:30:00,1.71,1.75,1.59,1.63,2659
ok,2024-01-08 17:00:00,1.63,1.63,1.63,1.63,200
ok,2024-01-08 17:30:00,1.63,1.63,1.63,1.63,100
ok,2024-01-08 18:30:00,1.64,1.72,1.64,1.72,633
ok,2024-01-08 19:30:00,1.7,1.73,1.7,1.7,2112
ok,2024-01-09 04:00:00,1.67,1.84,1.63,1.69,5390
ok,2024-01-09 04:30:00,1.69,1.94,1.69,1.85,23123
ok,2024-01-09 05:00:00,1.81,1.9,1.67,1.73,21313
ok,2024-01-09 05:30:00,1.71,1.79,1.65,1.71,4096
ok,2024-01-09 07:00:00,1.68,1.69,1.68,1.69,200
ok,2024-01-09 07:30:00,1.68,1.68,1.67,1.67,386
ok,2024-01-09 08:00:00,1.75,1.75,1.63,1.63,3873
ok,2024-01-09 09:00:00,1.68,1.72,1.51,1.72,22299
ok,2024-01-09 09:30:00,1.6,1.61,1.46,1.48,28777
ok,2024-01-09 10:00:00,1.43,1.46,1.42,1.44,2384
ok,2024-01-09 10:30:00,1.45,1.46,1.44,1.44,1247
ok,2024-01-09 11:00:00,1.47,1.47,1.42,1.42,550
ok,2024-01-09 11:30:00,1.47,1.47,1.42,1.46,301
ok,2024-01-09 12:00:00,1.43,1.46,1.4,1.42,17904
ok,2024-01-09 12:30:00,1.43,1.45,1.41,1.44,10848
ok,2024-01-09 13:00:00,1.45,1.45,1.41,1.41,274
ok,2024-01-09 13:30:00,1.4,1.41,1.38,1.39,9597
ok,2024-01-09 14:00:00,1.38,1.38,1.38,1.38,100
ok,2024-01-09 14:30:00,1.39,1.43,1.39,1.39,6317
ok,2024-01-09 15:00:00,1.41,1.41,1.35,1.36,7238
ok,2024-01-09 15:30:00,1.38,1.42,1.38,1.38,6788
ok,2024-01-10 09:30:00,1.38,1.41,1.38,1.38,2984
ok,2024-01-10 10:00:00,1.4,1.4,1.38,1.38,406
ok,2024-01-10 10:30:00,1.38,1.39,1.38,1.38,4444
ok,2024-01-10 11:00:00,1.4,1.4,1.38,1.38,10500
ok,2024-01-10 11:30:00,1.38,1.38,1.38,1.38,300
ok,2024-01-10 12:00:00,1.4,1.42,1.4,1.4,5829
ok,2024-01-10 12:30:00,1.4,1.42,1.4,1.4,2120
ok,2024-01-10 13:00:00,1.4,1.4,1.4,1.4,1326
ok,2024-01-10 13:30:00,1.4,1.4,1.4,1.4,1443
ok,2024-01-10 14:00:00,1.4,1.42,1.4,1.4,1791
ok,2024-01-10 14:30:00,1.4,1.4,1.4,1.4,1884
ok,2024-01-10 15:00:00,1.4,1.42,1.4,1.42,6109
ok,2024-01-10 15:30:00,1.4,1.41,1.4,1.4,2135
ok,2024-01-11 10:00:00,1.38,1.38,1.35,1.35,10290
ok,2024-01-11 10:30:00,1.32,1.34,1.32,1.33,11330
ok,2024-01-11 11:00:00,1.33,1.33,1.27,1.27,18559
ok,2024-01-11 11:30:00,1.29,1.29,1.29,1.29,150
ok,2024-01-11 12:00:00,1.27,1.36,1.27,1.36,22110
ok,2024-01-11 12:30:00,1.35,1.35,1.33,1.35,898
