s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,1.09,1.09,1.04,1.04,201
ok,2024-01-02 07:00:00,1.05,1.05,1.05,1.05,11300
ok,2024-01-02 07:30:00,1.06,1.06,1.06,1.06,160
ok,2024-01-02 08:00:00,1.05,1.06,1.04,1.06,14200
ok,2024-01-02 08:30:00,1.06,1.06,1.06,1.06,2063
ok,2024-01-02 09:00:00,1.06,1.06,1.06,1.06,173
ok,2024-01-02 09:30:00,1.08,1.08,1.06,1.06,12413
ok,2024-01-02 10:00:00,1.06,1.08,1.06,1.08,2557
ok,2024-01-02 10:30:00,1.08,1.09,1.02,1.09,17198
ok,2024-01-02 11:00:00,1.06,1.12,1.06,1.12,6465
ok,2024-01-02 11:30:00,1.12,1.12,1.1,1.1,19540
ok,2024-01-02 12:00:00,1.1,1.11,1.09,1.09,21274
ok,2024-01-02 12:30:00,1.09,1.09,1.08,1.08,1900
ok,2024-01-02 13:00:00,1.09,1.14,1.09,1.12,40386
ok,2024-01-02 14:00:00,1.11,1.11,1.1,1.11,4932
ok,2024-01-02 14:30:00,1.1,1.11,1.1,1.1,7365
ok,2024-01-02 15:00:00,1.1,1.1,1.1,1.1,210
ok,2024-01-02 15:30:00,1.1,1.1,1.08,1.1,2835
ok,2024-01-03 08:00:00,1.1,1.1,1.07,1.07,486
ok,2024-01-03 09:30:00,1.11,1.11,1.06,1.09,2517
ok,2024-01-03 10:00:00,1.1,1.1,1.08,1.08,10178
ok,2024-01-03 10:30:00,1.09,1.09,1.09,1.09,100
ok,2024-01-03 11:00:00,1.09,1.09,1.07,1.07,4190
ok,2024-01-03 11:30:00,1.07,1.08,1.07,1.08,1763
ok,2024-01-03 12:00:00,1.08,1.08,1.07,1.07,2280
ok,2024-01-03 12:30:00,1.09,1.09,1.07,1.07,12402
ok,2024-01-03 13:00:00,1.07,1.07,1.07,1.07,1967
ok,2024-01-03 13:30:00,1.07,1.07,1.06,1.06,1100
ok,2024-01-03 14:00:00,1.06,1.06,1.06,1.06,151
ok,2024-01-03 14:30:00,1.07,1.07,1.06,1.06,7075
ok,2024-01-03 15:00:00,1.06,1.06,1.05,1.05,11050
ok,2024-01-03 15:30:00,1.06,1.07,1.05,1.06,14242
ok,2024-01-03 18:30:00,1.07,1.07,1.07,1.07,114
ok,2024-01-04 07:30:00,1.09,1.09,1.09,1.09,101
ok,2024-01-04 08:00:00,1.1,1.1,1.1,1.1,1724
ok,2024-01-04 09:30:00,1.07,1.07,1.05,1.05,18296
ok,2024-01-04 10:00:00,1.04,1.04,1.02,1.03,11196
ok,2024-01-04 10:30:00,1.03,1.03,1.02,1.02,1344
ok,2024-01-04 11:00:00,1.03,1.03,1.02,1.02,4258
ok,2024-01-04 11:30:00,1.02,1.03,1.02,1.03,1000
ok,2024-01-04 12:30:00,1.03,1.03,1.03,1.03,3070
ok,2024-01-04 13:00:00,1.02,1.03,0.99,0.99,8494
ok,2024-01-04 13:30:00,1.0,1.01,1.0,1.01,2197
ok,2024-01-04 14:00:00,1.0,1.01,1.0,1.0,10945
ok,2024-01-04 14:30:00,1.0,1.0,1.0,1.0,1000
ok,2024-01-04 15:00:00,1.01,1.02,1.0,1.0,22263
ok,2024-01-04 15:30:00,1.0,1.02,1.0,1.02,2411
ok,2024-01-04 17:30:00,1.0,1.0,1.0,1.0,100
ok,2024-01-05 09:30:00,1.0,1.04,1.0,1.03,2015
ok,2024-01-05 10:00:00,1.04,1.04,1.02,1.03,1401
ok,2024-01-05 10:30:00,1.04,1.04,1.03,1.03,1350
ok,2024-01-05 11:00:00,1.02,1.04,1.02,1.04,1540
