s,t,o,h,l,c,v
ok,2024-01-02 04:00:00,0.21,0.25,0.2,0.23,109953
ok,2024-01-02 04:30:00,0.23,0.23,0.22,0.22,15748
ok,2024-01-02 05:00:00,0.23,0.23,0.22,0.22,13787
ok,2024-01-02 05:30:00,0.22,0.22,0.22,0.22,8806
ok,2024-01-02 06:00:00,0.22,0.22,0.22,0.22,597
ok,2024-01-02 06:30:00,0.22,0.22,0.22,0.22,1833
ok,2024-01-02 07:00:00,0.22,0.22,0.2,0.2,95204
ok,2024-01-02 07:30:00,0.21,0.21,0.2,0.21,12958
ok,2024-01-02 08:00:00,0.22,0.23,0.2,0.21,107632
ok,2024-01-02 08:30:00,0.21,0.22,0.2,0.21,58056
ok,2024-01-02 09:00:00,0.2,0.21,0.2,0.2,24318
ok,2024-01-02 09:30:00,0.2,0.21,0.2,0.2,230533
ok,2024-01-02 10:00:00,0.2,0.2,0.2,0.2,60797
ok,2024-01-02 10:30:00,0.2,0.2,0.2,0.2,30000
ok,2024-01-02 11:00:00,0.2,0.2,0.2,0.2,129747
ok,2024-01-02 11:30:00,0.2,0.2,0.2,0.2,63936
ok,2024-01-02 12:00:00,0.2,0.21,0.2,0.2,44894
ok,2024-01-02 12:30:00,0.2,0.21,0.2,0.21,35536
ok,2024-01-02 13:00:00,0.2,0.21,0.2,0.21,17310
ok,2024-01-02 13:30:00,0.21,0.21,0.2,0.21,18042
ok,2024-01-02 14:00:00,0.21,0.21,0.21,0.21,11322
ok,2024-01-02 14:30:00,0.2,0.21,0.2,0.21,31323
ok,2024-01-02 15:00:00,0.2,0.21,0.2,0.21,17406
ok,2024-01-02 15:30:00,0.2,0.21,0.2,0.2,39355
ok,2024-01-02 16:00:00,0.2,0.2,0.2,0.2,13323
ok,2024-01-02 16:30:00,0.2,0.21,0.2,0.21,14102
ok,2024-01-02 17:00:00,0.2,0.21,0.2,0.21,10313
ok,2024-01-02 17:30:00,0.21,0.21,0.21,0.21,100
ok,2024-01-02 18:00:00,0.2,0.21,0.2,0.21,7850
ok,2024-01-02 18:30:00,0.2,0.2,0.2,0.2,1000
ok,2024-01-02 19:00:00,0.2,0.2,0.2,0.2,114
ok,2024-01-02 19:30:00,0.2,0.21,0.2,0.21,10070
ok,2024-01-03 04:00:00,0.2,0.21,0.2,0.2,17303
ok,2024-01-03 04:30:00,0.2,0.2,0.2,0.2,7812
ok,2024-01-03 05:00:00,0.2,0.21,0.2,0.21,2610
ok,2024-01-03 05:30:00,0.21,0.21,0.2,0.2,1183
ok,2024-01-03 06:00:00,0.2,0.21,0.2,0.2,1154
ok,2024-01-03 06:30:00,0.2,0.2,0.2,0.2,840
ok,2024-01-03 07:00:00,0.2,0.2,0.2,0.2,25390
ok,2024-01-03 07:30:00,0.2,0.2,0.2,0.2,12412
ok,2024-01-03 08:00:00,0.2,0.21,0.2,0.2,45199
