s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.84,2.08,1.84,1.93,7124
ok,2024-01-02 10:00:00,1.78,1.96,1.78,1.81,3214
ok,2024-01-02 10:30:00,1.8,1.8,1.8,1.8,216
ok,2024-01-02 11:00:00,1.79,1.79,1.78,1.78,3482
ok,2024-01-02 11:30:00,1.78,1.79,1.78,1.79,211
ok,2024-01-02 12:00:00,1.78,1.78,1.78,1.78,113
ok,2024-01-02 12:30:00,1.79,1.85,1.79,1.85,319
ok,2024-01-02 13:00:00,1.78,1.78,1.78,1.78,100
ok,2024-01-02 13:30:00,1.78,1.78,1.78,1.78,113
ok,2024-01-02 14:00:00,1.78,1.78,1.78,1.78,116
ok,2024-01-02 14:30:00,1.78,1.78,1.78,1.78,112
ok,2024-01-02 15:00:00,1.78,1.85,1.78,1.79,1823
ok,2024-01-02 15:30:00,1.79,1.9,1.72,1.89,22415
ok,2024-01-03 09:30:00,1.79,1.85,1.6,1.68,2180
ok,2024-01-03 10:00:00,1.61,1.61,1.6,1.6,420
ok,2024-01-03 10:30:00,1.61,1.7,1.61,1.62,545
ok,2024-01-03 11:00:00,1.61,1.67,1.61,1.62,2530
ok,2024-01-03 11:30:00,1.6,1.62,1.6,1.6,1030
ok,2024-01-03 12:00:00,1.6,1.65,1.6,1.6,1000
ok,2024-01-03 12:30:00,1.65,1.65,1.61,1.65,886
ok,2024-01-03 13:00:00,1.61,1.61,1.61,1.61,200
ok,2024-01-03 13:30:00,1.61,1.66,1.61,1.66,800
ok,2024-01-03 14:00:00,1.6,1.6,1.6,1.6,430
ok,2024-01-03 14:30:00,1.6,1.7,1.6,1.68,1475
ok,2024-01-03 15:00:00,1.66,1.72,1.61,1.68,3631
ok,2024-01-03 15:30:00,1.62,1.69,1.62,1.65,2741
ok,2024-01-04 09:30:00,1.69,1.7,1.69,1.7,378
ok,2024-01-04 10:00:00,1.88,1.88,1.72,1.72,4017
ok,2024-01-04 10:30:00,1.75,1.85,1.72,1.75,6926
ok,2024-01-04 11:00:00,1.83,1.9,1.8,1.86,4034
ok,2024-01-04 11:30:00,1.86,1.92,1.86,1.87,2328
ok,2024-01-04 12:00:00,1.87,1.97,1.87,1.97,4467
ok,2024-01-04 12:30:00,1.98,1.98,1.87,1.87,9592
ok,2024-01-04 13:00:00,1.88,1.9,1.88,1.9,1232
ok,2024-01-04 13:30:00,1.9,1.98,1.83,1.97,47260
ok,2024-01-04 14:00:00,1.96,2.05,1.91,1.97,102716
ok,2024-01-04 14:30:00,1.93,1.97,1.83,1.9,23744
ok,2024-01-04 15:00:00,1.92,1.92,1.83,1.87,33872
ok,2024-01-04 15:30:00,1.84,1.92,1.83,1.92,19424
ok,2024-01-05 07:00:00,1.95,1.95,1.95,1.95,120
ok,2024-01-05 08:00:00,2.1,2.1,1.95,1.95,900
ok,2024-01-05 08:30:00,1.96,1.96,1.96,1.96,200
ok,2024-01-05 09:00:00,1.77,1.77,1.77,1.77,100
ok,2024-01-05 09:30:00,1.97,1.97,1.8,1.8,28346
ok,2024-01-05 10:00:00,1.84,1.85,1.79,1.79,11562
ok,2024-01-05 10:30:00,1.79,1.79,1.72,1.72,8941
ok,2024-01-05 11:00:00,1.72,1.77,1.72,1.77,2267
ok,2024-01-05 11:30:00,1.76,1.76,1.73,1.73,9242
ok,2024-01-05 12:00:00,1.75,1.77,1.73,1.76,4135
