s,t,o,h,l,c,v
ok,2024-01-04 09:30:00,10.7,10.7,10.7,10.7,159
ok,2024-01-05 10:30:00,10.69,10.7,10.69,10.7,200
ok,2024-01-10 11:00:00,10.7,10.7,10.7,10.7,100
ok,2024-01-16 12:30:00,10.65,10.65,10.65,10.65,246
ok,2024-01-16 15:30:00,10.65,10.68,10.65,10.68,2200
ok,2024-01-29 15:00:00,10.6,10.6,10.6,10.6,250
ok,2024-01-30 11:00:00,10.7,10.71,10.6,10.6,406
ok,2024-02-01 14:30:00,10.7,10.7,10.7,10.7,1100
ok,2024-02-01 15:00:00,10.7,10.7,10.7,10.7,100
ok,2024-02-02 13:00:00,10.61,10.61,10.61,10.61,1000
ok,2024-02-07 11:00:00,10.6,10.6,10.6,10.6,350
ok,2024-02-09 11:00:00,10.6,10.6,10.6,10.6,500
ok,2024-02-09 14:30:00,10.6,10.6,10.6,10.6,100
ok,2024-02-21 12:30:00,10.6,10.6,10.6,10.6,200
ok,2024-02-21 13:00:00,10.62,10.62,10.62,10.62,205
ok,2024-02-21 13:30:00,10.68,10.68,10.68,10.68,203
ok,2024-02-23 12:30:00,10.6,10.6,10.6,10.6,100
ok,2024-02-26 11:30:00,10.6,10.6,10.6,10.6,500
ok,2024-02-28 15:00:00,10.6,10.6,10.6,10.6,200
ok,2024-02-29 11:00:00,10.6,10.66,10.6,10.66,1902
ok,2024-03-04 09:30:00,10.6,10.6,10.6,10.6,1972
ok,2024-03-06 09:30:00,10.6,10.6,10.6,10.6,238
ok,2024-03-06 10:00:00,10.62,10.64,10.59,10.6,10152
ok,2024-03-06 12:00:00,10.6,10.6,10.6,10.6,1050
ok,2024-03-07 14:00:00,10.61,10.62,10.61,10.62,372
ok,2024-03-11 07:00:00,10.75,10.75,10.75,10.75,100
ok,2024-03-11 09:00:00,10.45,10.45,10.45,10.45,1500
ok,2024-03-11 13:00:00,10.6,10.6,10.6,10.6,100
ok,2024-03-11 14:00:00,10.59,10.59,10.59,10.59,150
ok,2024-03-11 14:30:00,10.6,10.6,10.6,10.6,250
ok,2024-03-12 08:30:00,10.52,10.52,10.48,10.48,202
ok,2024-03-12 11:30:00,10.56,10.63,10.55,10.63,3001
ok,2024-03-12 12:30:00,10.65,10.65,10.65,10.65,101
ok,2024-03-12 14:30:00,10.55,10.55,10.54,10.54,207
ok,2024-03-13 12:30:00,10.52,10.52,10.46,10.46,1000
ok,2024-03-13 14:00:00,10.71,10.71,10.71,10.71,101
ok,2024-03-15 08:30:00,10.52,10.52,10.52,10.52,748
ok,2024-03-15 11:00:00,11.0,11.0,11.0,11.0,367
ok,2024-03-18 13:00:00,10.54,10.54,10.5,10.5,967
ok,2024-03-18 13:30:00,10.54,10.54,10.54,10.54,100
ok,2024-03-20 14:30:00,10.48,10.48,10.47,10.47,502
ok,2024-03-21 11:30:00,10.66,10.66,10.66,10.66,500
ok,2024-03-21 12:00:00,10.58,10.58,10.58,10.58,510
ok,2024-03-25 14:30:00,10.56,10.56,10.56,10.56,119
ok,2024-03-27 08:30:00,10.6,10.6,10.6,10.6,200
ok,2024-04-01 15:30:00,10.62,10.62,10.62,10.62,500
ok,2024-04-02 08:30:00,10.56,10.56,10.55,10.55,4200
ok,2024-04-02 09:00:00,10.56,10.56,10.55,10.55,16802
ok,2024-04-02 09:30:00,10.55,10.55,10.55,10.55,500
ok,2024-04-02 10:30:00,10.55,10.55,10.55,10.55,500
ok,2024-04-02 11:00:00,10.55,10.55,10.55,10.55,4000
ok,2024-04-02 11:30:00,10.55,10.55,10.55,10.55,200
ok,2024-04-02 12:30:00,10.55,10.55,10.55,10.55,1200
ok,2024-04-02 13:00:00,10.55,10.55,10.55,10.55,15008
ok,2024-04-02 13:30:00,10.55,10.55,10.55,10.55,200
ok,2024-04-02 14:30:00,10.55,10.55,10.54,10.54,17271
ok,2024-04-03 14:00:00,10.55,10.55,10.55,10.55,1000
ok,2024-04-04 14:30:00,10.54,10.55,10.54,10.54,2302
ok,2024-04-08 11:00:00,10.52,10.52,10.52,10.52,811
ok,2024-04-10 13:30:00,10.52,10.52,10.52,10.52,500
ok,2024-04-11 12:00:00,10.54,10.54,10.54,10.54,1000
ok,2024-04-11 14:30:00,10.55,10.55,10.55,10.55,6000
ok,2024-04-12 08:30:00,10.52,10.53,10.52,10.52,1000
ok,2024-04-12 10:00:00,10.55,10.55,10.55,10.55,1200
ok,2024-04-12 14:30:00,10.57,10.57,10.57,10.57,1408
ok,2024-04-16 09:00:00,10.6,10.6,10.6,10.6,102
ok,2024-04-16 09:30:00,10.59,10.59,10.59,10.59,15100
ok,2024-04-16 10:00:00,10.59,10.59,10.59,10.59,7173
ok,2024-04-16 11:30:00,10.59,10.59,10.59,10.59,17782
ok,2024-04-16 12:00:00,10.59,10.59,10.59,10.59,4754
ok,2024-04-17 14:00:00,10.59,10.59,10.59,10.59,400
ok,2024-04-18 09:00:00,10.59,10.59,10.59,10.59,2194
ok,2024-04-18 11:00:00,10.6,10.6,10.6,10.6,100
ok,2024-04-23 13:30:00,10.59,10.59,10.59,10.59,2076
ok,2024-04-23 14:30:00,10.59,10.59,10.59,10.59,101
ok,2024-04-24 09:00:00,10.58,10.6,10.58,10.6,4625
ok,2024-04-24 10:00:00,10.58,10.58,10.58,10.58,100
ok,2024-04-24 14:30:00,10.58,10.58,10.58,10.58,100
ok,2024-04-25 13:30:00,10.56,10.56,10.56,10.56,500
ok,2024-04-29 07:30:00,10.5,10.5,10.5,10.5,250
ok,2024-04-29 13:00:00,10.56,10.56,10.5,10.53,5467
ok,2024-04-29 13:30:00,10.5,10.56,10.5,10.56,1100
ok,2024-04-30 08:00:00,10.5,10.5,10.5,10.5,600
ok,2024-04-30 08:30:00,10.5,10.5,10.5,10.5,2100
ok,2024-04-30 09:00:00,10.55,10.55,10.5,10.55,6525
ok,2024-04-30 10:00:00,10.52,10.52,10.52,10.52,100
ok,2024-04-30 11:30:00,10.52,10.52,10.52,10.52,100
ok,2024-04-30 14:30:00,10.52,10.52,10.52,10.52,536
ok,2024-05-01 14:30:00,10.52,10.52,10.52,10.52,478
ok,2024-05-02 08:30:00,10.52,10.52,10.45,10.45,3366
ok,2024-05-02 09:00:00,10.56,10.56,10.56,10.56,3207
ok,2024-05-02 09:30:00,10.33,10.33,10.25,10.25,1420
ok,2024-05-02 10:00:00,10.25,10.33,10.0,10.0,2215
ok,2024-05-02 10:30:00,10.0,10.0,10.0,10.0,200
ok,2024-05-02 11:30:00,9.49,9.49,9.4,9.4,660
ok,2024-05-02 12:00:00,9.0,9.0,9.0,9.0,300
ok,2024-05-02 13:00:00,9.45,9.45,9.45,9.45,100
ok,2024-05-02 14:30:00,9.15,9.24,9.15,9.2,501
ok,2024-05-03 08:30:00,9.2,9.2,9.15,9.15,1790
ok,2024-05-03 09:00:00,8.93,8.93,8.71,8.72,662
ok,2024-05-03 09:30:00,8.71,9.0,8.53,9.0,566
ok,2024-05-03 10:00:00,8.51,8.51,8.36,8.36,517
ok,2024-05-03 10:30:00,8.4,8.54,8.37,8.54,766
ok,2024-05-03 11:30:00,8.94,8.94,8.94,8.94,255
ok,2024-05-03 14:00:00,8.88,9.0,8.8,8.8,2102
ok,2024-05-03 14:30:00,8.79,8.79,8.79,8.79,100
