s,t,o,h,l,c,v
ok,2024-03-22 08:30:00,3.2,3.52,2.08,2.08,47423
ok,2024-03-22 09:00:00,2.29,2.44,2.05,2.23,159048
ok,2024-03-22 09:30:00,2.35,2.35,2.19,2.2,54786
ok,2024-03-22 10:00:00,2.2,2.35,2.15,2.21,15588
ok,2024-03-22 10:30:00,2.21,2.44,2.19,2.42,31619
ok,2024-03-22 11:00:00,2.37,2.42,2.26,2.38,6309
ok,2024-03-22 11:30:00,2.4,2.44,2.33,2.33,11829
ok,2024-03-22 12:00:00,2.36,2.44,2.31,2.38,34277
ok,2024-03-22 12:30:00,2.43,2.43,2.36,2.39,17338
ok,2024-03-22 13:00:00,2.36,2.43,2.36,2.38,13518
ok,2024-03-22 13:30:00,2.43,2.66,2.36,2.42,41059
ok,2024-03-22 14:00:00,2.45,2.48,2.45,2.46,4987
ok,2024-03-22 14:30:00,2.48,2.5,2.3,2.48,24032
ok,2024-03-22 15:00:00,2.48,2.48,2.3,2.45,1257
ok,2024-03-22 15:30:00,2.32,2.37,2.27,2.27,4505
ok,2024-03-22 16:00:00,2.37,2.37,2.37,2.37,100
ok,2024-03-22 17:30:00,2.39,2.39,2.31,2.35,450
ok,2024-03-22 18:00:00,2.34,2.34,2.34,2.34,100
ok,2024-03-22 18:30:00,2.34,2.35,2.34,2.35,2097
ok,2024-03-25 03:00:00,2.48,2.8,2.48,2.8,387
ok,2024-03-25 03:30:00,2.27,2.27,2.27,2.27,339
ok,2024-03-25 04:00:00,2.25,2.25,2.25,2.25,394
ok,2024-03-25 04:30:00,2.21,2.21,2.21,2.21,188
ok,2024-03-25 05:00:00,2.21,2.26,2.21,2.21,660
ok,2024-03-25 06:00:00,2.36,2.36,2.21,2.23,2273
ok,2024-03-25 06:30:00,2.2,2.2,2.2,2.2,137
ok,2024-03-25 07:00:00,2.2,2.25,2.2,2.25,2507
ok,2024-03-25 07:30:00,2.14,2.14,2.14,2.14,1642
ok,2024-03-25 08:00:00,2.17,2.17,2.01,2.04,9503
ok,2024-03-25 08:30:00,2.03,2.15,1.51,1.85,52962
ok,2024-03-25 09:00:00,1.85,1.91,1.75,1.83,11681
ok,2024-03-25 09:30:00,1.7,1.78,1.6,1.69,14677
ok,2024-03-25 10:00:00,1.75,1.75,1.67,1.7,3207
ok,2024-03-25 10:30:00,1.7,1.8,1.65,1.79,18984
ok,2024-03-25 11:00:00,1.79,1.8,1.76,1.8,2404
ok,2024-03-25 11:30:00,1.78,1.78,1.76,1.76,1706
ok,2024-03-25 12:00:00,1.77,1.78,1.74,1.75,4737
ok,2024-03-25 12:30:00,1.75,1.75,1.71,1.75,1348
ok,2024-03-25 13:00:00,1.77,1.77,1.75,1.77,2260
ok,2024-03-25 13:30:00,1.75,1.77,1.65,1.72,8797
ok,2024-03-25 14:00:00,1.72,1.76,1.72,1.75,1500
ok,2024-03-25 14:30:00,1.75,1.8,1.67,1.73,21883
ok,2024-03-25 15:00:00,1.85,1.85,1.71,1.71,4233
ok,2024-03-25 15:30:00,1.71,1.71,1.67,1.67,3317
ok,2024-03-25 16:00:00,1.75,1.75,1.75,1.75,406
ok,2024-03-25 17:00:00,1.72,1.72,1.67,1.69,5200
ok,2024-03-25 18:30:00,1.73,1.73,1.73,1.73,564
ok,2024-03-26 03:30:00,1.6,1.65,1.6,1.65,422
ok,2024-03-26 04:00:00,1.94,1.94,1.71,1.71,1989
ok,2024-03-26 04:30:00,1.84,1.84,1.84,1.84,100
ok,2024-03-26 06:00:00,1.71,1.71,1.61,1.67,3222
ok,2024-03-26 07:00:00,1.73,1.84,1.73,1.84,5714
ok,2024-03-26 07:30:00,1.78,1.8,1.69,1.71,902
ok,2024-03-26 08:00:00,1.82,1.82,1.71,1.71,226
ok,2024-03-26 08:30:00,1.74,1.83,1.68,1.71,13391
ok,2024-03-26 09:00:00,1.72,1.76,1.71,1.76,1754
ok,2024-03-26 09:30:00,1.79,1.79,1.7,1.7,3339
ok,2024-03-26 10:00:00,1.77,1.77,1.6,1.66,18086
ok,2024-03-26 10:30:00,1.65,1.68,1.6,1.65,2432
ok,2024-03-26 11:00:00,1.6,1.64,1.59,1.64,2546
ok,2024-03-26 11:30:00,1.59,1.61,1.57,1.58,1551
ok,2024-03-26 12:00:00,1.56,1.61,1.54,1.54,8820
ok,2024-03-26 12:30:00,1.57,1.69,1.57,1.69,4697
ok,2024-03-26 13:00:00,1.6,1.61,1.6,1.61,200
ok,2024-03-26 13:30:00,1.6,1.69,1.56,1.69,2795
ok,2024-03-26 14:00:00,1.69,1.78,1.63,1.75,15515
